protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ENTPD3 ENTPD5	-7.91939368238708	20.7478629093832	16.3386743582377	-3.51931653727111	21.5260547018624	14.6157098324842	-4.56496722269155	21.5813068645517	16.0509872808665	-5.48226645268551	21.3503760408086	15.870943864408
ENTPD3 EPB41	-8.14814866932093	20.6970247252089	16.1005077720714	-6.64141046537027	20.1077015608817	15.5765132962376	-11.4785083951276	20.9216721314724	16.6434867024178	-9.48295501079928	20.6558507420744	16.1774870566328
ENTPD3 EPHA1	-12.086645052619	21.6665152919332	17.0314403159148	-7.34711128091447	20.8139604210841	15.7005033985038	-21.4177739271993	21.9084098049076	17.1018027597386	-10.9364198576521	21.5054268075053	16.6351293886124
ENTPD3 EPHA10	-4.73487660529734	19.7905889289945	15.4576214780729	-10.6802771880239	20.8899787766627	15.821246745802	-5.81025941799088	20.3169843079482	16.1702963092874	-7.08852827824299	20.5097544570166	15.9583608026182
ENTPD3 EPHA2	-0.0273148034894029	15.2440485487971	11.0989500933063	-0.56022529421893	16.7391560461792	12.0216985957231	-0.455920774851596	16.6349846084568	12.1818128288732	-0.370295376181583	16.3091480089104	11.8973432235703
ENTPD3 EPHA3	-16.8817458370176	20.8118413513696	16.5674010730935	-5.719007878672	19.4103537058258	15.201977011791	-8.20483158177799	20.2613049504749	16.1613937286906	-10.4025010655855	20.4240008784996	16.3376735890625
ENTPD3 EPHA5	-6.53010220498676	21.6642940746959	16.443831951513	-10.4921865899861	20.7780019408537	15.8145559409096	-11.7168704997249	21.0234483515101	16.7117121267004	-10.7750988290559	21.2666473664225	16.4364390110781
ENTPD3 EPHB2	-0.530900115156158	17.6704157135772	13.385148501878	-0.957601315790442	17.576242557233	13.1332146196017	-1.00685087151546	18.5588468717479	14.1403759635755	-0.89057856009639	17.9667196813036	13.6449807821712
ENTPD3 EPHB4	-19.726235482983	21.2157114271277	17.0126332081126	-8.19079814309523	20.0845569409768	15.6356759675915	-13.7582885602547	21.0613905181371	16.8589639730688	-13.992265762832	20.8601956893582	16.6580626649755
ENTPD3 EPHB6	-0.76619887088674	17.3200626962191	13.1965743441426	-1.75316606481263	18.3698218956284	13.7568741103506	-1.83071242202311	18.9575362182348	14.451004900572	-1.46020262170113	18.2860002844933	13.9796990639496
ENTPD3 EPO	-10.6776288216543	20.9783890644394	16.4727469668665	-6.51401089539528	20.2206210514193	15.5103857517669	-9.18740037280821	21.1993983566756	16.6453443662556	-9.26149757784692	20.8008444687746	16.2048543312244
ENTPD3 EPOR	-14.7625345669454	21.3398263469141	16.9135915166741	-1.14960548661675	18.2407627751764	13.3488002197347	-3.97629180267451	20.5611312692735	16.5174584325498	-3.55753638305182	20.0708742025078	15.4791172884485
ENTPD3 EPS15L1	-6.11270030676378	19.8154407056143	15.9098531760925	-8.71910454444283	21.1892889677773	15.6295370357064	-9.92222707554092	20.9887832701194	16.4654794887071	-8.38490706531928	20.6642620137119	16.0494000034948
ENTPD3 ERAP1	-11.0223717403699	21.0232121805607	16.8323518535081	-14.6780239237368	21.186275065361	16.2095665759428	-16.3054867308533	21.3272725534248	16.8934493527346	-15.5927763985099	21.3979430408952	16.7737118346704
ENTPD3 ERBB2	-11.9048928837347	20.8920889390609	16.7710697623117	-17.2160449310739	21.4825304631511	16.4292245876734	-32.1205803103278	21.5926917522156	17.1300090273147	-19.7166970170277	21.277642459189	16.8041151151739
ENTPD3 ERBB3	-2.17904946583185	19.4024415332069	14.5126649853436	-1.66330677475718	18.9570649968082	13.5634425605196	-2.00343645651392	19.5384162674858	14.4786999851556	-2.31246428708269	19.6283014929289	14.5874987421704
ENTPD3 ERBB4	-5.72805021086865	20.7367049613689	16.2514596655446	-2.94951733837697	20.4644531704818	14.2257680045993	-5.08424703774208	21.3774507535972	16.0063100403473	-5.2111569898476	21.069267684603	15.8247202097261
ENTPD3 EREG	-9.33522376382151	20.5937689409243	16.3084081711354	-3.83571546056685	19.7593580257951	15.0133678442934	-9.98835684825968	20.7805401175716	16.4211776766229	-7.33356761438639	20.4794833118872	15.9947613622503
