protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
EPHA2 EPHA3	-0.239622174093133	15.5492849835018	11.2739133120087	-0.733352298228454	17.2260587768289	11.8648315648119	-0.418066860586529	16.4145632469448	11.7459569785774	-0.537738774599551	16.7242480736005	12.0029594303421
EPHA2 EPHA5	0.0828499437290718	14.6628982154075	11.1248539191738	-0.0970413075877963	15.3427845572245	11.2661254812454	-0.0516591442505403	15.5471268294427	11.6905633306651	-0.0230228264437753	15.2693254636149	11.4299063818833
EPHA2 EPHB2	-0.390580352507252	16.1361100336062	11.9484333070805	-1.15919372353587	17.7422885274022	12.7581691566766	-0.771847098235122	17.4321030191966	12.716451312045	-0.824863192906258	17.2380381944661	12.6784758610685
EPHA2 EPHB4	0.113528071031403	14.8367104779615	11.0697870307269	-0.238028205524507	15.8108443668644	11.3276688247628	-0.262433872286179	15.9431549767624	11.8856031252193	-0.115127145074549	15.4945743144914	11.5275440058899
EPHA2 EPHB6	-0.374587169872496	15.9812609068859	11.6656686311124	-0.881382806418157	17.8714154210678	12.6485162053707	-0.716917040938445	17.2937625536548	12.6428378447034	-0.603452658891779	17.0670426513311	12.362155455798
EPHA2 EPO	-0.151393414704444	15.2219771457496	11.1282848802908	-0.832093753892108	17.1243120800971	12.1990079257444	-0.506205124557326	16.6296029186036	12.0893687776649	-0.563128589607518	16.554655744772	12.0419710435299
EPHA2 EPOR	0.302574652135491	14.0971969018216	10.6523039346137	-0.112108354907032	15.1762008578322	11.0358982865995	-0.0583399326568665	15.4517730733522	11.6878014657161	0.0359799585898434	14.9279552103175	11.2687430658092
EPHA2 EPS15L1	-0.0717965305739228	15.1458071716146	11.0567698416417	-1.01972990797632	17.4578991614828	12.2724757357544	-0.490314827019825	16.6046676643989	11.9902463571732	-0.507685425895692	16.62592744207	11.882005384991
EPHA2 ERAP1	-0.486566588548299	16.1097010259102	11.8601635636686	-0.895544185604807	17.5588718527328	12.4985346261389	-0.593708015048533	16.9523881118444	12.3858441955741	-0.723638436538461	17.0282596481095	12.3552339787418
EPHA2 ERBB2	-0.197261380793178	15.5071639579992	11.5659484922037	-1.21330123379497	18.278327862213	12.9962765425533	-0.72571915982657	17.2835286240799	12.6683827966405	-0.692123790469021	17.098787620061	12.5316537208969
EPHA2 ERBB3	-0.272811860401923	15.5656759070579	11.1530282351346	-0.682517438496766	16.9297610854305	11.840010354418	-0.426368166909093	16.3744073527868	12.0019253180733	-0.408214592663707	16.4441551588844	11.7578710215851
EPHA2 ERBB4	0.0192288897679536	15.1155422008182	11.02719423977	-0.882838803380748	17.6920311812899	12.4701773710143	-0.336185184896181	16.7494620558192	11.9838923715753	-0.421493450535388	16.6508632805047	11.9557616350452
EPHA2 EREG	-0.199319754488801	15.4236935045711	11.4994693919328	-0.522904193021124	16.8305138914104	12.2136916393973	-0.554189655699471	16.5461140641292	12.2832771495229	-0.455190582056316	16.4295493101522	12.200584497451
EPHA2 ERP29	-0.204076888509347	15.5190907397787	11.3121166548182	-0.90977893386547	17.5601781525606	12.6589513584573	-0.464850601928354	16.9539651247603	12.3183795668062	-0.503454959587796	16.6767015942104	12.1887697776317
EPHA2 ESAM	-0.0345860789397141	15.1189216302967	11.4401683249874	-0.165152280797515	15.5324957916949	11.1984942096425	-0.389936190624377	16.1045753559406	12.1502986325965	-0.278126549752015	15.796600340565	11.6866938859491
EPHA2 ESD	0.123890409623256	14.471701074354	10.5882839791032	-1.1139100566192	17.837837243752	12.6502090350291	-0.663718048748379	17.1655659079484	12.3441768005143	-0.440680554886314	16.563245372592	11.9666079341969
EPHA2 ESM1	-0.14494780503914	15.5217461216352	11.3313169417619	-0.948097001825784	18.0613282239799	12.7057412063336	-0.588386952819201	16.9341147986538	12.2552738928152	-0.538498156834102	16.9054836469578	12.1961844442254
EPHA2 ESR1	0.214199641403416	14.2297706324191	10.7732635007618	0.0188515076015556	14.7480588986179	10.8394768576017	0.0511505289122085	15.1495143540433	11.4701428551204	-0.0322433995430134	14.8864662106682	11.2662107562658
EPHA2 ETHE1	0.348082776082286	13.8251439716193	9.56004422377839	-0.639450931470239	17.6240394604831	12.4755524546316	-0.0570580753284511	16.1735727169448	11.4124829552903	-0.11319713366528	16.0415836061882	11.2691257747837
EPHA2 F10	0.284054688898196	13.7763422856038	9.94966950531287	-0.49750928782189	16.6543557017896	11.4098536592759	-0.13210380182362	15.5799555855386	11.1023325182979	-0.0463549267291665	15.4041415999374	10.9240020957471
EPHA2 F10.1	0.147287668406864	14.437999591322	10.7140242096321	-0.495118738566837	16.3631257862874	11.3573452460575	-0.167921015038248	15.7350924866862	11.1620173751865	-0.089391502370304	15.5056974341684	11.1107545486403
EPHA2 F11	-0.081316879582743	15.4989695108334	11.3990927519972	-0.441375842772239	17.1415188810308	12.3519252050042	-0.404767729947258	16.9799532612944	12.3672495525521	-0.396510024380841	16.6272107504377	12.2026098423188
EPHA2 F2	0.478650751212362	12.940358628388	9.22448731732702	0.0308138966079684	14.6014978899652	10.6677071831595	0.273344913472815	14.1831145845164	10.6500643363585	0.288140280316118	13.9937660827737	10.1867032307069
EPHA2 F2.1	0.124787543798177	14.1958247836284	10.1948036606198	-0.133460091502942	15.2313667997679	10.711958802815	-0.0463471220978682	15.3129186043225	10.958231482701	-0.046837270253645	15.1545714260646	10.9386737530659
EPHA2 F3	0.0604707424632241	14.5294786604805	10.5280143303961	-0.617451976015574	16.7304313324155	11.8803699176678	-0.200501904588299	16.0172106372352	11.400767988722	-0.233455659268432	15.8242874222052	11.4507333310487
EPHA2 F5	-0.293908286412521	16.3605321894058	11.6958865512686	-0.823271262821546	17.5672392668059	12.2984542806767	-0.516616980438266	16.9886279684001	12.3118131137832	-0.59817219409021	17.1748389947836	12.1775406901879
EPHA2 F7	0.124314769824439	14.5814376463129	10.8835717053188	-0.65186472226032	17.3027679725414	12.2990070649104	-0.257790248755442	16.3873353679491	11.9545054459459	-0.223410754535857	16.1486659876245	11.8462260556273
EPHA2 F9	-0.0569354646393232	15.2064232756325	10.8435720212633	-0.556427986257916	16.7381846460251	11.3756015438775	-0.448100738107525	16.4972736635779	11.7958248273597	-0.363486628286995	16.2002041496143	11.4400496354053
EPHA2 F9.1	-0.0256353507740257	15.1198544136149	10.7339736896532	-0.690895155938354	16.7778778664977	11.2920124649584	-0.371179966750532	16.358391125484	11.7340585212023	-0.316882056423785	16.0750725835415	11.2770355249301
EPHA2 FABP1	-0.0293818280194909	15.0055773145947	11.0196874007851	-0.841340321128024	17.3158567666696	12.4734247370952	-0.445435143745246	16.4379134344977	11.8486657772655	-0.363248684448276	16.3192831869187	11.8602297421689
EPHA2 FABP3	-0.0132626418017399	14.365555707556	10.9811793168882	-0.720425653595001	17.5233646561305	12.2740861304225	-0.411066072448075	16.5488095134039	12.1212104944091	-0.449411266151864	16.3799575461705	11.9472348628537
EPHA2 FABP5	-0.0413773092624266	14.9250318922821	11.0662461291469	-0.906132459189499	17.7285108168391	12.672121602044	-0.440244868739312	16.5080583393571	12.0570447896554	-0.461253270301002	16.5091557351941	12.0006910564721
EPHA2 FAM107A	-0.199350099133529	15.5206635000767	11.3747205106192	-0.677213151433659	17.1311088630722	12.2898614089286	-0.371885310322223	16.6774192119117	12.1394848880194	-0.470357881544406	16.5688205668373	12.1546021334283
EPHA2 FAM107B	0.361082289344384	14.0219028933254	9.90950997064134	-0.663240812606759	16.3571070974171	11.7801649952929	0.0149409206379527	15.4004749840414	11.275688869796	-0.0255835696217157	15.2930859658724	11.2330673396823
EPHA2 FAM3B	0.131962629008384	14.3794879401638	10.648995360863	-0.868583951749457	17.6313979632261	12.2710178734896	-0.590505369813176	17.0206250184273	12.3730867077646	-0.419382550617166	16.2964815339071	11.7526755792725
EPHA2 FAM3D	-0.274468706940712	15.704251813661	11.6656603535627	-1.15762959284609	18.2681132897848	12.5352183021024	-0.749510704943258	17.2023887438064	12.3011351514324	-0.762727902640422	17.2342284854749	12.367614500546
EPHA2 FAP	-0.0466490994229456	14.721123989413	11.2061647253732	-0.417378391892509	16.0978604559749	11.1651165984289	-0.418910817775058	16.1286618150316	12.0431600470282	-0.234883924740438	15.5199498605025	11.3693375161395
EPHA2 FAS	-0.208140951670225	15.5925571843994	11.5426779768973	-0.907688713135001	17.63651934197	12.8105856209928	-0.49435999941271	16.9507093207169	12.3933982533843	-0.500303383848862	16.7833743445037	12.3395037028387
EPHA2 FASLG	0.239304134998333	14.2995623763535	10.5844017564938	-0.548352226041152	16.367461980103	11.8673422228663	-0.203390187239111	15.870133229955	11.7131157214281	-0.053414902456504	15.6074375471283	11.6289527894275
EPHA2 FCAR	0.109136748325461	14.2967781301127	10.3606042593855	-0.728848115465556	17.1785777883297	12.1851064896635	-0.27493829544216	16.210814493689	11.7912672245718	-0.294889365307772	16.1096883995011	11.639573343056
EPHA2 FCER2	0.231988270557986	14.1877798342491	10.7400347290774	-1.07455186929635	17.4840602810267	12.756618400781	-0.670761275344239	16.7398846973889	12.371029755884	-0.353543358683401	16.2496330588028	12.072838392304
EPHA2 FCGR1A	-0.0752638938724628	14.8843501123767	10.9134258460751	-0.492794097838121	16.5166125602248	11.965717350224	-0.181960689090774	15.7198344079018	11.5779341887542	-0.269902822407247	15.8502820320308	11.6085678568095
EPHA2 FCGR2A	-0.322066549388024	15.6816563299838	11.8208951914048	-1.05221188589954	17.7258078650102	12.6359766369699	-0.717245966418331	17.1800470942544	12.5548556969753	-0.636707903763096	16.9311270825192	12.5007535768083
EPHA2 FCGR2B	-0.335491539250032	15.9176479359894	11.6746876960507	-1.41723483544852	18.1490999997406	12.723543339119	-0.715297753772889	17.282160077535	12.403326043937	-0.743525342545817	17.2353430211282	12.4381048849619
EPHA2 FCGR3B	-0.105325767208491	15.374214034717	11.2606867242279	-0.804904490207961	17.8278592151705	12.797768552954	-0.522691859355094	16.9312161218787	12.3181836643569	-0.508555702615635	16.8436575994639	12.2932865585398
EPHA2 FCN1	0.316682586762757	13.7497710696919	10.0934124910383	-0.554551342581795	17.4139194596844	11.9593690585491	-0.231665952008889	16.0845182710663	11.7306883292232	-0.085473134931987	15.9492155440668	11.3793146331803
EPHA2 FCN2	-0.311892989212564	16.0703324167442	11.3550823234151	-0.720055331568698	17.5899344410311	12.1019681083085	-0.421081430233164	17.0678760206962	12.0508605246026	-0.579013963245101	17.1529200685977	11.9768047217317
EPHA2 FCN3	-0.0352065514323954	14.7216411432677	10.7439334266433	-0.510533201884904	16.5901076116761	12.0053062777646	-0.392789077326489	16.2534143346369	11.9468938782394	-0.361955669931355	16.0113868989074	11.7133344295851
EPHA2 FCRL3	-0.135520234413826	15.1809628076348	11.5379304285686	-1.28497129103431	18.0780536682985	12.781985655649	-0.724852190591308	17.1290860984976	12.4587796598959	-0.690718748192637	16.9874390040366	12.3669100560962
EPHA2 FER	-0.110037220966665	15.1559513521116	11.1161031167043	-1.05433952794961	17.666215141541	12.3648076121166	-0.74880279176502	17.1215111704354	12.567643750038	-0.547843031898289	16.5156905928957	11.9453172779968
EPHA2 FETUB	-0.100125859292051	14.7948646528409	10.7753986484024	-1.21679305508973	17.7432295766788	12.2642445516858	-0.389366359244126	16.3225750862856	11.8891347717397	-0.567732056845495	16.5746726123458	11.9072776434303
EPHA2 FGA.FGB.FGG	-0.129977430536171	14.9205314860786	11.0160380952042	-1.13130950180253	17.841475616624	12.3617991147784	-0.419087811384474	16.6140234542928	11.8494247773623	-0.534659181529465	16.7200255120375	11.9024293208883
EPHA2 FGA.FGB.FGG.1	0.114602021281179	14.9051976448227	11.0764636534772	-1.36824100970858	17.5692902554887	12.3242896348034	-0.712827068205203	16.9013871751967	12.226790144848	-0.438559678085411	16.5548148355257	11.9638926907371
EPHA2 FGF1	-0.253647738334112	15.701158548761	11.6853511898326	-0.869660725188524	17.3851717506167	12.354289138012	-0.566220527088266	16.9198604900386	12.2795436341038	-0.626942946167999	16.8773150065063	12.3072693556134
EPHA2 FGF10	0.165709910377349	14.6351916864143	10.6892178808929	-0.267190592983257	16.0974966936608	11.7636232055399	-0.0491117862145489	15.934971872261	11.7497274930713	-0.0785495609543576	15.6349574274533	11.5829970401772
EPHA2 FGF12	-0.131318000806425	15.0849947195986	11.4606286981248	-0.885323680447083	17.2829055181032	12.2617172315045	-0.289831766941052	16.2714018814127	12.0050658546245	-0.325986992691977	16.3128101325671	12.1182003627465
EPHA2 FGF16	0.0638109868755331	14.8988100991135	10.9843634460085	-0.123844003093294	15.6413600872035	10.9446417414665	-0.106501142812917	15.7369575137099	11.4547130467315	-0.116824548498966	15.5572224297549	11.2827165142685
EPHA2 FGF17	-0.0174250503017166	14.8539900366536	11.1743750456378	-0.919224279957929	17.6035732106467	12.7237452005855	-0.505000514656552	16.7128104361702	12.1621248628797	-0.484159293197349	16.5538347192902	12.1905223162344
EPHA2 FGF18	-0.145789154407568	15.5762748669937	11.611488556463	-0.270025302062403	16.5717413932242	11.4548854993684	-0.227305216873751	16.2308192188817	11.795956838639	-0.29949052790011	16.271614562869	11.8170688923937
EPHA2 FGF19	-0.330403832033883	16.2059258327752	11.5562324427217	-1.19821492418401	17.8476534694716	12.6310164092805	-0.619412981811597	17.2155772554907	12.3557102431739	-0.687686496286864	17.1635743883346	12.2762483905499
EPHA2 FGF2	-0.0462686426872454	15.0307044051797	11.2911474908924	-0.828338575786753	17.6019370910302	12.1366611964405	-0.456102401211218	16.8638995131215	12.1661836254751	-0.484030031398726	16.6731540412742	12.0066765661144
EPHA2 FGF20	-0.324263807007957	16.164025172552	11.9859830323523	-1.35040302355113	18.1960758642014	12.936333912039	-0.590917993025047	17.2650232478442	12.6940462629382	-0.675473846560726	17.3266976225398	12.7253989406024
EPHA2 FGF23	-0.0735164305480478	14.7904278414043	11.0716390786126	-0.599818848294674	17.4036882585962	12.0505218431747	-0.313108611102937	16.3706156984908	11.6804859300675	-0.401866748491245	16.3719678807509	11.7305303897018
EPHA2 FGF4	-0.0581199581452136	14.8189007411682	11.2712190742638	-0.457818507422588	16.3888731140958	11.5697557550204	-0.423533794259189	16.3230899693428	11.8933945269011	-0.355376669481855	16.1138893242958	11.7797082629985
EPHA2 FGF5	0.349325263529494	13.6383383336109	10.3834525162202	-0.912070223867658	17.3724260972743	12.1408294849465	-0.200015673851103	16.205317276615	11.864349868523	-0.170389543069199	15.8736646793872	11.580332583453
