protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
EPOR EPS15L1	-3.56184842002023	19.1860706116045	15.6735945353892	-2.11059131595376	19.6486573221158	14.3166207418901	-3.8514250734111	19.9075132878464	15.6458088588623	-3.56879554228324	19.7250978889886	15.3377632904697
EPOR ERAP1	-5.94586528270357	20.8575325544699	16.7865692098394	-1.94310295516278	19.1589958069041	14.3493478435123	-5.11725755488134	20.3022056949128	16.5489612306996	-4.14253190836449	20.2247506525733	15.9065056460432
EPOR ERBB2	-10.0191267478286	20.3435929759998	16.7476297133252	-3.08387058582585	19.5817702706575	15.0585688526992	-5.38759860015271	20.412827519341	16.7340682816782	-5.18788616675494	20.2199591456796	16.2262983329208
EPOR ERBB3	-3.06355915395764	19.2490899959846	15.0512986751157	-1.12123615573571	18.1656781487552	13.0177573350643	-1.43762282280852	18.86550879761	14.3205846225927	-1.61273226369402	18.8436644770373	14.2221836935151
EPOR ERBB4	-4.86915728173815	20.7001363362495	16.2067225762358	-1.4726310509597	18.3449929608383	12.8391066630555	-4.1253301903807	20.4876492509085	15.5090403016327	-3.44785588694593	19.8931676289313	14.9865975694876
EPOR EREG	-4.92140114952804	19.920228013391	15.8345470901857	-2.53008652988015	19.6113267378187	15.1218810464489	-4.81545328887006	19.9431809444348	15.8647223560488	-3.18251254263083	20.0311092165713	15.7178554270714
EPOR ERP29	-0.960061395498901	18.1712028069389	13.6641950832357	-0.473233981819549	16.1655748037662	12.4485471947578	-1.15006069194465	18.2483034382746	14.3071454745378	-1.03759778185145	17.5912898672167	13.6677911183204
EPOR ESAM	-0.519973204568664	16.7072072957999	12.917672205874	0.0505217852064582	14.9121112671272	11.0694312536108	-0.178582320622636	16.5143891208553	12.7851906588394	-0.371426662419396	16.5601881184802	12.5802542656624
EPOR ESD	-1.55626793967813	18.30842155952	14.1504097172151	-2.82651407978907	19.515791645018	14.971138535355	-2.88444612919951	19.5899391050459	15.6680797615097	-2.21249319403101	19.1615221603554	14.9746889952364
EPOR ESM1	-0.312989718110364	16.4137345447158	12.8083599186336	-1.12323098485626	18.6700319207394	13.2406182289922	-1.0416656069539	18.1022319832658	13.8712244972023	-0.955656489193574	17.7771898223269	13.4078624708459
EPOR ESR1	-7.99924182178523	20.4333289702811	16.5504162022488	-1.57836057442876	18.0074141358986	13.8580064348545	-4.6508365916673	19.6650154907212	16.0489269812607	-4.32906480515912	19.6518875954857	15.6452964825812
EPOR ETHE1	-2.49414080853538	18.8710323281803	14.9807550092179	-3.46730562502149	19.4455034675367	15.1009484240628	-3.9166520877948	19.7847852902778	15.9306965661819	-3.44362822545289	19.5560020420878	15.4239023405971
EPOR F10	0.0784478798380134	15.2594041817301	11.0930544555813	-0.470108771332908	16.3004606699382	11.8881601350347	-0.058630510345232	16.242433425777	11.8416857041756	-0.177644327582394	15.9161440447989	11.6538233517299
EPOR F10.1	0.149284114439252	14.7336103983108	11.3667109171214	-0.276132254671741	15.8299213948444	11.6214337108584	-0.113383027281905	15.6761465017307	11.818181768551	-0.0889290592144403	15.4768551190517	11.7239737962492
EPOR F11	-4.83446004985398	20.2833141958368	16.100117834991	-1.21400535947942	18.3514677684634	13.4523118729389	-1.83532058170622	19.9494947466961	15.0420266690431	-2.36818077393049	19.7940902145446	15.1259168401159
EPOR F2	-0.515181651674038	17.7687135834851	13.8411962299834	-0.505030964252051	16.5365692513194	12.7623299933357	-0.691320595747087	17.6227115871604	14.1363395317187	-0.557365591044557	17.4519592745314	13.7181051323538
EPOR F2.1	-0.555957692834315	17.9580886281768	13.2284062630922	-0.302281593072747	16.144309734157	12.2856939854113	-0.753084193095861	17.4660449676595	13.4747490574854	-0.49253860044418	17.3299827390457	13.1575459757315
EPOR F3	-2.39882603154649	19.6053331869781	15.1868332118922	-1.94304565578836	18.4053643874545	13.8674227668083	-4.72231052087607	19.5359407518975	15.7356971276843	-2.62544793691383	19.3713593017438	15.1431523391333
EPOR F5	-14.9545342991508	21.6600234179398	16.7565367500627	-2.91514669904973	19.4394141493513	14.6314560309119	-6.63040938208919	20.6053091603081	16.3503261907881	-6.14716544458283	20.7018578145077	15.9472293173554
EPOR F7	-3.31480093741685	19.4423084361344	15.2396989957137	-1.84562344352407	18.9038992657089	14.4132092217625	-3.34722401966357	19.773032386565	16.055555105917	-3.19053912565688	19.6371215359535	15.3754181221764
EPOR F9	-6.52083801168324	20.2182108172319	15.9751545703302	-0.638676896961436	17.6478636880581	12.4965270841802	-2.23421975286781	19.8743568374019	15.23827499506	-2.58367489501341	19.3952440810927	14.6840075089427
EPOR F9.1	-6.27589273360699	20.1166530791402	15.8160438175794	-0.58220942829492	17.1050876104376	12.2757580626669	-1.75306752246524	19.4521241200721	15.0343688657461	-2.44447188393274	19.1904811741482	14.4989844588715
EPOR FABP1	-21.8019571211922	21.2352383374038	17.1298734697178	-3.39402927092763	19.1536352613416	14.7325953061157	-7.89855928332527	20.7049018260645	16.5734598871229	-8.16619374789248	20.5458718595154	16.2997331702627
