protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ERBB2 ERBB3	-2.23487007095522	18.4272204865784	14.0043858053906	-1.75185092741328	18.9728134939449	13.5534303444798	-2.50682173918276	19.4629824211555	14.6039748609982	-2.19123440358665	19.1254301427386	14.2298669188435
ERBB2 ERBB4	-7.06040264954262	20.3820070336292	16.3271752103179	-4.04705278181387	20.3634405341352	15.1697373276086	-10.0005380774729	21.3574864856483	16.5391812713673	-8.08635863500326	20.9231588324855	16.2437922559315
ERBB2 EREG	-6.74892293802557	19.9259361695207	16.0824716340817	-7.3788393948589	20.2147168953189	15.7970215207914	-9.61372246775734	20.6951189966152	16.618588027381	-8.96229746910265	20.4921331775188	16.4578693861237
ERBB2 ERP29	-3.00605862002693	19.6374757925286	14.8340136616465	-1.92025670603046	18.5120217565798	13.9241707726449	-2.88777403883086	19.6079086485327	15.1198148896414	-2.33636098079077	19.3517515722116	14.9079344772587
ERBB2 ESAM	-0.770205895014497	17.5675472957915	13.8677406476979	-0.441103845182217	16.6887300398596	12.1712948670776	-0.752868283364289	17.7132702083315	13.566108151808	-0.600092346387837	17.4810573660898	13.327943847602
ERBB2 ESD	-3.31562599519819	19.6516364774779	15.4610554583777	-13.6883285848042	21.3088127687288	16.2117409313436	-9.80928505064145	20.9618131946585	16.4240849979076	-7.36675402834551	20.8667930551679	16.3232648450635
ERBB2 ESM1	-1.44682408297841	18.3204689590311	13.7323073064183	-4.04152029554144	20.2802726811364	14.7537024157311	-2.70266391977433	19.6201398863212	14.7890064771915	-2.61065493602917	19.5777646970808	14.5052283968862
ERBB2 ESR1	-8.47699568245122	20.4296218290294	16.4987029239804	-5.66929608886587	19.2320711785681	14.9957020639167	-6.25642962123925	19.9648074988696	15.9304761417383	-6.88663467057719	19.8806888405269	15.929403374813
ERBB2 ETHE1	-2.86131220928777	19.3622618947944	15.46358463167	-10.1956354318304	20.5699801190613	16.0362520806603	-5.83595349900679	20.3468816673451	16.1598972194304	-5.8119093050404	20.3197508411189	16.0967222377973
ERBB2 F10	0.185468987232222	14.6534935534945	11.0772373183505	-1.42073036055771	18.4136900094664	13.1153956388259	-0.659236274946546	17.2329590450496	12.6489623720061	-0.42244323202984	16.7982184888849	12.3242308291854
