protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ERP29 ESAM	-0.802251928554607	16.8165409727427	13.1962609910797	-0.018540505207002	14.5424008162728	10.2229351656988	-0.333167053605841	16.5770163872207	12.5811467118566	-0.393878352263279	16.1086210430441	12.1375577543269
ERP29 ESD	-0.935394925227421	17.6230709844756	13.5463647025232	-1.72462107305729	18.9653114040165	14.1389354056582	-2.61906824723251	19.5546464368212	14.8549239601758	-1.62586893778646	18.618358018324	14.3664501064633
ERP29 ESM1	-0.478198746976594	17.1461507895137	12.9541044998421	-0.947325596085701	18.1951918212457	12.9900269354305	-1.03725664602227	18.3382141468074	13.5716452066394	-0.806487068655563	17.8528742052021	13.3269453555648
ERP29 ESR1	-1.06379269213567	18.3431297395402	13.9364368828884	-0.513119115987126	16.2415877673476	12.6048986931422	-1.14775341118503	17.9836785476551	14.1580541303576	-1.06209634032436	17.6955824611756	13.8448124278258
ERP29 ETHE1	-1.35732679178859	18.0758832563596	13.7685460812278	-0.779766480594793	17.5756665230979	12.9881030570819	-1.26111859206961	18.6629206008011	14.3712246310391	-1.23948797344448	18.1187217583041	13.8902883185896
ERP29 F10	0.0822377438488531	14.589085000944	10.7074191847022	-0.225383344598601	16.2797920413361	11.0473038050441	-0.439342866415706	16.5884021576487	12.1154425374254	-0.124528298299857	15.7607621938252	11.2966725562248
ERP29 F10.1	0.0168242788123412	15.1450562525712	11.3166391275315	-0.358995408387977	16.0507491336737	11.1523646218933	-0.413053654934091	16.5616890539014	12.2736911604064	-0.195743488035559	15.7545884443992	11.5657569234461
ERP29 F11	-2.59922777171158	19.5541965286203	14.4284809126713	-0.638273732567481	17.237158350007	12.5836430328776	-2.72209022325659	19.6219095467248	15.1121936328689	-1.84774033773498	18.9340464445941	14.242000095979
ERP29 F2	-0.499048922129081	16.4908345997001	12.9054184531324	-0.0403803426609994	15.339139579505	11.8104761328642	-0.473897151466449	16.7796713488151	13.2710501839146	-0.313441332986677	16.4050353410767	12.8088159241378
ERP29 F2.1	-0.376632511583243	16.5473249832907	12.5316883187851	-0.897126156968407	17.1146405142952	13.0100171227974	-0.849972730825121	17.6159594896278	13.3758925107553	-0.685051694545678	17.190805089307	13.1550820451325
ERP29 F3	-1.65611952926416	18.6906985652072	14.5820531960645	-0.693535701962607	16.7051017784424	12.6373795937481	-1.58254047175397	18.0751082864894	14.0532104538974	-1.31727305149883	18.1264815746586	14.1168121285057
ERP29 F5	-2.13248269292962	19.2497838780458	14.4183484714504	-1.21297438892977	18.4767648417794	13.8223897691292	-1.90136907780011	19.4240791204073	14.8840876616871	-1.59730988938839	19.1521976256744	14.6133843124141
ERP29 F7	-1.8103399955329	19.136550580742	14.0242975076651	-1.31228240050064	18.2798219324854	13.7824440492083	-2.85046908022041	19.4742685639763	15.0671375047608	-1.9362479096116	19.0767942716017	14.4710940893783
ERP29 F9	-3.16258435918698	19.6621720996923	14.8190782938943	-1.04685880061051	17.9146081400499	12.8524192808172	-1.63736570602004	19.486696924421	14.7889120026077	-1.70784513669265	18.8723820421032	14.0997165955951
ERP29 F9.1	-2.38145577147779	19.3026467323998	14.6621945225371	-0.73974963931516	17.3631986795918	12.6749100689367	-1.29247647175692	19.0529810817512	14.3920934020022	-1.38521039533197	18.469564042417	13.9411092528803
ERP29 FABP1	-1.60223211064818	19.1160539537516	14.4744088781045	-1.72176804774023	18.8352579253684	14.0870021092529	-2.19469378047155	19.4415464840899	15.0067658581402	-1.79211765748015	19.1696675895153	14.6499471170282
ERP29 FABP3	-0.810669737359266	17.2733896831743	13.1058092580788	-1.97797297229049	19.3030741246403	14.3197514662701	-1.43827222317634	18.7192060679145	13.991524086024	-1.46293134174149	18.537393696642	14.0058953520299
ERP29 FABP5	-1.79898721588002	18.506238155172	14.0764569129126	-1.09222159771585	17.8972704765612	13.2169270664911	-1.42917438979935	18.5108831829359	14.1136258482791	-1.46620141893594	18.3099171253296	13.9794194835307
ERP29 FAM107A	-1.92609413360611	18.5272079166148	14.160395569742	-1.22941715559032	16.8825495352791	12.5644606755446	-1.30296057426088	18.8247244401136	14.3310025428803	-1.91431354577324	18.0635940451844	13.8330115879803
ERP29 FAM107B	-0.772263970730019	18.0073536526315	13.2587197512541	-1.17898847226511	17.6962575172557	12.8721091571249	-1.03147808749676	18.003482534803	13.6935045475155	-0.854034200486882	17.9153962430487	13.5035620747012
ERP29 FAM3B	-1.88663191023688	18.5383656916521	14.3828633221173	-1.54397236820089	18.7314849036033	13.9735617234501	-2.80174212144499	19.6883165749994	15.1133223250706	-2.13867530604458	18.92569724738	14.6122160319327
ERP29 FAM3D	-1.71227944272403	18.2574777239046	13.4733207522543	-1.88954114715081	19.1017639885382	13.8742037602678	-2.1534510571992	19.2139231018994	14.3745840073115	-2.02657031466094	18.9877987569324	14.2478258336816
ERP29 FAP	-1.20818444313905	18.3450183958985	13.8995358337508	-0.246778198537125	16.4661021761459	11.7008609818196	-0.863849534898422	17.7489351156899	13.4604249133329	-0.801213945915261	17.6506479159079	13.262994590111
ERP29 FAS	-1.17897537200791	17.6879243286758	14.0104588030794	-0.734475016829156	17.0982726303897	13.003171087407	-1.2068252543166	18.2251920964199	14.1500274401673	-0.943990245741962	17.5797440929262	13.7709393315189
ERP29 FASLG	-0.611584799609701	18.0163934998969	13.92183096379	-1.20723394185382	17.8907434510211	13.4052807204222	-1.5205784075933	18.3945864918904	14.3169020325642	-0.978125723467878	18.2217398231641	14.0822550101
ERP29 FCAR	-1.48590561837366	18.5793305861142	13.5508930652897	-1.46064699705119	18.2518044645986	13.5319343229403	-1.58004777495428	18.9023268047726	14.4735630524981	-1.57388350317709	18.6293224669732	14.1231009272353
ERP29 FCER2	-3.01280105386419	19.579507095777	14.7030945550957	-1.34974405323683	18.4260381680408	13.7240726580376	-2.88579131737069	19.6093218148591	14.9353727875825	-2.24811840517802	19.3183078532415	14.7090108311866
ERP29 FCGR1A	-0.94087541525682	17.2785457882701	12.955717166967	-0.920505024697172	17.2056235086225	13.2759408510109	-1.26246929708643	17.8372529840643	13.8110393623658	-1.12491391752861	17.6358481006123	13.6184075526512
