protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ESAM ESD	-0.101235957126486	16.1018343382004	12.6605374675476	-0.571014619033171	16.7795307805555	12.2519483250281	-0.644553898463939	17.427004702756	13.3691856832078	-0.453695855796083	16.7233668123361	12.7880095283488
ESAM ESM1	-0.43951854904697	16.5640998802114	12.779563457973	-0.514684495882509	16.585606664464	11.687789857908	-0.530665728651927	17.0494491151465	12.8004566140642	-0.56515866410149	16.7050806545466	12.6445867939952
ESAM ESR1	-0.84273062850465	17.5908081002924	13.2842238931283	0.0641755766640386	14.9740016744652	11.0251375575591	-0.412387775792084	16.6558732767059	12.8189472384574	-0.309204922421071	16.7388213727963	12.7385825800355
ESAM ETHE1	-0.212101966986783	16.5169903956906	12.6697873593022	-0.271698511161534	15.7562916721197	11.5970582809791	-0.140833161357699	16.3459338982523	12.2855213247969	-0.428614716420511	16.5510996029073	12.6265146826326
ESAM F10	0.328370416117405	13.8879111492913	10.3551409723514	-0.111371741076232	15.3569565099233	10.8339079937728	0.0452340653555794	15.150731361333	10.9926223101502	0.141578062689752	14.8914212106568	10.8965748476951
ESAM F10.1	0.304813623818909	14.1096879903689	10.8181491548896	-0.105776574055074	15.0486402181561	10.9092260293597	0.0491208119117159	15.0958496122441	11.2821613643623	0.0890538743827978	14.8441505618691	11.0755501163187
ESAM F11	-0.364713147561387	17.7938188637354	13.3855757438275	0.102627360149307	14.7476893062829	10.6568154823281	-0.278640781450941	16.9178685267969	12.5908042978154	-0.202048649091036	16.7399075681833	12.4389091533638
ESAM F2	0.272178403771188	15.6056020565243	11.6870019764504	0.111168750187762	14.2206781268652	10.1864102591106	0.162553761165923	14.9515350447871	11.2839726582015	0.197792911102523	15.1487229569909	11.2574014563949
ESAM F2.1	-0.0971227771682643	16.4669489667044	12.1011297451774	-0.0482142688011207	15.0024240291034	10.4671134965419	-0.110805807086539	16.0129421763055	11.8678132995248	-0.102482744918793	15.8796255252026	11.5759307703106
ESAM F3	-0.669119008116161	17.114452065561	13.178757171024	-0.00111107923660247	14.5595508248076	10.9095244204912	-0.323504328413948	16.6666125003068	12.532134312068	-0.433688222055189	16.5323490454504	12.609223779535
ESAM F5	-0.750554844217431	17.5929824059055	13.6976429365089	-0.264549219211843	15.7219279804324	11.231028755048	-0.43432449903144	16.816120907165	12.9663908787824	-0.493099057709116	16.8688710350795	12.9188794222493
ESAM F7	-0.762841587732611	17.8046282500723	14.1513173002146	-0.131784829242902	15.5377838714682	11.7488257767982	-0.489952832288608	17.464911641951	13.60177867986	-0.539872978957904	17.1323332994033	13.4156679666582
ESAM F9	-0.873193027727066	18.2124633651916	14.5865826103677	-0.160865933117058	15.496787026213	10.8762192500541	-0.631500422934067	17.3630337882196	13.2340110921081	-0.558090554303215	17.1222328323253	13.0669594607345
ESAM F9.1	-0.803908971803637	17.9285497571347	14.4184163546559	-0.188479467214649	15.4641172052721	10.6455395462666	-0.549078675780481	17.1717713775988	13.0228487991105	-0.556030738655879	16.9829563652586	12.8490774694648
ESAM FABP1	-1.38132039138643	18.294725231446	14.1835781790844	-0.457185168849645	15.6756545449194	11.4283624087049	-0.73636616334687	17.6298436943608	13.1895975870417	-0.783092358475907	17.3684570151958	13.1995749019034
ESAM FABP3	0.137217440064306	14.7357768244886	10.9599140674476	-0.305700333498301	15.8611893716365	11.6606027071261	-0.136583260043016	15.9954031935702	11.7394723613388	-0.0974479872485594	15.7914640835685	11.8079200482566
ESAM FABP5	-0.403811393245078	16.1744253886434	12.1241775258523	-0.228215671521863	15.4172781915447	11.1538081613888	-0.302063212107681	16.1080047080983	12.1457330249108	-0.403075136421074	16.1600107838084	12.0828242394195
ESAM FAM107A	-0.509888694872886	16.5166350992683	13.2726323391301	0.0496921596396465	14.9333792933006	10.859279223132	-0.19112501948251	16.6161126885519	12.8235224010422	-0.304999103740998	16.3611293031709	12.599366995633
ESAM FAM107B	-0.554114098884305	17.6395278859024	13.4721122657753	-0.189415784872758	15.5028102648829	11.2965288583001	-0.241434846606555	16.825642859367	12.4973480900346	-0.461077693343097	16.9127004428384	12.7639728434546
ESAM FAM3B	-0.981013465426523	17.7752331551433	13.6012467625819	-0.565561235894408	16.7175059449401	11.8678894426571	-0.747911527299844	18.0228497125311	13.6022303084613	-0.795932750864129	17.6737678719569	13.3033559618283
ESAM FAM3D	-0.789816211371845	17.0427336788334	13.5273692637597	-0.514013416836419	16.8214201890059	12.2802329600081	-0.932909749405173	17.6371153137715	13.6561471709571	-0.745739950140917	17.3662183657125	13.3594929404129
ESAM FAP	-0.379125627618847	16.2478728367749	13.0482728712177	-0.537034990682472	16.5786785184198	12.0846221590366	-0.570541789511812	17.0592982678796	13.3064473926202	-0.398752411912169	16.8313962325092	12.8627995992455
ESAM FAS	-0.252333645765784	16.3935013066831	13.0164081717036	0.0416523392985904	14.8013844718008	11.0110947446606	-0.0509502240090529	16.3111138439075	12.7432220749555	-0.125168374917336	15.820218192544	12.4243986848213
ESAM FASLG	-0.461812683414391	16.9024130224765	13.5534784700479	-0.25458368688436	16.4617277385923	11.9199393469782	-0.463155132819377	17.1705484115043	13.2892353159003	-0.310900375519911	16.9687743275188	13.0429067837315
ESAM FCAR	-0.690634744240498	17.0855827636631	13.216644489353	-0.293820815049041	16.3743721937844	12.0562780268369	-0.507644036284768	17.393170267132	13.6400623625654	-0.554845762224778	17.2412049709098	13.3423470588473
ESAM FCER2	-0.738156466557515	17.6921533710758	13.2159369891487	-0.325457854116697	16.5601431059148	11.5811577634787	-0.721517786905848	17.4170432280377	13.3134733287144	-0.611191713494598	17.3307138242924	13.0176780246896
ESAM FCGR1A	-0.78397421747037	17.2607776215075	13.5723160333821	-0.412476109399719	16.4000683838809	11.9850447571077	-0.39058186946393	17.0688208258819	13.102139625073	-0.617286263901633	17.2152751713888	13.2100465594659
ESAM FCGR2A	-1.17761604420093	18.0452151353302	13.9096845698731	-0.466457419683274	16.8556666731408	11.9456899992336	-0.632404964622598	17.6796520222403	13.5359922569454	-0.788182273240682	17.6478177740342	13.1740695508636
ESAM FCGR2B	-0.825090047150131	17.756751148318	13.3456197265022	-0.458902197947934	16.6790112497727	11.8725870148896	-0.707832528127921	17.4098119231466	13.1775381257956	-0.719028808294238	17.5271745489315	12.8288130518462
ESAM FCGR3B	-0.394403027115038	16.9092711197195	12.8401313782711	-0.295979245550072	15.4842204744561	11.4287318614805	-0.313070360179232	16.8104680184478	12.637068001194	-0.388668793222304	16.9155570943575	12.7555534319424
