protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ESD ESM1	-1.21942144665438	18.060132776812	13.5095044384677	-3.97268891010197	20.7840500148263	15.0389790256435	-2.67530074506341	19.8171930676826	14.7972329025658	-2.40538460274234	19.5072307393184	14.5261233930888
ESD ESR1	-2.06620766894461	19.2500624355752	15.404962760564	-4.00875533830714	18.6800565881859	14.3009607386013	-3.28314855430582	19.2626781500628	15.15861535418	-2.98793244225836	19.1331286642905	15.1409201768559
ESD ETHE1	-1.01472335215983	18.0258050808539	13.9231042725706	-7.35087642982362	20.4182519803876	15.5886648647234	-3.23200430990863	19.5589398932829	15.3833833325878	-2.34697089375404	19.6858148769802	15.1047024210672
ESD F10	-0.180748122767241	15.513289882085	11.5681875081069	-1.23810542876022	18.124719974131	12.5689087431919	-0.681420544564787	17.4986345384095	12.6929825804982	-0.621882730433089	17.0929118825333	12.4108726469714
ESD F10.1	0.158276880831059	15.2440691068674	11.6327599003826	-1.23992179257267	18.2523157286286	12.8795921762197	-1.00979067168344	17.470423350889	13.1961097176326	-0.603516839467602	17.0748929530644	12.7834796430743
ESD F11	-2.18411211207431	19.3244987630281	14.761871562613	-10.0844897386183	20.8736408270542	15.7082055423636	-4.73126247332205	20.9344593435223	15.7794629202743	-5.38789604195367	20.5866239332665	15.7551189418576
ESD F2	-0.189671584297265	16.9255536160524	13.2578331364731	-0.943730084752293	16.5353637976515	12.4545070255489	-1.14857885319897	17.7075296500038	14.0064967722953	-0.482613691612248	16.8915603950891	13.2154317310967
ESD F2.1	-0.300902937763784	16.5151888398069	12.6342251394386	-1.92714400268866	18.4409719686269	13.6658889503212	-1.21074195245379	18.3152386295871	13.8398030357418	-1.02426665022285	17.8475515788261	13.5865372918041
ESD F3	-1.89413923100725	18.1735367203579	14.5279908166743	-13.8672464954314	21.5168428423492	15.7912468854156	-6.75611957850681	20.6072552801229	15.9422450716594	-4.71969287298616	20.1516606514744	15.6361156879787
ESD F5	-4.80194227986719	19.323289982824	15.3614402980103	-18.3584949917183	21.2896699977046	16.1502935612986	-9.49772156847533	20.8194927576105	16.2455192358942	-11.3345946064299	20.626098636132	16.1769753697078
ESD F7	-4.21803921070897	19.7734188101283	15.4498670017357	-12.113735366607	20.9389045248488	15.8922107169307	-8.9696865137304	20.9337414181116	16.3363560291413	-7.84831638308065	20.585195729236	15.9955509806017
ESD F9	-2.82220546760333	19.4699258169891	15.3165442765504	-1.79672946770404	19.1129798232104	13.4331509791746	-2.8576890900424	20.3810728532594	15.4326307940044	-2.64042642863197	19.4156437011479	14.7026741405222
ESD F9.1	-2.50221791345419	19.3537628020604	15.1952316200887	-1.43414207062632	18.6774648373001	13.2010937747244	-2.76701667750915	19.8787459896937	15.1575070089027	-1.99907011178207	19.3106556437509	14.5250053958855
ESD FABP1	-3.17666157387315	19.4026657327344	15.5155565968811	-18.8572331770427	21.5317270749005	16.2261678020282	-10.6624784070975	20.9698629002755	16.2370406100156	-7.51630104758968	20.83060540902	16.3160473410077
ESD FABP3	-0.568549508516316	17.6191609510083	12.8208989378159	-4.46229721170498	19.7667467448583	14.6620790352449	-2.21807942033207	18.9961618905789	14.3501779443102	-1.81852436988576	19.2223713529039	14.2775852648488
ESD FABP5	-1.17444464453108	18.0566860105105	14.2196339986986	-5.98095460481245	20.464597238079	14.8452993761206	-3.86123836164918	20.0118656416251	15.2735598885074	-2.96110783281639	19.5181163939994	14.8705870891384
ESD FAM107A	-3.40182590713298	19.2290845148173	15.1264499328934	-6.0906892998436	19.8644988725274	15.4183448557393	-5.66053385859217	20.2500885817901	15.6165607448004	-4.92357429655206	19.8961719187774	15.6040161402111
ESD FAM107B	-1.13874540578349	17.9002641119608	14.4034303150612	-4.36358227614694	19.4955740658279	14.4970961723302	-2.24960382991887	19.0491862700306	14.7626417883194	-3.12279568623152	19.050169539412	14.8372824285838
ESD FAM3B	-3.30022443928137	19.2484087090198	15.0901836534418	-13.5065682898059	20.939161172452	15.9569881081051	-6.98258040071395	20.8214555956063	16.0773079506467	-6.78578003524404	20.3327303710078	15.8392334133216
ESD FAM3D	-1.64333042858425	18.5084208271345	14.3420335184767	-23.6238264035312	21.3135843155388	16.368148834617	-7.09788894763756	20.5441760210003	16.0568224285682	-5.6049996133212	20.2963771485198	15.8483213907542
ESD FAP	-0.799002725646741	17.4601029393431	13.8098523314255	-1.19757800171972	17.8534920472112	13.1247037394372	-1.05696593597133	18.5400281880655	14.2434870434957	-0.963834059516826	17.9241979615861	13.7238072715134
ESD FAS	-0.292386082769981	17.0608940618632	13.1692437248617	-4.87427800183127	19.6300974040767	15.2645717262872	-2.50530069049014	19.0508929488668	15.1678609085252	-1.34391811741795	18.6415973646494	14.6125745426139
ESD FASLG	-0.828612886869599	17.7268900509566	14.6727196033126	-5.76742715940055	19.6992965050224	15.2215841730321	-3.42010573807734	19.3417367017916	15.5475551875449	-2.79096259605959	19.0804142796393	15.3880705041334
ESD FCAR	-2.60072313896155	18.9426707277191	14.6515167031598	-14.5316097900782	20.6173181880183	16.0754665860241	-5.55110887847905	19.878796267421	15.6568365152207	-6.06686690932223	20.1383695345919	15.8718449225006
ESD FCER2	-4.31784303497168	19.7298460690728	15.2522974255629	-7.03085299921776	20.0868299441969	14.6606981950493	-10.4613409858225	20.8682320892903	16.0430599218875	-8.73242725614806	20.3863720247247	15.7440088599536
ESD FCGR1A	-1.84935015172925	18.7201392839632	14.1312897018946	-4.86648359461388	19.1348069106524	14.8815669062481	-3.11306115731581	19.1302260216582	14.7076959646224	-3.43686478176256	19.3241163394733	14.8967279916694
ESD FCGR2A	-2.45948802604291	19.1989256313677	15.1076730609337	-6.23696919904114	20.5457929275222	15.2924236508725	-4.08140557098329	20.3571188507107	15.6162640377962	-4.34622958314584	20.156352887319	15.5287900952767
ESD FCGR2B	-4.15693658419801	19.7860077026885	15.4156125811066	-9.50323777099827	21.2252663051483	16.1040082137535	-4.45894989407659	20.873219808141	15.8903768817015	-5.82385358898228	20.8060295753837	16.0501873046646
ESD FCGR3B	-1.74856504502966	18.6975135564721	14.6928639966556	-2.0799231306712	19.3983163070023	14.5760352914871	-2.62811191751438	19.5066661406927	14.9739100925275	-2.38336783315722	19.5141520362069	15.1903559079801
ESD FCN1	-3.2109237982582	19.6725957893278	15.11874392273	-19.2574456790214	21.8108598980692	16.5013521514484	-7.9805894242997	21.3294547227579	16.2436931309948	-7.95881399398676	20.8602639737444	16.100947212204
ESD FCN2	-2.41115410496915	19.8044996766493	15.1188578887096	-7.77825595362999	20.9827479098475	15.4422834794012	-6.60590129569811	20.9912033881589	15.9393786807629	-5.38389020502268	20.8426289760558	15.7795972212358
ESD FCN3	-0.357102396644021	16.7829283913047	12.4060626054579	-4.67976583902817	19.6307245706504	14.6838708352208	-1.38101247862463	18.5263861465482	14.0600807150199	-1.4165986993676	18.4889228349485	13.9601593122668
ESD FCRL3	-3.11069683680945	19.549751522711	15.3923895914464	-11.9665712226788	21.1214035867354	16.0029866301977	-4.83510561981862	20.5758900015274	15.7869342663722	-5.32157481466405	20.4894333132266	15.9658923411628
ESD FER	-1.28646047264497	17.6598664028042	13.9434858732041	-22.3354502732532	21.2721643017536	16.2785072061468	-4.78428128977224	20.630285413431	15.88477132824	-4.36446293857303	19.874445326146	15.5323606923376
ESD FETUB	-3.27568558405683	19.5300896684232	14.9104419892551	-9.2352902616048	21.6967089963256	15.6452098665286	-7.90078931612487	21.3070628676722	16.1336488855252	-7.80508667503247	20.7536403107302	15.9290851789184
ESD FGA.FGB.FGG	-2.38372270119472	19.0141716225806	14.0627711152599	-14.9400147903706	21.4132991698542	16.1311076988132	-7.22163549245312	21.080317565595	15.9189891634648	-5.671004674204	20.6466215529182	15.5774519655554
ESD FGA.FGB.FGG.1	-1.43981519208354	18.2991600704268	13.1819982973099	-10.7344953916353	21.1153107103292	15.4503258522485	-5.46828656065716	20.6417228006944	15.4527770781025	-4.11594869188377	19.9556286668818	14.7269715118692
ESD FGF1	-3.16379486720468	19.7802698430292	15.6974922483434	-16.4342803394675	21.2537780896097	16.2554562302034	-9.93689774073937	20.8678990414038	16.3417529152257	-7.19927466765582	20.8695879136951	16.3723932861987
