protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ESR1 ETHE1	-2.52929815306777	19.6025192273978	15.5487373026627	-2.56273051794185	18.3524927284957	14.4697224089845	-2.65358897418128	19.0743321518773	15.2645375978672	-3.65622093994087	19.4445728340176	15.488493598898
ESR1 F10	0.122629540718527	15.2029225861129	11.0631683416127	-0.267461741104433	16.0396074519313	11.4684039445853	-0.0213906646299624	15.8189668634437	11.5545396835086	-0.124324142560772	15.7621568083214	11.5154529773867
ESR1 F10.1	0.095083397847201	14.8690863307687	11.0313763629174	-0.674632294572512	16.627835569306	12.2766686516185	-0.00130175736377169	15.662048047376	12.0059369069813	-0.268601284899828	15.8049734247963	11.9963248437662
ESR1 F11	-3.07754702038364	19.8692419361109	15.4714810666457	-1.61327150160176	18.3048730191988	13.4495094586366	-1.57388999703345	19.0832460049732	14.7892535212576	-2.20783134385998	19.1928160247205	14.6947575228367
ESR1 F2	-1.90325622518426	18.8278829269133	15.1571073321942	-0.223077920348983	15.8493732287018	12.514020586682	-0.807194887459674	17.6264927964641	14.2737537732706	-0.864691876280836	17.7665920415627	14.3071754908179
ESR1 F2.1	-0.271975181146918	16.9444838277418	12.9339146935155	-0.70454010700657	16.2325091950604	12.2299788356348	-0.191104874348596	16.8541245926661	13.0632376784844	-0.252353033203793	16.7974137399568	12.8475092988196
ESR1 F3	-2.75716566731197	20.0308036981027	15.8170035705885	-2.12701758341231	18.5597072233095	14.0394267798902	-3.37470042197607	19.5897781933907	15.5830169376747	-3.06155288123377	19.453410068877	15.3710466731219
ESR1 F5	-9.85406886383467	20.5640496075034	16.6246461866324	-3.60326241466825	18.7665778038986	14.7048773071517	-4.60283387493541	19.731271463852	15.9090650998822	-6.48345535081122	19.8945109364296	15.9158112824869
ESR1 F7	-4.19786711074679	19.9635052454855	16.2235718886102	-1.908377979614	18.0198033408128	13.893244732703	-2.48896768834681	19.0220905080258	15.405597580006	-3.04232735249417	19.2799579872838	15.3007373143734
ESR1 F9	-5.28878923969512	20.318632623831	15.6951392520193	-0.720606826103272	17.4226931179912	12.4803723303241	-2.32006556236232	19.1730576760102	14.9930495772315	-2.40075716088412	19.056575382339	14.5247790400376
