protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
F10.1 F11	-0.0581197131644351	15.341208116985	11.83938043872	-0.819778996322126	16.8047287315613	12.1950185672661	-0.154251333385357	16.2222327596542	12.2904676317282	-0.494578635386253	16.4635092836258	12.3825218623035
F10.1 F2	0.31687015413862	14.1115379358679	11.1272650049689	0.00265582955110055	14.9222457963527	10.8585197633234	0.0756141474339697	14.9395988260155	11.7705625336788	0.106908792075323	14.7486278386986	11.3610565702992
F10.1 F2.1	0.0292301530966596	15.3377473145757	11.8901123599613	-0.247682619119957	16.0960262878322	11.0371079068858	-0.200898418267722	16.1466124200053	11.968219616509	-0.168210642432636	15.8748473829003	11.816218107257
F10.1 F3	0.117851399132916	14.6294641777326	11.0227048837228	-1.41360998933634	17.7162415887043	12.5983320466019	-0.54391356341337	17.0112152444032	12.9000387565263	-0.540925685264298	16.5724572376304	12.3066692814877
F10.1 F5	-0.245748588484624	16.0336898028045	12.1528995818406	-1.85576133653749	18.3624485333657	13.1029104261002	-0.686969355613921	17.35748995377	13.0077140867325	-0.825849474247531	17.3501471128458	12.9404754000262
F10.1 F7	0.133218854554984	14.851870832667	11.3624033674205	-0.766342982471322	17.2173573610667	12.4396080515055	-0.183754377906375	16.1725252363387	12.0924033499661	-0.239939955779453	16.2106202839487	12.0696803634536
F10.1 F9	-0.0704010376214186	15.2080219925088	11.9583598880747	-0.0710467992439681	14.8872990008596	9.96393977627099	-0.0460825443773336	15.5417650661197	11.4277343729654	-0.0355769250404017	15.2043523425924	11.1968383821717
F10.1 F9.1	0.0214555650702586	14.7830702018642	11.796342494673	-0.030858157977272	14.89421989049	9.8510128980419	-0.012120525638315	15.2323017975664	11.3993259195483	0.0333447104071682	15.0273855562238	11.0321023221244
F10.1 FABP1	-0.25056505061303	16.0735159495429	12.2673591991799	-1.43680412015435	17.8327641819686	12.9988961242122	-1.04289360601271	17.4722505222362	13.1733754735631	-0.820647072891473	17.2660032292113	12.8452067659348
F10.1 FABP3	0.0266625746626064	14.4459429770277	10.7766343431182	-0.664058748064733	17.1097945975386	11.8668981704196	-0.212992732334729	15.9439823809834	11.6104144096013	-0.410923876563742	16.0971713563193	11.7842863476826
F10.1 FABP5	-0.163980395870001	15.9683982388668	11.981912753777	-1.02335651196137	17.6191621109018	12.2902844781952	-0.614820445801971	16.929443369734	12.4322567541099	-0.541584732295839	16.8796170569868	12.2888607897306
F10.1 FAM107A	-0.318869077874905	15.7655887490514	12.440470510553	-0.288746497433665	15.8295426252536	12.1586935404317	-0.200201291757891	15.9878990170791	12.4784680273976	-0.313569064994255	15.861044945918	12.4583203418838
F10.1 FAM107B	0.179315552830467	14.6712691071906	11.4906969799615	-0.970689800751979	17.7255595496781	12.6607060151648	-0.180723680915972	16.5125215818288	12.4687095056378	-0.304842713714141	16.4191739468415	12.438758150863
F10.1 FAM3B	0.213398477718123	14.595916644891	11.308446855385	-1.27313793814985	18.6907218183383	12.9193501689775	-0.474144398306373	17.2535529494879	12.8849253632959	-0.346568370459349	16.7144999225717	12.2683863338422
F10.1 FAM3D	-0.177645650359523	15.5399591144414	11.4912315914498	-1.55199511893788	18.6660153973514	12.9597871107893	-0.807660586330516	17.3338773915291	12.8669301313908	-0.896506663643866	17.2771927695153	12.5783265931219
F10.1 FAP	-0.0748251281192516	15.1054032764796	12.0533067316979	-0.567043245000264	16.4112538477017	11.6480513655213	-0.308674724968481	16.1955926178773	12.1015557958512	-0.433133126205596	16.0445695291262	12.0468751640522
F10.1 FAS	0.206516087714986	14.0014930862605	10.6468000483776	-0.315279400148929	16.0040341163753	12.134787020353	0.065051000621395	15.2827849845743	11.7190048738849	-0.00534359975637577	15.1911366631914	11.678209197426
F10.1 FASLG	0.338366224878514	14.1739891657079	10.7874782592522	-0.432511942366038	17.0213959617615	12.2154946507252	-0.183196183475472	16.1401235434482	12.2268810971002	-0.0767540496200294	15.8160393727053	11.7892724496472
F10.1 FCAR	0.0475843520119299	14.2756191880132	10.6990590494156	-0.902938443504305	17.5653340060613	12.7428749959892	-0.28791053203867	16.2970278270801	12.2687103704785	-0.324429898322044	16.3131525676787	12.2819819449177
F10.1 FCER2	-0.175981572303595	15.5860802455621	12.0072380346962	-1.16447794574917	18.4250371205105	12.498529028326	-0.958087909280758	17.6953942327663	13.2299104895325	-0.615896919454532	17.1857249019319	12.6840213524854
F10.1 FCGR1A	0.0141913851967973	14.6888584076153	11.3423011812358	-0.942078311958999	17.164094580196	12.6403685829024	-0.404524048939573	16.2362276702095	12.3081262903389	-0.458512351152969	16.1811900330594	12.3301599726373
F10.1 FCGR2A	-0.421464387194154	16.3926338249537	12.8238847665803	-1.51077131065016	17.6628833677845	12.8156069118648	-0.765683697065912	17.247682341291	13.0913078500986	-0.770744354484864	17.0498949215305	12.8588553646093
F10.1 FCGR2B	-0.329668710078078	15.7403876095794	12.0530402867229	-1.35167582503866	18.6242153329563	12.9828166796877	-0.701806981892102	17.6652220184548	12.8922826854776	-0.763257145955914	17.2685256741589	12.8128234622917
F10.1 FCGR3B	-0.58843241701317	16.9480719792008	12.977925113062	-1.00973170237348	17.8151816442036	12.8271348316292	-0.813239783555394	17.5952258803597	13.2673286208802	-0.976129826375641	17.5468459554946	13.1609014432258
F10.1 FCN1	-0.228645380150822	15.726143060105	12.1154276715773	-1.74237913393561	18.1398205421764	13.0608468398726	-0.627557732217632	17.1069506981664	12.8191192214251	-0.874932854606831	17.2316589001594	12.8856398981385
F10.1 FCN2	-0.394404822486017	16.1482455422072	12.4826438791427	-1.56732581006411	18.1419257650541	13.0676212005845	-0.79508501383239	17.4306083944707	13.2556305254534	-0.976846612690496	17.3546966329565	13.0370331499553
F10.1 FCN3	0.150054102275776	14.5330624394009	11.0615388355916	-1.27048059958914	17.6994104681665	12.9502113877367	-0.414518721535699	16.4101946997256	12.4587202526846	-0.362483762636792	16.3613213756135	12.1949452024664
F10.1 FCRL3	-0.391713646107875	15.9895207781768	12.6458526690749	-1.35892574097893	18.321831278171	13.2434783050075	-0.922705344547367	17.3159767608793	13.2122998549501	-0.900902597305295	17.3095565361222	13.08818505255
F10.1 FER	0.295500173134029	13.8323015461756	10.7158431632691	-0.738443180490388	17.302241657433	12.5188616391979	-0.232794769301881	16.6959233920643	12.6673531731402	-0.237629726678507	16.025466283118	12.1175010665745
F10.1 FETUB	-0.388973697813017	15.5065495925213	12.4130572884684	-1.02834915839729	17.8169995400446	12.7150710129904	-0.57581661940849	17.1037501608657	12.8308930899444	-0.756791149156915	16.8400364831938	12.7826667145534
F10.1 FGA.FGB.FGG	-0.248512921919105	15.8775615971506	12.2741954921649	-1.23897313863279	17.5287353249111	12.8111324734375	-0.789008116040351	17.140061941776	12.9703284341958	-0.748055982705061	17.0056410606416	12.92131128001
F10.1 FGA.FGB.FGG.1	-0.0581382214364092	15.2635082149213	12.0112860190267	-1.62376731531448	18.0065870976667	12.7683559655309	-0.942631059214748	17.4883404216003	13.0079567095662	-0.703038783208736	16.9588235863651	12.6970024946264
F10.1 FGF1	-0.269658941983798	16.0280034668834	12.5594622388628	-0.750662500270965	17.769696804201	12.7226688345582	-0.579399002145767	17.1090789999226	12.9171363327984	-0.578434992905912	16.9575885464658	12.8250927041225
F10.1 FGF10	0.0997322952690283	15.060045492421	11.3483182296696	-0.372608777482724	15.702403094413	12.0678622379878	-0.046112433277832	15.6653668029673	11.9786231082024	-0.0808965361358025	15.6361142877171	11.9941738968847
F10.1 FGF12	0.309257462045398	14.134235704986	9.9193294310137	-0.846534765516941	16.8088998899435	12.2634013719055	0.0515467457823713	15.7199020537033	11.3499191364494	-0.129950370181134	15.8495872628763	11.4874572103441
F10.1 FGF16	-0.773554615161337	16.6708758829313	13.1389825526246	-0.627083450330759	16.4166066469908	12.0895763776323	-0.796922223948312	17.1414172767924	12.9996123083603	-0.727167540158054	16.677715490347	12.7945378002255
F10.1 FGF17	0.115988101388096	14.1299348013344	11.1075033238273	-0.452171881635946	16.5985463979202	11.7903906373107	-0.00766968965210202	15.7133752548072	11.9331272299946	-0.164569982781438	15.7091187985558	11.9520434930336
F10.1 FGF18	-0.0386980548784464	14.9145060103309	11.6767236030083	-0.0947456983346733	15.70740399848	11.1642326673751	0.0993582357024844	15.5539065694208	11.5835394824425	-0.161475647077715	15.5687012542177	11.7205535723024
F10.1 FGF19	-0.589889119730721	16.3272371035278	12.5044495216566	-1.44104910550788	17.9270210362632	13.0635053318776	-1.14604731017749	17.6118474827007	13.2063976917981	-1.04928081393234	17.402034057585	13.1015391858345
F10.1 FGF2	0.0330254169707839	15.1686363736188	11.6668244795835	-1.4250416865492	17.6459570787002	12.7763202939173	-0.736787410576931	16.923792273966	12.6588732396857	-0.610296549757198	16.8197184612707	12.5667874404171
