protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
F9 F9.1	-13.4000134608864	21.0308635446193	16.9488761697843	-1.49941961308218	19.2308565624535	13.544191497363	-3.43390955056449	20.4593795767103	15.7800427032178	-3.9054558003711	20.1886244077065	15.4102683611966
F9 FABP1	-17.4728143721308	21.4707197183761	17.026612236217	-1.98938207283127	19.3933711529576	13.6384210186843	-5.00700568294567	20.7789287251141	15.7706240728521	-4.5496042555035	20.5780297542174	15.5719135081269
F9 FABP3	-0.95282636307905	17.9959564138376	13.0336465332485	-1.42638936206087	18.6201423182605	12.9586444455452	-1.53757616874357	18.6356757787416	14.0737825644051	-1.52571813815294	18.5033987966569	13.3671781401795
F9 FABP5	-3.0697737997165	19.9509428117326	15.2721870083108	-1.59766294280401	18.6196130533931	12.9079463643123	-3.01791509486109	19.728778368671	14.7100118635972	-2.46598500656841	19.4900062476706	14.4518956639678
F9 FAM107A	-5.91544410816382	20.3449940493866	15.9720356383541	-1.16797650884814	17.8628593664456	13.1631275737177	-2.26481451719578	19.8360937924984	15.1961764590627	-2.94810392834666	19.3843006156354	14.8901165139718
F9 FAM107B	-2.03055246060417	19.0158754412043	14.923257373903	-0.592622550290971	17.2382054811376	12.0041301049757	-1.25197166964599	18.5134166788402	14.0193425531015	-1.20610865174665	18.2084801282799	13.7027345370563
F9 FAM3B	-4.88040002029919	20.3432532302567	16.0551752205849	-2.12171572921568	19.155451702827	13.3583180622278	-3.37356723246258	20.3932256008572	15.4941813708699	-3.05468924659923	19.8783106961028	14.9660243851544
F9 FAM3D	-2.41414487042253	19.4230081135185	14.4059102865754	-1.72534792494112	18.773611776649	13.3575650636685	-2.11615690465486	19.9102673913895	15.0034684545797	-2.6685780484211	19.4282638604169	14.5435690144785
F9 FAP	-2.53365137490963	19.3552321889636	15.0685196725793	-0.784534292299822	16.9748338333476	11.9562699061819	-1.80642288226596	18.5464702738724	14.1347534280138	-1.71015817763402	18.3735212515614	13.7699186611633
F9 FAS	-0.82216907336648	17.8542081570921	14.1502081083528	-1.01573297107266	17.9460249158076	12.9016003158021	-1.4352608611916	18.8552898724824	14.8704232226114	-1.03657104412976	18.1727914444576	13.9054786636008
F9 FASLG	-2.34407975113912	19.2850537585271	15.3505660238277	-1.21191015996603	18.4504274296756	13.1745237787208	-1.60926604828784	19.5659695253292	15.0854767344079	-1.58967787381611	19.0085539403286	14.4995206752221
F9 FCAR	-5.38258032872195	20.5424326865109	15.6087096224997	-1.07766508325403	18.2940892836448	13.0942654580633	-2.65963838208487	20.3134566466284	15.6488739583945	-2.64978661956563	19.4800267878286	14.8640441538923
F9 FCER2	-10.5319717278093	21.8885953943013	16.3420313005035	-1.15168239885954	17.6726320513714	12.7021151441273	-3.28916531136024	19.6323370198131	15.3504801031723	-3.73856700083893	20.0083875700344	14.826909196798
F9 FCGR1A	-3.16387904165817	19.362612080486	14.7007023448461	-1.3586682070278	18.4544943237189	12.8491940121231	-2.10585629043878	19.4440564268422	14.6707008913965	-2.11986374298147	19.0487892793785	14.0965131307196
F9 FCGR2A	-5.9391024148267	20.7777983848269	15.7183963482373	-1.50887254106326	19.1162012257454	13.5482259457415	-3.13006547795148	20.2076791477473	15.2264311281229	-3.21269933966135	20.0268118890764	14.9660967703846
F9 FCGR2B	-3.91794012987572	20.9466266401009	15.823197585771	-1.65276267363426	19.2161469031031	13.4087656650174	-2.9453491765152	20.2469056343265	15.2541355069229	-3.16482889195128	20.1854419134712	15.036968523686
F9 FCGR3B	-3.95087452503856	20.2178915472933	15.5125247544382	-0.641481317630886	17.5736431939031	12.6910761660424	-1.52437964875316	19.2687797047581	14.476052942775	-1.66547257627635	19.0609719994754	14.310238733763
F9 FCN1	-12.4292240780023	21.0617520844177	16.921291600602	-1.8143834967451	19.1415138429637	13.4730098114308	-2.68611254083539	20.6828915864087	15.5512414047559	-3.65774592012551	20.2718909106637	15.4124258139166
F9 FCN2	-6.51908790737666	20.6820601279775	15.7567039295043	-1.35104828925291	18.6459505394203	12.8559096889708	-3.22554076161331	20.1075109178215	14.7936436760776	-3.38482709192074	19.8492714047851	14.6649614349278
F9 FCN3	-1.2223647697325	19.0064846233757	14.0219829713481	-0.297760363771386	16.3955739885588	11.67272683932	-1.01932575983185	18.3434103047809	13.5199000354955	-0.690450332370501	17.8996797903159	13.0123695576209
F9 FCRL3	-5.42106279022612	20.3614948467512	15.8640681067645	-0.871135018438463	18.095975784905	12.4103049515429	-2.12017644217318	19.7069423387733	14.8903962245976	-2.11199376048867	19.4131130292894	14.4338004523429
F9 FER	-3.13127648338826	19.5249649097673	15.588428793491	-1.19986439038376	18.8540468333072	13.142694863478	-2.81035158972435	20.3311037217059	15.5322636080651	-2.41200811217157	19.3834940100135	14.7607532322045
