protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FABP5 FAM107A	-5.54883568603808	19.6995755106043	15.6467229122904	-3.54896387325746	19.3579099168788	14.9901377395578	-3.08404913289984	19.5405177599483	15.3500604606574	-4.30923783439229	19.7211712912829	15.4881797376291
FABP5 FAM107B	-1.17164962246808	18.4495055475471	13.9253919342861	-4.3700688052933	18.9010068914253	14.511802758218	-1.92420012282511	18.5957012094287	14.5833002257525	-2.28628020595476	18.8671425844161	14.5383793161034
FABP5 FAM3B	-3.01834364415758	18.7080060005066	14.6367728533271	-6.12901038657037	20.1735450870319	15.1865276798297	-5.58360979028486	20.1273456641883	15.4897440722939	-4.80685241872241	19.7787308198527	15.1717343176154
FABP5 FAM3D	-2.54289426043218	18.5686264140897	14.8355706830845	-6.7267501684162	20.5400131548909	14.8588523762903	-4.07546899011726	19.8758430337733	15.2606857775335	-4.36803151807965	19.9677052767907	15.2990573868881
FABP5 FAP	-2.67727577110991	18.6662915410411	14.3406789775222	-0.735636900817085	17.1519481553942	12.0887612759815	-1.51566068071727	18.3313804172086	13.9448246786915	-1.67329923655104	18.3160422298965	13.8379254796093
FABP5 FAS	-0.295466740266579	16.8979202852383	13.652177771171	-3.00134562010698	18.8170668684036	14.284370531705	-1.32092151962095	18.4772651258406	14.8516959196002	-1.0180818408878	18.470149876353	14.4252403339362
FABP5 FASLG	-1.56718348374319	18.0790551898815	14.1798451404378	-3.28087801287142	19.1154439934504	14.982201643262	-2.39744619659453	18.8550103941049	14.9148783521517	-2.36833749608769	18.7831296055994	14.7878855276323
FABP5 FCAR	-4.09898593652757	19.7829992192824	15.1075294830239	-7.98141704407435	20.5078549434652	15.6531393253326	-5.26044926412348	20.3558453436321	15.7490430315345	-5.54127839049397	20.2840395315834	15.8603351957381
FABP5 FCER2	-5.49317490885079	19.941928665724	15.265553771316	-2.47633063889772	18.5499740271458	13.5698429756226	-3.91937202619759	19.4899579899653	14.7563504663309	-5.61142692473744	19.8449192248416	15.1196212888897
FABP5 FCGR1A	-2.08048222191236	18.7148226240184	14.1997656866087	-4.40869944067789	20.1458495775668	14.6729852956355	-3.10912704585555	19.4890602393113	14.8335074545297	-3.07990557226408	19.5434828687105	14.6993879342805
FABP5 FCGR2A	-4.54935051375227	20.1508533562099	15.6187117464414	-6.37379190232401	20.052063869433	15.1910714896088	-5.06061188033964	19.9374361242578	15.4620938915814	-6.04199700840858	20.2633575022764	15.640603140259
FABP5 FCGR2B	-3.44675639611335	19.6684838340548	15.21903662028	-5.5760906634753	19.9809082750456	15.2365779331066	-3.59395612334964	19.7347632787119	15.1920248099758	-4.43125863512403	20.1571345840732	15.440655742357
FABP5 FCGR3B	-1.90585834630031	19.5054568623122	14.5018115172853	-2.22365617456929	19.1352037878225	14.2947011903964	-1.61322952696386	19.3671833986498	14.5659012086116	-2.09486386653229	19.7513802768917	14.7608122999158
FABP5 FCN1	-2.7060617026092	19.4976468622024	15.4219369594427	-8.98100982026979	20.0643674677623	15.1431392930381	-4.62502870608392	19.9935720067621	15.4071794221848	-5.08377835160377	20.1423192862975	15.5736967065094
FABP5 FCN2	-2.34062286925425	19.8695247003658	15.0389791706034	-4.94809390955644	19.4361305165326	14.4907195966903	-3.71416099518364	20.2207453826889	15.0916149292881	-3.66333464366704	20.1562044345236	15.1585663061845
FABP5 FCN3	-0.603718030124945	17.374050086553	12.8241539063435	-1.66795883741894	17.8942107985795	13.695950268044	-0.85263744028962	17.8552456099679	13.4682847922808	-1.08152374234992	18.064511734927	13.6278192534904
FABP5 FCRL3	-2.26261563660909	19.0164726201474	14.4026940670615	-3.94830901997249	19.5126594660006	14.8007041374331	-2.73308343330851	19.8072559818802	15.244961473584	-3.07667851852799	19.6420101947687	14.9443916837121
FABP5 FER	-2.09569584695924	18.8558022478696	14.8211065111981	-3.84932115387288	20.3280183646101	14.8384769767449	-6.4792451733293	20.4341752659727	15.8762399777971	-3.37228110599887	19.8678725223716	15.1699713764378
FABP5 FETUB	-2.41980110647856	19.5828433544709	14.5624090238224	-6.96003438725689	20.8919011044627	15.0005809736201	-3.81942288032986	20.2383193208461	15.1255208844631	-3.95955597696755	20.4521323560686	15.0149021198393
FABP5 FGA.FGB.FGG	-2.94258563038152	19.5403720146205	14.5950209753195	-5.30113536465234	20.1444331132332	14.4056525634735	-4.05511850438048	20.1354345958804	15.0794955785222	-4.22257359260609	20.3282699128878	15.1267486564177
FABP5 FGA.FGB.FGG.1	-1.84296330651786	19.2062856185005	14.4328566420155	-7.25847619321924	20.2137637510289	14.8525790442227	-4.52097495366817	20.1932233973364	15.2267567541533	-3.67825001666383	20.0921678193916	15.0269045553296
FABP5 FGF1	-5.3161725763667	20.2158503365215	15.6616472557961	-4.20175218259372	19.5925383496902	14.467171032374	-5.20011886785656	20.2800618171359	15.4362741048214	-6.43905688582826	20.4116654566493	15.676356334494
FABP5 FGF10	-3.94508491474423	19.6342314918385	15.4915037038212	-6.17464015448306	19.494383246734	15.2253835527485	-4.30607225473881	19.6693406733435	15.6108132186918	-5.28430040580524	19.9078440162245	15.6878438046531
FABP5 FGF12	-2.27796823560209	19.1183987023892	14.8644512464093	-5.59116393105708	19.5771479007167	14.6475026689299	-4.23381799712495	19.5964734064936	15.2050479039762	-4.31023576790269	19.6575608946085	15.1610532310097
