protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FAM3D FAP	-2.73623465466533	18.950149595949	14.7531112274866	-1.41942263834233	18.1361614919378	13.5200581440757	-2.24490828438654	19.0422988293067	14.729819933727	-2.20891580073375	18.8189859581878	14.5470910194418
FAM3D FAS	-1.03746016547165	16.8748096874941	13.1824919206054	-3.86509823036903	19.6040404937963	15.1456087538697	-2.28549529114471	19.0782757456749	14.9826669580595	-2.19208943892728	18.8379178532284	14.8337552396349
FAM3D FASLG	-1.4196688603492	18.229474035312	14.1051426535085	-4.31264372465751	19.7918007864648	14.8784656730039	-2.9212068936183	19.2091302297609	15.3513716703041	-3.09686625196566	19.4703116279607	15.349225719462
FAM3D FCAR	-2.00478893014224	19.6639884240205	14.2704328750003	-8.93715542155106	20.5481918297205	15.6758399211421	-5.39092760998902	20.4124054446507	16.0461489981732	-6.71307947280466	20.2977799518842	16.037800715111
FAM3D FCER2	-2.92815775527968	20.1139979942843	14.8614695360816	-9.90309246581951	21.2899880625408	15.7257532982317	-8.83712867592053	21.2402141054127	16.4593473882602	-7.50584639216022	21.0232156546651	15.9596802515482
FAM3D FCGR1A	-1.97997255015521	18.4424267578111	14.3760642498374	-3.94868802381632	19.571356379599	14.8661386493016	-3.44662387076426	19.3914686135553	15.3931954941533	-3.82402960049808	19.5112354350275	15.2263828812672
FAM3D FCGR2A	-9.09628925263891	20.7320293489408	16.5366560772642	-9.55377187589744	20.9161039614918	15.5306147847993	-8.6564120104415	20.7525138873523	16.2914353788724	-10.2607890779504	21.0759516119894	16.3386394756217
FAM3D FCGR2B	-5.22182323925922	20.3751829155122	15.7341657594563	-8.85276946302892	21.4031088576622	15.9444977054518	-8.59348824639478	20.6497182099387	16.0768031512081	-9.17746697049237	21.0908018429653	16.2734558743359
FAM3D FCGR3B	-2.98611336157501	19.5650222700364	15.0544519461137	-2.94034042343593	19.914305941148	14.977617256055	-3.28739315114382	20.3119720943101	15.6630190526898	-2.73347667508326	20.239045587003	15.3879271388798
FAM3D FCN1	-3.31677132782939	19.3827248409387	14.9852086855858	-15.4395606549501	21.6462332866938	16.2156511362209	-6.64434680992437	20.6611297295242	16.0244436845039	-9.70766226963816	20.92713565837	16.196598554307
