protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FAS FASLG	-0.45937343847079	17.9398752329865	14.183260724953	-1.7104566099155	18.0245172003071	14.2718826253786	-0.908086934466971	18.2100689206138	14.6058080192226	-0.842126899738613	18.143125795285	14.4596296944021
FAS FCAR	-1.13043660154288	18.077033164465	13.9923839642503	-2.69405970398586	19.182429859786	14.5362825258739	-1.61593622892918	19.0328229717611	15.1206678409254	-1.26203784950795	18.8367795780048	14.8366105271435
FAS FCER2	-0.665024985328184	18.0264679777487	13.6860409603915	-2.38174994318649	18.7614977347076	14.7191831290827	-1.53910877310113	18.649693803715	14.9224809631017	-1.55961026361529	18.7010428124626	14.7470940437377
FAS FCGR1A	-0.559397563002296	17.8000206400913	14.0018928799001	-2.76924583012259	18.8858095588976	14.9553535485706	-1.22125810232314	18.4509733958191	14.830212069982	-1.39601531305998	18.528721604587	14.7776876989514
FAS FCGR2A	-1.01821173032623	17.7000121355259	14.1973219691018	-3.06307188601627	19.1610286074332	14.4820351729816	-1.80788807892903	18.8098251132684	15.0219145278793	-1.89760855492158	18.6022226261582	14.6259012100675
FAS FCGR2B	-1.10914082248996	18.6730747649294	14.7204183849543	-2.94206206738916	19.2612578354969	14.8795955477641	-1.87020528329829	19.1708092980598	15.2077668280093	-1.88400323633265	19.2307255274197	15.2427959084639
FAS FCGR3B	-0.922005683750974	17.8430369170264	14.1454999796899	-1.4059612469389	18.1299589258204	13.8630757547468	-0.788488144151512	18.0823893933652	14.2896205548661	-0.983448369312059	18.2019306549197	14.2794788450585
FAS FCN1	-0.916460752500356	18.1059306801693	13.8951915052046	-1.8241579255598	18.6660001622743	13.8515764321856	-1.29025498983356	18.5504822243269	14.5851054665026	-1.14693621521251	18.4809609349808	14.1137553578423
FAS FCN2	-1.03790696658711	17.9528072687323	13.5697156037131	-3.05394859714944	19.5034352882022	14.5149834086983	-1.70724959683608	19.099633655621	14.6827398713369	-1.68237211342194	18.9940564890905	14.351560784649
FAS FCN3	-0.396819604117398	17.0569854107648	12.7432897247528	-0.331003863281677	16.7637161853002	13.015528858053	-0.478878614432264	17.5218914946489	13.3773497460472	-0.429485625442164	17.1461707730866	13.1908338061492
FAS FCRL3	-0.794214908473859	18.1502128376953	14.1402296546281	-1.89439921804741	18.6850958634953	14.1953314507768	-1.31915262447173	18.7768745346731	14.4955058534364	-1.22856031959841	18.69942530494	14.5027798657784
FAS FER	-0.88884608545568	17.8719005118211	14.6228115924514	-1.84571189979615	18.2691973538291	13.584383798115	-1.6080036355437	19.1226658715763	15.0018834953316	-1.28181699209391	18.3269575527133	14.4391150326213
FAS FETUB	-0.743635453587911	17.8795955849875	13.2500915300577	-2.18851203062586	19.4001984340758	13.792459139272	-1.21607951260806	19.0687752545886	14.1927729649235	-1.40409432171178	18.7272238538264	13.89514832401
FAS FGA.FGB.FGG	-0.55909244924013	17.205009018755	12.8233039551454	-2.78161899080737	19.0973381711425	14.258618547737	-1.61215354469073	18.8916201724435	14.3447037146191	-1.3414320568271	18.5478605274459	13.944895545711
FAS FGA.FGB.FGG.1	-0.196801593727199	16.7124668205541	12.3452573169782	-3.42507309817041	19.2625316855865	14.6062328314459	-1.01188709750005	18.3850878284979	14.1363722814732	-1.19132810726715	18.2383766861674	13.7892079492399
FAS FGF1	-1.25403955279273	18.2567202321827	14.4345378139711	-2.07373030319665	18.5166147782634	14.4253168302265	-2.75518737543416	19.0814276121417	15.4846001862815	-1.94982255920671	18.7765016953952	14.9835755467369
FAS FGF10	-0.961352037738059	18.3191395962728	14.7630963485243	-1.12188885679933	18.0946977283857	14.2296021749755	-1.34861155932334	18.5610672176776	14.9416853899004	-1.18239161053943	18.3569494307021	14.9043990793829
FAS FGF12	-0.730304804169118	17.6813844397375	14.2486103828038	-2.71321056533745	19.0282957215328	14.4664648271631	-1.84430076716617	18.558224961738	14.9114066917205	-1.81328288972532	18.7787801389255	14.8808710911722
