protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FASLG FCAR	-1.18879082108969	18.1920890970625	14.1972355871401	-2.87519048111409	19.0048944348732	15.1810344187237	-2.31333566448821	18.8911789166417	15.1537225324682	-2.30502053810052	18.9260655799003	15.1430235970218
FASLG FCER2	-2.23483428826374	19.454657617237	14.4832861717051	-2.25667624702655	18.9338445067926	14.6207744076783	-2.13560615348662	19.5384117335778	15.1314383708752	-2.21600694701641	19.5998309987288	14.9196668260306
FASLG FCGR1A	-0.977475371586488	18.152711980227	14.1854473018564	-2.66031240840271	18.8349755443861	14.4112200229926	-2.96211055395907	18.9034732995488	15.1052695753022	-2.05740614527701	18.751583636174	14.7601842368385
FASLG FCGR2A	-2.70453806210541	19.309093374502	14.6365393071083	-3.93118333089842	19.0820450129967	14.6945683437719	-2.68312542991923	19.383109574176	15.0470361078516	-3.48005151056853	19.3696298720387	14.9517781836686
FASLG FCGR2B	-2.56142382616905	19.1988808207625	14.8433887555349	-2.73844851307364	19.4128221829654	14.5358960116406	-3.30532091041029	19.2808992315185	14.7901579127574	-2.4873214792479	19.4744540383855	14.9458069330742
FASLG FCGR3B	-0.986667786976177	18.4981128970706	14.5033349711478	-0.960422681500736	18.6796126932213	13.9463279569681	-1.17825784061334	19.0018661407626	14.8889693287775	-0.960374680857871	18.9135367441446	14.5338415475668
FASLG FCN1	-0.994292589948594	18.1616911878042	14.196229661396	-3.68417348895293	19.7917743499684	14.8763615961108	-2.36495350371212	19.2427008797038	15.0143440018663	-2.07819967492005	19.2988651118824	14.9776686229566
FASLG FCN2	-1.38575214013634	18.0021989166841	14.5319514046221	-4.09089317918042	19.8978987793273	14.6335433037672	-2.96703236901256	19.819425280331	15.4646522351768	-2.88568105746098	19.5828912335412	15.0638010955514
FASLG FCN3	-0.243286610550086	17.6544135430629	12.3797835069741	-1.5357693860499	18.579303050345	14.30300109596	-0.752397629027001	18.1576047481064	13.8309527290457	-0.789195449435296	18.2014597812663	13.5390546565974
FASLG FCRL3	-1.99797906228465	18.4257903850139	14.6970735177992	-2.14387966700869	18.3511201672057	14.0631340239414	-2.20816505708671	19.1512197087306	15.4339988147783	-2.55642945682467	18.796587757938	14.8745535478688
