protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FCGR2A FCGR2B	-7.43876008376402	20.7736419110789	16.20204471023	-7.44027528295388	20.2086149459301	15.5368890933284	-5.32474637547974	20.2022530376658	15.7027490306509	-8.56052012149203	20.6402092057449	16.0643597013742
FCGR2A FCGR3B	-4.67610148289712	19.7376240166692	15.4397023456766	-3.00020547094216	19.3210502741579	14.8682754306485	-2.53140105252949	19.6711339211635	15.3784985377494	-3.37614771683305	19.9190657901817	15.4674869582149
FCGR2A FCN1	-12.2890343202126	21.0172169704622	16.623366406611	-4.65749748025778	19.5894238326982	14.5880554191978	-5.85649235699125	20.1399886856446	15.6735991769349	-8.5853828297966	20.4668862493326	15.8440510372919
FCGR2A FCN2	-9.28209630654339	20.6420573277244	15.9179527519373	-5.01278724358382	20.3725623492767	14.5051790010459	-6.09599417297572	20.6696271768187	15.6089808115577	-8.69465831341746	20.8362781230746	15.6183960201312
FCGR2A FCN3	-1.26309388603196	18.8099470727872	13.6692266292261	-2.60655610043823	18.8625198755393	13.9123323543189	-1.3540591668766	18.5464386118495	13.7204405437877	-1.77310841014385	18.9148823191622	13.9631769002403
FCGR2A FCRL3	-5.35106310013532	20.9933769804967	16.1718030267567	-4.14621123208364	19.8445323034789	14.952380916648	-4.96831829421501	20.4031567466683	15.977769637951	-5.43134613448013	20.7002504087384	15.9773447811946
FCGR2A FER	-5.58231391692654	20.0765627347409	16.0127945759006	-8.98483731175368	20.7248030400192	15.4042801680955	-8.12442303145545	20.8863826291203	16.1077756321444	-7.91669964904545	20.5559270371371	15.9669881639444
FCGR2A FETUB	-4.20461759678386	21.405071010467	15.592397453442	-8.03138757323489	20.9863026724295	15.3217211282133	-6.40844200773659	21.2357220331997	16.1885577496415	-5.70698359782699	21.3625647608983	15.8528459287761
FCGR2A FGA.FGB.FGG	-4.95815590071124	20.4594280080019	15.4638128164681	-9.60331019415189	20.4752962290149	15.4273604123223	-7.35980255825934	20.7609381416165	15.9597415273445	-7.60484832132317	20.7405602566838	15.8702017583606
FCGR2A FGA.FGB.FGG.1	-5.53963493327306	20.4690495110225	15.5537654755292	-8.86527590810215	20.613377162735	15.1245862347189	-5.94073143114803	20.6880897080591	15.7273000350873	-7.85893204313873	20.729119047046	15.7151711343529
FCGR2A FGF1	-15.4099519911071	21.1606344355855	16.8012033743161	-7.65723860087647	19.8841410361308	14.9821886709095	-7.73068836128985	20.6695291271554	16.0898214843146	-12.8816635415549	20.8810463538802	16.2030548271105
FCGR2A FGF10	-7.23254933545046	20.3411840106615	16.0633438167673	-4.79119437228882	19.6120794136301	15.0918021891206	-4.15271273920832	19.7412492648587	15.5626521834331	-6.5414068623735	20.1082140353412	15.8656315045292
FCGR2A FGF12	-2.84106498653221	19.4201361081323	14.5964594241039	-4.97701620207064	20.2921709003368	15.2850258911615	-3.25855331420821	19.9488603811015	15.2364004649377	-4.35705053028972	20.1260297136317	15.2156453573273
FCGR2A FGF16	-2.69758828107491	20.0220460659729	14.3263422018058	-2.57146158053189	18.504655045925	13.6290987013752	-2.63930218372834	19.8752567732105	14.7278797539912	-3.54969004018432	19.6863122923877	14.468326621475
