protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FCN3 FCRL3	-1.59235038593143	18.9218861001986	14.0633222607951	-1.83176202024649	18.8264806348161	14.2015028548698	-2.37209416413105	19.2911439774808	14.9119117801428	-1.81520856519752	19.2030568980377	14.5982720773825
FCN3 FER	-0.864053143899013	18.3555848319434	13.1539567413733	-2.90482692154941	19.9216790174508	14.9429795349259	-1.51613893223375	19.1835714533132	14.4359441660648	-1.65743549236682	19.1719697753881	14.277344138984
FCN3 FETUB	-0.99658815678189	17.6912716604441	13.2036468541296	-3.43178494716087	20.3050864634125	14.9472169367927	-1.87677741806023	19.5465805498362	14.3928696168562	-1.99213025760522	19.2596082420938	14.301871455325
FCN3 FGA.FGB.FGG	-1.8348616506318	18.8275111209527	13.8403327566571	-2.05501786670476	18.705313068018	14.2309359789777	-2.65544825406702	19.5124931091927	14.7870281543984	-2.28152564589145	19.0076163161858	14.3975854439892
FCN3 FGA.FGB.FGG.1	-1.5256309196902	18.4739329664219	13.3693297875781	-3.43425239280846	19.2940536531351	14.3827777487554	-2.14996355012563	19.31302796357	14.2747640665047	-2.39045148125524	19.190544070358	14.3045300463092
FCN3 FGF1	-0.964853963397276	18.5962640179313	13.5638812306838	-3.22156422975042	19.1902415488596	14.4930369723724	-1.94757448007324	19.1975056970855	14.6709413711325	-1.94921158523604	19.246904544308	14.6233372303527
FCN3 FGF10	-0.829616152651477	18.5867541404597	13.1695382058962	-2.07268266826996	18.3624246005194	14.9084968348707	-1.33603682531272	18.8531396225923	14.3270851306624	-1.18918793395899	18.4902285927066	14.1845084349448
FCN3 FGF12	-0.688879181595122	18.0836017806714	13.1260443808943	-2.68002430000175	19.488365263793	15.0644889760853	-1.07152297251945	18.8899927898388	14.2947755620385	-1.36858827811358	18.9933612973088	14.3510916095847
FCN3 FGF16	-0.46300801352581	17.6493333361423	12.6948983499682	-1.23294207116627	18.2784201936066	13.6174968760868	-0.906681850597956	18.3713539601083	13.9634465997523	-0.804805528107566	18.1979600786666	13.4596617556212
FCN3 FGF17	-1.1544095968499	18.2811947422722	13.2034289773359	-3.42507415381348	19.1634769542758	14.8154350419583	-1.65511056492596	19.0946512841026	14.2817258973721	-2.14803292646885	19.0298645709063	14.3851241149551
FCN3 FGF18	-0.975854008120694	18.7094360635079	13.7526944269236	-0.747294162126142	17.2254523381248	12.7602129834208	-0.758350950749003	18.1455413624918	13.411895939557	-0.989765462602715	18.3553604156417	13.7401968653043
