protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FCRL3 FER	-1.99997000938795	19.4144376558057	15.0483037699513	-6.13944764271622	20.4844669815176	15.6036001980641	-6.7500161076894	20.7134357191007	16.5552880503785	-4.91151079038857	20.2523298289369	15.7214229197829
FCRL3 FETUB	-4.52081006285805	20.2556308335396	15.418749094342	-7.97218207709698	20.8284621629903	15.379684700219	-5.40366885320942	20.5065800858738	15.7143805436664	-6.23779150666053	20.7145037829889	15.7343147502596
FCRL3 FGA.FGB.FGG	-2.84773507759513	20.0388012817474	14.9265543565189	-6.98349759211115	20.8964121599784	15.8016116388324	-4.48002303237621	20.5855174444782	15.5005328913252	-4.56018867828732	20.6574235470647	15.6310752996692
FCRL3 FGA.FGB.FGG.1	-3.82339178560601	20.0631803713025	15.1920326299544	-4.43297810186584	20.1685281494963	14.7225985735294	-4.20003428632477	20.4676743095141	15.519498873925	-4.61086356438009	20.3355556151604	15.3945306332408
FCRL3 FGF1	-7.15308544785278	20.9852696814649	16.4204990592153	-6.65939218108414	20.4015135107151	15.5595727942996	-6.42449585643267	20.795302628602	16.3116242172114	-7.66608148145186	20.9598416594355	16.3915951411419
FCRL3 FGF10	-8.29344619725595	20.9945207915204	16.4233385896733	-1.93047338487745	18.8079706183287	14.7228519215422	-3.5602242809497	19.9193734606873	16.1988405827795	-4.72751508583354	19.9253403110647	15.9295071760725
FCRL3 FGF12	-3.40640372641902	20.0011156274567	15.7916867636426	-4.34696553453847	20.1653105700907	15.4929274481419	-5.72840210098784	20.3054798474432	16.3180456141742	-4.42646072168021	20.3672991039724	16.1354110757561
FCRL3 FGF16	-3.3476569374447	19.7105047337451	15.3517049054486	-1.47001878924548	18.5284995085196	13.922878001367	-3.17108005468097	19.8440857654154	15.4327435224668	-3.00411752816267	19.5572385282332	15.1761837524518
FCRL3 FGF17	-2.60097147896463	19.2211529411084	14.6741554389382	-5.92624930560492	20.2104155334604	15.5325038694529	-4.68924163575059	20.1999363926832	15.8432675311271	-4.22400473036097	19.9287496476004	15.3895027421766
FCRL3 FGF18	-5.16769894414827	20.8390088189074	16.5487277391383	-1.69133095662841	18.5305219144031	13.7909898152093	-2.48337976107815	19.8429868876336	15.3718122222562	-2.89227917615708	19.9134251739597	15.40136591177
FCRL3 FGF19	-4.71632859279611	20.7054217199001	16.1857530194196	-5.37175993706435	20.4843356004757	15.3197167619211	-6.93127596931453	21.017675970386	16.4799043787812	-6.03236076196233	20.7283806519395	16.1148470943256
FCRL3 FGF2	-6.33046818366742	20.747172827988	16.2871120605881	-2.87066285045329	19.4716005341523	14.2023356554915	-5.71380395813602	20.3595574862044	16.0040798361362	-5.1905167034811	20.3492571199858	15.6118656597437
FCRL3 FGF20	-4.68726086123295	20.7210519304085	16.0966344571598	-3.87813574690627	20.0510008682678	14.605810225122	-3.78746639840448	20.694476379404	15.9346351469869	-4.881786782484	20.7939439823628	16.0960338648595
FCRL3 FGF23	-7.2222244388146	20.8713353649531	16.601455598903	-2.74435366755313	19.4099475206166	14.4092330263566	-5.59885865667123	20.559183755075	16.0371183901364	-5.09320676281525	20.4102709873877	15.8310446790235
FCRL3 FGF4	-5.40686877266757	20.3458644815294	15.8065127935656	-5.09795698624	20.6518946469577	15.3200586220764	-5.0297850678487	20.4962328974021	15.9726524681254	-5.63147102437025	20.8320130344543	16.0247610274206
FCRL3 FGF5	-1.09569508976888	18.0158973076242	14.279676841543	-6.29416973910162	20.6946626874123	15.6016348603935	-3.09668091925064	19.6609937506133	15.6694106269493	-2.95462327097766	19.6583978446061	15.3603385913672
FCRL3 FGF6	-4.63450622530648	20.7257068991621	16.2428942221417	-3.39087401223022	19.9311876401469	14.7674211764433	-4.90316850534388	20.5358250220209	16.0747132199687	-4.14818711773854	20.7205591770191	15.982035420549
FCRL3 FGF7	-2.0743179514342	19.4022951727857	14.4083130511187	-2.17493411625412	18.8607424403285	14.2439785676165	-2.87116961375553	19.6324664032186	15.2748083078527	-2.78151750073948	19.5048677035095	14.927116698358
FCRL3 FGF8	-4.77831582878167	21.2953535645121	16.1218386437063	-11.1600836418683	20.4963093300636	15.9838569437635	-8.80769876766236	21.293326376089	16.7730062535298	-8.29744707971067	21.1285482389223	16.4476088585462
FCRL3 FGF8.1	-4.84557431330159	21.1038162378374	15.9698738690848	-2.01921788133593	18.9626086521331	14.3061641434051	-3.52282671827841	20.3452517455274	15.7735329333359	-3.28717944295103	20.2396528992341	15.5290006396699
FCRL3 FGF9	-5.42079943042968	20.3092080021004	16.0152624595827	-7.42827035167451	20.5676835258197	15.5448963752763	-9.19702082530792	20.9070288616009	16.5607596083044	-7.99446797678053	20.8306377575303	16.2482793747371
FCRL3 FGFR1	-0.445873955498964	17.20024741918	13.1138655378545	-2.91083820279834	19.4497269105112	14.6712171496906	-1.73161730167011	19.0403335484263	14.7870078089532	-1.33329803866206	18.5695730105841	14.1496156655206
FCRL3 FGFR2	-7.73762164306916	21.0462470221832	16.7696458736811	-8.35835091671251	20.6165599395225	15.6376105534478	-8.14167840515946	21.2048316742725	16.7443582972224	-9.29405081867442	21.0323552391368	16.5149369491173
FCRL3 FGFR3	-2.55514079100003	19.8216025843861	15.5023303232908	-8.57833929213983	20.5515866140023	15.4322541525094	-6.46483425269189	20.2882040761401	16.030508377984	-4.9663312998993	20.3861556676358	15.8881956931015
FCRL3 FGFR4	-5.37959849138057	20.7345337723295	15.7350844966886	-7.32111035202526	20.8207481177659	15.9828191278496	-9.63851360877301	21.1180133942932	16.8831892113651	-7.03844470708533	21.072308452959	16.3708773785435
FCRL3 FGG	-3.1127938926138	19.3904400770936	14.5124395259266	-4.52481532840568	20.0358054255465	14.8367254811941	-4.25570974557422	20.311416531628	15.5579430882538	-4.79072306718072	20.1144512420331	15.2796517543638
FCRL3 FGR	-5.54639512437219	20.4472011518333	16.1199251363728	-5.38699230542457	21.016434241314	15.3989541553898	-5.92867254451986	21.4711125369557	16.5894937802617	-6.38590857792022	21.015793172409	16.1425716876726
FCRL3 FIGF	-0.509855128416919	17.0102179754701	12.9233219780584	-2.78267069910285	19.8724461890578	14.4889435841698	-1.80434950382204	18.866090602906	14.2810668723666	-1.58500517056682	18.8262071666759	14.1494056922243
FCRL3 FLRT1	-3.75249713694625	20.2877305987963	15.5773654621136	-1.18053873055148	17.7289083447551	13.0147313146892	-1.71392377060667	19.3816344146809	14.651518925881	-2.01822587149351	19.3357241519098	14.7457676638145
FCRL3 FLRT2	-0.541745333344642	16.3436605724327	12.7539857588585	-7.25470249008401	20.3925491313101	15.8413998871681	-2.12064568629245	19.1328304315228	14.9654083823883	-2.12816090865671	18.818303789248	14.7412276030233
FCRL3 FLRT3	-4.96919994181688	20.2978480267867	16.103537288338	-6.08351964077493	20.2835786904766	15.7033508466472	-5.63916725544657	20.6008657536789	16.274058467542	-6.97969933078899	20.577152803537	16.1816622975727
FCRL3 FLT3	-6.48329426349891	20.996263159886	16.2797090812215	-2.71942471606186	19.6956406692378	14.3899571173647	-4.91361352037016	20.4260493512838	15.8927912831433	-4.59697767639545	20.502069206102	15.8134202187781
FCRL3 FLT3LG	-0.997090238087918	19.1764793901072	14.6489977795809	-4.61760711871011	20.0039341727994	15.2915876199232	-2.90675021202504	19.8880387696203	15.7247586732866	-2.1400030460893	19.8315017063143	15.3881503617593
FCRL3 FLT4	-3.15284946695443	20.9142706008901	15.8839552473377	-4.35471898753206	19.9547939103497	15.5516180553957	-6.2624767216544	21.171200956623	16.632612792783	-4.5109796590038	20.6015127870592	16.0852631344008
FCRL3 FN1	-8.72760962539127	21.0962032327691	17.0148214431547	-6.48081265123234	20.3463149844656	15.6903930662107	-5.47899540838641	20.9922107639853	16.7628137474601	-8.02689554306125	21.0778286799772	16.7336281431917
