protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FETUB FGA.FGB.FGG	-4.45293591230939	20.010630293114	15.3087877812255	-14.546367653592	21.0818860992484	15.7544424225871	-9.02205705542529	21.1218923912788	16.0049391448667	-8.94191768243611	20.9170857709051	15.9399789804173
FETUB FGA.FGB.FGG.1	-3.48877013921572	19.6786185166013	14.5999976964602	-11.9962495593511	21.6480806172881	15.5199445678462	-5.82697548004614	21.3084660424978	15.8684823127254	-6.23686521566792	21.0892957452267	15.5723545378481
FETUB FGF1	-4.72431840971398	21.1539600849637	16.0035150900857	-9.39777379225899	21.0155940134752	15.5596819015485	-9.44348253964912	21.4172514902168	16.5448204303449	-9.28156647804891	21.3504935622981	16.2782831902946
FETUB FGF10	-4.41481999803847	20.8160752395946	15.5782113122648	-3.41856512009433	19.7926204656186	14.7954339474656	-4.05480150201138	20.2173369185855	15.4511163869876	-4.61781991200018	20.5837613502081	15.700967686758
FETUB FGF12	-3.63946932397828	20.0147996475168	15.1433131110882	-4.41830171107916	21.1869056604117	15.186014112322	-4.2561924428901	20.8443363153615	15.7639273830747	-4.3059609080886	20.491610121132	15.785053531777
FETUB FGF16	-5.52872272855886	20.3957530067933	15.3803836743936	-2.28158554048185	19.7972952564112	14.1099335605735	-4.4865382489254	20.6729327550973	15.542276767716	-3.77989917607552	20.3738164161432	15.1053685590345
FETUB FGF17	-2.081442216593	19.4509177543583	14.3568482082912	-8.74689223215584	21.7547156481796	15.675457936012	-4.24600737948536	21.1183885499612	15.4608861703165	-4.72371741863766	20.8644248409035	15.4176946999542
FETUB FGF18	-2.29191857706195	20.0479905172246	14.9404541552602	-4.3405459757596	20.0012715276377	14.4993619559959	-2.88655214742949	20.4847361323892	15.2727775652292	-3.41639918098554	20.272180612731	15.0711745759869
FETUB FGF19	-4.99964572006011	20.0949164727202	15.3350396622902	-6.74723336367374	21.0897298645739	15.5539247766639	-7.66360114575085	21.5151853332958	16.3340312869959	-5.8232960358975	20.8058545739364	15.6575862823828
FETUB FGF2	-6.21790534669698	20.7656802246432	15.8908642258751	-5.51544577091831	20.8548642670835	15.2262621249178	-7.58811267183847	21.1244877412512	16.1422316328307	-7.46494349713591	21.055569172639	16.0282954466588
