protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FGF10 FGF12	-2.35847510737872	19.6631354127696	15.6105162704302	-4.68574493857356	19.3769353622111	15.81141340653	-4.86139461581332	19.8756614591549	16.1804124061965	-4.76044084547799	20.003702263536	16.1691482200378
FGF10 FGF16	-3.35937848544292	19.3091513235708	14.9802907821154	-1.49287485099549	18.6824939244972	14.2064887932264	-3.42430225332578	20.1012016971276	15.5488078110761	-2.98485907052396	19.2987475491642	15.0649838613483
FGF10 FGF17	-5.13380464740191	20.0632092866392	15.7894130185821	-3.32298073900966	19.8214984528945	15.3839608611269	-6.08114857663676	20.5143547784765	16.4930624648599	-5.36129651322115	20.1649369244031	15.9523689382987
FGF10 FGF18	-8.81145459128197	20.5141700871022	16.6051013129367	-1.51298318811994	18.4190534519221	14.3601815741695	-3.49715495435211	19.9293399425295	16.048844502213	-4.57613020118912	19.6582206962535	15.7872723079057
FGF10 FGF19	-10.0123952299428	20.4650979500348	16.5053579149058	-3.42600004535035	19.2604776060006	15.2601167301877	-8.05802469660931	20.3458134340893	16.2813236837823	-7.47941972915799	20.2902752255747	16.2103638546784
FGF10 FGF2	-15.6153109550421	21.5262112681754	17.0480284805707	-2.4333594232722	19.2322623002938	14.9034815012873	-6.16775430161631	20.411352334875	16.0590430020359	-7.3489246998429	20.5681929475608	16.3602260492624
FGF10 FGF20	-6.99087806599786	20.8718888795049	16.3153254455269	-0.954935829609578	17.6738590691778	13.586324854149	-2.40123964121664	19.6359463704548	15.3225447576567	-3.25040191303945	19.7942044951869	15.3131038459339
FGF10 FGF23	-4.96806699634392	20.3200179027723	16.3098929897412	-3.39494429108957	19.0408513477811	15.0344198758567	-3.67424056431526	19.9197300528418	15.8523462181597	-5.35155860651176	19.9575303008972	15.9963780050909
FGF10 FGF4	-9.92660326923851	20.5731093915025	16.4491335759206	-2.76883388837382	19.3963641808025	14.801614400742	-4.58606845926959	20.2717885375206	15.9421110275163	-5.65515676191195	20.220924570896	15.9382629650072
FGF10 FGF5	-2.71397649830404	18.5899201891933	15.4702822116667	-6.77439126162537	19.8880135270673	15.8046878371164	-5.04842299773014	19.7217531090086	16.2392245080738	-5.29459698588803	19.5485671926429	15.9813276160597
FGF10 FGF6	-6.44956299102662	19.9560366427652	15.9499765031246	-2.71602526629974	19.2920727138172	14.8917425645467	-4.88999230336421	19.9687969525721	15.9188100086546	-5.23509124826998	19.7503022896594	15.7757192151812
FGF10 FGF7	-1.6970961902166	18.6210955400242	14.162286866619	-1.42668486250548	18.1883214445462	13.5936947905523	-1.64856964338565	18.9251335270585	14.7688509837559	-1.72926599863108	18.8832339756049	14.3329472092951
FGF10 FGF8	-9.57289337832272	20.5572403584941	15.8001690481799	-5.81645464343102	19.970370844385	15.6906925055293	-8.84947571806982	20.5729995438053	16.4609066991942	-10.0022235367002	20.6305883466235	16.2381724992919
FGF10 FGF8.1	-4.76447055862078	20.5304136417707	15.4414069475449	-1.28956424776185	18.6250469769412	14.3936663833566	-3.57354814897609	20.2621755200004	15.7151355456425	-3.40689034592634	19.729570876814	15.3879465480233
