protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FGFR4 FGG	-2.90603523844018	19.7727937559306	14.8793338600328	-12.8488523371506	21.2357838716308	15.9170058189434	-7.64567374998504	21.1481180535041	16.1637606634076	-8.10446585915317	20.8302950714364	15.8529731030212
FGFR4 FGR	-7.68571123810984	20.6769802683713	16.1107205285038	-9.30978391076031	21.5098040130533	15.9922028120332	-32.0315429954147	21.9007397783385	17.1741805711056	-12.6919081090375	21.3632416546144	16.4204286164816
FGFR4 FIGF	-0.632724108687242	17.2729093565282	12.757412032679	-4.22161030767481	20.3046787748272	15.5492777826167	-1.7920782107016	19.3443505425741	14.7196793303641	-1.77846830620442	19.1293259679182	14.4010830949383
FGFR4 FLRT1	-6.7816679618584	20.7987353568432	15.9943499639628	-1.91931000639415	19.0928329526844	14.0230735967014	-5.00023317480658	20.5875180855787	16.0093470074057	-3.46346003699715	20.1453465968074	15.2506776721552
FGFR4 FLRT2	-0.31844540149277	16.2600599093648	12.5628650199736	-4.86564025442331	20.7197306713856	15.8164764780957	-1.98771006130567	19.2861414068726	14.8789140947349	-1.64070313676478	18.7150881099932	14.3965559168044
FGFR4 FLRT3	-10.4229612038163	20.8742842172305	16.3215935986176	-9.9182276200967	21.3581524116722	16.157148916264	-15.1249837727453	21.2400683170079	16.6196195215219	-12.2391434190454	21.371357778297	16.5642679559667
FGFR4 FLT3	-9.78844740736452	21.0310180381744	16.3565343148548	-3.9094021245086	20.1917449831526	14.8049866897601	-7.07533597083606	21.376855437141	16.6969731493065	-7.24392295492967	20.7549387439215	15.9829643169512
FGFR4 FLT3LG	-1.25774174243261	19.1938986006441	14.9468815601	-8.35988845001797	20.6286353245101	15.8710831722909	-6.10248431173655	20.4018617215985	16.4619490000103	-3.40646476558687	20.1755088340722	15.8780446766284
FGFR4 FLT4	-5.22952620924625	20.3942427518312	15.520621140564	-5.23466540873171	20.3191199989202	15.6798690454508	-14.6468407639079	21.6196743529305	16.7154134727468	-6.06877096321119	20.599047498963	15.9022034295418
FGFR4 FN1	-17.2346894389669	21.7544494815739	16.8862335559597	-9.63503004347267	20.9460385200596	15.7349866999337	-21.637114491473	21.743365325131	17.1100977614642	-14.3022324583795	21.5291574238508	16.5694727432984
FGFR4 FN1.1	-13.2530355075023	21.0625616278224	16.6055588357429	-6.39037318619552	20.6817789068861	15.2706475798354	-9.21208413007182	21.4299831608657	16.7085993117658	-8.79723424451887	21.0191633568679	16.2398057759005
FGFR4 FN1.2	-15.6621016054165	20.9188804474154	16.8416759290178	-5.90227658344063	20.5770243442937	15.3296047343889	-12.1752099604108	21.0852101452482	16.7369074419854	-9.24550865955446	21.0100012392839	16.3093143793712
FGFR4 FOLH1	-5.39779656370022	20.0011735507097	15.9104250002552	-34.7113188763669	22.0699485812926	16.7049708045716	-12.0853443983478	21.1231948835281	16.9407444458765	-16.5285326878871	21.2030144359606	16.6742947448682
FGFR4 FRZB	-1.50672531936769	18.1780941809396	14.0985964575343	-25.8464417179065	21.6248535876328	16.5783729415857	-3.55725044764217	20.1730836674751	15.5892758853471	-4.32020245325953	20.1000539849263	15.5436673339945
FGFR4 FST	-4.19876913210124	19.9346204015083	15.929028224018	-0.923902195498226	17.6484236229845	13.5553749829837	-2.04248902005344	19.3082860268714	15.2495689257573	-2.08547931063784	19.1716766622433	15.0240634223329
FGFR4 FSTL1	-0.633512234643954	16.6404812129992	12.9699493484446	-4.49572168744372	21.0636079128009	15.436236086341	-2.32383731219585	19.4892094897841	14.9899120702476	-2.09329504154479	19.1045164711967	14.48991985711
FGFR4 FSTL3	0.328575828263422	13.2913369846935	10.531469945648	-0.639939180386287	16.9636427251598	12.5214388130849	-0.0483736625084659	15.3501102702374	11.8293814753726	0.00410360664589615	15.2974429040969	11.6080843073042
FGFR4 FTCD	-2.46162224156224	19.2320843570158	14.7001144552395	-3.22880576849638	20.1772425339707	14.9094461694686	-3.08919895534134	20.0069754340629	15.3464129985221	-3.28700973981938	20.1130036965503	15.2909145537334
FGFR4 FTH1.FTL	-5.98366055710321	20.6785044473266	16.472485725534	-6.49001059635771	20.5800606346843	15.8608497708007	-6.75459627722171	21.1358439931164	16.5793354968479	-6.77380422258081	20.8165303486371	16.3706727056469
FGFR4 FUT3	-11.4000182829911	20.9968215822462	15.899050893244	-21.4963744349402	21.2553290354365	16.2968141906668	-21.4396030886823	21.3604222129611	16.9027068614919	-21.2294545288051	21.2637178801024	16.6333568898406
FGFR4 FUT5	-1.67003405760792	18.7895064196029	14.6766650491347	-3.784671547136	19.2916951794702	15.2026124102173	-2.71593180846748	19.3630413728119	15.3621041226761	-2.77636811517301	19.2871955483249	15.3539791657849
FGFR4 FYN	-5.41991294226842	20.4389319849722	15.5360715773427	-14.6279238127969	21.6438635951174	16.3458271092632	-14.0687830931758	21.2468518485049	16.9521610402472	-9.79349228695166	21.2237910989873	16.2763825615143
FGFR4 GAPDH	-8.78092888950915	21.0955457466816	16.1672630823361	-1.66624991787297	18.9052234632005	14.0462156745712	-3.60583412380827	20.6779435680181	16.0784741077389	-3.34089458181125	20.1885954855495	15.3761118673854
FGFR4 GAS1	-0.519519400541961	17.7671508517907	12.0650922169372	-2.61935042481705	19.6438236099203	14.6193380407321	-1.29619589528376	18.9433429934744	13.8836235274487	-1.16988067189547	18.8140871583796	13.4896740673741
FGFR4 GCG	-4.26592661179787	19.9146564591463	15.2852798104861	-12.4819637223659	20.8556180851743	16.0125105238666	-15.9252192108337	21.1012936955033	16.6520445771104	-10.1761404199051	20.7625734222934	16.1656382446565
FGFR4 GCKR	-2.53462629778227	20.3161983097274	15.4094802834892	-6.8875591973624	20.2126209265489	16.2429200479072	-4.39078332670759	20.3880040839718	16.3576834254446	-4.81770157414189	20.3075010331093	16.0585674077127
FGFR4 GDF11	-13.8439896028286	20.9907839032898	16.8409442308606	-27.2252803469158	21.9030214123018	16.5324147312347	-37.4275641962937	21.9035601518366	17.3495512785804	-22.3021461936941	21.5656919241034	16.8740044892713
FGFR4 GDF11.MSTN	0.12601976407836	14.4773216950989	10.4452698444046	-0.983637926960952	17.8819625182676	12.3819254752178	-0.255780195830625	16.3818212377674	11.9187651765802	-0.318423061082799	16.3555539721142	11.6871875129801
FGFR4 GDF15	0.833727519763426	8.25034755754853	6.29424365676742	0.516602726717053	11.8947905552884	8.87350338714998	0.700591825318578	10.7637912012869	8.25468608401613	0.686213536207901	10.6244629330347	7.95228479405324
FGFR4 GDF2	-7.83317561091938	20.6462591566058	15.8821699110642	-2.71766052391624	19.7051396190706	14.4917904689594	-6.21187923830614	20.5823343316782	16.0330806416938	-4.06675721469852	20.4466917387548	15.4231632130953
FGFR4 GDF5	-4.20546163603504	19.8898968211905	15.6424466663288	-6.97007905983028	21.5378275451292	15.7447404842467	-8.29252639739898	20.9092249134829	16.3144261326354	-6.85842274775681	20.8349588993733	15.9912415311084
FGFR4 GDF9	-3.08907771570321	20.0338383261294	15.5957007935787	-9.84966663527153	20.8227568651264	15.966470311481	-6.60765392688623	20.6558565887917	16.5942710293269	-5.88758534365073	20.5806779251171	16.1708519235205
FGFR4 GDI2	-6.8608217020431	20.1664897268469	15.5399003406777	-3.65630894295705	19.5333852964714	15.0120077404741	-8.87958055892275	20.9230541535845	16.5789061499529	-6.46317039139758	20.2179967445346	15.7000062250834
FGFR4 GDNF	-3.14445472373822	19.4754383588289	15.1944206894756	-27.6715044472621	21.6814596163204	16.9105088810027	-9.20358458949019	20.7889030664396	16.767037124879	-7.7791810004904	20.9347288369036	16.3956452301893
FGFR4 GFAP	-7.78537401679972	20.2418344229652	15.9105298947987	-9.51130441470206	22.3513940654943	16.4844085841635	-13.3194724675422	21.4455603108636	16.8498377909592	-9.9195577660172	21.5455358331465	16.5071185441641
FGFR4 GFRA1	-1.33255909907559	18.5022021949513	14.4110013135877	-5.42310217693664	20.3350543617156	15.5452869929971	-2.35538873576102	19.6068684460214	15.3289203495342	-2.84475607535025	19.4633588966836	15.2351711840502
FGFR4 GFRA2	-3.53671272337514	20.3279967913875	15.6890043246816	-11.105937953524	21.4428093906547	15.9331003085397	-8.91872100253483	20.9641811299324	16.4260767912296	-6.7655997063177	21.0505010291452	16.146477608752
