protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FLRT3 FLT3	-5.36325905484826	20.9194346389604	15.8613452188309	-3.31457557362806	19.8362492975188	14.6611587844102	-4.42211047775813	20.869585110408	15.6620998417564	-5.5875995363434	20.7984764168865	15.730242289079
FLRT3 FLT3LG	-1.77252777304936	19.7705499664191	15.1805523826984	-6.09602209694245	20.2886703875572	15.9346991032397	-3.61797307296266	20.1590730529212	16.0622286964202	-3.34153700829104	20.2375791860351	15.845261328885
FLRT3 FLT4	-3.55568153730566	20.7311681418773	15.6627821557018	-3.86949011562764	19.7458295636934	14.9648108738107	-15.3787698786963	21.5810395470941	16.8181977892196	-5.25604925507156	20.4203169357562	15.6845931205105
FLRT3 FN1	-10.7726957716002	20.2234381917465	16.2418196456065	-11.5259967292903	20.8271955655649	15.6852711730145	-9.27268974611682	20.6699986153767	16.263801100286	-12.0284691230797	20.9005129218136	16.3892603978837
FLRT3 FN1.1	-3.7161797167436	18.8442833572643	15.4239884579107	-9.97451806814184	20.7077129954257	15.7946037634235	-7.48823350376577	20.5443621382939	16.3699031858528	-6.30585533326222	20.4219921003438	16.1923719309314
FLRT3 FN1.2	-6.19356506108393	19.778244239306	16.260763060683	-8.36058833204963	20.2395309306965	15.5591344357747	-6.13447591256369	20.3275269398609	16.1047295203335	-8.806267813854	20.4627081249075	16.3092405725204
FLRT3 FOLH1	-6.51019748032173	20.2553005713655	15.8018645128243	-8.84049270374562	21.6449169798519	16.0546287536606	-10.211329609811	21.2984056837366	16.6864175997198	-10.6140683556822	21.2371271209525	16.3538472212023
FLRT3 FRZB	-0.809926278687907	17.8858669351144	13.9500820689818	-4.04653478246102	20.0032644306406	15.2705132583284	-2.99481414679572	19.6242832767817	15.3475202035948	-1.90402685150397	19.2272841140032	14.8946655114703
FLRT3 FST	-2.81941211015394	20.3382627907892	15.957104620376	-1.11170381453018	17.8509974338848	13.5482272046381	-1.89209366178191	19.2376944679711	15.1432323009895	-2.16738466103317	19.3226413357304	15.0797860107019
FLRT3 FSTL1	-0.134837493425281	16.3613484694642	12.4981794158349	-4.02196062937207	19.7245988045441	14.9390276739666	-1.2894617028792	18.860552020248	14.3830396392263	-1.30299904911536	18.3147500881607	13.9354209570552
FLRT3 FSTL3	0.599080209893109	12.3830167325322	8.94824392046301	-0.258340735127663	15.8297397678535	11.4147072810771	0.286902960334886	14.3335050138351	10.4164396909104	0.292937993872941	14.4208415776494	10.3718553559441
FLRT3 FTCD	-1.11606637233737	19.005418220522	15.0525212453147	-2.22954315770461	19.7219189795112	14.9911375258916	-2.14202292693863	19.9770640649248	15.5661515451152	-2.07044424336369	19.9073511411919	15.5622143313689
FLRT3 FTH1.FTL	-4.96251378955298	20.691970431776	16.6133565772063	-3.80625492850557	19.0388930954141	14.9906639817875	-5.46128765602661	20.4318280533647	16.2031158549278	-5.20875450109437	20.1907570347364	16.1023610189175
FLRT3 FUT3	-5.93081208890379	21.1375831921147	16.7779570452716	-12.0609263768717	20.9811339643841	15.7402020182974	-10.6352408480317	21.412250963199	16.7016345129339	-11.5305388268839	21.3026385197053	16.5069897208892
FLRT3 FUT5	-1.12401866366807	18.4387039686897	14.7063843659634	-2.69361467698392	18.7252106287553	14.7675088672323	-1.25604079201571	18.5583111188633	15.0425682348504	-1.68091518330949	18.8975990934725	15.0209886974913
FLRT3 FYN	-3.4603685071892	20.7171689238718	15.630439602249	-4.63853838262581	20.44741360391	16.0319201534576	-4.6613810567589	20.768522770781	16.3571823787018	-4.88724345951578	20.6380709755715	16.1263255979847
FLRT3 GAPDH	-7.66540533894674	21.2383113019654	16.6514262289142	-1.74817398361963	19.2575980992455	14.443881033079	-4.10602589872344	20.8628662917177	15.9373424206561	-3.27952408621974	20.4700635064913	15.7328502623136
FLRT3 GAS1	-0.00612501930240605	16.7944883590469	11.4594839596507	-1.30390567582216	17.8243936392382	13.3870399118874	-0.741587834028012	18.0210740925926	13.1515012494177	-0.570335730926324	17.6834690156562	12.7339276521777
FLRT3 GCG	-16.4221337852923	21.4708654356581	17.0835969675107	-7.89983557712264	20.4135395975715	15.7310993498051	-22.4197855029074	21.7063258295662	16.9756500949121	-14.4364262021151	21.3904691289345	16.7782682119349
FLRT3 GCKR	-6.09450962839528	20.6650145531072	16.2515317102321	-2.7036244848995	19.6078875584966	15.1971824070165	-4.78657811913182	20.2524334609154	16.1474539555362	-3.75581625456354	20.5452677941528	16.0538341234286
FLRT3 GDF11	-10.7514905947966	20.7648252417152	16.8181136621424	-19.8474590360842	21.5266482076968	16.4877719714709	-11.827779739556	21.4075630740751	16.896247883577	-15.3209193265257	21.3879988460584	16.8679593582189
FLRT3 GDF11.MSTN	0.125131000455668	14.6167341516467	10.6976597438785	-0.753735318037305	17.068185634006	12.3017024837286	-0.199807404556901	15.6943900949859	11.5568338099926	-0.252243304077862	15.9808099666454	11.7027200817096
FLRT3 GDF15	0.813456349159865	8.90372835640058	6.74615325082572	0.668795894316178	10.719892088442	8.24457451606129	0.721103716511782	10.3663148301349	7.8662745648524	0.716849007408233	10.3649194637141	7.93176346995769
FLRT3 GDF2	-6.43089194303909	20.4279154063038	16.6146375002908	-2.895215358869	19.7914521378364	14.6137890736728	-6.30340683096311	20.5273358881741	15.9940244123473	-5.02733829128857	20.5196367492576	15.9818993562826
FLRT3 GDF5	-2.72562838324368	19.7835682804641	15.2095692322314	-3.88852967228295	20.3802515749597	15.1589095609307	-6.369393030029	20.7249457677043	16.2043291864064	-4.15398285018529	20.4685199052134	15.5118335288465
FLRT3 GDF9	-4.2291434071161	20.8938357350308	16.3593390148283	-4.03236465315699	20.6065817396461	15.5202902589718	-7.31796876433888	20.8650761106737	16.4640143371661	-6.09718927909443	20.9303527322238	16.4186555466805
FLRT3 GDI2	-4.85671892901954	19.9287205004158	15.7520524450075	-4.10864933492761	19.8036684439832	14.9469451557371	-5.70472613301686	20.3288898855084	15.9266330872607	-6.15628112686361	20.2725927079485	15.871837546405
FLRT3 GDNF	-2.22692780834385	20.6675457400677	15.4060452808701	-6.24766493935966	20.4187680471423	15.7828039867098	-5.60457313109961	20.5983808517104	16.2267217243251	-4.29200210839526	20.8222826903866	16.114929085957
FLRT3 GFAP	-9.69021162029	20.3369575370794	16.061112103714	-7.24197292819221	21.0957669623573	16.1823910031737	-10.7399045171649	20.9173946704918	16.5134761993605	-8.95574534612192	21.2519814790706	16.5692481366704
FLRT3 GFRA1	-1.99449525983656	18.6747823098521	14.6183338447191	-1.46724175319933	17.5977482358475	13.2781698837686	-1.78614644380925	18.5928596450139	14.6032222221964	-2.31298184102738	18.6361637045848	14.5026276806149
FLRT3 GFRA2	-4.61303859698209	20.344166424956	15.9890973580877	-11.0359147752192	20.6771293760725	15.9998230155884	-7.68250641747927	20.5137048606742	16.1215295591445	-6.92396345486689	20.7985168220118	16.3212679850673
FLRT3 GFRA3	-5.46873031082037	20.4500919094182	16.1634395323561	-9.83007365041528	20.6367722205457	16.1627648022152	-8.74612864603709	20.9965402863601	16.5203843169961	-8.01278883416622	20.829137595785	16.3916608129046
FLRT3 GH1	-3.43546094514295	20.0736570691492	15.6983491321584	-5.79526531542633	20.1376272425422	15.2310121612591	-6.71629198919641	20.7274445812113	16.2383748979806	-6.71756549744751	20.5560349247162	15.9265111080428
FLRT3 GHR	-0.992227581108237	18.2675752884969	13.7993516234126	-1.74944696308313	18.8800406553003	13.2306572309452	-1.48551262761426	18.8791525336783	13.8652484916396	-1.57631085909271	18.9034379265615	13.8171331229666
FLRT3 GHRL	-3.7532912677076	20.261800241409	16.0705101085401	-2.64106606498269	18.7979873686549	14.1979366259023	-5.58040779695613	20.4149005831751	15.9132184072881	-4.10930759663577	19.8386871202834	15.4281475313248
FLRT3 GNLY	-2.63045013352862	19.6329188438929	15.3169345423336	-4.27151056718784	20.050142017624	15.2881772870808	-5.36811860544718	20.1856514767543	16.0142491345778	-3.87509906072879	20.1536173161834	15.7030230945687
FLRT3 GNS	-2.48657617071865	19.8847839677949	15.0993525533694	-4.21098223952854	19.7510840096351	15.287632577462	-3.63336275322358	20.2321150881699	15.867269893571	-3.65306064188819	20.2359247486306	15.7595212903604
FLRT3 GOT1	-14.5040617269769	21.4094186100276	17.0404994791271	-5.68035774983127	19.2738018691676	15.1351199754739	-9.64102965542973	20.7914377887978	16.3786833951104	-10.9515351127293	20.7482572495198	16.4411942304817
FLRT3 GP1BA	-4.82756666320001	20.0634730780016	15.6838587723954	-4.37648802453553	19.7104825896836	14.73124769203	-5.15480653665723	20.8125052932934	16.1656928425923	-7.4736128311335	20.5051845684064	15.890679631259
FLRT3 GP6	-6.44115824806865	20.5156046634856	16.1060246856122	-2.99767129767304	19.5909543705932	14.1237895624134	-6.67232102679492	20.7446536223398	16.0355517883083	-5.29421482850027	20.391895142979	15.4803599303277
FLRT3 GPC2	-4.86085529751243	19.8307421105061	15.8151766673893	-5.46151630897712	19.6570368367151	15.1669161322803	-5.22161139800905	20.3592320404868	15.9622047219799	-6.41091689514686	20.2367363295897	16.0225253366088
FLRT3 GPC3	-1.70773141295958	18.2573013385308	13.890863327794	-2.24891035937463	19.8150359141569	14.1244715896333	-3.57012553628725	19.7869553674925	15.0908000292713	-3.07346261529859	19.415185083979	14.6355830064006
FLRT3 GPC5	-3.61706927168003	20.4357243453971	16.3319965332575	-4.50316501855874	19.9991964080825	14.6353379663935	-3.94601904632516	20.3183434515255	15.5656649552107	-4.95165252542974	20.5705399180976	15.8319130056063
FLRT3 GPC6	-7.70150066923855	20.2138739883526	16.1371667927729	-5.15032108167168	20.0002789486946	15.695436175732	-7.157159381199	20.2557264636072	16.1494809021715	-6.91852794465481	20.3757370327807	16.1943716102331
FLRT3 GPD1	-1.77959964001895	19.3697243556405	14.6714391788034	-1.76717725192753	18.1227748406038	13.4622195253545	-2.42840143224901	19.2484716836197	14.7036773748401	-2.18075507060299	19.171929380987	14.4851529771593
FLRT3 GPI	-5.2662086536861	20.4222357400745	16.3967676368737	-6.59232351702463	20.4617209464793	15.2110549193211	-7.7680760244845	20.7620473351927	16.1952099512652	-6.56872238153023	20.7747775035146	16.2179005858796
FLRT3 GPNMB	-4.83913998034016	20.1100043354074	15.9894252774223	-8.57387028691391	20.3274197822516	15.3717132489472	-6.49438961545093	20.8275948414514	16.0933823786048	-8.81542543699352	20.7123130233485	16.172756672827
FLRT3 GPT	-0.737364753703867	17.7622346611478	13.2124772472151	-6.12902573515457	20.5521962563097	15.4506556616642	-2.91557548411901	20.1606181584258	14.9006168718699	-2.45472672497012	19.4120451114403	14.5349289864492
