protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FLT3 FLT3LG	-3.72935567903227	19.6687229779757	15.7154481589357	-2.1557314915284	18.72312467266	14.2916613061262	-2.68092766714589	19.6364683866509	15.4097201656795	-2.58743003436813	19.4539422857407	15.2595837539746
FLT3 FLT4	-3.02737048710726	19.8194527359848	15.0752174055965	-4.11979643949419	20.3646139550028	14.5624891126338	-7.24883648383342	21.6287911167997	16.5456557670548	-4.82026373505429	20.2771697169523	15.3017494207753
FLT3 FN1	-8.28595473897355	20.9280993449602	16.2150826924598	-4.02598665657182	19.9899400718957	14.5383142392471	-7.2904755762472	20.9974741719902	15.9724481090902	-7.57580303647748	20.7572909478334	15.8188079454209
FLT3 FN1.1	-6.34663803917951	19.741517797023	15.6164037437664	-5.7720632617076	20.2725047351972	14.9513482987391	-7.88876952689836	20.8207882890074	15.9410943654187	-7.38831432236277	20.3684807725056	15.7667213708714
FLT3 FN1.2	-6.10661934457851	20.5243188943479	16.1713468256709	-3.13354061244513	19.1805744181264	14.040873285502	-5.32091621657908	20.3642799004236	15.7918456875662	-5.70919413948298	20.1471867238897	15.5878819895988
FLT3 FOLH1	-4.51154217889079	20.6102028884349	16.2593735190264	-3.69120298986444	20.5129566791726	15.0433758347296	-4.09127583775966	21.1409537053233	16.1590377984831	-5.02432760332196	20.8266116921658	15.9635696338414
FLT3 FRZB	-1.29432608251802	18.2805190720639	13.9384638775659	-2.48054840974724	19.3833310360607	14.3707822379033	-1.84709458491406	19.321957369598	14.701412149433	-1.83652122097377	18.8171774047633	14.4553863238899
FLT3 FST	-3.1893536592285	19.6201381341339	15.2911139335938	-0.996720114408922	17.4939652775435	13.5308157035718	-1.60227557861694	18.7882058509971	14.9078184202276	-1.9852451168356	18.8148644096359	14.7681298038452
FLT3 FSTL1	-0.147485544960832	16.2861638962316	11.9913514402278	-1.74383872866665	18.2088331255957	13.7850424459619	-0.984364842676788	17.7864869589058	13.8088177615224	-0.694796493474892	17.4221999439887	13.1700502910857
FLT3 FSTL3	0.532732968790686	12.2993359314331	9.58680742948361	0.0565925686550064	14.7371481356308	10.321601367428	0.292786688059388	13.9783696211188	10.4307571232626	0.359145177626292	13.6734653234327	9.98173166415134
FLT3 FTCD	-1.718351878153	19.16858410044	14.5106854460665	-2.83792754199419	19.8045659308189	14.4954840490357	-2.98684822668254	20.0337045215649	15.0149098371948	-3.14206693332867	20.0266509410052	15.2291155233964
FLT3 FTH1.FTL	-5.54950825094451	20.5855562665206	15.9737047405829	-1.91566045714149	18.2001961497099	14.0693617238606	-3.57480227230567	19.7759260940868	15.623723354904	-3.93255013387534	19.6209794411844	15.4159634584149
FLT3 FUT3	-7.6625299197394	21.1666954423826	16.4070319459409	-6.15685547034355	20.551814341281	15.5385673338031	-8.0373533633037	21.6430679356015	16.7427743238182	-7.90648430963419	21.2466554220782	16.3343829840428
FLT3 FUT5	-1.93191897094852	18.8609829893588	14.4881156889399	-1.43081726707437	18.4282045662625	14.0086979795566	-1.42209088677147	18.7236741284577	14.7459447583158	-1.66212662742151	18.7139215453328	14.4961345101793
FLT3 FYN	-3.6692271705967	20.4154682782382	15.6942738028053	-2.89196884998439	19.7789378613965	14.8873601006615	-3.31573129384106	19.9465764349689	15.8458950269601	-3.70655007972644	20.1881434122637	15.6440643043683
FLT3 GAPDH	-6.55233265261126	21.1319195595167	16.0857597706568	-2.17802757801979	18.8999099531071	14.3587475108475	-3.69914705199595	20.6077469167508	15.9412550770093	-4.05596603234	20.3702748272465	15.584629451812
FLT3 GAS1	-0.289962368578883	17.5092851239091	11.823895073001	-0.917554701720934	17.4685107594027	12.8260420637567	-0.478998231572198	17.7447290622918	12.8535216268305	-0.547023347392546	17.5800964380959	12.5095772774856
FLT3 GCG	-7.2700264329076	21.120987776627	15.9181023284282	-5.09570114253262	20.4459426183058	15.2483110611295	-8.35099371049772	21.7288359166943	16.620740677238	-7.46786552708924	20.9742126713065	15.9862693210852
FLT3 GCKR	-6.35086499377322	20.5350061674221	16.0123739171085	-2.20037116102002	18.9731691251351	14.3552133368638	-4.39266016257072	20.0511471641289	15.9621983868456	-3.89738437956816	19.9825754944246	15.5141051552873
FLT3 GDF11	-6.53103305532492	20.7594875000558	16.2813587731428	-6.85596890218293	20.8484920069641	15.5800526119412	-5.51679644308737	21.1601382798549	16.4491641918755	-7.22009783977801	20.9449331598921	16.1278907896438
FLT3 GDF11.MSTN	0.12133546481315	14.4612146439089	10.8023025984722	-0.341662816192971	16.729293794542	11.5339965568595	-0.470551143968091	16.4568799755249	11.9300051250229	-0.202489276422248	15.9909195560169	11.406101158194
FLT3 GDF15	0.831073657062322	8.63542423292705	6.62044132493797	0.602089939285035	11.2190558810829	8.06710697088579	0.731494385557352	10.2605313428255	7.94099771201049	0.717866598991991	10.3253548999709	7.58165896267204
FLT3 GDF2	-3.91108125586672	20.4726120435333	14.7680948512303	-3.86063765948179	19.7750767722331	14.6249679209509	-4.43442385182315	20.7574618480665	15.8275835614454	-4.35958920637184	20.4117469187748	15.1741800113247
FLT3 GDF5	-4.59130362813189	19.7294333238488	15.4831923784626	-3.19865398384277	20.2495209194876	14.629440160663	-5.64996244712399	21.1845148990979	16.5328074340429	-4.70476153519221	20.2969281112065	15.5943286255799
FLT3 GDF9	-3.64706490776331	20.2203881618496	15.5535530773046	-3.57680959403457	19.2792717823096	14.7358886656913	-4.65833470208562	20.4770190989996	16.0941260480611	-5.49688414576209	20.1891806482115	15.8318583653076
FLT3 GDI2	-4.58171279792282	21.0315298962721	15.8448966092172	-4.58440406938345	20.3042752005373	15.217525990547	-5.4368735874339	21.1889338239321	16.4485888808765	-5.11636102293693	21.0505369582213	15.9351178226246
FLT3 GDNF	-2.25474630907254	19.1040593830014	14.8899907846994	-2.8258974232337	19.5499414771032	14.6970112114178	-3.4632051474167	19.8919309244429	15.5559700179371	-2.54702378982859	19.7193065171978	15.1360188733387
FLT3 GFAP	-5.55827164278335	20.7055850994498	15.8921502191165	-5.4676431249727	20.3810811008799	15.4770770588636	-6.31322408993424	20.5995775611624	16.0475280265602	-7.43440952624964	20.6563924921696	16.0467949121631
FLT3 GFRA1	-5.49257191975335	19.8278249175788	15.5973128972363	-1.08309768141881	17.552490318776	12.9178718564229	-1.87059703793253	18.853321324258	14.6099911472785	-2.14125266132316	18.7916491071312	14.5457721286638
FLT3 GFRA2	-1.76412346428658	18.2058749923266	14.1309889225535	-3.0494563098731	19.3966229866859	14.9329635450307	-2.59947163918333	19.9104726293834	15.7311517843697	-2.75386764388512	19.5701930178966	15.2113005693637
FLT3 GFRA3	-4.25213493137212	20.4736594229491	15.8415871489361	-3.480985172221	19.992195062803	15.2781937667837	-3.58909427880857	20.5657576061861	16.1755540230621	-4.48053527958984	20.2552774039489	15.7955847575797
FLT3 GH1	-5.6961782467032	20.7696643374204	16.1292945353183	-3.03414093645682	19.1359530026995	14.3129635173015	-5.57705399343901	20.6009189834992	15.8779617607381	-5.83162772593389	20.2728733808901	15.6233192852249
FLT3 GHR	-1.69463579500343	19.0608773539708	13.7132754853029	-1.17046818394865	18.6305944495661	12.8707100684971	-1.68817505648654	19.5405560047445	13.9658020199529	-1.52881196006787	19.0505129497169	13.6424118613307
FLT3 GHRL	-11.1394675078066	21.2408274306234	16.7438805465734	-2.31880996175487	18.5224819924684	13.6911132511718	-4.7271484889158	20.3628024048792	15.9162700081771	-5.08863374674165	20.0814066860455	15.4368278726277
FLT3 GNLY	-2.77393697891009	19.2100507046089	15.2820850339073	-3.50563700009129	19.1919978221194	14.7264788723195	-5.07181832837363	19.9683396051252	15.8420298945069	-3.61385558959432	19.6870188845158	15.5515623038383
FLT3 GNS	-1.84075277294445	19.0493592077454	14.125385181286	-2.87054396176416	19.6141936543841	14.4009278691513	-3.51483558493786	20.4520413387107	15.6269805480834	-2.70889317332316	19.940267493751	14.8932300089739
FLT3 GOT1	-6.22086635732573	21.0666380702246	15.6058417073795	-2.03827841942008	18.6580238462854	13.5989419418942	-3.45439600753006	20.2186270096238	15.0509446262023	-4.05614096848073	20.3443590218331	15.1036956780327
FLT3 GP1BA	-3.47634650975193	19.9033965021554	15.2186298131571	-3.62578391858583	19.2279533288828	14.1855034245395	-5.57578590750109	20.6794977481237	15.915335346487	-4.79061832800845	20.1771639964358	15.2935226154051
FLT3 GP6	-10.6645981731381	21.021612523419	16.3592842625912	-4.15318881515963	20.4551935085365	15.1280471724756	-7.57502945249672	21.4643560341409	16.4656189408083	-7.91417488221564	20.9265630695074	16.0164950345866
FLT3 GPC2	-3.18748678536318	19.9980907860901	15.139169890445	-2.63336969886739	19.9173750269523	14.9154352161508	-2.78846178412901	20.4914225908777	15.5575830622905	-3.28364293658638	20.2663314819601	15.4848009246643
FLT3 GPC3	-2.52291368724348	18.3363962292488	13.785342851901	-2.55880308122473	20.1080173290126	14.4213222374894	-3.75736673830508	20.2253494524489	15.3224515320782	-3.05161794283972	19.4779596634682	14.5591010739693
FLT3 GPC5	-6.44086359589967	20.9731289035831	16.0675985570096	-2.83810343808323	19.7077125859409	14.7109342411676	-5.48320306451079	20.5950483289743	15.9359419084146	-4.92889603912773	20.5605120013802	15.642346999754
FLT3 GPC6	-2.94236677168439	19.8394476137962	15.058470935199	-3.60776030128985	19.8931454814092	14.9275113543192	-4.54509591354786	20.3443032846269	15.6964656714389	-4.22166509087189	20.1581199814759	15.4384979405232
FLT3 GPD1	-1.8968950426668	18.3875672344408	13.7166637005831	-1.14553140478107	17.1964366409973	12.7692869699352	-1.82184354028942	19.0698263998554	14.5583504809574	-1.91420811029775	18.3086765317901	13.8244283395404
FLT3 GPI	-2.73635472223818	19.0317587941091	15.2624690044813	-3.79394799578722	19.4814882583557	14.7382645610728	-3.65692024352893	19.9267133153744	15.5819678632837	-3.7743592326728	19.6425434056198	15.3363526896446
FLT3 GPNMB	-4.08910303470248	20.4316682857721	15.2762169977404	-4.92136289645652	20.0471323438203	15.2894078033411	-5.03400628863629	21.1741433349492	16.2172116284009	-5.79259428974617	20.5930613920832	15.7104928175266
FLT3 GPT	-1.36841527286682	18.3642292342606	13.2460236832978	-1.72045737250861	18.5582480768593	13.5858939414099	-2.0107132583369	19.2660696272254	14.2302687399769	-1.65475750058322	18.735165800418	13.7400744876179
FLT3 GRAP2	-2.50001089241898	19.4252393874626	15.1449902325649	-2.38037888602308	18.3208895292944	13.9308997555587	-2.56701550781164	19.2414626930764	15.2634400349745	-2.80681251368733	19.1747273668549	14.99728411417
FLT3 GRB2	-1.43794436556565	17.9154869861895	14.232649263209	-3.95803140183579	19.4218948016384	15.0430311093619	-2.37247315359219	19.2496910998237	15.4641947614968	-2.67833719935565	19.1016224364768	15.0649920098305
FLT3 GREM1	-4.34183567852375	20.4590407149948	15.7015734028507	-2.4814926008259	19.1883827252599	14.494862780519	-4.9465075259636	20.3949859232443	15.9081031685353	-4.56463856507159	20.2788784221847	15.7390180194428
FLT3 GRN	-2.47225091759302	19.4544124497406	15.3527615130078	-3.53925149511569	19.5513894258725	15.0339236242819	-3.41696512148529	19.8960463842715	15.4761989874005	-3.05025091919794	19.546903537075	15.3948083103096
FLT3 GRP	-4.53541538904202	20.0900979587955	16.0971160115737	-4.00093643368486	20.0060312867171	14.4890773382437	-5.37781910234895	21.0323905501654	16.3749000864122	-5.3410055294115	20.5330785315551	15.9473757953736
FLT3 GSK3A.GSK3B	-3.12826737141391	19.5947678471646	15.2312088866901	-4.27811034807549	20.0926865603711	15.2812016886659	-3.14498350688428	20.2765611975707	16.0534073342402	-3.82319362696776	19.9056280120927	15.5133998419624
FLT3 GSN	-5.60928865662088	20.7899324504949	16.2489833406721	-2.87884246252594	19.5835020106734	14.7496140248252	-4.17051506629563	20.613140465805	15.9588057034934	-4.36626583797823	20.4572357193901	15.7823786170295
FLT3 GSTA3	-7.41932489675018	20.8169524172249	16.1910917150314	-3.19113201068946	20.2671163049337	14.6518247859103	-6.80395546342331	21.5658343848472	16.5037808566808	-5.73752411261694	20.8209918363117	15.7721050722245
FLT3 GSTP1	-5.76166063787713	20.7830820893484	15.7527128999694	-4.31475003355818	20.7499963719563	14.442309158074	-6.49230365824788	21.3282983304228	15.8952621799136	-5.44717361096915	21.1165115385404	15.4986949087381
FLT3 GZMA	-0.593453787128722	16.7221715101926	12.1296807738673	-0.621450909679198	17.4888613623687	13.2551682187362	-0.771543498421293	17.7545775207515	13.3831120791605	-0.829443118714745	17.6019400579353	13.2346246794391
FLT3 GZMB	-0.585397339158501	17.5144987994028	13.8416905769279	-1.71217608634495	18.211957889127	13.8484561035017	-1.62776653348945	18.4930219656289	14.6984605169733	-1.18789036923845	18.100653404481	14.3714771664374
FLT3 GZMH	-4.34585217794859	20.1062007668423	15.6589195089352	-1.98465733262611	18.6087253995045	14.0697073744865	-2.90469276125321	19.7331929954728	15.4348683406795	-3.06019299168674	19.4365600724894	15.1399116647682
FLT3 H2AFZ	-0.673617612724538	17.546108025655	12.5947988028135	-0.4833988266258	16.647217142557	12.167150355904	-0.524663387624586	17.8421277864909	13.1672853312815	-0.651707359611319	17.2792004608904	12.7007598106539
FLT3 HAAO	-2.41643557458829	19.8718024868965	14.9292784859069	-2.36910744190078	19.2240700121872	13.9457554893633	-3.48345342995225	20.3569417621845	15.5776931181266	-3.00376689394984	19.8568924725643	14.9919021709846
FLT3 HAMP	-4.58210779003383	19.8376497588435	15.6131579799282	-3.95432429834209	19.3628188109382	14.9155902508515	-3.49868800882136	20.0529095841407	15.6184750462457	-4.18059929469734	19.8197504266413	15.5537339284724
FLT3 HAPLN1	-8.07821078886807	21.081740651459	16.4038455910143	-3.91847336595872	20.3820220317919	14.7399035185256	-7.89545629273745	21.2235492739019	16.3181205568341	-6.43941221392464	21.1025850703867	16.1698969442012
FLT3 HAT1	-3.08425025945349	20.068793770788	15.4629932767149	-2.12096716955841	18.2546115381952	13.8039487648875	-2.57515071355661	19.6118567310441	15.1612212303876	-3.91708042791444	19.537511549646	15.2436744964225
FLT3 HAVCR2	0.080300806020526	14.4755811455813	10.7438976295495	-0.382725732020099	16.332848926949	11.3097085913902	-0.189402920485553	15.8307454215187	11.5164882560923	-0.155374301706102	15.5349823588588	11.2512471749025
FLT3 HBA1.HBB	-6.49788757123084	21.0220531781122	15.879318284954	-2.15990516227531	19.3221083313039	14.3361288175198	-3.62513972143967	20.7071678700427	15.5442915038519	-4.3580749795599	20.5285111526325	15.594487298008
FLT3 HBEGF	-10.8963753627896	22.1864759428089	16.9165924598301	-5.78088820919533	20.6731242195593	15.6953831051827	-7.41771901730253	21.7862464157872	16.6191067714358	-8.86661853753938	21.4438551807512	16.4905901060907
FLT3 HCK	-5.53861707766734	20.9736159860741	16.0788911782454	-4.38031074829356	20.4565101511292	15.3784807301707	-7.91655958057323	21.3576530810065	16.4702544349154	-7.99790886556949	20.8901025467607	16.2332185879609
FLT3 HDAC8	-8.98912762934394	20.8661491933429	16.34011106815	-4.483841111857	20.647663295372	15.1860304802102	-6.99015725751178	21.2738259168048	16.470615208031	-7.3670769155681	20.8916854444786	16.0776683228862
FLT3 HDGFRP2	-1.7916608344262	18.1090207242126	14.3831141741278	-0.852850749990597	17.0535642483174	12.7704002618048	-1.34232775409171	17.8239627125538	14.1959738236669	-1.35386712145099	17.774359100242	14.1959465389993
FLT3 HFE2	-4.85863191228592	21.0284771840403	15.8887925578669	-7.02997159374824	21.1139439521696	15.7944995522528	-7.20282500328435	21.6999643119737	16.5688264158746	-7.20659923501427	21.2295921486437	16.2435627786971
FLT3 HGF	-0.166268713720672	15.7328318249891	12.8858308311337	-1.0386948949018	17.347956239521	13.4274732129473	-0.520755071842234	16.7566803639604	13.6055757916977	-0.720771027186635	17.1003591833028	13.8218438886911
FLT3 HGFAC	-8.7176626031632	21.0889882372668	16.3960897453531	-4.45285544918605	20.0203588072584	14.9018344344798	-5.85966896897965	20.993719738496	16.1209483553456	-6.57073344008799	20.6784960340172	15.8772187733074
FLT3 HHLA2	-7.04509715263591	20.4290138727263	15.8614265099608	-5.37244652323613	20.2999482375072	15.5569109142304	-7.94916493130051	20.9189828558887	16.4834294056806	-7.94620443413024	20.7022663447008	16.1223280192825
FLT3 HIBADH	-3.69368314840441	19.3849041621721	15.6272750622914	-1.9901770832185	18.9042148450331	13.9987746122335	-2.65116057077409	19.6163226066143	15.5575457921336	-3.56969528786766	19.6568452125642	15.5413155688677
FLT3 HIF1A	-3.10635134677439	19.2769040964302	15.13263539566	-3.61351556662254	19.7590317810262	14.9316897976437	-4.48023807996247	20.2337581696142	15.8170639960131	-4.01777648529341	19.9503529108006	15.4581448894132
FLT3 HINT1	-3.63502877861141	19.5432785697058	15.2640668797921	-3.41784682257533	19.1504561746905	14.5678989745675	-3.33777609939	19.7033002139554	15.1111311299904	-3.95401112214067	19.7849564448261	15.3042499620042
FLT3 HIPK3	-5.84935538792998	20.5865743877939	16.317804758074	-6.82767291015943	20.223547366013	15.3728910810582	-6.0127050684824	20.9502166028275	16.3672464020097	-8.3191894649301	20.6838907211006	16.1632774039118
FLT3 HIST1H1C	-0.511946290293103	17.4354056437988	13.5186565101717	-1.30623176823515	18.4308820918022	13.1843105548986	-1.40802197778599	18.589994465596	14.1989050373195	-1.06258490299907	18.2305432222419	13.7124088176389
FLT3 HIST1H3A	-2.27577494875733	18.8594657684115	14.585518804028	-2.99376569538973	19.7079544730082	14.4336467287463	-2.75079933445967	20.0621844924949	15.1774648499772	-3.673513770503	19.7484479437213	14.9487618058943
