protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FST FSTL1	-0.249972406949033	15.768314611235	12.4636351254432	-0.414394952951753	16.8206577845995	13.1462290141286	-0.494403199894326	16.9239491553509	13.134844362912	-0.394681430270189	16.591328376052	13.1884562514103
FST FSTL3	0.295082568350732	13.6430923757537	10.498950463575	0.184900334473072	14.549598409079	10.789389729519	0.233978484869438	14.392891255576	10.6783957225478	0.243488722704019	14.2036223204682	10.7973676542969
FST FTCD	-1.65016240178209	18.4508746365259	14.2348388550031	-0.342526639617455	15.6892924682204	12.2347803472154	-0.682529238672396	17.4711886272925	13.8764837712192	-0.972446332042872	17.6906621661673	13.9345987305543
FST FTH1.FTL	-5.25666765263299	19.9949541443786	16.2739887099109	-0.215129053195403	15.8363021611377	12.6211023288639	-1.83749569500289	18.2601311526513	14.6354118716262	-1.53246303218258	18.2362678979684	14.6377944811586
FST FUT3	-3.96018739690672	20.1427643847171	15.8263726385943	-0.583653794608846	17.0183283321539	12.7513661203155	-2.13381029621932	19.2120792370017	15.0326024604551	-1.77345572375185	19.022830557983	14.6245188070114
FST FUT5	-1.51862862529964	17.8492264898595	14.0772550629312	-0.212432462648537	16.3650796972699	12.8276907264122	-0.648504531759902	17.2530200173055	13.7523588144329	-0.662365389680321	17.3131323016837	13.7492670381934
FST FYN	-2.08953793458222	19.2038214586639	14.4099254703346	-0.71659497419495	16.6081245793391	12.6949806617823	-1.22223569570083	18.5262101263235	14.8365220554783	-1.29179467836094	18.1835278728882	13.977187803035
FST GAPDH	-3.3902720217342	20.2730423365829	15.7858175413793	-0.729254871858912	17.7299225855918	13.3726091461425	-1.78996667839967	19.3469100979114	15.031789107354	-1.81859956687959	19.2588729301494	14.86920662096
FST GAS1	-0.0764197109385576	16.05640178264	11.5836367663736	-0.296991807572317	16.2462562715168	12.5025984065757	-0.245805983038536	16.5132299724855	12.2346358738627	-0.204800830228226	16.3466573128824	12.2048321251086
FST GCG	-4.83404551297202	20.3546294079718	16.109461869658	-1.91580001191316	17.7690820449275	13.7951216497306	-2.99509143802586	19.3563524450066	15.2560648784255	-3.47518030172979	19.3999289222073	15.2533285923629
FST GCKR	-1.93814137773019	19.2001226275598	14.7809434829976	-0.529886052669936	17.7356603657745	13.8920889127447	-1.96007202399705	18.8524521084619	15.1299275297326	-1.41371441863441	18.8979454244955	14.9553142497201
FST GDF11	-1.89832441091931	18.9679544404374	14.3103886511022	-1.00447885961457	17.6621064168345	13.8575354072245	-1.91094201648227	19.4256505155603	15.5727702430963	-1.99667819429688	18.9973541590587	14.9800830068388
FST GDF11.MSTN	0.177822194457115	14.6625573384297	10.7154655038843	0.241952078951859	14.1017307930575	10.2531987200126	0.140378836360699	14.9183994050763	10.9384772133089	0.194636175706943	14.5520769644971	10.6768250481517
FST GDF15	0.797098111990004	9.03652964585758	6.78527348888498	0.640099958792085	10.7709556984646	8.15859855436059	0.714539838818495	10.3492572739607	7.84945286338459	0.722877177848131	10.1465607484792	7.75816056464847
FST GDF2	-2.37720662864511	19.0315878001366	15.0935979759255	-0.606236621117747	17.1108690447054	12.8780702951508	-1.17955468862042	18.4950543699923	14.4072076413463	-1.44291958812864	18.4416793588874	14.352001521617
FST GDF5	-1.44884713775095	18.5744631304778	14.5706767023984	-0.690368363332278	16.7053223580548	12.7233382486523	-1.59192272963126	18.8309047377847	15.0291242339457	-1.26775313888925	18.0257926782892	14.0411225371166
FST GDF9	-2.81250229065077	19.2458614868939	14.6166303508419	-0.773974858412495	17.5867145275146	13.679111929352	-1.59097446311821	18.7691153542735	15.0275531691935	-1.69709756140436	18.7722722986369	14.9034251958422
FST GDI2	-1.7546499360787	18.7252316198642	14.7787416918141	-1.11381018611605	17.8421288395293	13.9309033747675	-1.59278720505378	18.7584606101559	14.9263376952203	-1.49150235662793	18.5655668658332	14.6767041271417
FST GDNF	-1.95650849177205	19.2977292210109	14.634564000012	-1.01203677534798	17.8810638393731	13.9660538365802	-1.88238059018398	18.9443839461518	14.9066149710659	-1.54361266662267	18.8768665559436	14.7094973663532
FST GFAP	-3.09051928890254	19.7116601331337	15.73392169713	-1.09757540815648	17.6555143128291	13.6648598350328	-1.70460242964164	18.9712161555583	14.8972342536492	-2.25256485082386	19.2186087126795	15.0683425998579
