protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FTCD FTH1.FTL	-2.02838282773043	18.9223395402362	14.9972410251214	-1.90284266271737	18.9306116733672	14.4600865569966	-1.78526722203092	19.3304353391557	15.1275165488591	-1.87756472922426	19.1864886128713	15.0865778042321
FTCD FUT3	-2.31580221072831	19.7749712509845	15.1528407603319	-3.44153449979138	19.8154058754343	14.9134562667608	-2.30909567107385	19.8038566534817	15.1690337221328	-3.49128309581337	20.4167030646972	15.7667738968036
FTCD FUT5	-0.590220857535577	18.1088336822774	13.5921827013512	-1.27054859510986	17.8598595652074	13.5424672172997	-0.75800047643366	18.2330030842327	13.8955282922424	-0.983234947602749	18.5260751420589	14.1411998201582
FTCD FYN	-1.54171979078816	19.1238783554936	14.887200395903	-2.97560146983691	19.4745829788567	14.4940871720841	-1.86798372555825	19.3481670442242	14.6659478318834	-2.77584382904973	19.6078616167476	15.3484163026631
FTCD GAPDH	-2.07835643030418	19.5758595551739	15.1252378738769	-1.05412463137173	18.0409907541074	12.9898611778412	-2.04085325096207	19.2995881044177	14.8575602931488	-1.53180119576831	19.0851055558712	14.4313920984731
FTCD GAS1	-0.0847590953559614	15.2835098880594	10.9975285154619	-1.28215868120816	18.3929659665373	12.9896480857241	-0.780010628678911	17.508541225062	12.6224078477651	-0.714072765023296	17.213306381318	12.4192821352091
FTCD GCG	-1.44118923678482	18.8095992694254	14.8669057867955	-4.38383957651555	20.3469645493514	15.1182133973563	-3.18512400913195	20.3744664989442	15.7334140142454	-3.52696895731812	19.9096215370426	15.6733499196956
FTCD GCKR	-2.06482893683399	19.5635940537052	15.1421165869296	-1.31043148266289	17.8678468539915	13.0538494147011	-1.57193298502436	18.7447771998949	14.5059940588842	-2.03401348665383	19.0619614551972	14.6666449220349
FTCD GDF11	-1.23746055010219	18.8822615000946	14.5300658967596	-3.63612375547385	20.7806547158714	15.4065335699243	-2.74212866755933	20.0416008031602	15.5838925362601	-2.80358347943259	20.1711234945452	15.607999421253
FTCD GDF11.MSTN	0.0670864964820078	14.7402368552148	10.4852479141965	-0.676116254090074	17.1407661252177	11.8953989608027	-0.353951706039137	16.3936602302314	11.945700280377	-0.266421884935657	16.2281320117326	11.4825295758495
FTCD GDF15	0.880271781055937	7.10756866383158	5.73565943798731	0.658270147754543	10.5035910203038	7.72301077364014	0.791954045411753	9.07679599016367	6.81945478088979	0.775772799492668	9.18923957197364	6.94397825803133
FTCD GDF2	-2.16145716771184	19.6747353064809	14.4350950919575	-0.672939886340786	16.9598247851804	12.0402324624464	-1.2229805502322	18.4036923424525	13.8143656972746	-1.69599574730515	18.5708297139441	13.677915739612
FTCD GDF5	-0.867098631195668	17.7237086800257	13.6391028420181	-3.07672795127976	19.7375556711662	14.8883964412035	-1.80374820966109	19.976312760338	15.1153154681175	-2.50483889610084	19.2148833964207	14.8386536534588
FTCD GDF9	-1.99752191043681	19.5624845173312	15.1950546758934	-2.20633196622023	18.9850918888788	14.0578714067738	-2.2358143712653	19.3067673906721	15.0910802486748	-2.07343781542627	19.5349450439867	15.1495509666427
FTCD GDI2	-1.1911792491264	18.8214479425303	14.0038800441674	-2.83486918357475	19.8661326116092	15.3350598876597	-2.60099613784892	20.2066095207339	15.4718419649926	-2.42471040512109	19.8572268057449	15.2310113200734
FTCD GDNF	-1.33283852804263	18.8481698969465	14.4615071358578	-1.45274547997625	17.9886129354143	13.1377229217332	-1.96065845491045	19.1183220227969	14.6178550213958	-2.00439418575783	18.9532666088833	14.4602093436564
