protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
FUT3 FUT5	-1.75641239200132	18.5714564354392	14.7956125895586	-3.15430689040714	19.2678758896222	15.4268770149706	-2.01013559827303	18.9127509591414	15.3193476071977	-2.8584963656438	19.2380818782542	15.4698119518677
FUT3 FYN	-6.57828446008854	21.5909031426289	16.1666169673066	-11.6928981938503	21.2131242073276	16.3413387161935	-15.6679942567963	21.2818237369124	17.0915295561359	-10.7469453828226	21.4060084049542	16.6469566776462
FUT3 GAPDH	-8.14302470599885	21.2733632106149	16.588795126086	-1.71710606293123	19.5344028667275	14.4705336677978	-4.39537800158176	20.9298221222661	16.2788965965579	-4.57838459443618	20.6663036702474	15.8818653540921
FUT3 GAS1	-0.463729824006294	17.171827776399	12.1246694045859	-1.96817125714508	19.1148587214543	14.1259405038132	-1.31173840800258	18.5022096603719	13.8511711341193	-1.17750933694572	18.4562795838781	13.4000128163283
FUT3 GCG	-9.76469178888635	21.311547508097	17.0054399205402	-16.4346107792721	21.0748931777363	16.2527438113691	-24.8993746264559	21.5934491735788	17.1387736600988	-15.6410808375169	21.5435907386095	16.9733658808621
FUT3 GCKR	-3.57808428572126	20.8447962711811	15.3004413242654	-6.55837856346294	20.2790056995728	15.8601732121901	-3.93652493160089	20.722320484201	16.0513826073788	-5.15475872398264	20.9065683796976	16.053569581174
FUT3 GDF11	-9.27914486002282	20.7902946243297	16.1064675149511	-14.6811531230678	21.5398197635725	16.2444904787315	-25.0812523128036	21.6353783642503	16.9367898535435	-17.8735076620701	21.7609225264637	16.9008906635035
FUT3 GDF11.MSTN	0.0142528154708949	14.990250986583	10.7005368919345	-0.887053923699522	17.6586151727718	12.3931842050625	-0.37856949230543	16.305794168458	12.0234651100769	-0.452852992202452	16.5177657928	11.8433368279701
FUT3 GDF15	0.817271641193898	8.62588339585422	6.63753494523544	0.55497614687031	11.5207499147303	8.81124432424332	0.695576583885305	10.5763256259651	8.22234212171683	0.68323941389011	10.552780048314	8.07637380076783
FUT3 GDF2	-9.97172084091235	21.3470515716277	16.9271342223766	-2.16249988358535	19.125153638135	13.9200814034102	-5.18322378557132	20.4775264891631	15.997695012651	-4.82575126158534	20.5521377699442	15.7544304944021
FUT3 GDF5	-5.58672136789615	20.1147298085154	16.0131437223944	-13.8194736120964	21.2028147902151	16.0068223773364	-10.7987534496599	21.1899989299822	16.5728183724185	-10.1200290958687	20.9081561327262	16.3654534402814
FUT3 GDF9	-4.70308197954856	20.2189854393144	15.9342847975676	-7.310455655006	20.2312865413327	15.5028773654826	-8.91717731330576	20.9552893350259	16.5998512735092	-9.00305640059646	20.6623354710668	16.3110623877766
FUT3 GDI2	-5.18202212207413	21.1920149440149	16.3738365230165	-6.95286596233435	20.5909067420299	15.7161747987593	-11.8986678561413	21.4463981585508	16.7589385823083	-10.0016922294136	21.1484231436672	16.5198715016343
FUT3 GDNF	-5.20357816264573	20.6832605863504	15.8226215630853	-18.1261981324682	20.8083358061781	16.5582585350326	-10.241986609226	20.8933180572785	16.8315236635685	-8.35613278495413	21.0036280625348	16.5286764619771
FUT3 GFAP	-7.61947773335827	20.2359643368938	16.3293483373938	-10.8943034306132	21.4691441540509	16.300401553262	-15.77288350682	20.8883777997796	16.6540484888692	-11.5858224712644	21.3930665954452	16.6858342075527
FUT3 GFRA1	-3.47199418926944	19.7836651644171	15.4876380808488	-4.77429071982463	19.4757475357319	15.2595402177766	-3.41569945006562	20.1202982206874	16.0358572136593	-4.16640963523009	19.9354626671726	15.7231171712938
FUT3 GFRA2	-6.72609241426284	20.5292845359788	16.066174110523	-16.1637354973137	21.0787257998087	16.0964785396956	-11.6036073380782	21.1474233412766	16.7009371393536	-10.7873625054201	21.1043534307967	16.4610421227397
FUT3 GFRA3	-6.52293462335987	20.7895612640321	16.3942853488975	-22.7114096761298	21.2256454586372	16.6305702122373	-9.38268280040415	20.9898040490772	16.6374731924371	-12.9374233383216	21.112950229936	16.7451741120007
FUT3 GH1	-3.84735786432571	20.3632436574554	15.8670102316095	-7.6335028730167	20.2980139738207	15.1166299666657	-11.1640270115035	21.1436088872962	16.6102685152451	-7.08733645945407	20.7650150699806	15.9299637944788
FUT3 GHR	-1.56226123635014	18.9647297320042	13.9826214552286	-2.08778191087201	19.9066380630634	13.6805407025115	-1.743736337401	19.6934543461834	13.9857177654296	-1.90007050057343	19.6786127884099	14.0998902024653
FUT3 GHRL	-8.58981306129929	21.0882226968007	16.4960458751973	-2.66008370723606	18.8670513504037	14.2154405447107	-7.26138821606487	20.3961133020165	16.0286138607446	-5.63405967377815	20.3363599205585	15.7782455801234
FUT3 GNLY	-3.66872181191398	19.9776900778674	15.405546122807	-12.7275273359255	20.9991759123578	16.1359714668009	-5.7973122425587	20.7844308263156	16.2465154854278	-6.22824244413408	20.7595314264299	16.1895560931298
FUT3 GNS	-2.28835279615579	19.8157912493467	14.343003409335	-6.6795365898232	20.3660784904379	15.5959857090203	-4.56533952788926	20.1626364081584	15.7046180099368	-4.45728832822894	20.59319199043	15.5032147614962
FUT3 GOT1	-18.1104083761833	21.9493263737914	16.9613646000593	-4.41599109366934	19.8044794347382	14.9081475533011	-15.3133851316105	21.2080299376503	16.788997040277	-11.3736861922829	21.1390754385672	16.3058160452431
FUT3 GP1BA	-5.78679985664253	21.8033793074739	16.2157700581577	-7.39308429684221	20.5087143788023	14.9799233554262	-14.8342914304601	21.4031170431769	16.7089458187604	-10.4486717048397	21.4636861533383	16.2080717188118
FUT3 GP6	-9.31969220248653	21.8586440419114	16.8936155268474	-3.25689243258307	20.5562287143227	15.1415652950151	-6.40624660887987	21.7460342341633	16.8694046381043	-6.01763533785909	21.3093009714269	16.2176105986889
FUT3 GPC2	-3.27702258519053	20.4469841227645	15.7209965403312	-10.877235926627	20.2856253158966	15.9599473059555	-5.61743517689026	20.7404895359549	16.3674350521174	-7.75716124681879	20.7369558933194	16.3426596346511
FUT3 GPC3	-1.87680091417718	19.1559155198389	14.530275122843	-3.81249642095486	19.9481895244821	14.5725440839197	-3.98950354092414	20.1673053146281	15.2920515171312	-3.69259296324632	20.0195632122357	15.0920639267914
FUT3 GPC5	-9.58684026984216	21.2988227723892	17.0517834637492	-3.83722926034562	20.5960787306825	15.3032644915309	-5.00803379324513	21.095414799108	16.2701449945516	-5.94564421790648	21.2665549901436	16.420977739533
FUT3 GPC6	-12.9317432660701	20.8761607598544	16.3517570867245	-12.9350152885393	21.0293501173349	15.7148618916624	-11.7710235574801	21.2563332001933	16.4669875727371	-18.2481703761342	21.1480772537076	16.4027175579749
FUT3 GPD1	-2.41471995618567	20.0836613418552	15.4318355049918	-2.41193935254118	19.2062587287466	13.8900531766873	-2.94113066689242	19.5865295045842	14.996079612549	-2.45551029261458	19.7328441388993	14.9120931319116
FUT3 GPI	-10.310803655257	20.9955262922182	16.9541318149947	-6.85481491954222	21.3156542095955	15.7214573335842	-10.8983913549848	21.3128125275865	16.6195151674902	-8.08947451497074	21.4478799343894	16.6330584734435
FUT3 GPNMB	-9.26846461519954	20.6497118373019	16.5421617545128	-9.27775527218242	20.8162960394253	15.6151004041329	-10.6235208668097	21.0003086035119	16.4153851857634	-11.4432186854178	21.0659879795826	16.503885934236
FUT3 GPT	-1.50659876452413	19.2373327125852	13.955895548772	-8.96420596597794	21.2242910754647	16.157219862814	-3.7989080954991	20.9019927712404	15.6814077106676	-3.68614134726459	20.4583940659648	15.235052806965
FUT3 GRAP2	-3.92260842431504	20.3887395585128	16.2855001102029	-6.87618064770206	19.7982720011639	15.4427837385402	-7.00910089105034	20.5438920954018	16.4382870287487	-6.09421512307735	20.3434177320516	16.2340237226053
FUT3 GRB2	-5.31623931821282	20.5119201783072	15.873347869536	-20.7388670425448	21.5928513486592	16.4722532538132	-10.4027758215939	21.4945288747581	16.9185207393763	-14.0637445277082	21.3659284816953	16.6610387195587
FUT3 GREM1	-4.89036807563909	20.2610047773175	15.9503608050399	-11.3382947549142	20.6548865503654	16.0549209642623	-11.8085918908249	20.9111422095199	16.6578985081771	-8.8026448797783	20.9024236311292	16.4275684918034
FUT3 GRN	-7.71678798525657	20.6065532764073	16.4862603756091	-12.1030198830428	20.8927245080828	16.055095262405	-11.9226327867663	20.8934624057843	16.3378463395403	-12.9908946972316	21.1147533236911	16.5988486380344
FUT3 GRP	-5.39850435094898	20.5367602836921	16.6818165802335	-10.9600970513591	20.7895672856038	15.9802431882199	-13.1718003614825	21.0233666571639	16.8745038016803	-8.95077110050965	20.882206087629	16.5550816545079
FUT3 GSK3A.GSK3B	-5.55685304293299	21.0872728427063	16.3918796767659	-5.01040679441777	20.7594015342163	15.6271851389997	-6.2765137391169	21.5318054245085	16.7111603749212	-6.17049866963061	21.1103958572859	16.2535148467003
FUT3 GSN	-5.40674086879639	20.4220173607372	16.0348066517911	-2.22737049998219	19.8616106140088	14.6368812900348	-3.43134824250381	20.5604716244289	15.9561291178207	-4.08112751184711	20.4263672648339	15.7286789152009
FUT3 GSTA3	-5.24451813791184	20.570380868432	15.7477519730599	-6.7877156363107	20.6996497160617	15.6968696862127	-10.9990923450382	21.2900468807607	16.6196167411704	-6.43364737768856	20.8587793020057	15.9887883477054
FUT3 GSTP1	-6.80899570551127	21.1497347266303	16.2898921718338	-5.69294120703023	21.6267272743076	15.134692852328	-6.47045845775063	21.8900014817144	16.2781235085554	-7.11026694652371	21.6391184682149	16.0299286393961
FUT3 GZMA	-0.523189652404369	17.4431633963509	12.7341490391715	-1.94011975642843	19.3373140697444	14.7824477719793	-1.27080406300979	18.8832277919131	14.2689141738018	-1.31600420584126	18.7284313587499	14.2203220593234
FUT3 GZMB	-0.92431384413385	18.2494541317818	14.2103644035102	-2.67630743095939	19.1102990905991	14.8975635053379	-3.0036668990336	19.1915829434162	15.6209115288711	-1.94487005202242	18.8600540137984	15.0167766784048
