protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GDF11 GDF11.MSTN	0.0463994173608098	15.0163040379957	11.0563068824739	-1.06034226529907	17.7716479808923	12.7287682274873	-0.402434335499448	16.4915133397379	12.2231055727636	-0.3986129562609	16.5279342501638	12.0052828193279
GDF11 GDF15	0.850306133241601	8.07943079987963	6.16881488061823	0.566516397652012	11.5441287082202	8.80051510873194	0.726562593536634	10.4246803479542	7.91141371110034	0.71044282018436	10.4514525892071	7.85580418161487
GDF11 GDF2	-5.9638476978524	20.6390798329759	16.1501169877618	-3.32445387303787	19.8850048772813	15.0419299981255	-5.17892887258137	20.6482263269906	16.1597518728226	-5.86910289035497	20.4697562915147	16.0838868785576
GDF11 GDF5	-4.0581711744782	19.8812736922562	15.7199922086236	-16.9180310743739	21.7847414451253	16.1833636476169	-11.8110670523018	21.3570478188468	16.9113918501791	-8.98890012272808	21.0839738142568	16.3153986632721
GDF11 GDF9	-3.65712523339612	20.9493798859394	16.3298264122131	-8.37884659296638	20.8584082820659	15.8983288659597	-10.2977370228881	21.2663196657612	16.9096151051546	-5.94916608605822	21.0692259788787	16.4521103735073
GDF11 GDI2	-8.225004458659	20.6541445033333	16.3657511081703	-8.25311947788176	20.9579158821722	16.2877288478536	-8.85153776839379	21.2960277860114	16.7975361218743	-10.8986032239475	21.106191183905	16.6529537030259
GDF11 GDNF	-4.18911212636836	20.6254435614156	16.0646085929147	-19.6247473943617	21.2849681420874	16.5845711929965	-6.94983884594044	20.8036307474345	16.4489856272454	-8.27365165129032	21.3774538664687	16.684732346711
GDF11 GFAP	-12.6629769380233	20.5648650535745	16.4292639246875	-10.0776772034425	21.4325055926138	16.1107747410576	-14.9004642522217	21.3387949829333	16.888611052518	-11.7637635017374	21.4622541841976	16.6942866194419
GDF11 GFRA1	-2.35039680436621	18.9418605182462	14.9523113179695	-4.90221420065997	20.1045063269208	15.1146437874698	-2.80839674625914	20.201833093108	15.8460591652656	-4.05006425496874	19.9407268486945	15.6625230456351
GDF11 GFRA2	-3.55412532772115	20.4480087312516	15.5479976526738	-10.9993765426441	21.5711331224973	16.5166438304584	-8.46497063067354	21.2215008497872	16.6213023831482	-7.54150608230604	21.3096791268655	16.4584523621025
GDF11 GFRA3	-6.67691977163648	20.9827154702023	16.2891370666428	-10.0934817051262	21.064355885848	16.3552730662454	-7.54842945018452	21.061039768855	16.444773122212	-8.59002901227902	21.0612617802802	16.4748841544058
GDF11 GH1	-4.5835708501167	20.4037304562477	16.1389445983791	-12.2291827669271	20.9551541547846	15.7247131374062	-9.65679059757025	21.1642162116293	16.5043203017854	-10.1002436260898	21.0806939612319	16.2935708870726
GDF11 GHR	-0.940431868438706	18.591665653385	13.5828848175485	-1.91085868701262	19.3970079138452	13.7600803088401	-1.4682960041107	19.10440550108	13.9987942688273	-1.43862253743309	19.3143761349247	13.9889807925993
GDF11 GHRL	-8.1646046303709	21.0124214339185	16.676998215496	-3.70017337436793	19.335660877369	14.7453863422779	-7.51541136182145	20.6401319838768	16.4279581120299	-7.04895669490433	20.4376847109056	16.12252849335
GDF11 GNLY	-1.99969633921696	19.6876849524224	15.78598726543	-14.6561837138884	21.3383632909108	16.2644798123875	-6.32775012914669	20.8226312054307	16.5760266412647	-4.88541127833694	20.8143882684815	16.321202925001
GDF11 GNS	-2.64944084761714	19.9095926631525	14.9245373981376	-6.15639024281639	20.5431111668642	15.8540520674179	-4.49866663953379	20.5938485332545	16.3388934015205	-4.64360786800528	20.7669064801976	15.8653781603863
GDF11 GOT1	-13.4289202931212	21.6855139444373	16.7361785545826	-6.97292083346201	20.2892027762859	15.6343906165651	-17.2477241613833	21.4734676667528	17.0748939495821	-10.1573118678259	21.3971117825384	16.5766277153247
GDF11 GP1BA	-4.10688745367938	19.5431496945799	15.7484981242479	-8.99943881467269	20.8939671652574	15.7618012385581	-7.44533861991117	20.8870388844866	16.301300177256	-9.87949008507164	20.7771294660801	16.2158474605115
GDF11 GP6	-4.85250054015468	20.0714629748224	15.5119335364704	-2.87181387572325	19.8791306830721	14.6460079620082	-6.1991299017265	20.8525718524419	16.1664276951335	-5.54621811737653	20.5411389456539	15.802589651674
GDF11 GPC2	-6.30888695603844	20.4380315930595	16.3167096933506	-10.8453287996614	20.8683082318542	16.0384743907709	-10.7940981368563	20.969872577109	16.7540038217829	-8.67935750249101	20.9461832894212	16.5923821017118
GDF11 GPC3	-2.10102505642735	18.4118948287361	14.2742786164099	-3.793234246579	20.22930278085	14.7689526510671	-3.35503876127628	20.1463210891517	15.3085413313306	-3.80627320075192	19.8451910514661	15.127048546382
GDF11 GPC5	-9.74834666926209	21.0445117391626	16.727957872199	-6.03064239523067	21.0545873910451	15.6788874397362	-7.49945347174063	21.318461049771	16.6907352112793	-8.32006894896056	21.3421643324214	16.6011454577276
GDF11 GPC6	-4.14240648154328	19.8287325310753	15.7369662591684	-17.9232972638215	21.4885647467711	16.2831249559547	-11.1723133319452	20.7966440584548	16.7758579160098	-15.2279752665976	20.9967094091791	16.6354869037721
