protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GFAP GFRA1	-1.9176413836534	18.8937327766959	14.8445213623531	-3.75393441365069	20.1231146391663	15.2621522877032	-2.85504244618399	19.919613081882	15.3811265540314	-3.01549980155025	19.8905607124653	15.4223407761679
GFAP GFRA2	-4.83739911826344	20.1042589356098	15.841100946904	-12.5088504773476	20.848665005024	16.2891388660992	-6.14125793419983	20.4947236582395	16.0870189720834	-7.02104612932753	20.8178349042885	16.3634826251718
GFAP GFRA3	-5.63007114105768	20.1581530268434	15.8912368625796	-5.532604041097	20.4713842698668	15.7513426948365	-4.92431852945346	20.4737685469254	15.9848854310092	-5.47467418957769	20.3535549486086	15.9140485656787
GFAP GH1	-5.15388519036372	19.8700921934579	15.5802032559734	-8.26707230685596	21.433720368761	15.9090577429673	-7.67752922604721	20.8915808127587	16.1073431273798	-7.39658498672749	21.073371723314	16.1582584791461
GFAP GHR	-1.25990785661114	18.3761138713202	13.6247567978226	-1.86808239471236	18.9587778602505	13.6436082504702	-1.18266287379668	18.6199945634698	13.5950280971351	-1.50135044333973	19.174761229989	13.9741449681232
GFAP GHRL	-6.53950300265339	20.0435919462372	15.9623121280811	-1.42551707100141	18.5138468052739	13.4417768108823	-3.20102420698835	20.4955853524449	15.6905896535713	-3.08015070775887	19.7872981680382	15.1380029795423
GFAP GNLY	-3.84006297321169	18.9389392852253	15.4592183155777	-10.2367661924564	21.1159339471916	16.3495728963249	-6.95233397201121	20.3714240750199	16.2929969089632	-6.31978369452719	20.5957828185706	16.3567966570927
GFAP GNS	-2.25726353225228	19.8180423991302	15.3765551219539	-3.05680035769636	20.3491697134907	15.5592339446252	-3.92566794237254	20.6098692011822	16.0009351854461	-4.20059012263592	20.5781094124545	16.0069304653913
GFAP GOT1	-7.28191856603986	20.6378213949611	16.2300306052083	-6.44500974648523	19.8543197872796	15.3035442361634	-10.723517087939	21.0342177681272	16.4279984528239	-8.94631257818766	21.0315288764635	16.3266085021673
GFAP GP1BA	-10.2244305813773	20.6024209477443	16.2814554972276	-5.03103767809835	19.4806624574899	14.8137952333881	-7.34054918109682	20.1700804803466	15.871217027705	-9.71357211402143	20.5402694596989	16.0072921885328
