protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GFRA1 GFRA2	-2.1896325239419	19.0463211762025	14.8769553768793	-3.75054555087868	19.6145686935036	14.6323487918673	-2.71611518882247	19.7805383521526	15.3930109588459	-3.34194307875013	19.6055532531892	15.2485979677648
GFRA1 GFRA3	-1.78858117712753	19.0207283616852	14.775059479762	-8.58962282049569	20.443947501794	15.7130140356663	-2.82979920280679	19.9060712797978	15.6285247799118	-3.75719046139766	19.7469414021188	15.5000002481572
GFRA1 GH1	-1.55230887896562	18.2104555978087	14.1102258929147	-5.06616267583922	19.6592544684557	15.0257530497712	-2.72273749760595	19.4290880686042	15.2294483276083	-2.91159275044294	19.2808867479984	14.9403314438289
GFRA1 GHR	-0.334642280988633	15.9699223959925	11.5952485570355	-0.274759055235727	16.3340923052683	11.3813526881861	-0.359602240848476	16.9322391642183	12.2600726787752	-0.458539901471627	16.5078707973404	11.8591334292368
GFRA1 GHRL	-3.24059002342978	19.8661122822594	15.2990501875589	-1.90080427449452	18.6038798565111	13.561872252774	-2.89736587650754	19.6775899719033	15.4446601591304	-2.43295911674971	19.2366620791302	14.7248381993032
GFRA1 GNLY	-1.18884929050269	18.1921470822317	14.0551265523828	-6.49539145164792	20.1440090696296	15.2024663806616	-2.88590655113289	19.5966360021695	15.4468328909885	-3.24779572618815	19.2946874672865	15.0650796721811
GFRA1 GNS	-0.806658547826301	17.8674573216651	13.7389159259507	-1.60549714837985	18.1963478292855	13.8255659695645	-1.36640525535063	18.5869516809108	14.3020388831831	-1.36783042711519	18.6490496901053	14.4210110950886
GFRA1 GOT1	-2.30824933641402	19.5190629584781	14.3882931469795	-6.53857565703291	19.916328614992	15.4279941257178	-3.01306558954459	20.0649698324931	15.4478768161505	-4.58333732761537	20.2387920293615	15.491408202185
GFRA1 GP1BA	-0.740845689651956	17.8667540146206	14.0709344986586	-3.65347516290016	19.5186281968931	14.0447506513112	-1.54979932318012	19.5874348544288	14.9898438985763	-2.0897600530581	19.0889655286065	14.6558494089187
GFRA1 GP6	-2.41131459648807	19.4886310774419	15.0385436271831	-0.955249732545059	17.6179085659601	12.6530000355083	-1.65884009750292	19.1430963356968	14.5975401248897	-1.43689095963684	18.7263423257341	14.1406556634042
