protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GNS GOT1	-1.53741600325738	19.5585905870047	14.406348890865	-2.02947000706239	18.3031849205588	13.9931900691527	-1.91274854238569	19.4177504432457	14.8539834319659	-2.27762637554902	19.5917003296212	14.9660377696726
GNS GP1BA	-2.00869177508948	20.116482474074	15.0217044753347	-3.10226614698671	19.4761263441408	14.498121290155	-3.03067133573202	20.0998595388194	15.5842096692881	-3.8351630546919	20.3494700354129	15.5035732281232
GNS GP6	-2.3001975175268	19.9632751910676	14.9611720545927	-3.03400473302291	19.462511977898	13.9914315022583	-3.62245358840049	20.7229212027636	15.8981281471971	-2.86737896099892	20.1233065422726	14.8736395332726
GNS GPC2	-1.65851680432906	19.4565420575996	14.5731175670653	-1.73829276145441	18.8602114441643	14.1697646758735	-2.10651837842366	19.2002321425353	15.0100108719184	-2.20019676995675	19.6147818663749	15.1049001201585
GNS GPC3	-1.82624109224478	19.4976003464549	14.7957991768107	-2.46235675929212	19.6680098059127	14.2956715983717	-3.59596048105485	20.2023600669719	15.4275335271653	-3.01077362894778	19.9832098260643	15.0092575053899
GNS GPC5	-2.08099690481338	18.7718259630989	14.5226018099316	-4.50809651998893	19.5933968403314	14.9519266838516	-2.61591992428644	19.2088531451996	15.1569519226164	-3.93194603366386	19.9019399140601	15.3146730778722
GNS GPC6	-1.30143807238683	18.0399888148435	13.7515585233073	-2.4381170791335	19.6078478086857	15.2303729150879	-1.67674384295699	19.231957009829	15.0052567146256	-2.44169893396569	19.2349399663267	15.0280637437994
GNS GPD1	-1.32616163840813	19.2443188381649	14.5493872170786	-0.999301971430683	18.438457714624	13.5974017236915	-1.73113170637476	18.9745497690365	14.6841461409146	-1.48803494044324	19.0571655894859	14.4639402991498
GNS GPI	-1.92788405402212	19.0508723603785	14.6267892219609	-3.09797356465985	19.7551096077155	14.4296765601222	-3.88802717963454	20.3381131639857	15.6145330288629	-3.06731778691596	19.7134557710182	14.9945678247436
GNS GPNMB	-1.28437580189674	19.7474337783364	14.7397556406088	-7.99210329071061	19.9868952854429	15.1790348173272	-3.61016143271184	20.1432228785184	15.6757638642066	-3.84877709828195	20.4146304622768	15.6201905936397
GNS GPT	-0.702400335376323	16.9723001527362	12.2255099249533	-3.68008183719959	20.5907210034732	14.6982564627927	-2.05232764839453	19.5745909904194	14.245819275157	-1.92121528295493	19.1751368995432	13.747306739037
GNS GRAP2	-1.51820678316366	19.2335726264151	15.1633244252151	-2.2827327635602	18.4784211421151	14.1079599484848	-1.95348894511455	19.2162169777124	15.2809093875031	-2.26487587803721	19.3521748565982	15.4161064123426
GNS GRB2	-1.98331764958808	19.3807667882305	14.944128836384	-3.65596015570043	20.4108129849147	14.8636583773945	-3.64268348247952	20.1102184819392	15.5269231443096	-3.85594783531844	20.556857989361	15.6235220690463
GNS GREM1	-2.69724528787939	20.4317093856531	15.8041456412065	-3.50446704693195	19.942116515826	15.1890861222347	-4.25249975843689	20.3007443367333	15.8652351990217	-4.29263576907071	20.568246371713	16.1412299686667
GNS GRN	-1.60478504513828	19.2353725525881	14.6689989975257	-4.50750553100913	19.8633948204162	15.0975366392482	-3.69546076495922	19.8525401080359	15.2599689937391	-3.56223895793124	19.9538707020894	15.4207486326287
GNS GRP	-1.7943894754103	20.2651225644373	15.4909091690935	-4.15525151230704	20.6467380736888	15.1716654021505	-3.34623659748719	20.7118666115238	15.7960323155004	-3.09109319228906	20.7580311652257	15.7547496610271
GNS GSK3A.GSK3B	-2.20297992831499	19.5205662040268	15.017221513195	-3.86429806191646	20.281398283107	14.574006328074	-4.24557899948796	20.4466747596599	15.7714867717315	-2.91783958036895	20.1303254343552	15.0773533144764
GNS GSN	-1.52372050552112	19.635803555113	14.6807389510009	-2.26830251127111	19.0385703768273	14.3277395097686	-2.48740590860453	19.4149521090145	14.9870803390964	-2.26921718345902	19.861650489635	15.0057583551428
GNS GSTA3	-2.9701168895251	19.6119437423979	15.2314879728906	-2.32952407559205	19.4729376514464	14.6834776285233	-4.89191465032101	20.4831172613334	16.0807102695342	-3.17554760321471	19.8477994429356	15.5474713507723
GNS GSTP1	-1.21768926233153	19.1290268497513	14.1061200561271	-2.77934832865024	20.3823273775667	13.9418137133142	-2.72418101381039	19.9651927549022	14.9030853078106	-2.12400968655449	20.071062805608	14.4358479806333
GNS GZMA	-0.433864959455909	17.6248460887173	12.6403733106779	-0.964988234789873	17.859099984192	14.0360074867747	-0.878072818342802	18.1028713369317	13.8404852939016	-0.903768638474131	18.2895722274571	13.9469068379769
GNS GZMB	-0.907399510696223	18.3095933583344	14.1532949729137	-1.57748491830777	18.6055391109242	14.1439625746118	-1.38724019185002	18.7762620380096	14.9107235917435	-1.27647525212504	18.7461624266865	14.5727720636944
