protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GPC6 GPD1	-1.20192383367943	18.3370578300084	14.3299517924354	-1.22994571924394	17.6986059248213	13.5138181863443	-1.1789533143185	18.4731590362584	14.4187886577366	-1.2060604420586	18.4488168906305	14.2366121050245
GPC6 GPI	-4.00850212254954	19.867251020142	16.0222883036758	-4.04709041075695	20.224618804689	14.5942309878703	-5.75327669521915	20.3794255966104	15.5874083153018	-4.99856655053927	20.4153541370421	15.7059379478491
GPC6 GPNMB	-3.90273312071011	18.8224071105854	15.0734544513553	-6.50468285558962	21.038516326014	15.6334395603186	-5.0465432899442	20.4766797069169	16.0534202947874	-6.59277486841821	20.2859213817995	15.8303222616752
GPC6 GPT	-0.809373608166415	17.1765389557346	12.9375370902164	-2.98770356929826	19.7137294390412	14.6392687842836	-1.89011710915269	18.964300054498	14.3521297942654	-2.06029209410766	18.833147908954	14.1843616718198
GPC6 GRAP2	-3.69026086685468	19.7353131946057	15.6801105312834	-9.35530216259584	20.0774384643245	15.1145300166849	-6.76946111816759	20.2208254299428	15.9456340820096	-8.5777965858758	20.3162645774934	15.9400363779975
GPC6 GRB2	-3.28803819349737	19.390179771795	15.6169834319649	-9.49941590021459	20.9830454986562	15.3829617839792	-7.46603360810522	20.3137829830877	15.654320130029	-6.68661910229016	20.5473654785002	15.9062542079051
GPC6 GREM1	-3.61912808509074	19.1669667145348	15.3744666940003	-12.8809361064484	20.8047387504679	16.2690370718992	-5.12169222170816	20.4580845798721	16.1778504685784	-7.13314533918595	20.308593691264	16.1618714082141
GPC6 GRN	-3.318398514448	19.1377451377938	15.5482301354903	-7.69377567360324	20.5194327833957	15.473762884202	-5.61512741793562	20.3937639251049	16.0363036274173	-6.39346217355045	20.1440755414748	15.9133178773934
GPC6 GRP	-3.96983385241825	19.1955564109576	15.8524010874895	-14.2500172388862	20.9813516141316	15.9627982291718	-7.76843256115292	20.7001018020923	16.2905298429822	-9.3814818988574	20.5599581323826	16.4240952209124
GPC6 GSK3A.GSK3B	-5.06325946612832	19.8541606978247	15.5752060335861	-3.63277261031772	20.0037229774001	14.7230013678798	-4.2109993236948	20.2372803092687	15.593054510603	-4.67398179865042	20.1980380320483	15.5058659333454
GPC6 GSN	-2.67689539531646	18.5122535889261	14.6116863010089	-2.53946298856958	19.6079183857823	14.2039472024355	-2.48584047136713	19.5650250391445	15.0365624857218	-3.25539277877114	19.307911376736	14.721398575615
GPC6 GSTA3	-3.72612976311964	19.7399951659453	15.6451516824722	-4.97664925491502	19.8125700467216	15.2554050211555	-9.30818217239233	20.8572938299992	16.4731668950296	-5.24988168434616	20.2081296129963	15.8688969290827
GPC6 GSTP1	-3.55793948232276	19.8546105752162	15.3715205054704	-2.50804887707163	19.7494597478454	13.7165213185995	-3.18443505614411	20.5037626919299	15.2600889486949	-3.23248676213294	20.0826201502032	14.8335249189433
GPC6 GZMA	-0.73775493657908	17.2620289790356	13.0661247750358	-5.08787923194131	20.0285411599813	15.7323073125717	-1.64373446900419	19.4700954898584	15.037635506111	-1.86294739929959	19.0626394222336	14.687827054454
GPC6 GZMB	-0.755010425168666	16.9042577628672	12.8271404057959	-2.40379165994991	19.2162834910101	14.5608688426974	-1.76378980838521	18.5447248986191	14.3687411608712	-1.46498919851912	18.2710258957289	14.1607926030347
GPC6 GZMH	-1.55667795167539	19.47129381085	15.1748082989328	-8.89788840811497	20.2840105831332	15.8642187965694	-4.98020038589506	20.5845161783458	16.2740446351205	-4.07080210243678	20.2176544349522	15.8653099300308
GPC6 H2AFZ	-0.460380311748071	16.5694421908502	12.405944600709	-2.00563289960712	18.4418969071056	13.9032914044174	-1.18394386549314	18.1811541967238	13.7800162038726	-1.13103762263311	17.7490782655777	13.4080955663448
GPC6 HAAO	-3.28966878438177	19.4864879213815	15.2491315350422	-4.56767717719389	19.4365695630278	14.9159159668508	-3.94651390762677	19.7829350286443	15.4408154980235	-4.17725103647835	19.9615477377084	15.4463012215369
GPC6 HAMP	-3.12356511113973	19.4384577562915	15.1440853114489	-5.52524245876239	19.6718515679899	15.2140996579612	-4.60767710862368	19.8876295612025	15.8121597034932	-5.8507588503028	20.0036346863462	15.7601283088034
GPC6 HAPLN1	-5.35067268231478	20.2508913813004	16.1460239166551	-16.2320127042114	21.4324777641098	15.9927582385497	-13.2405094582542	21.0757403478375	16.690170808112	-11.3633261789843	21.083001610309	16.5056180922321
GPC6 HAT1	-6.40777118530433	19.7158461021428	15.7736936395439	-1.66706608884679	18.4113269828046	14.0937115638461	-3.34528300184295	19.1647688042983	15.2690901295065	-2.95003225528492	19.4164078060796	15.2981105269362
GPC6 HAVCR2	0.261536120759816	13.5395728449245	10.2522758895775	-0.87439290778233	17.0487600592841	12.3079470748839	-0.218942544905642	15.8862919933843	11.4738107066584	-0.17880518399812	15.7093920119354	11.6077240874282
GPC6 HBA1.HBB	-8.37720918463761	20.4070665510631	16.5039551166597	-4.16213088126913	20.1343226154366	14.9973512002154	-6.19625753254844	20.738421275026	16.1329768142392	-6.55085935125951	20.4974378340791	16.1592502168262
GPC6 HBEGF	-7.16316832381798	19.9012444425673	15.9983119647123	-22.5992369857843	21.1261554213762	16.3762566885799	-12.8541326765377	21.0978656752109	16.8721574823149	-18.4312438511574	21.0485057093046	16.7595572421288
GPC6 HCK	-6.0280205627341	20.4422534959592	16.2192229420401	-7.29458115430237	21.2507942749634	15.8521781838269	-6.74325326951138	21.0101049922662	16.5093447058815	-8.21168656897984	20.9668598696796	16.3722859508934
GPC6 HDAC8	-8.38850473911167	20.0565172097254	16.0812773347367	-3.0857869608613	19.0816857742907	14.9900028696983	-8.97299571229645	20.3485220234934	16.4337973816796	-6.66276746467916	20.0845499036285	16.0116754910232
GPC6 HDGFRP2	-0.425164566224045	17.794921716378	14.3935505666702	-0.64069930092569	16.5476707883896	12.5605151333104	-0.584535164025544	17.3884997146927	13.7228407801066	-0.53563322457292	17.5137894872516	13.9054027366137
GPC6 HFE2	-2.57023065007529	19.4071258732664	15.0384905926196	-12.7583917765572	21.3584333089754	16.5282261307763	-5.84597378602633	20.9321236809898	16.3810821746177	-5.69290968819871	20.7025600051818	16.0602193216221
GPC6 HGF	-0.090818275094245	16.1941081203444	13.1853640945322	-0.472448707185033	16.5083833599494	12.3286697081361	-0.231924582212728	16.7275536068695	13.4790776490664	-0.410148145657526	16.7036544326364	13.2065905369906
