protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GPT GRAP2	-0.692232170411547	17.7105545380152	12.8481215484632	-5.5213709885812	19.4519317426708	14.7337415098445	-1.46587993919021	19.7586746927569	14.6295053758743	-2.07451768869619	18.9377766071173	14.1673797194267
GPT GRB2	-1.51532367835432	18.5453946865389	13.620362221785	-8.03263364821568	20.7779894327689	15.2985663994161	-4.19060146088986	20.8086599747614	15.4592757016259	-3.74433773829932	20.0175716626705	14.9437428188009
GPT GREM1	-0.930337126203283	17.7301862602549	12.8558989205596	-5.0906373905141	19.9096244737014	15.0088216963192	-2.40121244845149	20.0624846566257	14.5598605405342	-2.68909584752639	19.3952170748566	14.30298905106
GPT GRN	-1.01034353234118	17.9472825725105	13.3636556433971	-2.43929713598951	20.1131621501526	14.3172460301156	-2.10923036334117	19.9444707942972	14.6957595745652	-1.92385080029391	19.3411948935434	14.1155825512451
GPT GRP	-0.719978768724884	17.1833326306776	13.1435760399221	-9.96684239617924	21.2682745784628	15.636478653354	-3.3720890130135	20.9536617210701	15.5434162544408	-3.14947665751401	19.6941435845	14.8215495603535
GPT GSK3A.GSK3B	-1.59486828782891	18.6523627865307	13.4973976483512	-2.69617896852344	19.1966562961998	14.0160854423042	-2.77206864146136	20.0326805195334	14.8543400177291	-2.31031494677636	19.188269761421	14.1543799263231
GPT GSN	-1.28784470411357	18.0473848076441	13.4889223744193	-3.16438005949885	19.208510921432	14.2141832950783	-3.09030691942221	19.871097252826	14.8104544350594	-2.32086431190679	18.9680151860779	14.3007666629223
GPT GSTA3	-1.18337520041415	18.429465689138	13.1023693104055	-3.9420381344717	19.5920534473828	14.6506577285892	-3.72006375605599	20.8774220545315	15.2468401977806	-2.59334695128475	19.3667171906009	14.2194081285363
GPT GSTP1	-1.40253890242911	18.2200647281715	13.625632281463	-2.26863367427309	19.469019009502	13.3879137222869	-2.68991746538372	19.8671838896712	14.3894698223338	-2.04155659325791	19.2676014795516	13.896909934576
GPT GZMA	-0.27294207959136	15.4887151130293	11.3806099102757	-2.5129291437481	18.7260102443269	14.3955078351188	-1.27162090631996	18.5640987823971	14.0350497817624	-1.27361432548818	17.7258466643629	13.2872377099033
GPT GZMB	0.0817648795472915	14.4026343884515	10.7988885858721	-1.4706575259901	18.6574039417579	13.5349171845241	-0.779426730348932	17.6479910132162	13.2964437735738	-0.528599220878862	16.9664700208863	12.6149821925635
GPT GZMH	-0.666258460385067	17.2590699549926	12.8332650526469	-2.50037300277826	19.7310698736318	14.4768069160517	-1.86070396769793	19.7652294036776	14.6752492765673	-1.72017531972799	19.1030055927012	14.078923096097
GPT H2AFZ	-0.406889557191505	16.2728621076604	11.7346750295907	-1.5649857942835	17.9893382686319	13.1280947353971	-1.29218925442505	18.2673069911214	13.5141308730867	-1.08592995839607	17.4872876219486	12.7693434674715
GPT HAAO	-1.55349546017536	18.2284397424764	13.6271292405855	-3.34669175892989	19.7050954082025	14.6532795668081	-3.16496782392884	19.9051393063851	14.8121118572132	-2.96486669258161	19.3512677020085	14.4930194493442
GPT HAMP	-1.28395428425652	18.3360407557299	13.54605897722	-4.4291556950868	19.8224573828774	14.9680951753667	-2.3429365637756	19.597811123794	14.9378613735411	-2.48570791313107	19.3574344233658	14.4937001222671
GPT HAPLN1	-1.24429579660867	19.0105773772797	13.9222211219705	-4.44066564378342	20.5988132793316	14.7680128247676	-2.69091580513654	20.8758408869782	15.2367304087136	-3.2240961712169	20.1328785352785	14.8927713470803
GPT HAT1	-0.61862929879419	17.4572225592852	13.1822370311825	-1.88436939285301	18.204856214617	13.3744599540454	-1.77014926634313	18.7595881374353	13.8989651999788	-1.47796210710748	18.3443661776473	13.7745731739818
GPT HAVCR2	-0.113186352558357	15.3137117219465	10.757351304192	-0.725277289238457	16.822151552822	12.3245796727541	-0.438469700398002	16.6239925956597	12.1721979749299	-0.468161420047759	16.3137287015947	11.7786921580045
GPT HBA1.HBB	-1.1098878290413	18.4778059707247	13.4193521893668	-2.24523430151981	19.2346886239428	13.9731669347722	-2.30472129099138	19.6948670541601	14.6420992935904	-1.90941761757042	19.1730891259079	14.0852517411624
GPT HBEGF	-1.39749689034584	18.6784054147795	13.9846448755079	-10.9612491836073	21.3900442567547	16.3039306101268	-5.13364441595311	21.1406896783462	16.0772200750703	-3.97082118633077	20.4574096161036	15.4703031129784
GPT HCK	-1.37712511526959	19.0188382197255	13.8078096632156	-6.37956479527456	20.7725840066896	15.0152140398064	-5.09274312462706	21.1422807434293	15.7065598957326	-3.68110858561936	20.2298605340712	14.9079019316011
GPT HDAC8	-1.51814335695475	18.511653785817	13.6231244210462	-1.31842261110354	17.9867754030381	13.0900612310291	-2.42306114488229	19.5714655706586	14.6826931595664	-2.20071233403515	18.6254613422059	13.9887567040444
GPT HDGFRP2	0.146282516353939	15.2576285152137	11.0029520293677	-0.746334978175582	16.2428947790243	12.3611163463316	-0.256404648780537	16.2440294037431	12.2933087021843	-0.23418673548949	16.0990940688324	12.0175948289664
GPT HFE2	-1.13551555031138	18.3644854917755	13.2866893433326	-7.39229522299779	20.768085402341	15.2840149531449	-4.41129299346854	20.4824037443653	15.4518897756846	-3.09645375248475	19.8632142456655	14.6114356301438
GPT HGF	0.43299055778328	14.3180598461728	10.9013528534928	-0.644062719724645	16.2560784775043	12.312168105143	-0.0156032673311537	15.6283827968527	12.2005424721422	-0.0549228959869139	15.6987508955478	11.9475414114377
GPT HGFAC	-1.54716797372328	18.5429763964901	13.9932509038462	-9.59437043134412	20.7304793657332	15.7585534605178	-6.04333224787519	20.9289352258579	15.8656944477144	-3.89739340307776	19.9575232962568	15.0711001180666
GPT HHLA2	-0.765493653445616	18.2118664440867	13.2901715331531	-8.64389816518584	20.3760763625415	15.4254396319811	-3.8373929800109	20.6056585343464	15.4880351005827	-2.90970916082154	19.7230851956394	14.8152921742256
GPT HIBADH	-0.857775553327701	17.3700458864535	13.1296217854564	-3.35506583935876	19.7595090703645	14.5690381236126	-2.13646021822897	19.4226298644454	14.553776350494	-2.09722742347809	19.1440806474564	14.3930505807362
GPT HIF1A	-0.686578970408735	17.1733059176096	12.918037745135	-4.27118464644616	21.0267864804478	15.2954320784269	-2.26913700752238	19.9404870527508	14.7536270070095	-1.93133661712183	19.4845970195088	14.3034592864358
GPT HINT1	-0.738946648874781	16.7271914972005	12.7073323258659	-1.04454147861772	17.1535646806853	12.8633272931213	-1.22367028874535	17.7426104616788	13.6536851294608	-1.04758081214428	17.2633315119995	13.1656764503348
GPT HIPK3	-0.781040678371396	17.4755686602134	12.8908386575876	-6.13068223199616	21.2021394911685	15.4598912041362	-2.6284131952704	20.4626920415045	15.1556072473321	-2.70011125149306	19.6826297306574	14.5636564171117
GPT HIST1H1C	0.0302282159803581	16.2390547271699	11.3745813417919	-1.50545816618787	17.4154880922178	12.8393057755297	-0.945093622512218	18.0180536502413	13.2213706639252	-0.562566200448074	17.1690970278715	12.5196023791413
GPT HIST1H3A	-0.690213203355801	17.5059991621601	12.9864415941164	-6.71738042882892	20.9364189358255	15.1239115891325	-2.80379213720706	20.698602360024	15.1827708825642	-2.49817798174594	19.531019656178	14.3718447446053
GPT HIST2H2BE	-0.836877562076125	17.7123576466736	12.5904315562866	-2.24952554659672	19.0783999918689	14.3595949864422	-2.38158641569043	19.6405492587036	14.6144721918713	-1.72120141869402	18.877902126565	13.917191593504
GPT HIST3H2A	-0.957083265864379	17.9748541476023	13.0498900914607	-4.93094670861002	19.9040174455141	15.2371817131711	-2.79052244838251	20.1043015904608	15.2004546456098	-2.38030616204571	19.332347967136	14.4087377153801
GPT HK1	-1.31741548593129	17.8071241401775	13.1480094696509	-3.5832041921132	19.7198317709123	15.0341310547921	-3.83688254095733	20.1812105567022	15.178549239992	-2.5584659824028	19.4914861474618	14.7530420843375
GPT HK2	0.00443067492421423	16.2586329849644	12.163367823521	-1.19255013729403	16.8613544464251	12.8298334753921	-0.569119965595887	17.2919171633906	13.2849902675082	-0.595917643852416	16.8870823991226	12.920536614783
GPT HMGB1	-0.542442494190912	17.9599209362529	13.3809506880792	-0.895859002268383	17.6693796265869	13.110689654532	-0.937799770950504	18.3258458827414	13.6380967802801	-0.855950777625829	17.9817878190493	13.4621777233866
GPT HMGCR	-1.66445235054718	18.8561517103072	13.8048906922235	-8.33126239493715	20.6993093780995	15.2362965972596	-3.89696097329714	20.7348562234405	15.125899810697	-4.04251862768129	20.1304545706553	14.8955131048858
GPT HMGN1	-1.08375988566576	18.0845286279536	13.1906236372943	-5.76403547466813	21.0855666787516	15.1976519027765	-2.86094993134674	20.43215541414	15.2738453962917	-3.04810004457758	20.0540702298598	14.787288087408
GPT HMOX2	-0.487089438200389	16.5050199591595	12.3414323548531	-2.24819548668876	18.8959097295266	13.8372321493672	-1.27746694693827	18.4147012122338	13.5656221806908	-1.26299695869971	18.0955569888834	13.3559378419817
GPT HNRNPA2B1	-0.247551611875129	15.8595258116652	11.9079614393778	-0.27972516710745	15.6262714877177	11.59879213703	-0.408880121829112	16.7002891327294	12.5527948873685	-0.36844788588642	16.116146880079	12.0287223027288
GPT HNRNPAB	-1.46453487222364	18.5257075631907	13.7922292236212	-1.64872582015597	18.2169295438702	13.3632748578111	-2.01040181696825	19.0880853036473	14.3227123175558	-1.64162537048475	18.6234008101081	13.8408552799043
GPT HNRNPK	-1.00892767686579	18.8569988912856	13.6700025768569	-4.30908422875024	20.2190765967212	15.412473769005	-3.9459964523943	21.0216730318268	15.8480100966301	-2.98144400032339	19.6970375663738	14.9473080567701
GPT HP	-1.25335253704456	17.8180714531828	13.0536201282641	-4.6167901562186	19.5373331946549	14.5701263874263	-2.83496041203508	20.5030774921017	15.0355455883157	-3.65237899145797	19.5020905008104	14.5672193305401
GPT HPGD	-0.864499533005374	18.263012023149	13.627196866283	-4.00836750189704	18.9241769055854	14.8696262495748	-3.01558324894861	19.6840155644189	15.0430642544265	-2.28618513908683	18.8714985652698	14.5894529035937
GPT HPX	-1.25304676311663	18.297925404048	13.1677790915216	-3.58203452223275	20.6134472152861	14.6832364023027	-4.57189335822676	20.3768188336654	15.2242220123022	-2.72355671142873	19.7125783941563	14.293364278299
GPT HRG	-1.32529519289716	18.3383077475623	13.5925650356526	-5.68712832981784	20.4603743849283	14.8283379115825	-3.76255281162329	20.7754096627318	15.4596565869992	-3.3231895469302	19.7443880154876	14.6669412061267
