protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GSK3A.GSK3B GSN	-2.51388511140147	19.2628113680213	15.0366545985374	-2.6563452730838	19.2191704157761	13.6834795613966	-3.51045587909992	20.4179072944856	15.6205648912545	-3.09016514131362	19.5349355569228	14.8170741894279
GSK3A.GSK3B GSTA3	-2.9546885235655	20.246734018885	15.2100436006971	-3.80392024479921	19.9888582857938	14.2959305667246	-4.92528680236784	20.977526478577	15.9129271191485	-4.06319258036594	20.4737054078018	15.2669237473563
GSK3A.GSK3B GSTP1	-2.66841698620495	19.5739268450376	14.9484283705395	-3.24903773510249	20.2979275358824	14.180571274123	-4.4861371509967	20.4344182254744	15.4661562806934	-3.39002390166321	20.2436370398751	14.8936091726938
GSK3A.GSK3B GZMA	-0.395831347281903	17.1269810923461	12.3244552917397	-0.681790077832275	17.1043941932625	12.9393892454219	-0.785354364291078	17.7832835738008	13.531747824294	-0.613479657505532	17.6969207435523	13.2339982618398
GSK3A.GSK3B GZMB	-0.928940002189212	17.8815940261465	14.0775587668206	-1.42194023303766	18.1236775962478	13.5070539306734	-1.14279289676985	18.3246093889233	14.2384254278308	-1.14842850634557	18.0800578686011	14.075896726292
GSK3A.GSK3B GZMH	-2.30253355336723	19.442988938171	15.3111290187489	-3.28397776823479	19.4186345300626	14.2536933865153	-2.78147991964716	19.6403695826184	15.1544462882187	-2.86564431534976	19.623311063059	15.0136467183567
GSK3A.GSK3B H2AFZ	-0.373754856120865	16.9867964115692	11.5013727468677	-0.494293576354703	16.6562344073674	12.0608665341535	-0.483914649859666	17.6420849117754	13.0451003107643	-0.533832037756004	16.9131682490366	12.2178837145323
GSK3A.GSK3B HAAO	-2.78471916284215	19.1510813556635	14.9202711297636	-2.09565083325247	19.2473842221243	13.6718424852744	-3.75879136871186	19.7647402261875	15.2122864220556	-2.6916978219581	19.5218502478946	14.8493452943197
GSK3A.GSK3B HAMP	-3.17691363366444	19.7183471713446	15.648781252917	-2.15435372534496	19.3629815952093	14.6107748971471	-2.88906915130069	19.8882667532224	15.5909148743603	-2.72843543278519	19.8509301811966	15.4125879122368
GSK3A.GSK3B HAPLN1	-5.7586289173206	20.8170987924883	16.0926504937988	-3.59466176600938	19.949376440682	14.4317771470097	-5.78711938442219	21.0699869434684	16.1131509473918	-4.9151868868531	20.6357847020545	15.7282647331643
GSK3A.GSK3B HAT1	-3.10214207429528	19.5702247681508	15.6088351613606	-1.51064143714914	18.2410491853422	13.6635595587099	-1.90200553643844	19.2287104084516	15.1308180411152	-2.68505003188128	19.1567891037305	15.0126647981625
GSK3A.GSK3B HAVCR2	0.176106896445294	14.3047005220969	10.764859417932	-0.371221562556753	15.9554699742857	11.2164612242535	-0.107168007799475	15.3814201538998	11.3550723015179	-0.0979312237280252	15.298571733033	11.2719474383133
GSK3A.GSK3B HBA1.HBB	-2.84926670565794	20.6627925583077	15.5737421522922	-2.22933406818156	19.0063639271543	13.986436910109	-2.84341490873572	20.0570948056549	15.2249812530154	-3.14788728844961	19.8327300046541	15.0427784234667
GSK3A.GSK3B HBEGF	-8.90605324580443	21.2698439095715	16.5577651931484	-5.36049173596546	20.9362167328635	15.5623494477812	-6.74788265953443	21.5742556923318	16.5476783204829	-8.32480576578754	21.3534216941196	16.3671103243799
GSK3A.GSK3B HCK	-8.26982090107566	20.8939218037528	16.283100167607	-3.81520553714745	20.0783711421164	14.637837226275	-5.07932673883341	21.0325920221221	15.9729842635827	-6.06825329668385	20.7209782927554	15.9250941590758
GSK3A.GSK3B HDAC8	-6.99702427638715	20.5849984395154	16.4356753061227	-3.89454041361815	20.4477558810267	15.2599716554698	-4.9009553225547	21.1440154008477	16.4944956719131	-5.33799685386913	20.6312885493868	16.039866257528
GSK3A.GSK3B HDGFRP2	-0.783055624070858	17.3959954763067	13.8139557770315	-1.10466321306415	17.3776810207972	12.6872000281707	-0.947530249197064	17.7694641236859	13.8678917903283	-1.0414721462602	17.6749589425263	13.7464546169741
GSK3A.GSK3B HFE2	-2.90653114016898	20.2980639272304	15.1854850801551	-4.25001392563471	20.5353543506875	15.1156279347852	-4.97973344207355	20.9122388696601	16.0574917310382	-3.64575843614124	20.5993509068721	15.497224436751
GSK3A.GSK3B HGF	-0.121975488496254	15.5466721006556	12.6400893921975	-0.963444144977091	17.025709639321	12.7166935248897	-0.44400884306995	16.6292084386075	13.1789107587703	-0.633536577933027	16.7871638893829	13.147259369402
GSK3A.GSK3B HGFAC	-5.46687270100807	20.8275167526882	16.0420902750148	-3.06780942815581	20.001155376869	14.728678005553	-4.61222098655384	20.7418736207572	16.091724282187	-4.46162837849497	20.5297231610353	15.6670577828502
