protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
GSTA3 GSTP1	-4.70540771303337	20.7103113008551	15.8783826382767	-3.75393004503647	20.9984972849517	14.6551095816486	-8.44885390385013	21.7273888940134	16.433072657086	-5.4946512328405	21.0039959963967	15.7076867559905
GSTA3 GZMA	-0.625223508350784	17.4718371420116	13.4178947001209	-1.77782866405201	19.3603912347442	14.5814837801879	-1.98058215056688	19.3626314660852	14.9439243289269	-1.27692724957168	18.7400648885398	14.5134736785037
GSTA3 GZMB	-1.09528757108382	17.7850054905737	14.6086938870713	-1.94557375593086	18.7863777396312	14.5540258494484	-3.39778306643024	19.2663938822621	15.5405792616732	-1.89135328595617	18.5313195926464	15.0265674009685
GSTA3 GZMH	-2.33025314302333	19.7496395726362	15.9323466583434	-2.60967230354946	19.08631403011	14.4942300636811	-3.23419286863007	20.0946107378995	15.814805042448	-3.30828597769286	19.6539640917562	15.5665901978174
GSTA3 H2AFZ	-0.506637439404923	16.9190391471798	12.2193757629243	-1.58145331233097	18.0643100439898	13.5019009401062	-1.56940528248983	18.6901810651365	13.7274851983419	-1.03642074883173	17.8532997611483	13.0666167354341
GSTA3 HAAO	-3.27599523769843	20.2016559830178	15.7252109169309	-4.30449703529475	19.7527532784517	15.0590456418896	-8.42661002693569	20.9535497147579	16.3188231208723	-4.31175923633368	20.3362409396075	15.691730646406
GSTA3 HAMP	-1.77574131967176	19.0643417645226	15.1152182147437	-7.5774413600483	20.1330224914805	15.456412272763	-7.13289909303469	20.4855885600676	16.3570179633602	-4.97035261841904	19.9953860742888	15.8844103830494
GSTA3 HAPLN1	-5.52250498114596	20.8553691247315	16.0699241631389	-13.3023832544074	20.9104232237038	15.7044344199276	-18.9926558409075	21.7907358740746	17.0419051441856	-13.2565089595726	21.2019236095186	16.4759384215815
GSTA3 HAT1	-3.76612178391936	20.2039590139399	16.0828809040054	-2.59120655041916	18.5717069258384	14.4587669777349	-4.68051898017456	20.3256496848945	15.9859357640591	-3.05268544751147	19.6476530066172	15.4744136473368
GSTA3 HAVCR2	0.0969220527640779	14.6444130395167	10.8989375840985	-1.04137762984484	17.8869267985376	12.530586820849	-0.589877397151477	16.7761627732705	12.2898070301738	-0.426085480112913	16.6951634157272	12.1352920789931
