protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HAMP HAPLN1	-2.5879662163493	20.0459385438813	15.5104372475031	-9.05654777848415	20.9046537002756	15.8317220807919	-7.11693151283882	20.6525483655796	16.3170210428779	-5.07774747149763	20.6283431812853	16.1287200226263
HAMP HAT1	-3.47715520710771	19.5208587922717	15.5732018808347	-1.39411270902561	17.7058534755055	13.703094605673	-2.25698918243373	18.7107344161183	14.859067371398	-2.23306840194779	19.0144069223521	15.0386835509942
HAMP HAVCR2	0.105995627588733	14.579807235755	11.4757973794222	-0.628247593504893	16.4542680755686	11.7729985532244	-0.166638132234405	15.8435234659126	11.9070766818744	-0.221608646492718	15.6268609647435	11.7023845827932
HAMP HBA1.HBB	-5.82978084376161	20.4629601503202	16.4098595717578	-2.16828366692825	18.5946389576549	14.4659547223251	-3.35971654156336	19.691103711107	15.5772485233826	-4.067379086145	19.8060646561203	15.7768867670858
HAMP HBEGF	-5.19818704395587	20.842613869354	16.2009349242445	-12.0438729478934	21.2071868491299	16.5649961115244	-8.36474522935729	21.2516936107166	16.8250626713345	-7.41437243699336	21.2065658290596	16.71998629719
HAMP HCK	-4.05426297802877	20.573839642392	16.1638663528655	-6.79455734634541	20.1022018803412	15.6220653294469	-4.8567082060397	20.6723535984043	16.1676949737077	-6.02716714007254	20.575993712552	16.2678982201321
HAMP HDAC8	-6.39219150327981	20.8082516111091	16.7442446780286	-2.93696661017787	18.8371735956265	14.7242072841519	-4.53509823578587	19.9444004380215	16.1122595055447	-5.00794790910511	20.0556204581589	16.1951374189978
HAMP HDGFRP2	-0.968741267245166	17.8858505713416	15.2196189740514	-1.57397757869059	17.3994978328711	13.6733231679531	-1.88526529249	17.6961622606735	14.6033757811504	-1.62272599213952	17.9046314378311	14.8399159984925
HAMP HFE2	-3.31483913460075	19.7574934479873	15.2151057107197	-3.4299718789748	19.757514067553	14.7318945324377	-5.87479224141261	20.5917105389428	16.0368431032679	-4.28560003318	19.945231162673	15.3887002733381
HAMP HGF	-0.367779677146326	16.3216505294993	13.4056438787966	-1.53284315993162	17.2608404353953	13.6861187751018	-0.712528456770348	17.0515121167587	13.8865685430836	-0.798332898809843	17.0423502681461	13.9816345591729
HAMP HGFAC	-5.06458735804207	19.9049875052786	15.8762007273912	-7.31592729227379	20.9165721153323	16.2022896479955	-6.27009808024322	20.6262926154553	16.4781271204591	-7.01515877709138	20.6602294320096	16.3607180460382
HAMP HHLA2	-3.35301896146802	19.2677484104671	15.7646067362463	-5.26720751869136	20.0564286496783	15.4884125048036	-6.63090059218303	20.2696605309958	16.1873829495826	-5.30533921735045	19.9762542703917	15.9647713897018
HAMP HIBADH	-3.18879217685185	19.06726238002	15.7779869624239	-4.95051350647452	19.1951827671744	14.6575671557684	-4.91142929841347	19.4452365065347	15.7524487883603	-4.05104318657705	19.6190668211966	15.7612108328322
HAMP HIF1A	-3.21512499902249	19.218067196649	15.8344957145871	-5.48496103832124	19.958440175444	14.9652677343726	-4.84003921233123	20.1636224027091	15.8712610162656	-5.43720353164746	19.9041681012826	15.704501267516
HAMP HINT1	-3.10354217830178	18.9407840848627	15.2576226867898	-1.07601936508745	18.0020933362647	13.6972739949014	-1.29588001343036	18.7512688211938	14.8675733645506	-1.58348284956276	18.7092251946031	14.8320940203998
HAMP HIPK3	-4.73022252273772	20.4242921158699	16.1646448042072	-4.96548034289427	20.2483237214051	15.3966384109116	-4.37910722853473	20.4546481606879	15.928500771749	-5.44643754159998	20.5847270065883	16.0726233624939
HAMP HIST1H1C	-0.424611078661891	17.2926373130011	12.9595179500651	-1.3961900041235	17.6928294297412	13.6265304212471	-0.6476459082468	17.7969964375806	13.8454795210912	-0.972285213167003	17.8287767948821	13.6550204465006
HAMP HIST1H3A	-3.94673318420126	19.5755562956134	15.8630253491149	-13.8155758885477	21.222347009523	16.2598036818179	-6.66646573910919	20.7009566070207	16.5036706467272	-7.38410957695947	20.5854978847231	16.2203738330783
HAMP HIST2H2BE	-1.83885426909369	19.1948514431875	14.2915023240806	-5.69233412479126	19.6416823715691	15.4158866893149	-2.42458429475019	20.1415662393802	15.4199611761168	-2.80107370368816	19.729183757922	15.2213020173202
HAMP HIST3H2A	-3.33024962917456	19.6562720268783	15.495205559087	-7.69458113464398	20.1927606729615	15.8795701142083	-7.89059660497787	20.3015141728754	16.4322258611543	-5.26114205040541	20.2497008061458	16.0358768029062
HAMP HK1	-6.00239467381598	19.9695780924189	16.0179952555919	-1.54237327156842	17.861513881982	13.4806185850969	-2.72590501448212	19.2979864294406	15.0978795564582	-3.19407499889069	19.2738470244141	15.0751785626661
HAMP HK2	-1.96907344599893	18.4564756874738	15.2526983440751	-1.2871315310534	17.2166898594814	13.7087192129343	-1.21138539423943	17.9521773818057	14.6988205095413	-1.27353617965328	18.0231170402838	14.8292297258046
HAMP HMGB1	-3.29609028656745	19.220361711095	15.5459153633962	-1.32310957338132	17.5155776668795	13.8322232336244	-1.94684724089057	18.4648495207662	14.8703992617446	-2.36516816866059	18.7442916263852	15.1054462354276
HAMP HMGCR	-4.58187966400984	20.5273787842828	16.0982066664174	-5.88644164757186	19.6204363711818	14.8877659416648	-9.0237999183057	20.5411035752787	16.1772911772992	-6.10490897402921	20.2089865813029	15.8466136401944
HAMP HMGN1	-1.8193415264904	20.2090862824749	15.4217890060689	-6.15220116684497	20.2857936424676	15.9806509677205	-2.51613958348281	20.4495886112122	15.8673295442732	-3.5471751246884	20.4705500725545	16.0530925766543
HAMP HMOX2	-2.89706680101226	19.0948043171554	15.390596959236	-3.55020315762481	19.2394683639127	15.087840444492	-2.73863926657589	19.2718174949177	15.2873844131828	-3.48502845922896	19.4412016563278	15.4949260908346
HAMP HNRNPA2B1	-1.5331073658814	18.4130200446226	15.181810594677	-1.44840860578144	17.0930877713186	13.823831209699	-1.3066465217511	17.9952363679819	14.7642787898381	-1.37635036952601	18.0304146314587	14.9118465586131
