protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HAPLN1 HAT1	-3.34156025440167	20.0843087497216	16.0015784137151	-2.4116628710652	18.3710892030521	14.4640565867069	-2.38590061749926	19.6001708936341	15.6692587993362	-2.93713613828726	19.6586674840213	15.6536621165412
HAPLN1 HAVCR2	0.121414144738857	14.3479457395914	11.0408743426686	-1.06178208256694	17.8368103646097	12.367063750874	-0.411996882758602	16.6795604245821	11.9516930743938	-0.391378144963294	16.4445333691331	11.8497135708018
HAPLN1 HBA1.HBB	-8.49904646241969	21.059541299583	16.5894470282351	-2.51276208829816	19.2737703005995	14.6221021798849	-5.06212151753419	20.4826949024127	16.0044897587533	-5.29284203531693	20.3079030487107	15.9464179186411
HAPLN1 HBEGF	-10.4072721506707	22.0198611249602	16.9011589563609	-39.7180748633684	22.0211093985708	16.7227215482938	-30.5652853690565	22.0883243850625	17.294831816518	-18.8958343709133	22.0143609895238	17.098605886769
HAPLN1 HCK	-7.11877407004544	21.057100929025	16.6720303326679	-7.55033763860084	20.9899185250888	15.2017947909377	-16.2173839799746	21.8975729327548	16.789566744311	-12.1027781902113	21.5065271067539	16.6536886349328
HAPLN1 HDAC8	-7.13505430597633	21.0382473882589	16.393659853377	-3.1090502862101	19.9350741239023	14.5106866224488	-6.2037587938424	21.1645154685964	16.3196744262018	-5.22245183049339	20.8624530199952	15.9951450054079
HAPLN1 HDGFRP2	-0.131531776506723	16.861715194655	13.080703202587	-1.27025482018693	17.7923815564461	13.9359561486845	-0.44998801851031	17.8701708838235	14.0825753853889	-0.593006547590356	17.5591185933955	13.9314897649162
HAPLN1 HFE2	-2.35314700523756	20.5931051967489	14.9800221788792	-15.2513054910803	21.743053300284	15.9096960018375	-15.0433771646703	22.040002666349	16.7999506803949	-6.16241226868096	21.4786846243676	15.9710488256965
HAPLN1 HGF	0.0118834998648721	16.1761206470413	13.0519950531476	-0.713775796336783	18.3595333133663	13.6238215382899	-0.230632546981772	17.6745771411301	13.5740232607922	-0.294875807299802	17.5584106202314	13.6027947299387
HAPLN1 HGFAC	-6.30926064426816	20.7936090673652	16.5941703826759	-17.0416187374574	21.3801609648979	16.3120183657162	-12.1025503664851	21.2292062190403	16.7647868742564	-11.6472158723836	21.4147503202569	16.7943735165168
HAPLN1 HHLA2	-5.73487520334027	20.0191125115766	16.0178904198682	-10.7217417446867	20.8728977649791	15.586454323096	-11.6135301366642	20.8333889133813	16.4667303091603	-11.2746587603809	20.6652777307006	16.3312646689299
HAPLN1 HIBADH	-3.0984091748032	18.9754946250798	15.5122715458979	-7.11167455877298	20.3171335579102	15.3952683675795	-4.79403072335714	19.7354730216203	15.68094204377	-7.3494209328703	20.1955078786924	16.1556135132544
HAPLN1 HIF1A	-2.66302467007904	19.3810966367862	15.7866924576993	-5.91340408424853	20.9143579880425	15.5646298987886	-4.94918123802843	20.7226964922948	16.3997740176951	-5.94693293567731	20.3883926773734	16.1600102258493
HAPLN1 HINT1	-1.88463342712105	19.9434616350284	15.561207041707	-2.42131099743082	18.9898599829233	14.3507882339438	-2.48600192478091	20.2193168474415	15.823283532878	-2.57497748310752	19.720518134649	15.3897652639425
HAPLN1 HIPK3	-7.20909828321645	20.1591092186689	16.206964625392	-15.505786243926	21.4347222450329	16.0918474985053	-13.804035106296	20.913567064674	16.5609303636306	-13.0733709184378	21.0983979054626	16.5306591769879
HAPLN1 HIST1H1C	-0.227426419198837	17.3219585263794	12.4895645165938	-1.34104892155679	17.8327501096988	12.8058629783003	-0.635331575228159	18.2977031086504	13.4744764775626	-0.754560704891889	17.8086887720898	13.2075784410023
HAPLN1 HIST1H3A	-2.8032651987334	19.7980265531266	15.4959897087648	-11.7224945996507	21.3775099053678	15.4590534642984	-10.7445069485972	21.1956201822472	16.498711134487	-8.89365271487259	20.9140153683605	16.2126245876459
