protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HDAC8 HDGFRP2	-0.39767035060302	17.5195245493383	14.5499539829055	-1.13242904255336	17.3851881178449	13.2475682755324	-1.54187745732392	17.7978018738859	14.6454647484023	-0.887945163102156	17.7935886016001	14.3957257465454
HDAC8 HFE2	-5.417201815458	21.1297482995077	16.3721493608025	-3.681549241219	20.5149199190394	15.5689410170255	-9.22068155986503	21.321738074776	16.6145021845767	-5.17905536646409	21.175208404274	16.208018119013
HDAC8 HGF	-0.226550605792185	16.6648716885598	14.2740964160289	-1.21014290183393	17.5167845706262	13.6771635256883	-0.913658138677293	17.5222891357926	14.6684361382368	-0.606767134859511	17.5615487025615	14.3514347780225
HDAC8 HGFAC	-18.9949382521163	21.3346487545958	17.1385938286114	-2.96322644502012	20.4664114097345	15.6679090712271	-14.6262922020088	21.2387756072949	16.9452031866287	-6.85051104033252	21.07483600621	16.5979480834512
HDAC8 HHLA2	-6.87908422076709	20.3777167643389	16.298329723526	-3.33838883116579	19.4962130618491	15.1168790632265	-6.99901757323605	20.4128667496871	16.395945386081	-4.92589418803151	20.3938928281296	16.0381813211137
HDAC8 HIBADH	-6.44418881087957	19.9136499838848	16.3680599224251	-2.23245774739558	19.3476249810106	14.0376304565989	-3.77054354554732	19.5962207565839	15.7573729241336	-4.19267440939671	19.8988525703958	15.8067706065122
HDAC8 HIF1A	-4.63544564986211	20.2420255582836	16.581030902526	-2.939513615352	19.4051412091219	14.6381803660141	-4.03809264499229	20.0951786037811	15.9922247341019	-4.45148135763455	19.9652013486601	15.89590071641
HDAC8 HINT1	-4.4493179593241	20.4078004623436	16.4765978884719	-2.74867391292606	18.8929898025752	14.0869327918813	-4.22853395724882	19.9919379346104	16.0585160869836	-3.80900442428202	19.8993735940691	15.602013638704
HDAC8 HIPK3	-12.7880790547988	20.9353345720945	16.71056155648	-4.63679311643457	20.4002292243072	15.5561928868577	-12.8255390288972	21.055777301748	16.781880899421	-7.15048942075038	20.8922385650658	16.2840970134327
HDAC8 HIST1H1C	-0.576187011443482	17.9820805638141	13.6569326339727	-0.780862944515236	17.2023018423769	12.6874101681619	-0.902060602333181	18.0765076387586	13.9239724245015	-0.817880631202144	17.9088157840206	13.4891396788828
HDAC8 HIST1H3A	-4.86889427353761	19.9733853161625	15.9811654213788	-3.0468494207223	19.5513932178454	14.3832425632641	-4.91527863997571	20.3462280168975	15.8231681745649	-5.75673118660779	20.2533682730776	15.6718713667063
HDAC8 HIST2H2BE	-2.72777711256594	19.6388632412601	14.3938638912911	-1.08709358948786	18.9858310489471	14.0704427201289	-1.77891410074796	19.7563293312227	14.8081683666875	-1.81071717747574	19.6615968091747	14.6155426830138
HDAC8 HIST3H2A	-7.41333632235884	20.8536510140527	16.4822448571919	-2.58717749467911	19.2350003576666	15.024438963132	-6.37079610330101	20.1867093107494	16.3762472912998	-3.82643070402461	20.4496030039707	16.0013703175556
HDAC8 HK1	-12.2933345346307	21.0665977107377	16.9466518948511	-2.6496855931874	18.8486879878313	14.9622434948831	-9.10359219081675	20.5674633629608	16.7064131334539	-6.09720593011925	20.3761217646507	16.2515559973162
HDAC8 HK2	-1.19805521933378	18.6736385508256	15.2864373139658	-1.6970737978648	17.9086608369762	13.96978414521	-3.22499695368789	18.862651526588	15.6292646913022	-2.00518221222499	18.5625780514661	15.1490648926552
HDAC8 HMGB1	-4.98653150891666	20.4313463781307	16.3681721071426	-1.15022794108878	18.1488472911436	14.004704862725	-3.77507576041993	19.5288799865901	15.8468977323649	-2.83665706750162	19.4449472327988	15.5203258521762
HDAC8 HMGCR	-20.0392346794719	21.5449366474743	17.1535679654755	-2.88859301290138	20.00008774733	14.8895238151385	-9.29701676914749	21.1924451621245	16.440990124562	-5.99306281713941	21.0940723623046	16.2907402733236
HDAC8 HMGN1	-18.2864237097447	21.1140239456055	17.0472396660509	-5.24393346076677	20.298754916305	15.2824847115126	-8.55975609428308	20.965898237045	16.6582591930036	-8.88964471685419	20.9173776624878	16.4696570697397
HDAC8 HMOX2	-2.91635653510659	19.4357080319665	15.6341178735524	-1.19013527575528	18.0465668243809	13.8670814935286	-2.58710439657734	18.7772948565808	15.063772078679	-2.66178160052367	19.3102316986336	15.2996734485904
HDAC8 HNRNPA2B1	-2.43820343428659	19.4721820729483	15.1912098568415	-0.735591870736873	17.2288241813532	13.6104810391353	-1.46851020545224	18.8536711333113	15.2384403663464	-1.71488698030791	18.6451521842364	14.9198253607387
HDAC8 HNRNPAB	-13.5776298583824	20.8197070454278	16.5476324836133	-2.20143088125943	18.98492827741	14.0951963409627	-5.95853853683593	20.556117705203	16.2097504520714	-5.17794356132724	20.1866929714885	15.7228383255155
HDAC8 HNRNPK	-13.8493711079849	21.068962413369	16.9775868540166	-2.72908585716859	20.0275940951666	15.0636265244655	-19.3740902706742	21.325865411788	16.9765678483747	-6.20920981776354	20.7558138668723	16.1822401108882
HDAC8 HP	-8.32460205047516	20.9040067355569	16.4205644281296	-2.45633088513715	19.5390542279002	14.5961947944416	-8.59118887816789	20.712018605178	16.6078722803157	-8.53702222149333	20.66489762165	16.1728347034053
HDAC8 HPGD	-11.3890509354059	21.6595512872965	16.3920766398661	-3.53138970236541	19.6518385459912	14.5843497448395	-9.20371450678877	21.2465133419046	16.3095307358435	-7.66575824640813	20.7716081674201	15.8628843048498
HDAC8 HPX	-4.37213896226343	20.9428407886307	15.3084464936101	-4.04513467716403	20.0256427795128	14.9927525279244	-9.79253152786993	21.4946220151696	16.7935386601355	-5.23776766980347	20.6224773868284	15.4521637795871
HDAC8 HRG	-19.9359865827832	21.8837101816881	17.1479451428609	-4.5464928071307	19.9813169248555	15.0681084366712	-10.9494732248254	21.2711604685277	16.3951633672804	-11.2036708576498	21.2087596453645	16.4383489372083
HDAC8 HS6ST1	-3.46841797091748	20.0383512809069	15.8841006722633	-2.78455420977128	20.1518201488953	14.5933067515914	-7.37337316962931	20.7608050525974	16.1364807022181	-4.61490854371145	20.33016635445	15.7040974990538
HDAC8 HSD17B1	-11.4222340258799	20.6809991564696	16.6116533182223	-2.12498492480212	18.4782741566977	14.1497729528407	-6.65452666304929	20.2312811300832	16.3036886960913	-5.21305742160332	19.9677028984145	16.0282165883147
HDAC8 HSD17B10	-3.674739211873	19.7658042266466	15.7735274354156	-3.82286123442719	20.5293079930717	15.1164439525099	-5.47433704390765	20.9359413164602	16.5404296899316	-4.49660341311532	20.2739862937893	15.8084504254273
HDAC8 HSP90AA1.HSP90AB1	-11.2407962962689	20.7271814769852	16.8506438311606	-4.71209960814804	20.3317153225786	15.0224862971698	-9.91130463333072	20.8828491313357	16.641669982038	-8.58387229529668	20.634479114372	16.387790600913
HDAC8 HSP90AB1	-6.612473024027	20.5856838798725	16.3360068102814	-3.93507444238517	20.2256678258407	14.7292139927644	-8.82267867665762	20.6970573798915	16.4501939795179	-6.26366420649784	20.6342213015741	16.1450359384466
HDAC8 HSPA1A	-4.34585755796084	19.9529717791392	15.3139969161626	-2.27902272631221	18.854533393899	13.9902417982557	-3.41740692527147	20.1125399534838	15.5707411938234	-3.22224970506212	19.637302799926	14.8767224719147
HDAC8 HSPA8	-4.26095342302044	20.2352835532278	16.1341654728076	-3.331160127088	19.7112991646579	15.0534302788546	-5.12405491895173	20.3172100338716	16.2861031810979	-5.64129321688855	20.2455280947969	16.0824384339247
HDAC8 HSPB1	-8.29757131597043	20.596544772813	16.4877252920208	-4.16860669703436	20.698976648197	15.4265091445015	-8.51067416466	20.8673928360725	16.7301040189655	-8.02232477515826	20.7980145363411	16.3663670382926
HDAC8 HSPD1	-7.77067580846603	20.0003069822123	16.3282103118299	-3.41313543563602	20.1306572324468	14.7555544181536	-6.04640898290793	20.4343808428999	16.3182539827797	-5.2418365796925	20.4011447384787	16.0257752515153
HDAC8 HTRA2	-19.4014592447794	21.6703587617128	17.1301023618983	-5.57911817521812	20.2309000244509	15.2295335831382	-13.185322834456	21.2464121465525	16.8675983197694	-10.8644473368533	21.1270473881957	16.4647485504979
HDAC8 Human.virus	-3.57192322107237	19.3683000943188	15.559151679302	-3.38998352387879	19.9847480978403	14.884655667157	-8.7812937309348	20.5067546318467	16.389620520308	-4.16349373435585	19.9052416347636	15.5241099817694
HDAC8 Human.virus.1	-20.9672791723217	21.3414415425091	17.1100145826007	-2.88843659828462	19.3415856001205	14.2907151493637	-10.4254092948132	20.89742127177	16.5767188315803	-7.45116569808111	20.6429753643127	16.0478037090877
HDAC8 Human.virus.2	-27.3719651766162	21.4026634749891	17.0601715942218	-2.07360995497022	19.2670466373493	14.2082462317847	-5.74915071907879	20.8200644010584	16.4871231648407	-5.17160223323097	20.5645030665347	15.998398699773
HDAC8 Human.virus.3	-0.34243235570534	17.6755805476263	13.9456619309797	-1.32087580991618	18.6537215175424	13.6945466981231	-1.09504130831226	18.9371321607506	14.3603934877445	-0.892216031985993	18.3897721116162	14.2187362862932
HDAC8 IBSP	-0.486696367300694	17.1455372340008	12.3432020898802	-1.5327504451387	18.7364781018986	12.8481525610259	-1.38468332736469	18.6478227048712	13.4461783787228	-1.20549681363288	18.1504069559047	13.0519266617878
HDAC8 ICAM1	-6.10653063013433	20.689125963718	15.6136610266995	-2.81592839955608	19.6610555672111	14.1391459110876	-13.8009937761704	21.1777528073993	16.6349569509561	-6.10972729896947	20.4991382377754	15.5147363986128
HDAC8 ICAM2	-19.654147798987	21.4340948460575	16.815849200509	-3.48316676222626	20.2665983677835	15.0565682140861	-15.0184440427201	21.265924661155	16.991649973808	-8.05168227069061	21.1875388015312	16.3702839956404
HDAC8 ICAM3	-21.6879634733459	21.3900620062698	17.1118862545431	-2.65764650153083	20.1432893858806	15.1398151698278	-12.1334397292017	21.171343501944	16.6602630432617	-7.42623523449484	20.8345695363945	16.3299396158067
HDAC8 ICAM5	-3.05586816068215	20.2783274603022	15.1534295291554	-3.16021957724458	20.2711327048103	14.9541795706666	-5.65365677832652	20.8029942785067	16.2174342933136	-3.33966168372013	20.4372415549373	15.4362873825518
HDAC8 ICOS	-8.20960332493435	20.7181502235616	16.6260393234219	-1.76580161072848	18.2376949681915	13.3340662682534	-4.42863184573642	20.0893118878677	15.7545674362096	-4.17426739289441	19.8313253409239	15.4088206666963
HDAC8 ICOSLG	-6.40081363444073	19.7684573637054	15.5504707075309	-1.93985521779699	18.6096866817449	13.9043874327496	-3.17433853390394	19.4798692266164	15.526154946552	-3.53482982480302	19.4923316252327	15.1793565865904
HDAC8 IDE	-10.5784860402317	21.0461198596814	16.3807413969124	-1.72597044754872	18.3367535872407	13.6337455979136	-4.03819708566379	20.3262090699634	15.7483154985998	-4.36468283587954	20.0557117707122	15.2870761535537
HDAC8 IDS	-10.6995300672315	20.9538978580018	16.5384301514357	-3.33260619815551	20.0962922259306	15.2831258700036	-6.68183141092462	21.0672647094251	16.43641351193	-6.90548314708063	20.5944785665609	16.193462209393
HDAC8 IDUA	-5.93077958470866	21.1740789933984	16.0666378034408	-3.89452760798841	19.6481602474373	14.9036304133957	-8.07599728242497	21.1037799550651	16.4956492828013	-6.21764981208147	20.7702338413984	16.0035991615767
HDAC8 IFNA10	-8.0056590359827	21.1527880281469	16.5914707122617	-5.74212828610363	20.8250091910993	15.5691029589576	-19.444228262268	21.5049412422145	17.0030632944592	-6.79223143593567	21.134846074369	16.3138527642982
HDAC8 IFNA2	-1.75053631556822	18.4215063102086	15.5531030692482	-0.60005035560026	16.6659158362408	13.1748211055381	-0.921587139258024	17.7740514319215	14.5848169118717	-1.17914935704541	17.9469436529086	14.8435193957769
HDAC8 IFNA7	-20.3385450492917	21.3802438314428	17.094023632156	-2.73260346804872	19.3607650672928	14.9960029097927	-5.19418604132492	20.2148118310825	16.1617282779031	-6.38761424721982	20.4305211736018	16.2379028917745
HDAC8 IFNAR1	-3.61418473233469	19.7684347998674	15.7208202973166	-2.5856676615032	19.0896506868555	14.4965546279552	-3.82679292162355	19.5109351129789	15.7560125501566	-2.92278338144173	19.6809427485295	15.4890955305018
HDAC8 IFNB1	-6.60076484621646	20.793855725263	16.5740528828245	-3.86733302066504	20.1759134358245	14.6215074519028	-6.36951503490912	21.1829727077323	16.4730299035721	-6.22428977752135	20.5118936486783	15.9657997369986
HDAC8 IFNG	-19.3776310138082	21.6509149090158	16.8487844799888	-3.22242230785846	20.3029167715852	15.0628140422908	-14.2445269396422	21.2891092411189	16.6688315970648	-5.58490042062518	21.0577125969795	16.2013503569603
HDAC8 IFNGR1	-15.8131813782141	21.7988705380055	16.7922961131462	-3.02797457186979	20.2452891491901	15.2091452709025	-14.5888258337239	21.353804354639	16.8045478317705	-6.00790091172654	21.1350826452348	16.3663468768615
HDAC8 IFNGR2	-26.0994028780858	21.5933318039573	16.9026409616888	-2.95747160802301	19.2175556053991	14.2504665584328	-7.99511575897507	20.9171552019445	16.181737258706	-7.01786489828349	20.8003438869466	15.8417638136525
HDAC8 IFNL1	-5.46298452665724	20.8404181637062	16.3173887792239	-2.22923460616768	19.0387189345411	13.763857630641	-4.295063628659	20.6795736708414	15.8995806839465	-4.15146254669209	20.2978297615005	15.4788969624312
HDAC8 IFNL2	-11.3447899410429	20.8005616913814	16.5141200794402	-2.28053048508621	19.6520810163138	14.3387497808201	-6.43263570785291	20.6170309204953	16.3825219593099	-4.54777474011407	20.3668924949197	15.672637481813
HDAC8 IGF1	-18.6850983991399	21.6968232524002	17.1812181394699	-2.79016099413231	20.4929251658517	14.5670547969049	-12.8296240453125	21.4865966596411	16.8977898214222	-6.96716420998613	21.1486159080646	16.1589596790372
HDAC8 IGF1R	-24.512000436623	21.5066782795822	17.1978425733625	-3.16609276148973	19.7561268009908	14.370664402547	-8.11269941208938	20.9752698370738	16.4666484931636	-6.99257572444639	20.725855215757	15.9859180716565
HDAC8 IGF2R	-7.76001807009642	21.2553644375218	16.2219070885468	-3.30142147127408	19.0153293175035	14.4458934395715	-13.0809256730301	21.2945276246827	16.7971207151082	-5.89886816327893	20.4832334743647	15.823413507183
HDAC8 IGFBP1	-3.41440129163207	21.0789066472842	16.0036398361508	-2.52825717144273	19.8560911756627	14.2084221233652	-4.84105375088111	20.849405190086	15.8126098177627	-3.27715165604334	20.716285992917	15.5694265896782
HDAC8 IGFBP2	0.0972797845630028	15.5762820969931	11.3656600552522	-0.356262258100488	16.1648745250312	11.3650554041628	-0.244783079286868	16.4163742395455	11.9466700909525	-0.180242473823196	16.0973187294164	11.6396483488548
HDAC8 IGFBP3	-3.56923251750347	19.5815669086252	15.7349024363875	-2.96724967449953	19.0615792512853	14.6797224080713	-3.40356947458724	19.6960543676696	15.675211221958	-3.51229624380947	19.7253832422709	15.5907023216536
HDAC8 IGFBP4	-31.2589812704726	21.6262970410545	17.3040363322343	-3.16088264879094	19.8592168609185	14.5667214264583	-9.20978273760489	21.1780206815136	16.6685383456103	-7.29197064421343	21.0898269881524	16.326650853205
HDAC8 IGFBP5	-11.5076143481729	21.2204912041263	16.7348200259297	-3.13978177485012	19.9945434523453	15.2546147073277	-12.6648080230045	20.6944335565149	16.6329103015646	-6.44863924105703	20.777014916972	16.3247066921471
HDAC8 IGFBP6	-0.134867224769196	15.8249788573423	11.4442974610372	-0.165731101094696	15.5230593631761	11.3396459560612	-0.595461608031834	17.0214371819334	12.7837553520353	-0.259110758902125	16.0364618314712	11.8067148468666
HDAC8 IGFBP7	-6.85291268746037	20.6319183846936	15.8583623167544	-4.08222861759187	19.921374677982	14.9439432551763	-11.116692768032	21.2893457666441	16.8228641119723	-8.1446293103968	20.5869842001563	16.016748906257
HDAC8 IGHA1.IGHA2	-0.751810179383058	18.0366174586496	13.5939206044063	-2.58647348284409	18.3805389888833	14.1660119740103	-1.36974069618501	18.7376733355032	14.5612316109669	-1.38678018609212	18.5775606559341	14.11072817144
HDAC8 IGHD..IGK..IGL.	-6.72900765580375	20.8898373871205	16.4442362932313	-1.43814962883406	18.4592793412841	13.700108143828	-4.37631878127297	20.5223985723953	16.0266895585069	-2.63333072397049	20.0663671849634	15.3563401437775
HDAC8 IGHE.IGK..IGL.	-9.98218941944979	21.8391103422219	16.8920723129097	-3.96261278917398	20.083126973838	14.7250870740638	-5.89903061510764	21.519588664959	16.4905454789819	-6.56831721710057	21.2175906243152	16.1175213025002
HDAC8 IGHG1.IGHG2.IGHG3.IGHG4.IGK..IGL.	-7.48486745950817	21.4556315743125	16.4434289731199	-4.86165902784517	20.3750422173358	15.5123075678589	-15.0248945536404	21.6193569821359	16.7464564286645	-6.94774210753334	21.0927226806513	16.2863291008852
HDAC8 IGHM.IGJ.IGK..IGL.	-17.6659343290698	21.3070154652338	16.8472088415261	-3.40995239387754	20.0139929711639	14.9143493302776	-4.74581763201664	20.8403421586059	16.1466895022831	-7.58518590843622	20.8237967354289	16.1965674418264
HDAC8 IL10	-5.96048735532321	20.8446602730547	16.5934563892024	-2.37371127654116	18.5361112903073	13.9603608093615	-5.20132671395599	19.8606828410348	15.7420502966385	-4.40700174369664	20.0474945405331	15.7202317521919
HDAC8 IL10RA	-5.60087417133546	20.6562393109937	16.6365439045376	-3.82810367284271	19.7113376350271	14.89972721985	-9.54648620904355	20.9151077926453	16.8629689952813	-6.31003648364362	20.5708747049521	16.1402995088701
HDAC8 IL10RB	-0.922552920335614	18.1241899293248	14.2905018574566	-2.66880288718506	19.807262550454	15.1559738301439	-3.04455768295938	19.9471234317555	15.8318120143941	-2.3018535817652	19.3388236903859	15.2377417154948
HDAC8 IL11	-9.79175046442591	20.5402561633973	16.8898200148498	-2.31464996554121	19.3627907911659	14.5582865577411	-4.79827663535545	20.1292798302254	15.9919473503529	-4.27916800443514	19.9633967603909	15.9520612340658
HDAC8 IL12A.IL12B	-7.79469344137225	20.7798166655409	17.006740909764	-3.54886915685596	19.383196410441	14.8054548735886	-3.94304524840018	20.2447458738936	16.0810444271577	-4.94737330261845	20.1184549124043	16.0925931196923
HDAC8 IL12B.IL23A	-7.7918885977684	21.6650799955538	16.7192942975236	-2.88872281998216	18.8839901563544	13.7384531928563	-6.56901336005964	21.0951919830873	16.1181286053362	-4.99301539674495	20.8350419780377	15.7145976237093
HDAC8 IL12RB1	-7.60656415976029	20.5995503117323	15.8513757375892	-4.31069404086766	20.3833151320435	14.951972643629	-6.38900514880855	20.5990097004106	15.9218458434314	-5.97627614816322	20.588266431981	15.7701295348825
HDAC8 IL12RB2	-36.1989007005446	21.6265769039833	17.3056127639899	-5.94284493758244	20.4653234962026	15.5856263644885	-16.3976202739232	21.1490735562404	16.7816198354007	-12.8826207667262	21.1359000755073	16.6724324763182
HDAC8 IL13	-3.63943911766503	20.3532330093627	16.3070912367889	-3.39853875860746	19.951136667074	15.0053619158594	-4.45221249374134	20.3152981282444	16.0922926974536	-3.55972619604661	20.1833502561765	15.8560031545409
