protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HGF HGFAC	-0.314805469549771	16.6419756204078	13.9151223281599	-1.09435496077456	17.833126107816	13.7859721640847	-0.982540490554495	17.7063728971479	14.5627517475065	-0.723819412512286	17.5363110919955	14.3348782075362
HGF HHLA2	-0.0568422069684855	15.7621636799236	13.2660772366887	-0.909724744517352	17.8398114717912	13.9004813100076	-0.681638245084834	17.5035906146023	14.4915314795384	-0.42785839242669	17.2951554591311	13.9530510180644
HGF HIBADH	-0.321880697059115	16.4135261884925	13.7330954319527	-0.689162061818309	17.0374856437398	13.4131909341072	-0.288149994516658	17.222962534493	14.0990779023654	-0.653035319808704	17.4426708420333	14.2678100175295
HGF HIF1A	-1.23122917201564	17.4335826135253	14.315489661102	-1.55462632468649	17.5883091448457	13.9371605548816	-0.735935371981091	17.4783844264415	14.6361891163706	-1.18337696012215	17.5660542600322	14.3576691054867
HGF HINT1	-0.168658977092816	16.9199932833175	14.2764476692708	-0.56359796517315	17.0334024102955	13.3856141074107	-0.379028001862586	17.1915465346055	14.1208403241167	-0.354404031110339	17.3047926218056	14.1125596337748
HGF HIPK3	-0.228195091184381	15.9140145009997	13.3408164158282	-1.05730048646358	17.644900389333	14.2558230918693	-0.663447789792639	17.4483119494383	14.5800615953324	-0.977115043317492	17.4617946941594	14.3881913550782
HGF HIST1H1C	0.250262906760485	14.7838356595691	11.2615617844459	-0.440079258604479	16.6981687795278	12.1972400348526	-0.0541560822217269	16.3954154213579	12.8332614543393	-0.121318482490873	16.0629010743292	12.1731478172467
HGF HIST1H3A	-0.195124693702481	16.3938372313645	13.4176471770859	-0.805683967186105	16.4159740591149	12.9530341363899	-0.246286149816399	16.7026153499389	13.5012621574949	-0.486054689628385	16.9507043168151	13.7035958798191
HGF HIST2H2BE	0.0742750640078045	15.3258521645902	11.6139237922367	-0.767299148737359	17.3536543051091	13.3598896760415	-0.361336259518772	16.6558171478704	13.2130299699312	-0.282478121100181	16.5501315264897	12.9241292037166
HGF HIST3H2A	-0.353828548825518	16.2955315579156	13.4497184234694	-0.893131267073578	17.0346088636275	13.8152929711105	-0.442298828274636	17.0263358994973	13.9847543649942	-0.646135691717745	17.0233618563084	13.953774063371
HGF HK1	-0.638942130680372	16.9123776976504	13.8442319058461	-0.86255844755959	17.351634854796	13.7964274033744	-0.423531739610305	17.2288093171697	14.2558210108255	-0.937087681250315	17.3600634630922	14.3407103849533
