protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HHLA2 HIBADH	-1.77298023989158	17.5925816414803	14.2217210050268	-6.08449733660642	19.9412849258592	15.2913578823889	-3.35390933569937	19.5259648732605	15.5248302386193	-5.34787636939461	19.5507848024209	15.6223068106922
HHLA2 HIF1A	-2.052701332467	19.0336981094838	15.0738191811811	-3.5960620770461	20.5697891009868	15.521483889678	-3.83264226133854	20.1111080436781	15.7903703904732	-3.96711475575649	20.0291128591006	15.7743168169616
HHLA2 HINT1	-2.95469443809611	18.9722481836949	15.0527841727619	-2.3255336868961	18.9074486497162	14.2445101903167	-2.80941391369432	19.6630124592433	15.6767237486304	-3.07631026473109	19.2750617297	15.1395080866901
HHLA2 HIPK3	-12.0406109200989	20.7505898635286	16.396891365702	-20.0622553326441	21.2588855425116	15.9212693340787	-13.171064062118	20.9199773997564	16.4429722948537	-19.5608422232376	21.3020056516168	16.5367104728861
HHLA2 HIST1H1C	-0.130658903388696	16.7765296947385	12.3385228814208	-1.42675402244477	18.0307680739201	13.2243258048123	-0.890011798162131	18.0745172306309	13.8050763668197	-0.655262852708325	17.7128857879666	13.1573699540313
HHLA2 HIST1H3A	-3.13978267585023	19.8177599559411	15.6114947054803	-15.8595585107733	21.1039172752731	16.0173247442841	-8.14952957473849	20.8476771900084	16.2508203691094	-7.52083736219023	20.7518419217818	16.103801254673
HHLA2 HIST2H2BE	-2.59846068723251	19.2923259325837	14.4306642113312	-3.09492239997085	20.2200641342578	15.3923734226454	-3.00910019344332	19.975789341158	15.133130419301	-2.97328309122611	20.0301246107897	15.1116725556063
HHLA2 HIST3H2A	-3.23003846350754	19.4439465858624	15.3634383787018	-22.4613604393098	21.0695727227459	16.3191073363073	-6.95312095440567	20.5521171000311	16.4996940449352	-7.47150406442729	20.5420502381126	16.1509096086238
HHLA2 HK1	-5.55744963840037	19.9449026500408	15.8252314706202	-5.11810334432838	19.880982543198	15.1339722006811	-7.08546661965577	20.2906757145176	16.1552139850395	-7.27759156427485	20.2045760358861	15.8997754824747
HHLA2 HK2	-2.64584909744503	19.1364665473013	15.6821376217276	-1.35004981837201	17.7640984960481	14.1725438808917	-2.13371094367171	18.7467374291024	15.4557375879447	-2.01360770267336	18.7135299061829	15.2284982106575
