protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HIST1H1C HIST1H3A	0.0144654056262844	16.0275579092504	11.8854713603975	-1.20655043424082	17.6669168836215	13.0778522113991	-0.420976647952133	17.1031496455623	12.9238651466589	-0.560853112615964	17.2362218863313	12.9355690269889
HIST1H1C HIST2H2BE	-0.510504732165719	17.7422774377573	12.9032361850766	-1.47857975968802	18.2577432799578	13.9583851209791	-1.15329665907378	18.2530653998234	14.0005762379244	-0.967426087370717	18.1710141970355	13.7468605383819
HIST1H1C HIST3H2A	-0.547421868022151	17.9429059148263	13.7967686034664	-1.66613437189488	18.2879812755556	13.8460588744918	-1.01506285498571	18.4084590362626	14.1883856111037	-1.01407593199107	18.2957493906714	14.0362870367728
HIST1H1C HK1	-0.70575967752793	17.6013551761472	13.3781640022386	-1.03608328142669	17.6110903442179	13.3241032765096	-0.782128746627551	18.1814000938453	13.9398360202465	-0.852713732121922	17.9999051599552	13.758855205949
HIST1H1C HK2	-0.314525701119386	17.4244919623872	13.0348284897198	-0.845754402989665	17.2358686216905	13.1509466116487	-0.60806320286776	17.6593038139716	13.627097998155	-0.615031999443194	17.4957409438924	13.4646346969737
HIST1H1C HMGB1	-0.265916432479794	17.8487692501512	12.7963952369153	-0.587224096316697	16.9978141240491	12.4157279960229	-0.676744926371293	17.993008622647	13.7470551146693	-0.46307299642889	17.3810097675774	12.8551741254311
HIST1H1C HMGCR	-0.466828869476984	17.4615387919815	12.7118678903468	-1.50677552155417	18.2329450338262	13.4054475642764	-1.19924439884085	18.471837683901	14.0794057510814	-1.00973489455759	18.2179110977247	13.626175335921
HIST1H1C HMGN1	-0.691463404876215	17.9840628375681	12.9083021085163	-1.23726353337352	17.6725060936658	13.0212327500828	-0.961767139116554	18.2741946839088	13.7368792190623	-1.19250193025323	18.1020626696716	13.3754545477124
HIST1H1C HMOX2	-0.337427938720353	17.0195745730251	13.1426767634538	-1.31221266008611	17.93634528163	13.4025400157708	-0.973566391064393	17.8187164475894	13.7478258646933	-0.816589809716454	17.5761054618942	13.5083345589056
HIST1H1C HNRNPA2B1	-0.436391550725241	17.5609744928465	13.0515531371479	-0.190803442116784	16.1361534301238	11.8976254368299	-0.495473855810163	17.5593268041618	13.5283605341465	-0.442558289699295	17.05934274316	12.8243786323708
HIST1H1C HNRNPAB	-0.637800601007172	18.1558201785337	13.7063867303358	-0.426697560552039	16.5039315385275	11.9262953102154	-0.681974090407806	18.1231943478878	13.7253379010955	-0.661306497710936	17.5333035969972	13.1008610034703
