protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HIST3H2A HK1	-1.95401507432428	18.8128196458171	14.2547262112307	-6.37185844139485	20.2032955396081	15.6955775366279	-4.78984706372285	20.0768927735386	15.8549263881109	-5.78055068981226	19.9396520152785	15.6154008766186
HIST3H2A HK2	-1.14422372119522	18.4201029032144	15.4288131918746	-3.33168892068068	18.5729289094904	14.8610130313252	-2.12083585848507	18.6498139360795	15.3524625021154	-2.06052765553987	18.6599066469656	15.3527908428849
HIST3H2A HMGB1	-3.30942840877185	20.1175524734357	15.5015956943717	-1.60185165420776	18.3593660882986	14.398715251055	-2.21233347000242	19.2471899688623	15.2532926490853	-2.4226837014432	19.3999840031354	15.2138583011835
HIST3H2A HMGCR	-5.27850579522435	20.7429531446248	16.0052798805916	-8.58204717592518	20.393066359713	15.7132709608227	-6.5243001393232	20.8033004190824	16.1246308801167	-6.84107118786023	20.6816650599311	16.0605590455231
HIST3H2A HMGN1	-3.40814222611309	20.1092601079788	15.4545950675982	-5.37449968659196	20.3806038985788	15.295114508282	-7.06960286585659	20.7256757764085	16.0272907032483	-5.68946730843243	20.5425531869816	15.8129954642194
HIST3H2A HMOX2	-1.6194223324543	18.3176709684008	14.0127930176577	-3.77386212190774	19.6292346614445	15.5618855401776	-3.51380025504275	19.2973977736147	15.2730940670059	-3.30548744807501	19.4807074383203	15.3701609729335
HIST3H2A HNRNPA2B1	-1.69388943557811	18.7726552766584	15.1089340058308	-0.875318746777088	17.6065955874518	14.1432232271685	-1.08512113170932	18.6010093222914	15.0918729460539	-1.54608497419804	18.4909770634827	14.9787169459213
HIST3H2A HNRNPAB	-5.98325292276319	20.1235118646564	15.8331068384675	-1.39976460149698	18.2324053482958	14.3591815040339	-3.60369140678891	19.7443540892297	15.6336705428789	-3.35672301153234	19.5215402533179	15.4638450090721
HIST3H2A HNRNPK	-7.10778438903185	20.5568526628043	16.2231618271197	-9.31004436406775	20.3654817720091	15.6822372899492	-10.5224666031183	21.015124600761	16.5612681092113	-8.76782106211169	20.7281408100131	16.2266581114185
HIST3H2A HP	-3.41330942518182	19.6691730162743	15.2947525573078	-7.90083648059165	20.1698576868716	15.6014960620619	-6.41256364156735	20.5125740469797	16.2689784464159	-6.81194643477749	20.464181767204	15.9551121064769
HIST3H2A HPGD	-3.94977395114693	20.827215980194	15.3592853017745	-4.23384681390564	19.5688430957791	15.1497831986959	-6.81895889440583	20.7865818973184	15.8971891242316	-5.67971543164585	20.4514338589838	15.5170829444949
HIST3H2A HPX	-2.76781436067002	20.6269998653374	14.831175915598	-17.0913734624752	20.6848123260146	16.0674971918846	-8.51003333996571	21.1324201999447	16.4414052019681	-6.79448514371515	20.6671684861274	15.689893031855
HIST3H2A HRG	-7.79473862618137	20.2737086288719	15.8229633679222	-9.03261478619859	20.7778850393451	15.3037777784318	-7.15215335852631	21.3219346856333	16.084224027005	-9.48294497541349	21.0542327494008	15.9911050008458
HIST3H2A HS6ST1	-4.89745321036584	19.8931864751828	15.7140816661723	-5.40440543410353	20.7807573075972	15.7026947784601	-14.526716631968	21.1471057494847	16.6881215552982	-6.18856797215012	20.7329394877891	16.0635837232766
HIST3H2A HSD17B1	-3.8159179606646	19.8438977885554	15.8952043594641	-4.6831907988355	19.5690484295946	15.1278746831821	-4.1341433484953	19.9798880972223	15.7810850173659	-4.47856697037013	19.8182448003666	15.6238868497024
HIST3H2A HSD17B10	-2.96127867313489	19.1421155194873	14.5369411923931	-4.82997968694022	20.1512909738872	15.2121083508106	-5.14184346319707	20.0908122404874	15.8275596744124	-5.05628791962654	20.0367782795158	15.4045784549306
HIST3H2A HSP90AA1.HSP90AB1	-3.96240572066374	19.9999107074991	15.4642940426028	-4.78602871223313	20.2436228922513	15.3644440322374	-6.45870338890325	20.2756908502701	15.7676367713049	-5.08124562647375	20.3057339467969	15.7514270585035
HIST3H2A HSP90AB1	-4.25381602624567	20.1894854746961	15.5797166473556	-4.56313834843862	20.1233174221437	15.1817642179742	-5.49967978218598	20.1619164769102	15.6284586701225	-5.07538401764296	20.4569340332837	15.7917485687996
HIST3H2A HSPA1A	-2.40944866552785	19.2503971916565	15.0866519246479	-9.04833791975166	20.6262135305814	15.6037745195772	-4.87969977626174	20.4879535803288	15.917731051235	-4.56808192325916	20.3691772314243	15.6967895259921
HIST3H2A HSPA8	-2.66552569101784	19.7039624221048	15.3707398058155	-19.4252439798127	21.0094554498981	16.4691177216723	-7.07061141489758	20.3872164262899	16.1233333612659	-6.39171719019508	20.5300551030571	16.1491440646757
