protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HMGB1 HMGCR	-4.6115449323073	20.6574588570115	16.0235817255671	-0.890765248714458	17.3275743187946	13.7703495470882	-2.58176427018462	19.4584869796254	15.3344199842272	-2.46674171169313	19.2017775972941	15.4425057193573
HMGB1 HMGN1	-4.35546786264813	19.818387509225	16.0473231709518	-0.8818807699707	18.1667502226683	13.4330632154845	-1.89462014432421	19.574084806059	15.3688925192465	-2.31644464102747	19.2797338623017	15.0725306185296
HMGB1 HMOX2	-1.58720372366463	18.8617685064623	14.7053874673657	-1.13580967576133	17.7253867373041	14.2430242963837	-1.1570771062949	18.4645230206681	14.7647549573568	-1.80497534230296	18.8588127646052	14.9765007997227
HMGB1 HNRNPA2B1	-0.997000066957553	18.3490830225806	14.4295055423124	-0.509769885616173	17.6544728669635	13.8710279119902	-0.936870882902919	17.9324791032745	14.2345545893024	-0.936214906224739	18.2668123133995	14.4750665758304
HMGB1 HNRNPAB	-5.65026921479619	21.0595041300608	16.2738930244291	-1.26642773438629	18.1432902318828	14.2982796163753	-2.50476039260654	19.5604169636534	15.418391437174	-2.54115754610246	19.740770437515	15.4083570943074
HMGB1 HNRNPK	-3.26877928882953	20.2990484216179	15.8331194928455	-1.33991448246236	17.0984712743316	13.426304879576	-2.19481546066652	19.3169790879184	15.2821401344852	-2.40478014983561	18.8292127657666	14.7839170973526
HMGB1 HP	-3.06295223349694	20.1426559606296	15.2131381917086	-0.995180954174453	17.1124371135049	13.4904423094774	-2.47449841424521	19.2340509074035	15.3179107065223	-2.5601865227544	19.2308557214366	15.0857055889494
HMGB1 HPGD	-4.31041937152789	19.9821765417475	15.5070725553576	-1.90460650461944	18.3650717219593	14.0506554109955	-2.49497050296477	19.3778473570642	15.0238263689525	-2.9623885818073	19.3252297743569	15.0303593111071
HMGB1 HPX	-2.38139014318776	19.5209179084581	14.5621935803062	-1.45660504326644	17.693397795199	13.8617987155366	-2.7294973326174	19.7052771730777	15.4947649426359	-2.10292497704226	18.7822393383463	14.468420839735
HMGB1 HRG	-3.21316324860964	20.0777581776703	15.5378819857556	-1.10436097276979	17.4312654280739	13.1374304109793	-2.11139863071852	19.7211192790487	14.7623248111999	-2.0551304783803	19.213173715584	14.6388965204354
HMGB1 HS6ST1	-3.71071381870718	19.7881959491146	15.7215092244135	-1.06170125694077	17.7674744543507	13.3166202257333	-2.8156465650811	19.3626106031386	15.1920370933598	-1.9435670300225	18.9409516519836	14.8905476273968
HMGB1 HSD17B1	-2.83150006467229	18.9862411605267	15.4619992207252	-1.16370688950608	17.9351758112064	13.8443274518955	-3.21512070395219	19.4221912807133	15.5816781675524	-2.18240055845234	18.8004805996611	15.0804058500329
HMGB1 HSD17B10	-2.42183806994791	19.2742836452044	14.8699179628224	-1.6839437446746	18.1717591027838	13.6606563001073	-1.93110260491053	19.2260949471788	15.1854013957803	-1.98358213884485	18.7451844817525	14.8220724378659
HMGB1 HSP90AA1.HSP90AB1	-4.2218509847416	19.8968230358009	15.8714276841225	-2.2598721241756	18.4130905088779	14.4743401832955	-3.50687410909339	19.4039875145944	15.5349294241894	-3.10003836373063	19.2931425556426	15.4282241335371
HMGB1 HSP90AB1	-5.02090048642807	20.0047020002717	15.7952025705317	-2.14557643753133	18.6647049975177	14.3499296903665	-3.46281560027222	19.4212211295839	15.5217422751691	-3.69300257753915	19.4714341604357	15.4385528944051
HMGB1 HSPA1A	-1.59814150478187	18.6369642076717	14.6287373224525	-1.12894131056196	17.6190289745318	13.125369707448	-1.97108150381352	18.8381310288505	14.8025888475575	-1.67641363061841	18.4371001137199	14.2826728314644
HMGB1 HSPA8	-1.48877186385135	19.7448307816546	14.9838228993594	-1.6394522815443	17.8711783103427	14.0943481093699	-1.74508667468487	18.8005538474503	15.0635085830439	-1.60222707446841	18.8208824495705	14.8230382245919
HMGB1 HSPB1	-2.79194908245542	19.4265023397304	14.8199376374683	-1.35041762174937	18.394721364788	13.8613530106877	-2.29303265941779	19.272805533671	14.8724529596856	-2.69977654268089	19.209744745704	14.9343958210987
HMGB1 HSPD1	-1.94636052560203	19.006240433068	14.8577780303119	-1.26797085990664	18.1871264649216	13.3736177444343	-1.78221995247458	19.0700351597672	15.1221871273297	-1.72574647946516	18.7196517947834	14.5445857731036
HMGB1 HTRA2	-5.00077455132264	20.339693573619	15.9172738818926	-0.999291258905247	17.9744462537015	13.2126370853843	-1.77483588437515	19.2435130057567	15.177427029838	-2.17724233434898	19.4420920457158	14.8060740305747
HMGB1 Human.virus	-3.10562671127235	19.4968771455322	15.8629339878116	-1.27779342163954	17.9371781096989	13.5452355778559	-3.79219669311528	19.7073460961928	15.8237278951415	-1.93508755330659	18.8509368464058	14.9023393638446
HMGB1 Human.virus.1	-5.94423383665956	20.540886708741	15.9844590038055	-1.06260008000844	17.4319206698625	13.2021201321802	-2.56806646056318	19.4085104198358	15.1383762604479	-2.77949895257007	19.1690784788847	14.8135982230807
HMGB1 Human.virus.2	-6.52051427503874	20.6095850237712	16.2093412795486	-0.89203898905358	17.8383407799195	14.0815610232248	-1.57740635433757	19.02890313521	15.5687498255655	-2.90276736173153	19.3624765871342	15.4991955567881
HMGB1 Human.virus.3	-0.141668629800405	17.2644242576666	13.41413923292	-0.579844115860118	16.4030749485814	12.4075627282984	-0.65354961006652	17.3860502266389	13.4792122163758	-0.448264554008906	17.1689325879563	13.300281700704
HMGB1 IBSP	-0.720632038649936	17.7133335168049	12.6422975861606	-0.389801068180212	16.6542538450405	11.7334701581082	-0.631639513756849	17.5217786672208	12.7364134908348	-0.687231593032854	17.3633334643538	12.49791434374
HMGB1 ICAM1	-5.23928903842393	20.7863799884258	15.9838269262453	-0.997422553669231	17.5691687789755	13.5993904117307	-3.12547029846205	19.7417636150189	15.6504458453103	-2.40085081633701	19.5258189070378	15.0894051992121
HMGB1 ICAM2	-6.68504141454057	20.5544432225129	15.62065547974	-1.25718303866359	18.0078834481033	13.8810682017274	-2.50799345382716	19.378996154685	15.2309825871822	-2.67174578595083	19.3294310196551	15.1177535834
HMGB1 ICAM3	-11.9308791687117	20.9424572068903	16.645711420721	-1.87845362436501	18.2692570293354	14.4009786291502	-3.24787838460872	19.6300093576006	15.6974565854786	-4.27844590333927	19.7433522837441	15.7620427649458
HMGB1 ICAM5	-1.40849167302725	19.5668998554097	14.525206408092	-1.41965541389907	17.9218578463012	13.5522040418994	-2.82242425556514	19.5284338296991	14.9498747509305	-1.41689723305093	18.94652938496	14.2806437244243
HMGB1 ICOS	-3.66047634438716	19.8219001930223	15.3462399851309	-1.05540039642872	18.2163434700185	14.1419215748294	-2.10770576478919	19.1135620347192	15.0335739070867	-2.28972483871881	19.3611902246734	15.3150684936383
HMGB1 ICOSLG	-1.45850449597784	19.1286802491158	14.596025573785	-0.905721627460293	17.0092615787559	13.0665526089841	-1.22204065333986	18.3504004952166	14.578528117751	-1.55483800498809	18.3512854937483	14.3517364045301
HMGB1 IDE	-5.15677717077502	20.187217563111	15.763356409494	-1.10917380767082	17.623571404121	13.3964002276258	-2.40119931565464	19.3886743255869	15.0911500198512	-2.80205149312455	19.4089897031104	15.0478727187542
HMGB1 IDS	-4.90475561533718	20.3684983630049	15.7560138729201	-0.999337804640944	17.7793581325358	13.7685071992102	-2.12815891915349	19.2188036147748	14.9817713356635	-2.52476277873045	19.2545521122689	15.1447637328063
HMGB1 IDUA	-3.52760320696461	20.5567890084381	15.6450604728242	-1.11944334403406	17.4588801626986	13.4454956598399	-1.99631025015483	19.3289529465489	15.0920697301495	-2.55575976132702	19.3803999951232	15.0881679522978
HMGB1 IFNA10	-8.57859721379325	20.9740017414076	16.2943565150165	-0.970802634886213	17.7560445704473	13.4706810625919	-3.68276847009819	19.6426163139772	15.7462204032505	-2.70865924125332	19.6487852027835	15.278757316142
HMGB1 IFNA2	-0.808353131301806	17.7998021607079	13.8591863828748	-0.723379836309208	16.5798344581232	13.4156978968778	-0.63797852192977	17.4902051833233	14.046938008516	-0.973614860474598	17.6790774978249	14.0526408651698
HMGB1 IFNA7	-5.00312053002023	20.4229019278346	15.92344187616	-0.619140071771633	16.983141036534	13.6052260492398	-1.92662633031693	18.7257092291079	15.1030654496702	-2.12102133807657	18.893703823187	15.1759404746329
HMGB1 IFNAR1	-2.43018734626812	19.4611295629468	15.2980883911566	-1.65775957229924	18.2699496137348	14.4392857060683	-2.12301189586799	18.8857003147304	15.3242550785005	-2.12175573887125	19.0809175947599	15.1501313199155
HMGB1 IFNB1	-1.59739556972584	18.7627122887627	15.102800769376	-0.86143939060846	17.3740144940316	13.8151565058189	-2.14580834242253	18.6185989171885	15.1930797563293	-1.63533113633695	18.3312437272479	14.8923056522728
HMGB1 IFNG	-5.21326169910488	20.6107141249323	16.0020705046805	-1.10173646870262	17.7750277959072	13.7033954139007	-2.68724678881895	19.7537715741404	15.8103245423876	-3.55304371056907	19.5107817836423	15.2479012536069
