protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HNRNPAB HNRNPK	-10.8126596877939	21.0887637238928	16.8631789515066	-1.45174886525288	18.3280914659373	13.6055703160827	-4.0573082317262	20.9526611667022	16.2234108347979	-4.14233045452985	20.017723512119	15.4962962576719
HNRNPAB HP	-6.14460398168511	20.5006934951396	16.0541130946588	-2.03166684748335	18.1122899957934	13.6615149142387	-3.48967947326178	19.53232338239	15.4222889199733	-3.96028481789827	19.6282838550009	15.3504748634551
HNRNPAB HPGD	-7.0672258603386	20.8264732698539	15.9680403804527	-2.98397322400542	19.3071281037113	14.8540018087508	-4.75530300747922	20.7271780990786	15.8686964921138	-5.06141838008685	20.2066888433426	15.5848766452398
HNRNPAB HPX	-3.16011280598184	19.7162552153494	14.4851898795916	-1.40467683696044	18.3471706601588	13.6256002363174	-4.94906584914509	20.5201695272505	15.8003122577487	-2.46389036489576	19.2053236367547	14.3662705078624
HNRNPAB HRG	-6.50589546227158	21.5470565520459	16.2726648572529	-2.04516179165595	18.4621768623432	13.9084405166354	-4.15547818696667	20.6366021731161	15.5620823024858	-3.65647988466161	20.3109135467687	15.2809917890061
HNRNPAB HS6ST1	-3.93317549638806	19.8785566231251	15.9337950250069	-1.81924010283476	18.4745577782711	13.9143737644533	-4.6539569747665	19.971570552687	15.4622567879533	-2.9096468075833	19.4605852359328	15.2797738914672
HNRNPAB HSD17B1	-3.9633753136156	20.4226505060369	15.8551561678212	-2.13404307497814	18.423577248305	14.5390224959084	-2.88319193299022	19.8917373342966	15.685293208143	-3.5776407448463	19.5838305850788	15.5598905111305
HNRNPAB HSD17B10	-3.34707374902371	19.3669142819812	14.9249643931769	-2.01376120480769	18.5182788912972	14.2882111130452	-2.73914566386394	19.6445575848167	15.3698161982806	-3.10883032828427	19.2916693107149	15.0230532936532
HNRNPAB HSP90AA1.HSP90AB1	-5.66494879094939	19.9803860743775	16.0373522643948	-1.79798797710642	18.6944541225533	14.4139470762868	-3.87518732000227	19.6316429827953	15.3461043477329	-3.86935105592459	19.6382363532641	15.5549016160683
HNRNPAB HSP90AB1	-5.80534894365416	20.0796857059187	15.8815993530286	-1.81150107512167	18.6491907890336	14.261213959758	-3.782546012626	19.8300169933682	15.5602593179749	-3.53545038408169	19.6879995520531	15.4131497025174
HNRNPAB HSPA1A	-1.80119667045681	19.5737115699398	14.9833440543596	-1.96529031146118	17.9808224290599	13.4027309489725	-2.70354662308144	19.5854601351465	15.1404093703373	-1.99484067890152	19.0757061738919	14.568173817052
HNRNPAB HSPA8	-1.99860086618983	19.1369908922668	15.1591042474573	-1.51102080687008	18.3634505455539	14.3311724935229	-1.98680661434666	19.441117056957	15.2764511639997	-1.8294119504917	19.04463431197	14.9909871582985
HNRNPAB HSPB1	-3.46636421212625	19.936232291456	15.0629313536509	-1.83459632009732	18.4851987622923	13.6901463045725	-3.2169595901401	19.9508963381655	15.0268676103478	-3.15829834146658	19.6509735799388	14.8884076831144
HNRNPAB HSPD1	-1.66739301640834	18.5722282053592	14.6162206179234	-1.46255733227442	18.4482519883096	13.7039329306107	-2.00728865229697	18.8694527275394	14.9245211355165	-1.84800542789447	18.7779932997991	14.5474860233776
HNRNPAB HTRA2	-3.38997127271599	19.9573699428675	15.5277408188422	-2.12287673961771	19.2130966322742	14.0043371313865	-3.90647421775176	20.3282323634854	15.8146862739749	-3.36112135923047	19.8031505379794	15.1200438789323
HNRNPAB Human.virus	-3.92476917021098	19.4860773465246	15.9026500851205	-1.60832303948968	18.4208544398893	13.3271185476618	-5.02582418947474	20.4711986815337	16.0135534524509	-2.82961885377048	19.3140590418154	14.988890378763
HNRNPAB Human.virus.1	-12.823178389043	20.973783966685	16.5031462422127	-2.19556906437491	18.6127439226908	14.0951669733112	-4.60643174043848	20.2782945058559	15.8959509483597	-4.98311121531359	20.2052150084618	15.6062003566188
HNRNPAB Human.virus.2	-12.7720721572578	20.9574472347364	16.682846631844	-1.39821352593207	18.1908008964841	14.5106892372555	-3.18062209584109	19.6257541618247	15.6775052976074	-4.73753266172647	19.9912863096539	15.8323382830902
HNRNPAB Human.virus.3	-0.173986137099887	17.1982259570892	13.5969091466409	-0.580103881499792	17.0146521798796	12.8116182258675	-0.730127109666193	18.0906657483095	14.0601728310322	-0.410650957360947	17.3882069805593	13.4848125455836
HNRNPAB IBSP	-0.860904578628729	17.4229283832696	12.9030023919328	-0.603208780121653	16.9467265061208	11.6455075928914	-0.848394140390345	17.6050270315281	12.8477848141177	-0.763547714196469	17.4219204822298	12.5864439934595
HNRNPAB ICAM1	-5.40964204939611	21.1828290044992	15.9984366869578	-1.85693817658575	18.1600770456215	13.4766296062251	-4.90861264381118	20.6401084933361	16.0098783586356	-3.77686296633584	19.947773281474	15.2082084759557
HNRNPAB ICAM2	-16.7364976390447	21.0257699798616	16.6020010996267	-2.27984929112311	19.3081022411005	14.1349672281651	-3.68631381984562	20.7911211367208	15.8740619125944	-5.41637421098728	20.4966159695345	15.8173777077923
HNRNPAB ICAM3	-19.7138108539901	21.2601277762203	16.9112942318545	-2.06629623210639	18.2397880196007	14.3234720198991	-4.8611013602136	20.4011773837611	16.2006652716546	-5.8854884361474	20.0739270549068	15.8622763167161
