protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HNRNPK HP	-3.57471876697809	20.218903824148	15.3779843733642	-3.78633798242322	19.7689547823956	14.7940644043748	-12.2210160354233	20.9096829614812	16.5126938204915	-7.78044228070075	20.5130244145336	15.8539056859006
HNRNPK HPGD	-10.2115208855262	20.9197449236328	16.0686497891536	-6.48302598532449	20.1767475738993	15.6206034792913	-16.5375045902184	21.7146407491724	16.9399489479964	-9.92607298614697	21.1016187238553	16.2719458403022
HNRNPK HPX	-3.18765909990992	20.389963959699	14.4882760305821	-9.665099680672	21.1945583932219	16.0290900151936	-20.3485824275467	21.5265905126269	16.8250623249662	-7.99376966449661	20.9886704287525	15.6359979634175
HNRNPK HRG	-8.0839134081836	20.572614288423	16.1557340987354	-8.29239930684825	21.0517189243212	15.493759066309	-12.5714167089039	22.2346249716891	16.7342218821881	-11.0678748416613	21.4521831029046	16.3217122249306
HNRNPK HS6ST1	-3.54352457761536	20.2114708367	16.0992736124385	-5.22152386969864	20.3876790162385	15.1393802562573	-12.5857412805359	21.1029369132611	16.6314680360897	-6.56753894441929	20.6623988920386	16.1190997008847
HNRNPK HSD17B1	-3.73692048549753	19.6201480160952	16.1379110436979	-4.09650594676498	19.1812479531864	14.8137410070728	-6.97004410712267	20.1670728969571	16.2030120302507	-5.5105589245111	19.6935676576654	15.9110919529889
HNRNPK HSD17B10	-3.46896182399106	20.2537315733323	15.8350510219633	-3.85297234438195	20.3130994446996	14.6751148007087	-7.63423717884794	21.2339177815396	16.7094454474038	-4.58815877310994	20.4322752185475	15.6328877847411
HNRNPK HSP90AA1.HSP90AB1	-10.3067494427888	20.9454149557314	16.7832200915534	-4.27095553790288	21.1854325070208	15.5842268771855	-30.9207427909567	22.1459187423639	17.2414207355175	-7.10183916691224	21.3602742941727	16.461355052329
HNRNPK HSP90AB1	-13.0336766206453	20.9515221663521	16.7671905451257	-3.83142598570429	21.2641482464368	15.5980988351328	-26.2172975612322	22.1446652828918	17.2282289265232	-7.34404551478706	21.412354111395	16.4812245640502
HNRNPK HSPA1A	-2.75789962711738	19.3723978435769	15.025722172465	-12.3387417574117	20.9717847956377	16.1166037179294	-6.45237484378777	21.2397354276099	16.3958112575937	-5.54180050181459	20.5585841696963	15.9486906090773
HNRNPK HSPA8	-6.05335503429756	20.3970132284682	16.1933651333156	-8.48053557123906	20.6268505347726	15.7123026876582	-14.4309272788923	21.3996351364679	16.9904115820535	-9.90433183457896	20.8168829814604	16.2929275347101
