protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HPX HRG	-2.69361314225177	19.5128396481037	14.4477687074656	-9.52909311953528	21.2556573298459	15.6409853132486	-11.8130003202473	21.3401037875403	16.3523823799263	-6.48778840307139	20.9122142793278	15.5489966467686
HPX HS6ST1	-2.8589528965194	19.130310779048	14.2475562143092	-6.10339607212707	21.1564310738848	15.4217177834757	-8.43696527375838	21.2279569553307	16.1057210570239	-6.25789748678697	20.7137023274701	15.4574650236515
HPX HSD17B1	-2.13349466121068	19.2218407245723	14.2401262982611	-4.15834213456739	19.3125371866963	14.8140737403495	-6.35905994481056	20.3432040340818	16.248011437626	-3.59186622864447	19.583908386704	15.0331252673546
HPX HSD17B10	-2.43036026876873	19.480997720066	14.2149295679859	-4.92476073572844	20.6612769084248	15.1871212865534	-7.16158391171019	20.9066487827715	15.9398635322903	-4.01468428470427	20.2034884157405	15.0297228934649
HPX HSP90AA1.HSP90AB1	-4.02484762151354	20.417953277386	14.81867861447	-6.9901049473306	20.9155962994456	15.6294926896928	-14.4474537617704	21.7012241652473	16.6508216835815	-6.26032751551888	20.8838551064317	15.5330649573341
HPX HSP90AB1	-3.8068279155572	20.4527422486012	14.8508655808464	-7.5902127700191	21.1708899990735	15.7740322435648	-18.98317869099	21.6118032953245	16.7659160615389	-6.89723738316656	21.0176240680644	15.7409431035567
HPX HSPA1A	-2.48818934290376	18.9953413520625	14.037756041408	-8.26337115263435	20.8220612984119	15.6030658610225	-5.20814633761325	20.5812694736734	15.7478438342287	-4.3292897917486	20.2363044024199	15.2017333226657
HPX HSPA8	-3.14558050766233	19.8051193940857	14.5115688252035	-16.7149329071116	21.3067557581753	16.3492520921258	-14.5500459731229	21.655680847649	16.7470579178359	-7.62491100437409	20.8472375927796	15.7993533813006
HPX HSPB1	-3.65319634576085	19.5399498003296	14.406124241107	-4.66909447258969	20.0826333349848	14.9534122191134	-7.21515442368604	21.2019018756116	16.1121773242533	-5.6724119992604	20.3431826789363	15.3184260897478
HPX HSPD1	-1.70873654470217	19.3898606156728	14.1780346565657	-5.23831371277023	21.2002169635157	15.2181571099976	-8.18684543288806	21.3145941482243	16.2785686313794	-4.55820589174144	20.5609551521149	15.2732880427744
HPX HTRA2	-3.26504495723892	19.9072684246374	14.6093438172183	-6.12010008396919	21.1057500761613	15.6591943404549	-10.9026806817293	21.3153243680112	16.360750576141	-5.69398089835293	20.6427981692994	15.4427799031958
HPX Human.virus	-2.40565211548469	19.0585297719655	14.5806506843022	-5.22389196628346	20.9107462843205	15.7203470394859	-7.76090899840876	20.9545435540688	16.1162244823515	-4.59895155551975	20.186571293979	15.4861976587499
