protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HRG HS6ST1	-3.85916264904646	20.2451556095536	16.0311615180087	-6.58261200011678	21.0087406547721	15.1213936074685	-8.99938854428498	21.5943671934271	16.3556487269245	-6.04548341392127	20.9229290594357	15.9513763827662
HRG HSD17B1	-5.05226549433958	20.3267347096224	15.9923251406373	-5.48342083408734	19.3475397271879	14.7583875402572	-4.46721939116681	20.6247493369474	15.8372654255499	-6.42809117241074	20.2378526545036	15.9424038524541
HRG HSD17B10	-3.85171654468378	19.5117049365482	15.6345277654958	-3.89804172930391	20.3488104691579	14.8126063077704	-6.37225093297498	21.1312471770188	16.0676170789206	-5.20383473380958	20.346728308733	15.6695808066489
HRG HSP90AA1.HSP90AB1	-9.1272665546937	20.5653932468163	16.2688134433294	-6.53129913690284	20.839321987008	15.3899009435023	-11.7072654100718	21.3509419190856	16.3512735473133	-10.0950764432979	21.0125475075374	16.3284231821765
HRG HSP90AB1	-7.05448021688071	20.5754202272686	15.9813995447488	-7.37899216507639	20.860439655134	15.5204919445413	-11.9332641134607	21.4936470851306	16.3806633117379	-10.6182899306268	21.1375293577552	16.3057714236883
HRG HSPA1A	-3.91942653372547	20.109644850201	15.5329780555523	-8.71175533259892	21.0483912563617	15.2488726577084	-7.88644658174091	21.1486070412239	16.0681082131509	-6.44334350575527	21.0272738247636	15.7722714906677
HRG HSPA8	-4.64255278330003	19.9663443219445	15.799044320912	-8.07187144081216	20.8999162931129	15.3153122277155	-10.6691688818595	21.3745861117477	16.4966553247278	-9.31044748364716	20.9237105302171	16.1034541354573
HRG HSPB1	-9.58423958484167	21.0858305647326	16.4018118787134	-4.49602114238526	20.3373015914079	15.0522211607219	-8.41629200193956	21.3629105381331	16.222232074685	-10.0601419583494	21.2245089882967	16.37923041311
HRG HSPD1	-3.83422448664685	19.4383381781565	15.8012808272442	-5.97010722853174	20.8061834881849	15.2391178737922	-9.38655232762298	21.5239343350194	16.5295578261441	-6.22791236271841	20.5975840563867	16.1022685430879
HRG HTRA2	-9.22617677110154	20.7572353036591	16.2054092454804	-6.19792168181546	20.755729560514	15.101809639204	-10.6691024183926	21.4803718696748	16.3849032527218	-9.03770916759468	21.3818743963956	16.2088047304849
HRG Human.virus	-4.00856325191357	19.523729521819	15.468280335989	-14.019024945444	20.9518441757264	15.8750022494827	-9.03777577660941	21.2788404778335	16.3589628850848	-10.3972732231712	20.5667234091434	16.1527504852637
HRG Human.virus.1	-14.963536792984	21.5545134072547	16.7708129964567	-7.55187390209436	20.4660364424588	15.08495141767	-10.8469245171629	21.5002913662053	16.3048704506261	-14.8564785212436	21.5000557803825	16.4806762577364
HRG Human.virus.2	-5.98916577614012	20.6106577338551	15.6928065989423	-7.70913553864976	20.4753760319461	15.2645210761715	-8.74856248419845	21.0213532686346	16.0355202531988	-9.4497823380014	20.9455713761256	16.0530587870144
HRG Human.virus.3	-0.491795982197458	17.3521170057564	13.3898068144294	-2.10809844909074	19.2402126213735	14.1384312228595	-1.36578932816554	18.6382495604488	14.0816361922709	-1.08529797046056	18.5900423366582	14.0984930088045
HRG IBSP	-1.00268361541729	17.8353333937512	12.7941661205003	-2.26883964315341	19.2229240868445	13.0789826678457	-1.36962011114762	18.484843210371	13.0191611802979	-1.47880972003727	18.8073656161539	13.1909350351216
HRG ICAM1	-7.65299752513839	20.9912929342321	15.8574307823042	-8.92005866952051	20.8860833005325	15.3101658236154	-9.3714101038867	21.62966499487	16.2328341220974	-9.59837035998487	21.3421245996377	16.0567426966883
HRG ICAM2	-29.3173794116592	21.577920045218	16.9850196597393	-8.10123746572035	20.9636160028908	15.5864763873818	-17.1289320932995	21.9093579425615	16.8060318234778	-14.5398888482434	21.7399711569565	16.6366286618147
HRG ICAM3	-18.310284624272	21.84416491709	17.1268169215487	-5.88087693267144	20.8808969090805	15.2124199373022	-10.3587837285935	22.0281112697251	16.6617812345123	-10.7049917123355	21.6488459873592	16.4885810928054
