protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HS6ST1 HSD17B1	-2.26241932205067	19.8530900650061	15.7559166696108	-3.54858145717726	19.3159787162836	14.380557909044	-5.64994060043185	20.1519208110821	15.9561827131989	-3.37602995844794	19.8104576344352	15.4818502363491
HS6ST1 HSD17B10	-5.16002780167513	19.7527094147105	15.7405864979704	-3.35564176250003	20.2628196542321	14.4766428797482	-4.97326847123489	20.7184916737922	15.840335777453	-4.86620312352477	20.3794187534599	15.6241646778572
HS6ST1 HSP90AA1.HSP90AB1	-9.63026539571153	20.3198066945957	16.4414526438346	-4.49267122652699	20.4870426723742	14.8544490746714	-12.0668152820519	20.9981578663621	16.3622584964517	-8.7706036839805	20.7620736065316	16.206911448739
HS6ST1 HSP90AB1	-8.06751963580828	20.5390800033508	16.1006160175072	-5.55487326099843	20.7336920289994	15.2128050746001	-9.73666794669176	20.8315000641422	16.0909613887046	-9.81169131843266	20.8713445894998	16.1842365741982
HS6ST1 HSPA1A	-3.61550973042867	19.752278847996	15.5464848445548	-4.5437705166384	20.8385392295144	15.0659086984531	-7.25038731773754	21.0895517079008	16.355794455061	-5.5956909175491	20.5823457571472	15.6634225797492
HS6ST1 HSPA8	-3.4318282555723	19.633105495287	15.6107346245588	-12.6342450385888	21.1022539734399	15.5028729458208	-11.4781374893342	21.1641915611797	16.2921617453533	-10.8252872082249	20.8262427884504	16.1656616657623
HS6ST1 HSPB1	-6.23669035340496	20.0272436309576	16.1218391733036	-6.73893154918404	20.6208826504984	15.2090531958627	-8.52613103325724	20.8251108186107	15.9390371486889	-8.3275247396127	20.6588794683612	16.0693398419304
HS6ST1 HSPD1	-3.04090443057834	18.683230555027	15.0231395276729	-5.45182008405823	21.2652421806117	15.3129390906121	-23.913378590464	21.5056344165674	16.9424436332026	-5.0366888461495	20.6252310074483	15.9562252217944
HS6ST1 HTRA2	-3.65731111181212	19.4535297007338	15.491510993178	-7.08283627041298	21.0549072659563	15.7515639019584	-13.9312906164579	21.1795393619759	16.557638521949	-7.11225515102185	20.6316766747873	16.0682446791705
HS6ST1 Human.virus	-2.23260994739196	18.7843426033706	14.9589187502376	-6.33771065331602	20.5135598249122	15.2038555046488	-9.99987776551253	21.0459184618515	16.6012233791735	-4.90080786827092	20.0765453214429	15.7092986620263
HS6ST1 Human.virus.1	-6.37053137074325	20.7220679161041	16.3916830266759	-5.79626066967183	20.5213354070958	15.2623116381793	-17.4561474608256	21.4214238646007	16.7763855409518	-8.51037046737714	20.8883348793736	16.3307364893468
HS6ST1 Human.virus.2	-4.5294190891637	20.3695433413654	16.4924515747721	-3.58793280361143	19.1876154639686	14.4429936964059	-8.96511307847523	20.520678462452	16.3516505893166	-5.68929504575896	20.0827018233138	15.8804576767113
HS6ST1 Human.virus.3	-0.0872569888606465	15.817649010815	12.3773570293263	-1.91832627427256	18.4073396442425	13.4639297978538	-0.689383475230042	17.9971544934406	13.7717303866783	-0.774437601244313	17.7641243463537	13.5056761459771
HS6ST1 IBSP	-0.510904017676781	16.8613713588272	12.3528758256468	-1.94282090071162	19.0283495356682	12.8068469744373	-1.50743058015691	18.6297713758369	13.3581497244407	-1.04570915164711	18.2406206686618	12.8155293510015
HS6ST1 ICAM1	-2.3450305655268	19.8409882647292	14.6679665063061	-6.78984048167746	20.5741652632372	15.3101511176645	-20.9361347200937	21.2816360367159	16.663483055158	-6.93202130932303	20.5991934390102	15.6760548910948
HS6ST1 ICAM2	-9.17780486189494	20.8586363450957	16.3966546987606	-7.02376184179487	20.7449373472228	15.5126880043033	-19.2154108611746	21.6027678138167	16.8134693391597	-10.0544233931264	21.0888625314083	16.2344527971025
HS6ST1 ICAM3	-3.74140440210531	20.4374160674467	16.0028467127934	-7.15150857353198	20.813410495531	15.4341917136161	-14.073587835578	21.2542679946299	16.7911224682666	-6.46336951618894	20.8514244897623	16.146757836772
HS6ST1 ICAM5	-1.48792548132426	19.5181873569348	14.8046305466338	-4.84152763687873	20.254021281621	14.7058453067584	-5.00032273351664	21.1219229125273	15.6702933489807	-3.78839347864956	20.2884925541405	15.4038706982482
HS6ST1 ICOS	-2.68336310464743	19.2631284636018	15.0097175339164	-2.99916165886298	19.4545028577174	14.5369497068014	-4.02202356191616	20.0224760342918	15.4035246031927	-3.40743038911613	19.8262003248522	15.3495691547598
HS6ST1 ICOSLG	-6.05455642400273	20.0565509393623	15.9432481147499	-2.43487011313971	19.3628438869231	14.6037424281202	-5.06475477690721	20.0936421638676	15.6221653037256	-5.5578786525438	20.0415603373989	15.8183028976041
HS6ST1 IDE	-4.00232183763884	19.0163626356082	14.9812790965467	-1.40447421702528	18.0168948863703	13.0114761544045	-2.32162179912291	19.731789820954	14.9306902552978	-2.51783741538639	18.7525600746584	14.343857412538
HS6ST1 IDS	-4.70772519187501	19.7738169413982	16.1034654259797	-4.79588534047003	19.6326964165411	14.588714251851	-5.80556397318742	20.7506843502675	15.9070535113005	-6.11279016690573	20.1903926058434	15.785469762454
HS6ST1 IDUA	-2.92520526220883	20.368005871645	15.2242560882494	-6.78256600352818	21.210113880523	15.3032260807671	-10.6978810990591	21.5427084037641	16.599320221848	-5.38211178288243	21.1673729500265	15.8935026193824
HS6ST1 IFNA10	-3.4687661612714	19.3217553021339	15.2667319021936	-10.0682685184729	21.8220141030033	16.0736826271191	-14.4723456337583	21.1512261572412	16.4473547564534	-7.35928612235812	20.8713306185055	16.1292585909179
HS6ST1 IFNA2	-0.538805749980891	17.4717950375049	13.9041651695636	-1.51060283528436	17.4769891787008	13.6557502797132	-1.23896973735656	18.0300030787385	14.5260229469961	-1.14970559897377	18.00074430155	14.4018988956759
HS6ST1 IFNA7	-4.44961194401989	19.9235005500179	15.9085322008699	-5.70976004522649	20.1103741825674	14.9819559366812	-9.03523126335316	20.5091670986272	16.3175504707032	-5.75656892625929	20.4837604563224	15.8523643955929
HS6ST1 IFNAR1	-1.33689280369906	17.8196645600492	13.8239370763352	-1.64460074395289	18.8678132997113	14.3761042001416	-2.3267210430448	18.9343188586225	14.8291000175247	-2.29204089510759	18.8486264330889	14.600316936654
HS6ST1 IFNB1	-4.98844844142824	19.7510035380416	15.8030722510202	-8.13667406860036	21.3177879670486	15.5784763003424	-10.8351829134713	21.3224541854123	16.467144114836	-7.72954738968341	20.8654332844936	16.1481103343453
HS6ST1 IFNG	-5.43394635675103	20.2101889597498	16.1911292588035	-5.64976755012497	20.2820978642943	15.1867164688076	-14.2476321871466	21.101053133293	16.6809012843533	-7.44545595290638	20.7315780511376	16.1619951387365
HS6ST1 IFNGR1	-4.39878531393912	19.7912306400684	15.7800347826107	-4.95410346241545	20.7342544016452	15.5096470523019	-9.30469666943842	21.2581285719978	16.2658047318362	-5.4077285980822	20.6475261030273	16.0734671705319
HS6ST1 IFNGR2	-9.5229287886466	20.6155749009363	16.5268244188011	-5.78969260280209	20.8237844645687	15.0401253678649	-15.5639405286606	21.6494854153626	16.629624928323	-8.34730640485661	21.1303009363029	16.2050160733641
HS6ST1 IFNL1	-3.39788589632235	19.5399926361287	15.5868069013614	-3.99529465875272	20.6023450335248	14.9282868807719	-5.94067731290999	20.8605244551046	15.7857144826569	-4.60639879379449	20.3227319946821	15.5824064781527
HS6ST1 IFNL2	-2.94439092979368	19.3959972841488	15.1410230165858	-5.87313493622793	21.0811106844792	15.321932013285	-7.31876842681205	20.6883075066748	16.2593018462385	-5.20170098596096	20.4569971605344	15.6616511588214
HS6ST1 IGF1	-4.51544940819177	20.9600312189876	16.1786740833833	-3.71207433356985	21.0785812844543	14.6132828540758	-10.0104448427148	21.8774048954119	16.5598165222386	-5.90767801894602	21.2390177188283	15.889844849282
HS6ST1 IGF1R	-4.70091903860985	20.2629838399736	15.9197799257219	-5.6119668769416	21.6713815934154	15.4752639316742	-13.0116542707975	21.447049961963	16.4481721864483	-5.78021584991885	21.2290177462276	16.1829485504067
HS6ST1 IGF2R	-3.8974581554751	19.8381795654975	15.1994742823386	-12.2444339801836	21.3604021097598	15.8839780819444	-11.5224220134394	21.5758571016624	16.5017377237166	-6.77930569240916	20.8911671476522	15.9254348965749
HS6ST1 IGFBP1	-1.77416754756784	18.5953413060873	14.4656088036775	-4.64925582855786	22.0232000438313	15.5997977672787	-4.20533933126382	20.8273468273688	15.9018992569267	-3.61750920813255	20.7389165421731	15.5235939987219
HS6ST1 IGFBP2	0.207986469352109	14.465040145985	10.6828163777584	-0.432319924345598	16.4013326566955	11.8907978331878	-0.0387422516545195	15.9424641650024	11.6538625210803	-0.0825646338633832	15.7555571217338	11.6566037708914
HS6ST1 IGFBP3	-1.60477045505485	18.3861926240344	14.6886994153583	-5.84335144332692	20.4995864599381	14.8215867042683	-4.31463937102143	19.9292427153585	15.4969185703277	-2.93994951653445	19.7255611582467	15.1141022565041
HS6ST1 IGFBP4	-2.52067941472149	20.8116609775476	15.6173525239217	-10.1241516421573	20.9250289826441	15.7271387398917	-11.2523905779001	21.2410018711205	16.3591382662736	-5.51688780545295	21.163225356482	16.0927617744754
HS6ST1 IGFBP5	-4.10141886136142	19.7379854792316	15.5901887525947	-4.90873540444907	20.440970034591	15.0611853483061	-4.2855402513194	20.2298941705471	15.840464807872	-5.68023196137205	20.4160713500953	15.7313906653722
HS6ST1 IGFBP6	-0.128311190559848	15.3049499672902	11.5226955003504	-0.611079031801273	17.1459823513274	12.0690981721564	-0.609075972391329	17.1390640205112	12.5898106992795	-0.419141849492595	16.4611203891004	12.2260268976177
HS6ST1 IGFBP7	-5.0419068676873	20.0865189543019	15.1224547075109	-6.65274614901443	21.3057534601179	15.5118342892161	-14.7910458969414	21.3359561995208	16.595276729562	-9.19077015313348	21.0564076344588	16.0811731363912
