protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HSD17B10 HSP90AA1.HSP90AB1	-5.14056642631509	20.4204023964475	16.2706935780831	-5.93436004181526	20.6008610602777	15.3682192943924	-7.49260139861723	21.0070151000307	16.3369828292827	-6.50172719244981	20.7840465842231	16.1339008444718
HSD17B10 HSP90AB1	-5.32569136397302	20.3724057666889	16.2717428644453	-5.5241772601671	20.6268048747965	15.4481100519234	-5.99946590776488	20.9266376268815	16.2833142172553	-6.70644432073158	20.7700157910882	16.1517037010792
HSD17B10 HSPA1A	-1.30205860645163	18.5937753941577	13.9997995596152	-2.61800503355005	19.7501582677906	13.6442258512355	-2.52028383363711	19.7331232147967	15.0706236955228	-2.0332315710325	19.411231913961	14.2454311197197
HSD17B10 HSPA8	-2.31082332702742	19.0850348890595	14.8617524885451	-5.19648432325116	21.1073745591422	15.4889714146417	-4.46520865932003	20.8123859885347	16.091929001509	-4.13121196988912	20.4647060569671	15.5183429178334
HSD17B10 HSPB1	-3.59592711275871	19.6406181502467	15.4139189348934	-4.80027193673166	20.7633872278964	15.3124272852721	-5.69107675709924	20.9043998020372	16.2111332781342	-5.35051033412639	20.3151352412617	15.7275224645813
HSD17B10 HSPD1	-1.48917163710234	17.9415458017601	14.7631779415072	-4.68044429853305	20.5889848504808	15.2952565571759	-3.71620005846606	19.8223923034819	15.8177944257456	-3.13461820468497	19.4335357934357	15.4653874789913
HSD17B10 HTRA2	-1.51066695085753	18.8109028107247	14.589261496083	-4.97532046136839	20.2293219680673	14.8503276021439	-5.2714051303745	20.5748020658937	16.1850409003894	-4.11675190401721	19.8428340067683	15.3373709409784
HSD17B10 Human.virus	-1.80982253062038	17.9993044237574	14.3074612193687	-4.64922739071131	20.437281750806	14.8741666478363	-4.63211121977825	20.3336802284145	15.9520466956295	-3.30630313641035	19.6166072325268	15.0828880885029
HSD17B10 Human.virus.1	-4.91095655023799	19.8803834666801	15.86650408994	-5.07146398136055	20.2003407568807	15.0287990805046	-5.31361793413802	21.0480261514877	16.482395957457	-6.0277175809241	20.4353041785948	15.8785349885903
HSD17B10 Human.virus.2	-5.48596357378573	20.0748994982666	15.8250880947996	-2.25164987464885	19.5742332958536	14.4179370930695	-3.8279151422871	20.247006216436	15.8043152343016	-3.90763202700403	20.0008953223045	15.5100214329641
HSD17B10 Human.virus.3	-0.285002574400697	16.5921595606881	12.5807979615969	-1.14867317157964	17.7308881303485	12.8194983270962	-0.657735208252953	17.6222908641451	13.2265651194164	-0.612882708731668	17.5309017339929	13.0159292557842
HSD17B10 IBSP	-0.503804188750235	17.3089984692366	12.1646457401186	-1.5089395809744	18.6863932509478	12.6915745521139	-1.19294145778437	18.29394115821	12.7845466857315	-0.951809455808477	18.2138826832863	12.7097910595723
HSD17B10 ICAM1	-1.41365169253164	18.598428945323	13.8667177097299	-4.54744124348838	20.0178542900622	14.5835736120075	-4.85466686182376	20.6047106461217	15.8204187482732	-3.16050468768003	19.7812216358157	14.8199961793241
HSD17B10 ICAM2	-8.95241795166909	20.8571277898015	16.4965533114234	-3.64495568405868	20.3373020658478	15.0408229195428	-4.98198282845232	20.9488076157493	16.5243921451369	-6.511679558325	20.7043425774769	16.0597671351407
HSD17B10 ICAM3	-4.28265832187906	20.451484302369	15.9245080371797	-3.5015758901713	20.1431367403526	14.8400248087977	-4.04028586829362	21.1879329464278	16.2275070334953	-4.67558119282092	20.4309943755831	15.7960996491236
HSD17B10 ICAM5	-0.872544696730503	19.2479383847991	14.2158561426934	-4.70025946081161	20.3387675697177	14.8655253594813	-3.87380679233892	20.9162438448682	15.7499177828503	-2.28479106330622	20.12105761808	15.0189799020473
HSD17B10 ICOS	-2.02236120202278	19.1178871707688	14.6062393216664	-2.51232146940077	19.4676213044263	14.4667757011356	-2.51155379453404	19.7525717681003	15.4403505607827	-2.9628559373729	19.5191537190906	15.0715235003921
HSD17B10 ICOSLG	-4.29228803857734	19.7266254523977	15.5840990581332	-4.40118323404264	19.9975901583104	15.0861535669902	-3.76419124259501	20.2551556888949	15.836014941847	-5.8804122394172	20.3115414276083	15.9715571327355
HSD17B10 IDE	-1.595235070543	17.7124856261617	13.7105624046439	-1.93650091707651	18.731655113462	13.696185224933	-1.83617259884932	18.8835086769428	14.3928439236902	-1.91702255394097	18.3842054212895	14.0312870578547
HSD17B10 IDS	-2.97222141058186	19.7288048409944	15.1876050839632	-4.44707747891658	19.7867861567882	14.9119615516852	-4.7951091732556	20.6332346010763	16.0512908234465	-4.14171837055997	20.0177661459329	15.4458650077554
HSD17B10 IDUA	-4.00549262105461	20.4231460338918	15.4635692662132	-3.79677365238599	20.2328099223515	14.535696469559	-3.55675267530106	20.5638714794758	15.5535435909112	-4.21985646766069	20.4290457855988	15.3386187848313
HSD17B10 IFNA10	-3.88900866791728	19.7085116978976	15.2424837209308	-6.60832673127357	20.6778376636992	15.4623709103568	-6.82657818743868	20.8976119930899	16.2981877799698	-5.11795359654235	20.3643074943836	15.5959292547908
