protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HSP90AB1 HSPA1A	-1.76436711100026	19.064732493677	14.1190266179065	-3.74959786872111	20.0010296115429	14.1846065469674	-3.44533037087558	20.6183904778032	15.5306292621973	-3.06213207511196	19.845139146421	14.6564620215579
HSP90AB1 HSPA8	-2.09922440296282	19.0977285432357	14.6774446614327	-5.46757692704246	20.4566689193126	15.6352268336842	-5.89558547556322	20.4266271274655	15.9278552264361	-5.91297363553476	20.1307754928992	15.6327456300403
HSP90AB1 HSPB1	-7.82809578103086	20.7799477994772	16.5832325427569	-6.32645248247924	20.6219369766742	15.5620005332572	-13.4859418598571	21.5213403766942	16.808260410242	-10.3299251438352	20.9915722460289	16.4847951044035
HSP90AB1 HSPD1	-2.40770430652192	19.1420447485058	15.6229832659185	-4.20296948552378	20.6078830053498	15.3101312001823	-8.71933789099421	20.4971929605899	16.5105208918752	-4.43545835046956	20.1245560135775	15.8972755013039
HSP90AB1 HTRA2	-4.71754348234541	19.7477105544817	15.4908486464792	-6.4199613162174	20.3049042373741	15.2209292396422	-9.56274628758144	20.9182288899959	16.4350837281933	-8.60850423383102	20.5105850387338	15.8521278064995
HSP90AB1 Human.virus	-2.41361152802196	18.7211841987167	15.0019787500099	-8.68899971390148	21.3087002968604	16.229363251473	-17.6640110577953	21.4068182556931	16.9351253474915	-5.07376972276362	20.3973296639245	15.9639507290866
HSP90AB1 Human.virus.1	-9.93869297012819	20.7620713740357	16.4967324673046	-4.07894378268957	20.0636053689904	15.1688762369661	-10.7116625265796	21.1727579222696	16.6245463114331	-7.04824682351787	20.7918316237607	16.2099610336093
HSP90AB1 Human.virus.2	-15.2597634097543	20.9000529899978	16.5273205368228	-3.03848689785599	19.7582424059779	14.9784359245424	-8.7308747469957	20.5683165989026	15.9900144929735	-6.65526914345017	20.7650018761972	16.1760710047163
HSP90AB1 Human.virus.3	-0.308740421579742	16.8894610992075	12.9623198579071	-1.25430845985535	18.38831917844	13.6026219198662	-0.745130261715972	18.1693612267042	13.7277619884992	-0.708958440571648	18.0674484007484	13.6440585783922
HSP90AB1 IBSP	-0.766096196532298	17.3180402911348	12.8225924189595	-1.48776778833276	18.6726472258987	12.2178565078663	-1.66641651082961	18.6114822718711	13.277739145699	-1.11471200473859	18.1212701890369	12.8443852116153
HSP90AB1 ICAM1	-4.39690731122971	19.8290691461277	14.8941283027532	-6.82344563617467	20.5730895754581	15.3919318017928	-14.1244693243628	21.6463339507651	16.82425598874	-7.12671553010553	20.6941507188722	15.7097631348732
HSP90AB1 ICAM2	-11.6521645012823	21.2486606613105	16.7195243466991	-4.88546681550116	20.8266940948668	15.4896976921529	-13.7816623789056	21.6448095560284	16.8920885625426	-9.78999522729571	21.1813856454161	16.5018337361946
HSP90AB1 ICAM3	-7.05035078217065	20.6213827659683	16.1489981934532	-5.36458912565963	20.6146808623824	15.6673269516443	-9.15324865218786	21.2152428894	16.574878798909	-6.38821476480258	20.8121814823221	16.2196222195372
HSP90AB1 ICAM5	-1.77822256743779	18.851215969224	13.9909538816806	-11.2521696361945	21.049473216008	16.0274318832944	-5.61625233951548	21.2621383894921	16.1442920231286	-5.84678486966489	20.4321225391287	15.6387987392728
HSP90AB1 ICOS	-2.91860657643186	19.9434773245993	15.1922000455854	-3.64022320478003	20.0673138746305	15.0973880992628	-5.77553464508638	20.5501583123798	16.0694333836394	-4.61601923918032	20.2985896648642	15.6677785733685
HSP90AB1 ICOSLG	-6.7580699296306	20.3678250322113	15.9520261728643	-3.71457243977541	19.6570823771421	15.236623552422	-6.79777649472675	20.600180531172	16.1679747182149	-8.8981057577785	20.4479968208925	16.1919543986978
HSP90AB1 IDE	-4.75531935897671	19.5441121043497	15.1730056384961	-1.73831465324812	18.5047131735748	13.0999213439969	-2.76998958498203	19.5880123683205	14.7129892472957	-3.5538596774061	19.3317676212444	14.6764977081282
HSP90AB1 IDS	-5.0313602426133	19.9731880180055	15.6486463362324	-5.92524964698668	20.3587991910421	15.6230515615873	-5.39547403829645	20.9953430988797	16.3061868474184	-6.38602491180765	20.595122812986	16.1841511711538
HSP90AB1 IDUA	-4.0640310377631	21.0071399784684	15.5070632220612	-4.0727636928723	20.8382720300664	14.7975052159605	-12.6089112145833	21.6725427914258	16.6942889882761	-5.320156494843	21.1315210642502	15.7214207899495
HSP90AB1 IFNA10	-4.9727201552234	20.2272175384897	15.5008716784816	-8.35607438945138	21.3235853302492	15.9261325419203	-11.1512109203922	21.1597908286424	16.2465148650361	-9.52349108837014	21.1384829793061	16.2842133041015
HSP90AB1 IFNA2	-1.34027976573369	17.8721064220202	14.8331023778154	-0.535336815831654	17.141932743715	13.5077966569734	-0.860425461686279	17.8135924133563	14.6989733727208	-1.28361642291634	18.0591643413184	14.7461526513662
HSP90AB1 IFNA7	-6.10598075041185	20.3737534877581	15.9557404472029	-3.50281698687379	20.055812573424	15.0963404296125	-8.45998824029767	20.8151413715352	16.4330189915151	-6.10792631572977	20.4736152162198	15.9746453692342
HSP90AB1 IFNAR1	-1.45868613859467	18.1229991773973	14.2242776715617	-5.01410574143786	19.6356056398246	14.8699614655955	-2.85576692261019	19.4692948959021	15.1319281307285	-3.34311839939728	19.2169722616353	15.0613510305202
HSP90AB1 IFNB1	-6.89695830242989	20.4499720205676	15.9030594936651	-8.6882709840827	21.3665037599905	16.1041173882499	-14.1961633384499	21.6558106481585	16.6088358510123	-9.26222311220612	21.1005365190503	16.3417613035806
HSP90AB1 IFNG	-7.15222371944567	20.8677908428835	16.2766505729154	-6.15818857121187	21.1991101583822	16.1178275809359	-13.8957348491978	21.5144867781859	16.9186012236735	-7.92188065104598	21.1917164659158	16.4505135180283
HSP90AB1 IFNGR1	-7.18579922819103	20.5566137143801	16.2166217818348	-5.12355957687207	20.9373406551825	15.921145403116	-12.3052058222125	21.6433365735961	16.8322671482409	-8.02519211901776	21.1703331964174	16.4915252498018
HSP90AB1 IFNGR2	-8.11603859766586	20.8702452258453	15.7673462224477	-4.5570845311778	20.8451566249505	15.2855307300961	-22.3316792070528	21.4502000717426	16.6993186288172	-7.6531715586001	21.2695813223057	16.026182197062
HSP90AB1 IFNL1	-3.77859345085803	20.2043037970925	15.987330884403	-2.61602494951044	20.2882020227412	14.7498538935512	-4.69813325921733	20.7046051690313	15.9189070212529	-3.31183374660249	20.3336500811216	15.7111759649906
HSP90AB1 IFNL2	-3.25099325452806	19.4843945402598	14.9869535960599	-4.56247332451182	20.9148290255626	15.4887381695753	-7.89997100055922	20.7888562476243	16.2995927634353	-6.14350334529636	20.4495703776046	15.8155053250264
HSP90AB1 IGF1	-6.33164879785974	20.5086861704108	15.4690420474028	-5.74841972859624	21.4257527815658	15.8105218924758	-16.704577178687	21.9139445440893	16.8538111492089	-6.68844326762316	21.2625425177778	16.0294618677479
HSP90AB1 IGF1R	-6.99617533040458	20.704125149872	16.135196537926	-7.89332974115079	20.959883065893	16.1439138194896	-25.0807594822224	21.8793704003856	17.2036959855359	-9.35813954396716	21.1218395248005	16.5069339809508
HSP90AB1 IGF2R	-6.42875435428419	20.8252921636895	15.9166886418363	-15.3654792094755	21.3476510466401	16.4074646051031	-12.2903442733051	21.6889365956584	16.8491895580295	-9.67952425512093	21.3316666591992	16.5009851190781
