protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
HTRA2 Human.virus	-4.10050727434876	19.4027582144382	15.5362064562811	-6.12585889578117	21.6435607652734	15.7604561909888	-11.3876652769643	21.2233657215427	16.5674060150667	-6.42357044530099	20.780617778804	15.926164564796
HTRA2 Human.virus.1	-12.8246024330402	21.4183931681442	16.7018552983841	-5.1589457687099	20.5729271407075	15.2349695861362	-15.4222867326965	21.3238186664889	16.6428170020029	-9.07591663130871	21.1718054718241	16.2320055219263
HTRA2 Human.virus.2	-14.0223965335129	21.0751545127721	16.4078777117268	-2.64864574151695	20.0630466212593	14.8466835468192	-8.78658925691809	21.0067039928808	16.14959061882	-6.46476785953277	20.8353586047795	15.9620193273874
HTRA2 Human.virus.3	-0.368288228232617	17.2717973564843	12.5870927758168	-1.30059614627607	18.3898040671963	13.5272942373718	-0.74081090443543	18.3990160321406	13.6778588967333	-0.877993712195674	18.1097393498229	13.5025902445841
HTRA2 IBSP	-0.607947711863146	16.852557006739	12.5406955459144	-1.73035685868266	18.8063780249176	12.781373533513	-1.3456570897321	18.349057244352	13.20090757677	-1.15195906382487	18.0227229218888	12.9636638205546
HTRA2 ICAM1	-4.76505162217373	20.2414608350597	15.7561632140051	-4.31008037940144	20.4341393962717	14.8873260449913	-18.668146510492	21.1825187965124	16.7937298377102	-6.72079234519678	20.6753603303769	15.8327178422349
HTRA2 ICAM2	-13.3808895381034	21.4786156158199	16.6518488497507	-5.87395774686419	20.5123538394712	15.2760846280778	-20.1527281387833	21.4857131456554	16.8608908899521	-10.5535646611757	21.2922844771102	16.4046519027159
HTRA2 ICAM3	-9.6380544871286	21.4283894601701	16.3242233247495	-3.95871300789761	20.4785172247777	14.8891530071996	-8.13117019449433	21.2772059678032	16.1949839931379	-7.15751811606006	21.0769374819324	15.8707551080091
HTRA2 ICAM5	-2.21548858197214	19.6023635378921	14.6591431534712	-7.31449716861277	21.2037015994379	15.6789191011363	-6.51910905581746	21.1028943413298	16.1130165391277	-4.65255780611332	20.737651034109	15.6845070251772
HTRA2 ICOS	-12.4924508741931	20.9895331045143	16.5937111938552	-2.19806029484755	19.5345861379124	14.1803614183552	-5.09972402353346	20.3913538281846	15.6978944143902	-5.09846389241024	20.4462398104511	15.7156032168994
HTRA2 ICOSLG	-2.94174357076648	19.7396189647013	14.8641323665729	-2.20696824124592	18.4958176932482	13.9345256868492	-3.39781278364722	19.590018137817	15.4558956892324	-3.61644760400728	19.3998379197973	14.9470090136726
HTRA2 IDE	-3.20364171223605	20.1798839533639	15.4548361422816	-1.43937545942476	18.6298116772922	13.7035703431585	-2.35623598224723	19.8219421403277	15.2924690913718	-2.33069682255585	19.6433292746667	14.8806996569254
HTRA2 IDS	-9.28928084480773	20.6907668356735	16.4289679910021	-5.17577522027986	20.5007973013573	14.9588054258069	-11.3793934796978	21.105745541824	16.3992055524749	-7.22115716963241	20.8029240520449	15.9830667663909
HTRA2 IDUA	-5.06503777523945	20.9592963350884	15.6971238410058	-7.02656867483523	21.0972444464274	15.282807285154	-6.97498736809235	21.3237049684164	15.9064604196501	-6.41260415347593	21.3128198519255	15.8937709329553
HTRA2 IFNA10	-7.97400063825376	20.2011210023056	15.5539964659086	-7.07553369881605	21.3103432140353	15.7766443796567	-17.7102225160606	21.3164870519862	16.5453012246214	-10.301989962813	21.0602164097293	16.109984563955
HTRA2 IFNA2	-0.88881478652968	17.7753266576192	14.4399566484937	-0.528503229017611	16.5382738851397	12.9615219217928	-0.615290823029734	17.5128370051024	14.064788138858	-1.03227478998983	17.6213764584065	14.0987997893658
