protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
Human.virus.3 IBSP	0.0691432013907857	15.4541043978021	11.2640424382059	-1.56415467984277	17.9730478827678	12.8702025351438	-0.573492771983744	16.8053582656435	12.6212007913393	-0.569517616684676	16.8884981883341	12.4093259876419
Human.virus.3 ICAM1	-0.568472634731945	17.4092490451177	13.4710155475741	-2.0411529134872	18.6227072384281	13.8006817072225	-1.26411351100734	18.8884155863365	14.5316950257568	-1.37553839930427	18.4259268475781	14.103038484655
Human.virus.3 ICAM2	-0.578896496938569	17.5505951477399	13.8449097351755	-2.03393643011498	18.9391958318175	14.0740335548325	-1.20030874144002	18.7716128642973	14.3805892224507	-0.937931646395366	18.5653659685551	14.2196212859897
Human.virus.3 ICAM3	-0.187001367678671	16.7095046919453	12.9657960687424	-2.66810002852666	19.6209043606413	14.5768677455998	-1.2720276927827	18.8942402328615	14.4218726721228	-1.20229410246518	18.5533177110634	14.1481502366214
Human.virus.3 ICAM5	-0.0491089802383307	16.9165892601742	12.6889777273645	-2.16158678327863	19.2347585793526	14.0752063441152	-1.25819540599775	19.0072296657528	14.2181149962702	-0.637221117197435	18.3609247965115	13.6871637220121
Human.virus.3 ICOS	-0.31882757302885	17.7781171180106	13.4371649180074	-1.72904116110937	18.5188063604695	14.0172127708864	-1.21020121313183	18.6915617325393	14.4087962440316	-0.965148608855228	18.4011353158028	14.148841560639
Human.virus.3 ICOSLG	-0.318186560330715	16.7230318250554	13.3052730394616	-0.906249165644621	17.6925633557411	13.0941687095836	-0.772443956926617	17.704343243949	13.5288705435392	-0.571192001963343	17.6640514546956	13.4914846798901
Human.virus.3 IDE	-0.231810486235032	17.157934462979	13.4347451006287	-0.831924515913268	17.7306154896801	12.787083570751	-0.987463046450426	18.0967141181022	13.963909624555	-0.581654395865991	17.7108782600887	13.4473123476045
Human.virus.3 IDS	-0.191601420871497	16.7618142571893	12.838471586076	-2.07583601950697	18.8293513873107	14.3987597355933	-0.815529119734346	18.3484778596718	13.8403112717483	-0.813749465155828	18.1262804784143	13.8739374389955
Human.virus.3 IDUA	-0.272350924264098	17.0981250944508	12.835690527535	-2.23894658903728	18.6424495183124	13.6930051398168	-1.37889490343905	18.813018792348	14.0987828047502	-1.10497838330175	18.3727426270679	13.785232104071
Human.virus.3 IFNA10	-0.135736067311944	17.3702572394589	13.4033371783306	-2.31073802658075	19.4756347350917	14.6253016126798	-1.24080054303348	18.6608128883174	14.4715306789551	-0.962150937697816	18.6259609860667	14.2959782951766
Human.virus.3 IFNA2	-0.157685850352167	16.4727236092446	12.8360496058659	-0.665123486119759	16.3633549059941	12.9860107155405	-0.298529602598538	17.0525598818723	13.3863127727594	-0.441271979527318	16.866237393854	13.2179254788728
Human.virus.3 IFNA7	-0.575900822206039	17.5665015592225	13.6116963703801	-2.8697361949197	19.1158833013229	14.6239300197898	-1.35525018439274	18.7980983397854	14.5882986437647	-1.17952327052586	18.6597755886262	14.4730701036445
Human.virus.3 IFNAR1	-0.195761437787464	16.2969219397107	12.6749968657673	-1.64982404591985	18.1261555159955	13.7466316516811	-0.748002976466205	17.6098358016622	13.6509791537073	-0.815161419150761	17.6226753978719	13.4790499721972
Human.virus.3 IFNB1	-0.29540488753078	17.3360758164469	13.6270336445393	-2.65865196205892	19.6317997457767	14.8366200261096	-1.36780077170435	18.9912257803023	14.6399051196645	-1.13467596900093	18.746959289197	14.4796855501831
Human.virus.3 IFNG	-0.145890525880839	17.3234008321742	13.2317785291534	-2.44622342111687	19.2389351169357	14.2233367235715	-1.31533202368386	18.9596628302713	14.7812099875054	-1.00154715974519	18.5248557970098	14.060043927994
Human.virus.3 IFNGR1	0.07829568409534	15.6924879176932	11.9805888356657	-1.78601271601298	18.3819198042113	13.821426748001	-0.638829315216877	17.6052012292423	13.5756436876476	-0.592198833719415	17.6439035356561	13.3889105082041
Human.virus.3 IFNGR2	-0.0503144709967565	16.8514893860211	12.958638515863	-2.37975042257474	18.7789069878959	13.7150964302768	-1.34925936278923	18.2705621077262	14.0440121351405	-0.965861550644861	18.2761258070173	13.9158124307678
Human.virus.3 IFNL1	-0.185764343615262	17.1025294464628	13.3109357054086	-1.00973979332528	18.3652898188053	13.6180743123253	-1.00891328184955	18.3630627185094	14.2145078739894	-0.649634636652327	18.0011240464904	13.7334475073987
Human.virus.3 IFNL2	-0.260179211652383	17.3826385962847	13.4376680465619	-2.4005503515742	19.8626609415686	14.7426458260826	-1.0954815458032	18.8964489181968	14.3349082409542	-1.04549875402206	18.8954911697232	14.3069040393847
Human.virus.3 IGF1	-0.357003675571067	18.0808564347144	13.5445802631937	-1.76142399092588	19.0475296934566	14.0682368900687	-1.30876831462805	18.6416914628355	14.3159141824141	-0.926312900360276	18.740636641142	14.0248854246446
Human.virus.3 IGF1R	-0.407772802347731	17.0479568601607	12.5727271870204	-1.67452418779856	19.1126612975245	13.702967523333	-0.857520005509343	18.4097314244848	13.9987832471607	-0.928244709832906	18.2146095587469	13.6874834118521
Human.virus.3 IGF2R	-0.212526098870589	17.6652891171993	13.1789268651526	-1.25110387681099	18.1805547057209	13.3894085491605	-0.582506897516122	18.1964064969476	13.6821431098647	-0.586172780531462	18.0175644541551	13.4920155850444
Human.virus.3 IGFBP1	-0.0944790033512544	16.9195459665982	12.7819010538347	-2.28813738652312	19.2355945973307	14.4834498319033	-1.13569161961759	18.645193358672	14.340009608367	-0.911638831651155	18.4002819990294	13.9848909796823
Human.virus.3 IGFBP2	0.250772334180296	14.5444123148173	10.9456214064469	-0.235900257445032	15.7274837183485	11.5142746122275	-0.0892213459858973	15.4393764921152	11.7556916614769	-0.0236729014361095	15.3412793771658	11.5400588653392
Human.virus.3 IGFBP3	-0.260271071763118	16.5876613119407	12.6039986667131	-2.80297382445004	19.0421391295151	14.5028940353371	-1.11243971408908	18.3566263602598	14.0762886496428	-1.19894183208097	18.2700107754096	13.9188232664835
Human.virus.3 IGFBP4	-0.811831274428412	17.6326329279107	13.1457881252242	-3.08526943546681	19.6968267080045	14.654913220146	-1.38864120402298	18.9931101627026	14.2598560488717	-1.50061869336761	18.9639114951972	14.2123687558882
Human.virus.3 IGFBP5	-0.418719626168728	17.1289949656787	13.5377985230362	-1.10779985679779	18.4304615844131	13.8538460171092	-0.867123278433599	18.3744911518901	14.3259777290395	-0.85316516299632	18.0641030480168	13.9855403233609
Human.virus.3 IGFBP6	0.0160834287941929	15.3344906558416	11.414852428056	-0.304174358997013	16.420004984893	11.9461308595746	-0.271669283438039	16.390544880438	12.2877930749967	-0.222809060540572	16.0897648189473	11.9202534991073
Human.virus.3 IGFBP7	-0.399243582072513	16.6104947022585	12.8754559935718	-2.13512594999061	18.5263208195682	13.7286758103739	-1.27064446458909	18.818912186087	14.0641357637787	-1.13631471495366	18.2223000839533	13.847328265578
Human.virus.3 IGHA1.IGHA2	0.252378949756612	14.3124906345812	10.9425490594062	-1.32839163066579	18.0799249177361	13.6022805443172	-0.173923599522393	16.7488547866978	12.8582286550565	-0.320241958377515	16.7041895330685	12.7763573020777
Human.virus.3 IGHD..IGK..IGL.	-0.408888397656508	17.2502838476931	13.1951212576451	-1.14541990144374	17.5047352072068	13.3062385371623	-1.01722541401658	17.958029012996	13.700483660674	-0.760843023576974	17.5909093036922	13.5852080266153
Human.virus.3 IGHE.IGK..IGL.	-0.370708078567924	17.4733412731817	13.4154370161402	-2.23648867165782	19.2154422826394	13.9205917228119	-1.18253161289847	18.5384641669891	14.2192880745445	-1.1313345278427	18.6186369649807	14.0173388884734
Human.virus.3 IGHG1.IGHG2.IGHG3.IGHG4.IGK..IGL.	-0.511352837463559	17.015690457016	13.0769995035796	-2.30475265943955	18.3275246766162	13.7635163102044	-1.1967659254602	18.6135689583317	14.1921145231789	-1.25008125578481	18.0621163126136	13.9475296046005
Human.virus.3 IGHM.IGJ.IGK..IGL.	-0.338621787374098	17.3005994986503	13.5466170009736	-2.54605630053926	19.2210196568991	14.3116751592015	-1.134532596232	18.711626792987	14.3662968310262	-1.0782555382727	18.5817549411861	14.2875524499742
Human.virus.3 IL10	-0.217874618621789	16.5799728590673	13.0148281887101	-1.25038741872573	17.7735525747839	13.2594138467622	-0.821837843611872	17.8135026710648	13.623038969803	-0.859307975437566	17.8111978396342	13.6816791934958
Human.virus.3 IL10RA	-0.294259763839383	16.7776072319288	13.0796242801068	-2.00537298094958	18.3277150214655	13.8767025005148	-1.12029912954528	18.5403420885495	14.2249054534732	-1.08309596092829	18.0421176155324	13.9090152803333
Human.virus.3 IL10RB	0.0742764007828438	16.2308482021627	12.4411487555077	-1.88543185641312	18.6470953252516	14.3082390915608	-0.93346615188202	18.4120264243893	14.1530621747329	-0.741955128710549	18.0366063138176	13.9959745868219
Human.virus.3 IL11	-0.180060752488946	17.7066976687609	13.7934255424826	-1.6804663524984	18.3910538857036	14.0939205901096	-0.962750412092963	18.5026520427299	14.399717930439	-0.960434710255612	18.4119508532692	14.3571760178341
Human.virus.3 IL12A.IL12B	-0.323305946417751	17.1859535045633	13.7520865727796	-3.40587459434352	19.5955778684709	14.854637725471	-1.21855398072355	18.7559965198053	14.5864837626011	-1.22390737389369	18.780102802844	14.5458686664701
Human.virus.3 IL12B.IL23A	-0.189089037638966	17.1146045457962	13.4829798074564	-2.895651004727	18.7482557530455	13.9336278396488	-1.09135634866282	18.1353407644023	14.0796294361389	-0.81903626834862	18.3075987877682	13.9176360488013
Human.virus.3 IL12RB1	-0.316012270926435	16.9647717071066	13.1706602110649	-2.35367127179029	19.2393755883753	14.0946605611781	-1.25955291392141	18.7540967677166	14.09617405884	-1.18479277290316	18.4285471967928	13.8111194169345
Human.virus.3 IL12RB2	-0.192914683787268	17.1455780627732	13.6100384769044	-2.93125854966175	19.682563812744	14.671554860035	-0.839126311560927	18.7407232244559	14.3951787647815	-1.04146874842351	18.8018563014813	14.3912011861009
Human.virus.3 IL13	-0.142862839834657	17.3443887517076	13.2678165091941	-2.29374030447138	19.4203618596236	14.7598340200319	-0.897698401773983	18.5607015585453	14.5965849545871	-0.942899936808951	18.716236172476	14.3676117455673
Human.virus.3 IL13RA1	-0.242544404933049	17.2983831556019	13.4866675953358	-1.25076438997114	18.0535978412547	13.5345316764358	-0.814451355154773	18.0790261074779	14.0491159552075	-0.741757062969524	17.9863729481876	13.8607093877322
Human.virus.3 IL15RA	0.000740137335875413	15.3920870405708	11.4962229053283	-0.528744909940274	16.5550439956278	12.0850054158447	-0.232489493405323	16.3953341644336	12.1233991257683	-0.274976202724222	16.1729126429396	11.9110072926043
Human.virus.3 IL16	-0.372276870848432	17.1795404042699	13.4868967491909	-2.29320399901324	18.8391522493863	14.1162266856531	-1.2332749998727	19.0208330382793	14.4903094030149	-0.98400223262703	18.3079229301101	14.1624518574925
Human.virus.3 IL17A	-0.283348987612815	17.2290827765904	13.3977366855016	-3.55763036907307	19.7408730669956	14.6529422605187	-1.23638260941641	18.887781449874	14.6448783253727	-1.18784803549006	18.7736968899141	14.272512177681
Human.virus.3 IL17B	-0.586323109746874	16.9945563181952	13.3120340417796	-2.6912349907703	18.8696959550976	14.2470230188971	-1.37663924765623	18.705856732313	14.2869846054236	-1.27727859610794	18.2588857787558	14.1468292847219
