protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IBSP ICAM1	-0.357525307515461	16.5112341629876	11.9582471809135	-2.00629053795497	18.9288338512376	12.8073124125006	-1.60578058776835	18.8458735123204	13.5490948496524	-1.4306182546845	18.1887242463444	12.9625046304935
IBSP ICAM2	-0.720623830742901	17.3953955889427	12.9623770067989	-1.91696852853571	18.8958536586746	13.1774033763069	-1.28377112214432	18.3447702409922	13.2513713455046	-1.33312671214091	18.3819168799939	13.3709558843089
IBSP ICAM3	-0.911230687787288	17.6486546070324	12.7331171909993	-1.27550423114032	18.5583025438783	12.6066909748133	-1.37196392869223	18.5196112115618	13.0292774939807	-1.21543498696849	18.224073165377	12.9866333434518
IBSP ICAM5	-0.31854696893499	16.5317147433995	12.1542277167995	-1.51033050665543	18.486587070171	12.246625004519	-1.30717346566986	18.567216601652	13.0046770663125	-0.989888358788376	17.9338880304421	12.7346166672602
IBSP ICOS	-0.472162610833788	17.0679111091799	12.4295297941921	-1.47364340637077	18.081133266484	12.8394913026567	-1.1474983133752	17.8744234620228	13.0836596184604	-1.12265860060722	17.901681663557	13.0902232129397
IBSP ICOSLG	-0.515499575327385	16.7204742239575	11.9566721103328	-0.983247930056655	17.0883358812549	11.7791372975135	-1.11525891815561	17.3762737968285	12.4977931461194	-0.786764071375908	17.2260875037669	12.3201853908069
IBSP IDE	-0.731056546313911	17.0415398857454	12.3713546551292	-0.931637357116785	17.4052182029956	12.0836336441413	-1.00832164092466	17.6836930099546	12.6287803554851	-0.903090568087187	17.4240349868042	12.5441270633123
IBSP IDS	-0.573271279567857	17.1307501580352	12.7026469515661	-1.30310609811243	17.8950839505945	12.8262779605469	-1.33584958469594	18.371488577884	13.3745102371271	-0.937020094777161	17.703239767358	12.9687057476762
IBSP IDUA	-0.879901204423367	17.4910373998338	12.372336469335	-1.52779525063418	18.0030878950032	12.2101319948806	-1.40846397927944	18.1838549142164	13.0256216671955	-1.29038358051621	18.2164426324548	12.7060766975643
IBSP IFNA10	-0.795116895585564	17.5138330696826	12.780312837993	-2.11428160753099	19.2060731495305	13.2980824275932	-1.4566856985572	18.6339629733109	13.2342027202006	-1.42602349826695	18.594543334485	13.2716158383127
IBSP IFNA2	0.157741776082842	15.7044124621779	11.4460588080729	-0.0952534487284364	15.2752236904118	11.4037419391789	0.0260005534511407	15.792225252397	11.9222201309346	-0.0052918219228395	15.6584942879509	11.7544003712327
IBSP IFNA7	-0.534864231546723	17.1526201768069	12.5980376604234	-1.22555800245064	17.9797666403424	12.8081867149656	-0.902134603639791	17.6263064217512	12.8887195695132	-1.12245946303393	18.1000971323342	13.0555315234821
IBSP IFNAR1	-0.236860675447397	16.2716635428579	11.9615810855177	-0.884622095051906	17.013609058595	12.3359151988205	-0.477476912764523	16.8662788129523	12.4346793478524	-0.522844846638462	16.8757785618959	12.4798505146996
IBSP IFNB1	-0.57630418801812	16.9092458353981	12.5075679634929	-2.19807343327927	19.1152621953267	13.1829694790496	-1.38410621885594	18.3901215214386	13.2881684436994	-1.32196495064124	18.3133677771341	13.1171743328604
IBSP IFNG	-0.582640041001188	17.4259993451779	12.98997421875	-1.11116655630917	17.8907474752668	12.3791047794134	-1.36002693797425	18.3468650055427	13.3298995032883	-0.906449744157041	17.9855723389339	13.0126352238958
IBSP IFNGR1	-0.440202039933263	17.4241695259041	12.3769297512251	-1.13193006532375	17.9726580057804	12.6345812600333	-0.768005429390355	17.9897626118508	12.7559589578898	-0.707332992806144	18.0121127961046	12.7785313733019
IBSP IFNGR2	-0.80461550340675	17.478948787841	12.8435352294815	-1.60169526146386	18.4025253745989	12.297527148428	-1.45018830577849	18.6512420276264	13.1285210518281	-1.23356002578735	18.3609363709068	12.9320450147097
IBSP IFNL1	-0.497203449962016	17.2902814947378	12.5542932364002	-1.54205617444538	18.4282662594817	12.4416422541158	-1.19534924791199	18.1324966824666	12.9985784940275	-1.12290515850223	18.1112568056022	12.9110994469098
IBSP IFNL2	-0.848067979338466	17.1968563707151	12.8180595148669	-1.59347484841158	18.5819608725391	12.8681904560284	-1.15037440106602	17.7730235481377	13.045897778849	-1.17146757345055	18.1129992143476	13.110206166939
IBSP IGF1	-0.577912942610462	17.7162513223068	13.0798719641011	-2.71463740586351	19.3581464405813	13.3497425916968	-1.55130963687186	18.7131092628211	13.6363448370214	-1.35566250304861	18.6774205613583	13.4704950208545
IBSP IGF1R	-1.00569804112441	17.7459267591354	13.0524064836484	-1.99502551844825	19.0914405044009	12.9771750020233	-1.2966292298181	18.6904848259613	13.2001917444257	-1.40800555987265	18.6748416910895	13.2858458612723
IBSP IGF2R	-0.409499988486185	16.9988256842674	12.2761942033606	-1.27517902302361	17.8799127120433	11.9213600288031	-1.02063630861627	18.0522043556635	12.7547943680344	-0.818849116867307	17.8840191791717	12.5532316394445
IBSP IGFBP1	-0.434709927815826	17.0373305876529	12.4612195064578	-2.16091073065347	19.3862526977508	13.3014633017917	-1.30939500502297	18.5146000627305	13.135445191059	-1.31064596343229	18.4247422231271	13.1892759380538
IBSP IGFBP2	-0.0628754871777508	15.3461787344827	11.3467767339298	-0.741387544052602	16.5718084683499	11.6615095961271	-0.411687247429016	16.2786968804624	11.7167511820376	-0.295086812863996	16.0874983219472	11.7040050908684
IBSP IGFBP3	-0.429368352681108	17.0888427132401	12.5462829787972	-1.80537343666239	18.508524583522	12.9410493336321	-1.09096604534784	18.1423436580345	13.1538109394658	-1.20472855369593	18.1166942023078	13.1030658892063
IBSP IGFBP4	-0.348169481082812	17.5195949811643	12.3009484666	-2.03218423650955	19.175822765793	12.8455870168682	-0.949498088702305	18.51519175471	12.8491269167923	-1.03754836031008	18.5754795404328	12.8671772025585
IBSP IGFBP5	-0.581621919173705	16.6441735111395	12.3532812361259	-1.713584798362	18.346077302908	12.6208161852037	-0.855989183536092	17.4680383623115	12.5004732397227	-1.12997607055249	17.8228742994112	12.8650571160041
IBSP IGFBP6	0.0518142148861119	15.0907786824115	11.0931406458866	-0.49922280810909	16.2929598474034	10.9890284070397	-0.225358169003132	15.9673718068241	11.4829469628049	-0.160621997534645	15.9079004923047	11.3165171106456
IBSP IGFBP7	-1.02155993333412	17.5401092554765	13.0894391603827	-1.8108425657773	19.4000204863637	12.7446620767308	-1.53159894087875	18.7876672372835	13.2261311583809	-1.43898394659884	18.8037827657252	13.2292385320279
IBSP IGHA1.IGHA2	-0.0173001763281926	15.0061573560884	11.4461425466568	-1.06375251376726	17.3799684935961	12.5244407960893	-0.545681385919125	16.7622784496574	12.3177793278443	-0.641249735920124	16.8444182889219	12.4291082799322
