protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ICAM5 ICOS	-1.82872876455519	19.1846089763143	14.6184372533196	-2.87663284111204	19.7846918847987	14.5444336157582	-4.70100897677168	20.4749458803949	16.0063573057025	-2.4868392712739	19.7277323736809	15.0172531565126
ICAM5 ICOSLG	-1.52532845612633	18.84284464641	14.2501993728894	-3.86138165457059	19.4235043435775	14.9359616873353	-3.84301979969348	19.8578941661032	15.4626581029534	-3.73008107790816	19.6673652481077	15.4071162187403
ICAM5 IDE	-1.74798135909113	20.0255526921883	14.7463562879391	-1.46515980416286	18.5006642488204	13.8277153447078	-3.72294797967815	19.9891865594046	15.4835561598005	-1.64868854238686	19.4740267739366	14.6022186717175
ICAM5 IDS	-1.85770289940017	19.3233025107331	14.534581005736	-8.01950182778991	20.6309414240716	15.5682516739069	-4.83676665110075	20.5502943144158	15.8329777620437	-3.44511190023169	20.2468308100718	15.4165814498834
ICAM5 IDUA	-1.73555954247959	19.8140285141135	14.6637331623538	-18.2353560864098	21.2329395777307	15.9325098782784	-6.58292622108414	21.0195735229747	15.9235298270299	-5.58978222270032	20.8879334059982	15.7719110125049
ICAM5 IFNA10	-3.54512611360254	19.7749013138871	14.7171864458002	-19.5198574303967	21.0262568929589	16.0822326905874	-8.84119239530857	21.601936224958	16.2627910597971	-7.59066940952958	20.9200137368256	15.7932545435569
ICAM5 IFNA2	-0.676309130617107	16.6241189958573	12.9244168186964	-0.902868218747668	16.9031461591641	13.6783852386263	-1.29479715516584	17.8876538662455	14.5315595646666	-1.06499367623869	17.3966446994964	13.9798733561059
ICAM5 IFNA7	-2.36619160053412	19.9170075249395	15.0712273743408	-8.83319043026271	20.3164303311778	15.2909969816909	-6.76430791041858	20.716769986518	16.0472740075284	-4.7234783318186	20.3615093145961	15.7272369609102
ICAM5 IFNAR1	-1.04613664428994	17.6033059985981	13.1920787029373	-2.48909429380603	19.3156803398215	14.6937685133543	-1.92948150836365	19.11051381066	14.9045158707809	-2.24705483171383	18.8299929091802	14.3997442476834
ICAM5 IFNB1	-2.31504210738269	19.8264367653313	14.9594406790029	-16.90075480554	21.6807658174379	16.0516274519466	-7.12393017273794	21.4419884148127	16.3273355457597	-5.59936525516217	20.8675750423403	15.8644644764322
ICAM5 IFNG	-1.56734305319199	19.2593556164094	14.3111120923202	-6.18451490934673	20.5480409880179	15.268496226414	-6.7769435849942	20.7929544613133	15.986813009513	-3.67351697938716	20.1703105150111	15.2278738941613
ICAM5 IFNGR1	-1.38829876245805	19.9920429682755	14.5467044389423	-8.92895755350304	21.0059214730741	15.7378700834281	-6.21932653498021	21.2392526174255	16.2926684377161	-3.57561817247137	20.7214807178907	15.6072726822321
ICAM5 IFNGR2	-2.87263851485255	19.6943528881927	14.972809242562	-8.50984167118314	20.445059781688	15.2840709057024	-8.05511383676459	21.0761918497692	16.1119767539834	-4.78106863010353	20.4337326121637	15.4184724148429
ICAM5 IFNL1	-1.3109130004732	19.2654553950607	14.3008259742337	-2.9082597391659	19.996390916222	14.6068123652286	-5.3731657430625	20.4872648327563	15.7448557231875	-2.32091544684874	19.9540403451264	14.9255960736605
ICAM5 IFNL2	-1.50500265482716	18.798240284346	13.9918165373362	-10.4564622974199	21.1462850241529	15.6656403050121	-6.18438833706664	20.7778166266061	15.8416800918046	-4.04273358190823	20.2219022316292	15.2382101285655
ICAM5 IGF1	-3.05393491203963	20.0534465161247	15.346446568242	-5.58408624139314	20.6058904097631	15.1981687274061	-8.15216317360588	21.3243104725672	16.2370326087744	-3.97797708880968	20.7986110756183	15.6317383338974
ICAM5 IGF1R	-2.17047346857553	19.9233133797586	15.0218476513211	-13.2611682008914	21.4458961272319	15.97626674423	-9.52849161203918	21.265168471639	16.3577819744064	-5.71355637287342	20.9746403352056	15.9628128584958
ICAM5 IGF2R	-2.60991764104358	19.7891645519135	14.7621874554911	-8.84826994705934	20.8093156672699	15.7090915201054	-7.89188714141032	21.1056921280994	16.097094608637	-4.86866369863596	20.7778123866543	15.7497556562618
ICAM5 IGFBP1	-1.51838160498761	19.8008860689517	14.8234090540488	-6.0336153623906	20.9660637500839	15.473922821945	-5.75295102792545	21.3335552175182	15.9497232682844	-3.20273612989064	20.6532717283707	15.5105207927121
ICAM5 IGFBP2	0.0760427308582492	15.1056900144567	11.0091706343115	-0.459019270218603	16.5156991281661	11.6333835146478	-0.315683050112982	16.4402196767449	11.7430609281446	-0.137559233687198	15.9614316566365	11.5296248701869
ICAM5 IGFBP3	-1.32397371477449	18.6438734763259	13.9748059567139	-5.64610570962837	19.9985966920378	15.3747909739001	-3.35888464188927	20.0531620176426	15.2061789356857	-2.72379521554859	19.7047005605039	15.0254391327377
ICAM5 IGFBP4	-1.31047986808195	19.8270445302062	13.973646486174	-8.00871258681467	20.4640415080648	14.9525686740228	-6.66423149757162	21.399348549907	16.1366108449578	-3.79257747648999	20.5939410439323	15.2286108661033
ICAM5 IGFBP5	-2.2642997912188	19.5539206324619	14.8203442927939	-11.8997300886867	21.0618582426302	15.7877331274157	-8.82857738793934	20.9716347909994	16.4297212854964	-5.88065444040639	20.5977890432554	15.7448784348703
ICAM5 IGFBP6	0.215226805161786	14.9163528895239	10.1586169067096	-0.438487101367347	16.3164512939363	11.4892359327494	-0.454740418227491	16.6737296227428	12.0136726362624	-0.13048832698757	15.9543126027609	11.277472969562
ICAM5 IGFBP7	-3.81396975519051	20.0156347935772	14.7988638072814	-11.6171123680043	21.2225975909226	15.8237592737127	-7.5926385575095	21.7977359668212	16.3170976459023	-7.03329567273636	21.0560088288331	15.8789637811226
ICAM5 IGHA1.IGHA2	-0.210955943191224	16.8256011677515	12.4599275154996	-2.56773630883953	19.1489044491628	14.0779445848609	-1.23144804547188	18.9847468198031	14.2163723958532	-1.17421509228366	18.6355057585303	13.8805536972599
ICAM5 IGHD..IGK..IGL.	-1.4244372089608	19.0162296410545	14.5197907313384	-2.69410238635451	19.9572583275737	15.0191720809688	-3.0162292415202	20.1981406450979	15.5581198945797	-2.19268575217405	19.6487071399335	15.0861492756902
ICAM5 IGHE.IGK..IGL.	-2.09457760213006	20.0754561487711	15.0262947134242	-6.61698748436978	20.9432601782469	14.9725209798597	-7.08351028718318	21.4105791209977	16.3670497724803	-4.25545924957276	20.7130259394107	15.4254569554403
ICAM5 IGHG1.IGHG2.IGHG3.IGHG4.IGK..IGL.	-2.44786043652632	20.1197259198951	15.0249044329542	-8.45002379027049	20.4787210282912	15.6537714702789	-7.50585311790396	21.6056379984494	16.4020108790762	-5.42225052178761	20.6395416450308	15.7716388099385
ICAM5 IGHM.IGJ.IGK..IGL.	-2.60225243253498	20.0294839171978	15.1280463107815	-9.35394456688009	21.62651153123	15.7988167304289	-7.27483001936046	21.3578605614822	16.0778250166683	-4.56529305731724	21.0195305162757	15.7008709332507
ICAM5 IL10	-2.0582991902976	18.7050743299861	14.3880054490843	-4.98601934666389	19.6480580810687	14.8045208383722	-5.08369332715314	19.9066282873561	15.5062375736597	-3.95566361489307	19.6863915048908	15.1930331332099
ICAM5 IL10RA	-0.740336111604689	17.8980846293978	13.2048160230174	-10.2535490901471	20.5063246869484	16.0568273603018	-4.58054994519471	20.5910866099528	15.7029996416175	-3.51249708824885	19.8083677507822	15.3668460601396
ICAM5 IL10RB	-0.461140336544711	16.9331812680872	12.3883495219386	-9.14744048345206	21.079893530997	15.7413454338267	-3.74597830862039	20.8679217001383	15.4439615186922	-2.84470056970213	19.4825304852115	14.6435689132898
ICAM5 IL11	-0.669151699760185	18.342494986337	13.6746019991472	-4.20627816021102	20.5082501711174	15.4052438947967	-3.03612173935445	20.2264363303596	15.7439504628944	-1.63786911303097	19.7955646847726	14.8066954307344
ICAM5 IL12A.IL12B	-1.83106937099298	19.2728486240841	15.0137363419768	-14.1785932194135	20.716919316879	15.9881628557551	-5.8746833151045	20.3066022586795	16.1696537876991	-4.60820631576975	20.202299507982	15.9142188839287
ICAM5 IL12B.IL23A	-2.60293612460811	20.0281457117166	14.9332763055283	-8.31131586185512	20.9942574323391	15.665242529044	-7.14984102804244	21.1664903973419	16.10632862452	-5.31801991774193	20.776463072206	15.6964381358566
ICAM5 IL12RB1	-2.91395462368255	19.5939171259492	14.8567314487711	-18.9405267961576	21.5245352453779	16.3203228378084	-6.33831055906905	21.2113573243373	16.0467492962639	-6.3385517520649	20.6611817089373	15.8676615304539
ICAM5 IL12RB2	-1.08756713491846	19.576579533652	14.2384715738938	-41.3011805291448	21.7621518304777	16.7503633596728	-7.0439133897307	21.6084773663356	16.4708375468449	-3.95565322869466	20.9677699391391	15.8787040607746
ICAM5 IL13	-1.108063668791	19.2793523888137	14.3300412018626	-6.61167084902061	20.1288890343615	15.6457164643249	-4.85167775674623	20.5247742948785	16.1337253700097	-2.68159014610898	20.0127940854277	15.4020226367986
ICAM5 IL13RA1	-2.13569948649796	19.9104392566516	14.9565436308234	-5.59929705263291	20.4624382485221	15.3855585490355	-9.40002560540764	21.2479750927799	16.4323253811407	-4.43249778953964	20.4431351691804	15.7366365573564
ICAM5 IL15RA	-0.511786169781516	16.7472381601432	12.4428299636991	-0.607303547011607	16.8886820536901	12.1635496201585	-0.550478719313845	17.0450038018933	12.4009323358153	-0.597927762516021	16.9230875602703	12.6214651022282
