protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ICOSLG IDE	-4.53607869948702	19.8466510461982	15.4216742747773	-1.13377405371983	17.4558211488712	12.6296121147272	-2.58165837294557	19.0108813787791	14.6480111818641	-2.98932480966667	19.0106041394994	14.5835073512171
ICOSLG IDS	-2.7553099994887	19.328008264583	15.0146182576036	-2.18024171712962	19.1085374025256	14.5529900074489	-2.89639756289381	19.4453551042507	15.0751240316752	-3.08518527679113	19.563909466875	15.2289237144479
ICOSLG IDUA	-4.62253732383886	20.0315538584814	15.3044140451107	-2.93933281748338	19.9259908572229	14.4876571956298	-4.15515248156664	20.5027811456953	15.5772623603605	-4.75777729940646	20.365097092672	15.3723396805407
ICOSLG IFNA10	-3.99048288435932	20.0617387367905	15.3468847550495	-4.17885180535352	19.8797952615255	15.3362634157627	-4.8085398313343	20.355511668025	15.6375215182619	-5.66350428201834	20.3916630009235	15.7539581746923
ICOSLG IFNA2	-1.10275865373574	18.0759625588127	14.8129611939757	-0.673096420227446	16.5144934188297	13.2014242053054	-0.776402180178922	17.9067099068045	14.3126984782699	-1.24362006736085	17.682295013321	14.3535501343548
ICOSLG IFNA7	-6.26861002639305	20.1060224394903	15.614774969961	-2.15711936477397	18.2513545405911	13.9390391019459	-3.18249397716309	19.6394144744871	15.2727133687333	-4.59677959177668	19.6377507806963	15.3392137281857
ICOSLG IFNAR1	-1.10803653521189	17.8133984630743	14.0543482593504	-2.22062739766013	18.3626500977713	14.1158630468556	-1.5665452955245	18.6042098071522	14.4697589986823	-1.86975223139895	18.5400093896836	14.5396425731085
ICOSLG IFNB1	-3.48873685452616	20.2113488984062	15.5411155821983	-3.9386755026487	19.9601922255434	14.828581740391	-4.24597375525539	20.4846905847091	15.5801460860557	-4.592113443641	20.2806829713732	15.563338214709
ICOSLG IFNG	-9.16024637433986	20.650115428312	16.1402556133709	-3.40000507197152	19.7069175216068	14.9670801044855	-5.28827464149173	20.436126238564	15.7834517114219	-6.40640680767198	20.3168553554041	15.7908741508082
ICOSLG IFNGR1	-7.19739919422263	20.2534244426493	16.0921200641975	-3.98442411560915	19.8266049850703	15.0242351262348	-4.80391626608335	20.5764504337531	15.8659738573837	-6.25447079572404	20.3783573278626	15.9274465684284
ICOSLG IFNGR2	-9.95681790769645	20.49472858605	15.9250357897565	-2.00795797724639	18.4946507723961	13.4536350873074	-4.9506012405776	19.9600423509249	15.3832079115875	-5.44560388929021	19.9751464314122	15.2407310933421
ICOSLG IFNL1	-2.80238697968971	20.0785663550825	15.2703416792507	-2.50764431177294	19.1849712868963	14.3657790794572	-3.24816134108311	19.7111252818555	15.2745194507095	-3.35163782264663	19.8809887237772	15.2268860060199
ICOSLG IFNL2	-3.42913827268075	19.6448289767835	15.2140498820509	-2.16979478347578	19.8967985349879	14.8471825402478	-3.09778489096525	19.9950921206533	15.4550413147842	-3.72382958520641	20.0421993234618	15.4838393499203
ICOSLG IGF1	-6.53268232582219	20.3926196862258	15.527321037449	-2.82886417699319	19.7152446578912	14.8345154611386	-4.88198803131642	20.4992367287746	15.8490802225524	-5.48478629271762	20.4291918778602	15.6943218988387
ICOSLG IGF1R	-6.00768316010241	20.4297063453144	15.6652141986817	-3.71580833745705	20.3138458664955	15.3651131952595	-5.98332166531399	20.8433109001875	15.9581251982399	-6.0394146188815	20.5984551417909	16.0057459219367
ICOSLG IGF2R	-4.22784115086661	20.4904936109214	15.0985328385157	-3.47353956142876	19.6096005697674	14.9886387251081	-5.02697418897634	20.5148071794763	15.7573731390718	-4.76186530278661	20.3603297887883	15.4880392706188
ICOSLG IGFBP1	-2.53096917292478	19.1358749091618	14.7799025761327	-3.39860987023844	19.6359560035159	14.4721880454665	-4.2648961948803	19.950975196438	15.1006165781207	-3.93370350304877	19.6270377974054	15.0689113501545
ICOSLG IGFBP2	0.0153133733526161	14.9173308860329	10.7623963633516	-0.190440569383771	15.4711854156162	11.3176610133062	-0.257688190861694	15.8315865003109	11.6528863018476	-0.190015755973926	15.6021196355044	11.4474130314751
