protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IFNA7 IFNAR1	-2.85557787804916	19.3773489931954	15.1199128419642	-3.28592793017108	19.0788587684967	14.6390126523654	-2.71422697752736	19.0810414467497	15.1748722907599	-3.27445040972551	19.4268583953908	15.0886978080042
IFNA7 IFNB1	-8.40304132586406	20.6060423447186	16.1383835145522	-12.3584214653835	20.6160939758049	15.9661464932741	-9.91546700100321	21.1142028358119	16.4860580378399	-13.558483182324	20.9950535251518	16.4141593317678
IFNA7 IFNG	-10.5715884390223	21.1467699375978	16.3060105015622	-7.07800035323335	20.4862036146574	15.8096589798963	-12.4309205732238	20.8991559679011	16.6473942316432	-12.5071879324667	20.9403729969872	16.4235903873532
IFNA7 IFNGR1	-6.09621280832952	21.071977152438	15.7992250525644	-5.31462122475837	19.805990412749	15.3339156619458	-7.73356711857583	20.6675847012568	16.4291832527237	-7.5964581983069	20.7498965407812	16.0426866033542
IFNA7 IFNGR2	-11.7291257546007	20.9531452470924	16.2535858129694	-4.91882464127314	19.6862746102889	14.877341638309	-8.97336566763657	20.6076681760916	16.0555172666473	-10.4095953308291	20.8940520519768	15.9785583765181
IFNA7 IFNL1	-6.52019479200721	20.9263841142633	16.3736368768952	-2.53249691638763	19.3786049884902	14.2370981041969	-3.67064888439651	20.450568444675	15.8386505473411	-4.59888661156986	20.4794258636209	15.6511754142479
IFNA7 IFNL2	-7.621227389472	20.5849726518199	15.9472847064801	-13.3158722395934	21.2047143680412	16.0790835356841	-14.4902336647007	20.8793356788444	16.385042640521	-11.6731932380505	21.1804449115398	16.3721538865276
IFNA7 IGF1	-14.8989188705947	21.4697929375764	16.8257922647216	-3.17755628338388	19.827895403827	14.5437304120683	-7.91311461718825	20.8336746481688	16.2473090711892	-7.63331702045592	20.8797414293892	16.0147224878829
IFNA7 IGF1R	-10.4480898686003	21.1414450076034	16.3044246569902	-4.78296744179308	20.7555782924944	15.5859292827676	-11.6285883554299	20.7999638406081	16.4525094471566	-9.33022387691301	21.1663597429855	16.2338329668016
IFNA7 IGF2R	-9.53682970685441	20.8484115313919	16.2325531628899	-5.87691980832374	20.1279318476621	15.1560918339178	-6.8654144661257	20.8799183378106	16.1250001594481	-8.36246814376462	20.8629380895194	16.0648406428605
IFNA7 IGFBP1	-4.45177581308157	20.4349083376112	16.009317495096	-5.06561623571691	20.192260522889	15.3552793504429	-4.96751179275755	20.5780155088086	15.8896105370615	-5.5072177569866	20.6337955039045	16.0411178382785
IFNA7 IGFBP2	-0.0137352717709804	15.7461579958788	11.7411641369743	-0.0354172047167101	15.2536000915237	10.8231988742124	-0.0875312860576216	15.8782936823073	11.8105220689991	-0.112236602285601	15.7599509510262	11.6583450220978
IFNA7 IGFBP3	-1.9840168915482	18.7761962058977	14.9178074543347	-3.87102686184365	19.4604505913006	14.7968300528664	-2.07390025465869	19.2251688309881	14.9663319689286	-3.17901018821609	19.3037271687356	15.0978159943822
IFNA7 IGFBP4	-10.5578317447941	20.9501752748278	16.4249924742748	-15.2956861997736	20.8980418210904	16.1872417850448	-10.9157746733983	21.0470127277336	16.7150089560676	-16.6240040148336	21.1882155998232	16.6552187738015
IFNA7 IGFBP5	-7.77024100898347	20.9883952247047	16.1538491888712	-6.45670194309241	19.9003196941993	15.8055486142851	-9.13481549150286	20.7306914150664	16.3794326825013	-9.68016148005178	20.6700673127069	16.248919337114
IFNA7 IGFBP6	-0.0370762228022439	15.8229843336919	11.4995236584878	-0.393537975109999	16.8131010090951	11.6596264979985	-0.377003591907258	16.645866911291	12.3078539906087	-0.191716372990858	16.4577947628573	11.8950345057995
IFNA7 IGFBP7	-5.34756778037588	20.3941219764027	15.6143753725054	-3.78163086695812	19.3619456228794	14.6043960087982	-7.87643771069464	21.0388148173685	16.3516569195332	-7.7864291660432	20.5801560339565	15.894863646009
IFNA7 IGHA1.IGHA2	-0.721293464567283	17.6627824665194	12.9513459124617	-2.36021074998515	19.7649531577082	14.8107652595828	-1.56470368794079	18.9313916078415	14.4764313841666	-1.49553196243945	19.1596725646754	14.2598575753724
IFNA7 IGHD..IGK..IGL.	-6.35744199129868	20.8415849992817	16.2784783848922	-0.991298738090238	17.9180636425769	13.688901285371	-2.91096963194744	19.7102796249545	15.5036057933974	-3.28174988635103	19.7236181656515	15.4288737621032
IFNA7 IGHE.IGK..IGL.	-7.33479697904149	20.9288662050359	16.3858521484588	-7.73184378162962	20.2247068992402	15.1781811708949	-7.26703726721873	20.8191789646999	16.0956591210923	-8.89166983061542	20.8753047138468	16.123768752292
IFNA7 IGHG1.IGHG2.IGHG3.IGHG4.IGK..IGL.	-5.75870104428491	20.832840060994	16.016109499984	-5.79689808865133	19.5433909236658	15.1570465703255	-10.9732201708061	21.1932162960742	16.5383957005468	-10.733143578513	20.7697613696651	16.1833497254557
IFNA7 IGHM.IGJ.IGK..IGL.	-8.09587526729028	20.5225107082702	16.2383444473789	-6.93521517175843	20.1166322330272	15.0748842771926	-6.47416302570896	20.8736707915589	16.1343535548712	-9.87935209477392	20.8143229989249	16.1548346821712
IFNA7 IL10	-4.46737569084273	20.5068106380184	16.051413756216	-3.61272288191129	19.1137051201747	14.5083760285278	-5.38741686709777	20.1627278574225	15.8089999022229	-5.56149293902631	20.2199170674644	15.7168620926906
IFNA7 IL10RA	-11.2978984491318	20.5525280728149	16.6187206168331	-4.47926222520456	19.5202844377892	14.9949244289211	-11.7967976856365	20.9674446880786	16.585778460956	-11.6401388088462	20.6687585666952	16.3122670345788
IFNA7 IL10RB	-1.34061726548718	17.8887747769164	14.3025459426227	-4.89171243470966	19.5931607864435	15.0512427084807	-3.32103876739609	20.0392627787702	15.6271482397971	-4.04764886758823	19.4513333218966	15.2702851328628
