protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IFNG IFNGR1	-12.3372857828321	21.8219224532709	16.6537899251243	-6.13073176462643	21.1469645674586	15.9537579583959	-14.9119822863305	21.5204571022772	16.8682081106954	-10.5900372782174	21.5603839689722	16.519143598316
IFNG IFNGR2	-18.2364887685029	21.8962725855833	16.8623098681447	-7.70442408447975	20.3769678021467	15.6430317561645	-18.9335550743162	21.6101452856727	16.8530618823876	-12.8339071549125	21.3830077444614	16.5237511010489
IFNG IFNL1	-6.77743674346642	20.8764989247844	16.0748408624764	-3.30331796222202	20.5227744076509	15.0701909294269	-6.91629385015267	20.6727197013117	16.3334854694085	-5.23572020934009	20.8711887814951	16.0615625630666
IFNG IFNL2	-3.85348176019828	20.0035214915881	15.0397786614498	-6.73271956947776	20.5299836504491	15.5947159476671	-12.9794410012256	20.8816656441371	16.4536718187745	-7.43019661427536	20.6418311106641	15.851839202327
IFNG IGF1	-12.0746279752048	21.3079336468676	16.604792420897	-5.90554203088351	21.0744625679636	15.5019281686646	-10.4461856735645	21.6731671743786	16.4952182759266	-9.21930533528233	21.3893493007715	16.2619664429415
IFNG IGF1R	-10.3888241577828	21.2677697189953	16.6512822942573	-7.61506266222802	20.5545344001941	15.7001121786095	-14.5921010046024	21.4034093359051	16.7753013670384	-9.17223361898911	21.0457415678686	16.3578412720612
IFNG IGF2R	-11.8204886514744	21.8044136475662	16.5121579860955	-5.40845988383659	20.3749546554932	15.277727319994	-10.8556566359796	21.0430556878056	16.3386979957006	-8.05554474036866	21.2445905110214	16.1306076234005
IFNG IGFBP1	-5.47382065978884	20.9004922946164	16.1602422802238	-3.54796585407813	20.9145546562275	15.0596430420626	-3.84923387106929	21.2176117827376	15.8588841246134	-4.34463926297018	21.0040124780671	15.739615657796
IFNG IGFBP2	-0.0792573991772667	15.9122990145511	11.274275459767	-0.156839089488139	15.5562580823696	10.887131170268	-0.103294378076663	16.0293697920513	11.7971804068675	-0.157680567229825	15.8357506702426	11.4233321281871
IFNG IGFBP3	-2.77864245749203	19.5387690950304	15.5605243364858	-4.52121153547481	19.8338754937423	14.9754220071668	-4.17391998748836	20.0291949511925	15.6141944877114	-3.80844254102975	19.9615969678289	15.5440842664111
IFNG IGFBP4	-18.1514440134699	21.6329932431377	17.0254857805987	-4.42983559087306	20.6462921385432	14.6616595953226	-11.6001241072572	21.3752929182094	16.653806867119	-8.85078841232788	21.3037149801881	16.134326203137
IFNG IGFBP5	-12.9872815584235	21.7078309669161	16.6100220540549	-6.85542374713158	20.49603377627	15.4461341687456	-18.0451935690021	21.392174568217	16.818873074144	-12.0548554107793	21.3085466506782	16.435001429164
IFNG IGFBP6	0.0281739628754033	14.9582700205791	11.0760384704178	-0.448850043611605	17.2894611040061	12.0613359307763	-0.807986879557714	17.2653394675751	12.8584699258093	-0.264542339175827	16.3872297296917	12.0226889026696
IFNG IGFBP7	-6.14965464048178	21.0699704221273	15.6244690389356	-6.29454552932438	20.629274324185	15.611561123682	-16.5118961033934	21.5656563677458	16.638931264721	-7.45818429042032	20.929696457466	15.9630029465223
IFNG IGHA1.IGHA2	-0.748921094809428	17.7110395928652	12.8417856350915	-3.32931581751812	20.0270056972421	14.7027310480826	-1.67940630299018	19.3392089374276	14.9086061111505	-1.71875946680635	19.0299251849085	14.2850846158745
IFNG IGHD..IGK..IGL.	-6.44094990552168	20.92562249414	16.3686336968036	-1.26854728764535	18.2958021543135	13.5014658587061	-3.99008284953592	20.2166432686017	15.6089914147189	-3.46097540757869	19.9038605188803	15.2839947929141
IFNG IGHE.IGK..IGL.	-7.17556466524549	22.2851626692248	16.646773605881	-6.31425739369379	20.5576437573286	15.3533153869237	-9.20720577454777	21.561413834917	16.5835890032091	-8.14604556876594	21.5085764892651	16.3215419951588
IFNG IGHG1.IGHG2.IGHG3.IGHG4.IGK..IGL.	-6.73949437330988	21.5179461977243	16.2060044953169	-5.96534032951301	20.9558757375471	15.5132554949834	-15.0678320439371	21.7798012560102	16.7689107323529	-7.3697060634709	21.3159291408778	16.1088980910568
IFNG IGHM.IGJ.IGK..IGL.	-5.31014711146432	20.6837258315879	16.1380748535987	-5.17235045805603	20.4057909236727	14.860111596798	-6.94988915773379	20.9855767325648	16.1813084513043	-7.59925922887132	20.7633860852444	15.886927005099
IFNG IL10	-5.69478131448575	19.9676901742551	15.6080655054958	-5.50763436141113	19.5137634828002	14.8622130019764	-6.21956225208702	19.9117011085157	15.8245163613677	-6.66805064092888	20.1671281993638	15.6885371540737
IFNG IL10RA	-7.38602283980237	20.6887941150383	16.4622376842461	-5.5250961052085	20.5993527427726	15.4492889312527	-13.8087325786721	21.0898451821818	17.002580337519	-8.37001251511057	21.0153393693499	16.2897454000712
IFNG IL10RB	-0.801086095540583	18.1677400709203	14.1120118635562	-5.95524951757362	20.4140047497271	15.5927294807562	-3.45021350820605	19.9420305407003	15.5105364413292	-3.01343407160316	19.7118521181338	15.2905015633745
IFNG IL11	-3.70927844046366	19.7263371106402	15.7440243438891	-3.73891621361658	20.7609142659431	15.6852842565782	-4.45250986955659	20.226123440982	16.0984412823865	-3.69138308070086	20.4912429987687	15.969700206263
IFNG IL12A.IL12B	-5.77887747836954	20.7623698261215	16.1033319103599	-5.46601854687941	20.0674936650972	15.6885375273666	-13.0515502470516	20.5678096410641	16.7274282253276	-7.0516816140736	20.6187161478144	16.2848298501828
IFNG IL12B.IL23A	-4.83794605388247	20.7932446723183	15.5685935253111	-5.18697458573216	20.0423669844692	14.7188882091336	-8.48355190780969	20.9951147111017	16.1203376489059	-6.03393220138002	20.7186162379003	15.5212869740562
IFNG IL12RB1	-5.99224482691554	21.0560533391904	15.7359370882743	-8.88764071340786	21.0489326957677	16.0098734852694	-11.2326538129871	21.4972495977269	16.4673344277173	-7.96032747107774	21.111835226516	16.0436610035234
IFNG IL12RB2	-9.27928902006983	21.1985349108303	16.5530621397079	-4.66024321929461	20.3689239052809	15.3245438637154	-13.8769746397006	21.1554284686531	16.8223855068645	-7.67093953222242	21.0049939525795	16.190291161968
IFNG IL13	-2.87855411686601	19.9813719751966	15.4314356712565	-4.55116875282725	20.4294250445896	15.4718847129546	-10.3559251110759	20.8185237903211	16.7795465498228	-4.7346705977237	20.4451498138548	15.8415866079409
IFNG IL13RA1	-11.3857478896313	21.2418288750176	16.3788792673581	-5.12252098300058	19.8199229745707	15.1896802598936	-9.42583662997345	21.0794355374129	16.4577523782148	-6.98771779422847	20.8520187594594	16.0972661190288
IFNG IL15RA	-0.337182015891116	16.3181879432069	12.2519007637466	-0.632977521170733	16.5728100140977	12.3045267397434	-0.375175389559968	16.4183109995161	12.5254802970083	-0.386626151277438	16.4529558869996	12.4178921590881
IFNG IL16	-10.9210184716026	21.1865108142182	16.5374992876061	-3.53482613692994	19.828846256843	15.1467815716646	-6.66037621988821	20.8260457318398	16.4131709601596	-6.97318842332031	20.6362347576359	16.1121380832914
IFNG IL17A	-2.71954722905334	20.0235713326977	15.3870448396137	-5.95218836313898	20.9382713476374	16.3313602069033	-5.62692110451779	20.4817115369658	16.6756733467926	-4.90051828323789	20.644351113898	16.0781700807777
IFNG IL17B	-6.83436477285757	20.9099254713254	15.7699142595952	-3.72009436504404	19.8029203582142	14.8574396021695	-5.87116465757802	20.6370518966138	16.2205611851228	-5.40387045706331	20.4835504182523	15.5506089917667
IFNG IL17D	-5.22760341514791	20.6711594129386	15.7215067932964	-3.20881008725565	19.5904924584987	15.1532188203571	-10.5378926391605	20.5220235601023	16.2614487290736	-5.72813721127302	20.5070134283424	15.8410932549694
IFNG IL17F	-0.360562848449769	17.6047399550035	12.9124095369828	-1.04137462752596	17.6177727027116	14.0533550604942	-0.695452914184445	18.1568930097824	13.9318337450242	-0.813084189809611	18.0195346912267	13.8165177419208
IFNG IL17RA	-8.58846987087991	20.5370669465187	15.9424970116695	-7.84766632418508	20.3399591239437	15.4433166289554	-14.9295703048138	21.2204726924227	16.6145848187481	-9.0870217426804	20.7997700592224	16.0342181060384
IFNG IL17RB	-6.78688160961697	20.5807576320561	16.2666207236144	-9.72795052880414	21.0534740432692	15.8553442015449	-10.102484953086	21.113786475594	16.3207837168333	-8.89402811789268	20.9797137218259	16.2125038700108
IFNG IL17RC	-13.6125273196187	21.4350223862528	16.8989255852514	-5.55012842332331	20.7771010817976	15.7415985542501	-17.1920744240438	21.2936435500578	16.8292779408822	-10.3713255192354	21.2059135546964	16.534908547897
IFNG IL17RD	-10.9674067649684	21.1519830010786	16.752995022498	-5.01223252005158	20.9465716511971	15.432184151163	-12.8469516302945	21.2401586429479	16.6348573264949	-8.45243990831936	21.0871170703097	16.2875779501071
IFNG IL18BP	0.243854433265636	13.9930949827417	10.4463479705929	-0.396386701745168	16.7317120206558	12.0719365208364	-0.147937441544501	16.0043720283383	12.0950328669154	-0.0342865565270332	15.5090487068478	11.4353641160894
IFNG IL18R1	-9.22017280948213	21.5433596740789	16.4488250024874	-4.56525937285145	20.0849761076357	14.8365570637968	-7.8122847762459	21.0846348499745	16.2678260119095	-8.1182172237364	20.9236317281072	15.9266036555653
IFNG IL18RAP	-9.68691775618586	20.9120648937183	16.549988536127	-2.71632554208181	20.0300376133909	14.896275393484	-7.95544442816798	20.6943330712843	16.2757023249198	-5.4861400848315	20.7117132499475	15.933164969663
IFNG IL19	-1.65882274004264	18.6139578145339	13.130382124651	-1.27475373508096	18.1844856713572	13.2490105399316	-1.26768491512174	18.5843920065058	13.1923251047075	-1.34498074337248	18.5832030222206	13.3255137581441
IFNG IL1A	-17.0323041391226	21.9464256749452	16.7986833389855	-4.39373138035378	20.8034131688242	15.3815154825688	-22.2702613463165	21.7325384037409	17.0147551088839	-9.07880187089762	21.5308566341416	16.3599673113391
IFNG IL1B	-1.67836777795222	18.3097858167882	14.7586062854392	-3.42519898667771	20.3161838583562	15.4384734070477	-3.66017497901015	19.6199627477023	15.7866392834384	-3.04770237649308	19.5357859763533	15.4576235437796
IFNG IL1R1	-11.0818973972902	21.8556525477876	16.7758166378507	-7.10194037349179	21.0594571783841	15.5762498393771	-15.2140926544644	21.8430568105332	16.9647679221458	-9.52993457612647	21.6421533848023	16.4504543142989
IFNG IL1R2	-1.96337353792568	19.4497789921686	14.2187414806164	-2.47625095119934	19.5203869646867	14.0455705237521	-3.31559337551573	19.9900139050281	14.6656416883663	-2.35231198910552	19.6458331474526	14.434194724929
IFNG IL1RAP	-4.26272828808072	20.5527357286541	15.6897844388927	-3.3571991305113	19.3409170527414	14.3348815055724	-4.79763636197038	20.6421715913921	15.8314216028959	-5.34070510344701	20.3190387811465	15.4485144177049
IFNG IL1RAPL2	-22.3312810941365	21.8296621347789	16.9803516881424	-4.82348213135463	20.3386556304524	15.5812641857252	-15.8828045005512	21.2124493906866	16.6855989112718	-9.0597288645444	21.2185524856072	16.4356333683251
IFNG IL1RL1	-10.8565001079777	21.3963011309156	16.5492012883482	-5.95006182630602	20.0559013478026	15.1046546764031	-7.58817209701999	21.0344638287298	16.2927955875809	-9.97538947068667	21.0246846683431	16.1704947578098
IFNG IL1RL2	-15.3324574900803	21.4848075663663	16.6013760675321	-8.76070092225781	20.8316745710183	15.9539436613452	-20.3575152055923	21.6804558508667	16.8045677984198	-15.0143236489108	21.4958331142972	16.6009023219751
IFNG IL1RN	-3.09302240928501	18.9721151205381	14.592101716242	-4.73833630590727	19.4765589557077	14.7808266010559	-4.94549709004196	20.1109288042947	15.720400171502	-5.80339865466778	19.8725212897488	15.4199329804631
IFNG IL2	-8.80225053434768	20.3102820933271	16.3282356492245	-10.5262676466946	20.9241440925748	15.6317656021405	-14.0254804672363	21.2183426176673	16.9077213896022	-13.3017832167315	20.9912187305343	16.4081093971931
IFNG IL20	-20.4234143952155	21.6574169273483	17.0762267258971	-11.7189201573316	20.6668042741067	15.9676978679801	-22.9730524413185	21.5131420520658	16.8519888722728	-18.1929819986263	21.3981063801361	16.7394804999052
IFNG IL20RA	-11.6405232094989	21.3981394212409	16.8484537913109	-7.88508297288603	20.6718558000698	15.9691145290656	-16.9137863603787	21.3723407914944	17.0445382433022	-11.5730167216185	21.2874387561019	16.7370959997667
IFNG IL22	-2.43950631252003	19.9838755090008	15.332483667278	-0.967283261412669	19.0449938934262	12.8959554671045	-1.95846332396772	19.692576345369	14.7904683454147	-1.47756074505615	19.7252669815578	14.3616983268999
IFNG IL22RA1	-2.83523268186971	19.1853554920052	14.8096232566159	-3.98925601113633	19.4822476413874	15.067767550214	-5.87767076369628	20.4742386234302	16.060388109678	-3.98719111231278	19.954597960734	15.5102073041891
IFNG IL22RA2	-1.05777002368974	17.6883517287608	13.6288948238613	-1.91023995748719	19.2118761414942	14.3100717858523	-1.66753387695181	18.4207527615165	14.2307533023218	-1.33331537540716	18.6931123324726	14.3133951035691
IFNG IL23R	-9.18043437931443	21.1144451817247	16.2047669399716	-10.9015503395217	21.162200550523	15.9266873840981	-16.5173381771313	21.5821252416872	16.7208395814154	-12.5387774868954	21.3737131731765	16.3558813934906
IFNG IL24	-11.4902320874686	21.4925741272023	16.5521174618896	-10.6892250896463	20.5759770697564	15.7609011440488	-16.0893327204174	21.1932735293224	16.7196423501932	-15.1088788703908	21.3044377129802	16.6093442851588
IFNG IL25	-12.3556281635572	21.1662371568363	16.618135073099	-9.8593921894674	20.5394812748648	15.783499663588	-24.5626238856943	21.5546834276419	17.1511494806821	-11.7666133828914	21.2855990706834	16.6756314790574
IFNG IL27.EBI3	-2.52684492924835	19.5754172656663	14.9747901968388	-3.02421131768023	19.5357169529984	14.7015038135477	-3.26512763711293	20.3923965420839	16.0013145973889	-3.17601260477697	19.9600254756143	15.3489795377924
IFNG IL27RA	-6.76159239727629	20.4440402436129	15.9509231663357	-6.43012739114447	20.6518910012765	15.4697221170494	-10.5793945962701	20.9601452230804	16.3200760496303	-7.82243682408524	20.6602774856544	16.0999799795432
IFNG IL2RA	-6.30998872477648	20.7634326753253	16.1904488251671	-2.8339246092005	18.984182917685	14.8811054024616	-7.31776688030692	20.3424209820365	16.2053587267683	-5.13847013095645	20.0440665551811	15.7586370621534
IFNG IL2RG	-12.5093801199231	21.6372444948121	16.523858438325	-3.23706008737025	19.9129933546332	15.0178227007695	-14.6676401586668	21.2391651998434	16.6336686451008	-6.36756417133296	21.1078630177688	16.2827161869993
IFNG IL3	-6.92481715722247	20.6615849859598	16.3100318884942	-3.2159055752281	19.7633549881959	15.2667722778051	-7.3482062874638	20.6387257044096	16.6309914420853	-5.72803361739085	20.4886563274198	16.2831561180376
IFNG IL34	-4.97196089318593	20.1197747783393	15.6745650460837	-7.63338807526139	20.8674304491864	15.6098582970209	-14.1325578766152	21.0698265528138	16.6137106360258	-7.14732374746836	20.7456338548842	15.9935783678689
IFNG IL36A	-19.8997265232454	21.8597686951873	16.9206402756598	-4.47846075125252	20.3205340541631	15.0335175356128	-11.2606853813066	21.6683255020327	16.7512255116691	-10.2792322162416	21.4686114093692	16.3224315100418
