protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IGFBP1 IGFBP2	0.095122138754716	15.2568956359928	11.3245205520775	-0.393510808352543	16.2397422090142	11.8911603256287	-0.106900897812334	15.722329197895	11.7275566607279	-0.108037668330438	15.9428015666461	11.7339435571717
IGFBP1 IGFBP3	-1.00726540220377	18.4099884302121	13.9102847758982	-3.53230868808526	20.7937712947361	15.1877270072057	-2.30125778352628	19.7668259834527	14.9288406368326	-2.02997685880503	19.7511581490541	14.8482452530165
IGFBP1 IGFBP4	-1.47227353998102	19.9897295024054	14.6522087262463	-8.27135597021394	21.689290278048	15.9799079273418	-3.90505018235987	21.3077448711854	15.9421575438068	-3.34390893704303	21.2179980492704	15.7110895788844
IGFBP1 IGFBP5	-3.0488118613229	20.1703859058836	15.5905251953128	-3.92106632435836	20.0653416401384	15.0317632647891	-4.54444816127916	20.2716835149337	15.7190921039354	-5.47844840577677	20.3100066370253	15.8015900437178
IGFBP1 IGFBP6	-0.145453762714062	16.0420422594828	11.9559730669746	-0.452856885814452	17.4189870093106	11.7859459735478	-0.520065606745957	17.2529646974284	12.5965955602942	-0.299471037558485	16.8980011344209	12.093268013829
IGFBP1 IGFBP7	-3.6866764617122	20.342242256484	14.973975769693	-5.51774890892963	21.8093596032391	15.1697847898983	-5.15889094572818	21.6443799979488	15.9573485850199	-4.87564609186096	21.3508828475012	15.5274916028114
IGFBP1 IGHA1.IGHA2	-0.403159230897954	16.8231141933096	12.6008260797807	-1.4902005973255	19.1992167027728	13.7068213054853	-1.10495408384698	18.5501949491354	14.1284730813977	-1.03270289292556	18.5694323702671	13.5741104828555
IGFBP1 IGHD..IGK..IGL.	-2.41432771324581	19.59018871423	14.7978200421574	-1.98121276077592	18.3762274502353	13.9004262176422	-2.91925084444995	20.398423472886	15.5421970348036	-2.23833528235828	19.5397251138019	14.8015223239686
IGFBP1 IGHE.IGK..IGL.	-3.0518545562668	20.2965135312696	15.2434280548566	-4.13917101604476	20.7426757360327	14.8102697473178	-3.68728189971302	21.1175562115608	15.5215580184151	-3.84214116754984	20.7545531355772	15.4256452240306
IGFBP1 IGHG1.IGHG2.IGHG3.IGHG4.IGK..IGL.	-4.15129898928004	19.6722502597295	15.1207743087837	-4.91508549917966	20.647955856851	15.2993633184512	-6.00513807447664	20.9083171894845	15.8397471194902	-5.1102814723377	20.4838244416638	15.6811630283228
IGFBP1 IGHM.IGJ.IGK..IGL.	-4.36745157817999	20.1233215612953	16.0699734430311	-6.29318243843889	21.1910760925202	15.0043915628632	-6.85047378911481	21.2640932016826	16.1713593591548	-6.45617207476394	21.1179500562597	16.1051043887989
IGFBP1 IL10	-2.8895908863039	20.0036253576162	15.8211901120001	-2.83145295373914	19.1190144831997	14.4287081768992	-2.90092748609059	19.545252147126	15.2553553164029	-3.17121127720416	20.086114082782	15.5553807913388
IGFBP1 IL10RA	-3.01059259083355	19.0646770801429	15.4886760739847	-3.60814364206962	19.8496903731034	14.7054068064081	-3.35682024197793	20.1302740112552	15.58302268594	-4.07691680801215	20.0397785728944	15.7196216131259
IGFBP1 IL10RB	-1.04417229705457	17.9161201767805	13.9194702274956	-4.68518574906003	21.1067885425548	15.4294621728259	-3.6481707273669	20.5265200352903	15.5346514311246	-2.93831342366184	19.9561367317045	15.1806606565966
IGFBP1 IL11	-3.00115085415222	19.9105103463683	16.0477941478445	-2.90862234602832	20.5974276089804	14.667749162537	-3.40301085648568	20.3754580780208	15.463748478131	-2.87166364494981	20.52754230342	15.5467054171172
IGFBP1 IL12A.IL12B	-4.07381665964274	20.1653070121575	15.9469403092028	-5.32152422869931	20.5119298463935	15.4907324177172	-6.34723675423502	20.5904535196513	16.16085079347	-4.69801068085463	20.4452498945973	15.9761707475556
IGFBP1 IL12B.IL23A	-3.77401917179842	20.3466175373023	15.2167546604604	-5.4715957749485	20.9367791692902	14.8782668963229	-4.06736967948108	21.4846126500171	15.8067781964613	-4.64803589794611	20.8933215988644	15.5288446160253
IGFBP1 IL12RB1	-5.39528704522389	20.1905211134021	15.8501587763292	-8.65295518096896	21.8976604481025	16.0347262169663	-6.25630744692171	21.3756531965605	16.1643490004821	-6.31163290350424	21.2385111879399	16.1639949355026
IGFBP1 IL12RB2	-2.90764450217038	20.9539950344564	16.1626957725715	-6.22971579172407	22.0765641961605	16.0119324701336	-5.13207380239217	21.6221559058115	16.2192709269851	-4.03059203788017	21.6010434649395	16.1732178306736
IGFBP1 IL13	-2.00129775272483	19.9138124626305	15.5518467795974	-3.22107458088337	20.7120924817944	15.0974346753457	-3.08243223658007	20.750171710249	15.6112714084002	-2.70447055121696	20.5755971738591	15.6505594111681
IGFBP1 IL13RA1	-3.69007220859881	20.611993235119	16.0434870809576	-9.88395497275534	21.0957318209753	16.0558283608815	-8.04688658568347	21.3857824168545	16.4498367727725	-7.94323233041896	21.1483588297304	16.4295496678948
IGFBP1 IL15RA	-0.333434078708403	16.9267354453935	12.2424386970546	-0.695407981507993	17.0568369972911	12.0778298016671	-0.600571274947522	17.2383527778618	12.6717033849692	-0.522206581584506	17.0948499856822	12.3575800857799
IGFBP1 IL16	-5.1715668405209	20.4053397042658	16.1998938702017	-3.65042135574972	20.1581196864632	15.0000822054027	-4.86661419019647	20.9028129025365	15.988407358522	-4.94764854234607	20.4261628944101	15.9671876539798
IGFBP1 IL17A	-1.67967071046682	19.3779227165763	15.063986297396	-3.31297540712804	20.0155881835092	14.8925458195525	-3.14286134479314	19.883104747926	15.5750989928375	-2.99075851644845	20.0038430154694	15.3035588208248
IGFBP1 IL17B	-2.67988502875029	19.4064242705156	14.8061974861112	-3.53253810837344	20.222270234885	14.8581448658899	-3.39408945844575	20.3750078961619	15.5008306132043	-3.61658159497674	20.2143325826625	15.3682495833906
IGFBP1 IL17D	-2.43569218553259	18.8913863984406	14.7648751053725	-3.03615089254032	19.9875302678216	14.9276206585203	-4.27396410375094	20.1753740139825	15.4583587403046	-2.82657481783176	19.6594051437924	15.1214249126577
IGFBP1 IL17F	-0.597807421475772	16.5430649781432	12.4664194395223	-0.701778642060139	17.5182014292612	13.1250677112162	-0.721978272039651	17.6448996831059	13.4896164068642	-0.702253599906054	17.5863730875094	13.3113494219385
IGFBP1 IL17RA	-2.86156600715198	19.4245617479993	14.9183204895642	-7.31072839045142	20.772095194766	15.5178329302999	-5.27962513933967	21.1180247204508	15.8648833500732	-5.96324500819046	20.7190953059799	15.7529222257956
IGFBP1 IL17RB	-4.87007125756999	20.3804669570199	16.2017436629625	-9.2900087490427	21.1944987519743	15.8910827280913	-5.49209087906386	20.9870338495937	16.2403389307267	-6.10661522631555	21.1376696677629	16.3425113908836
IGFBP1 IL17RC	-2.19049291094029	19.3418601895878	15.0690873815117	-7.82034022195452	21.7658484134275	16.1640943420717	-5.84426894300675	21.1729854634006	16.2704610778318	-4.96074718512759	20.786532801383	15.949021777188
IGFBP1 IL17RD	-3.05456876040097	20.1805601744311	15.6530313918126	-6.36825311104623	21.8500309743599	15.7700061500969	-5.34572955913537	21.2445745053748	16.0092675691401	-5.20111897557421	21.2966087802709	16.1166808115294
IGFBP1 IL18BP	0.197699510886857	14.1519316802672	10.7923761535413	-1.28117602998472	17.6734673416487	13.0683105819783	-0.224404399870684	16.5127396012822	12.2249435739888	-0.277874346262112	16.3360869969272	12.1691595747125
IGFBP1 IL18R1	-3.79798429988558	21.2028197834196	15.6487533825352	-8.5862211617163	21.1872732943446	15.3875743119254	-5.94772009621381	21.8918520469501	16.0636516386808	-5.74236029753712	21.4567521888772	15.8896265572873
IGFBP1 IL18RAP	-6.13379563162101	20.2665314198574	15.9309299965203	-2.96325264631277	20.2167704237788	14.8433686598154	-4.78328327958429	20.6408898254886	15.8603322968155	-3.55196827765143	20.4827860038672	15.5381588987177
IGFBP1 IL19	-1.30743878742866	18.5544355213343	13.4050089657633	-0.515687866902695	17.3157474018656	12.0402762626963	-0.858815309605764	18.2447224513179	13.0981444427232	-0.821151016526386	18.239064369653	12.9843054635626
IGFBP1 IL1A	-2.50956387106931	20.628639422283	15.2149496121368	-8.08380492105695	21.3862618550597	15.8391723127257	-5.31002671513663	21.2478216187741	16.1492214953573	-4.18925986823815	21.230544358922	15.8897254870932
IGFBP1 IL1B	-0.816975582708096	18.254765352712	14.5480737625266	-1.81297989870448	19.9411023801778	14.2925986306292	-1.53296716382438	19.4289992029992	14.790033485481	-1.57747738652945	19.3327422579684	14.6678770702143
IGFBP1 IL1R1	-8.61038359200342	20.8987930423293	16.3570123095836	-6.19536373915985	21.693066773609	16.2906712005652	-7.23494778040081	21.3219934234483	16.4782103905782	-7.06752897969321	21.4703796308638	16.5220569776622
IGFBP1 IL1R2	-1.31617730269833	18.5369064559621	13.611030707459	-1.16311486437586	19.2568497591231	12.8957335948739	-1.35794472932578	18.8919578852844	13.2766105022915	-1.46765515909081	19.0235771944963	13.5154034711927
IGFBP1 IL1RAP	-1.2663361128696	18.6403201453546	13.7698764375308	-3.27605021380069	19.3927633562151	13.5347346008474	-2.71770414054508	20.0085115208603	14.8324163355306	-2.33222447114994	19.5123958316717	14.3822142633855
IGFBP1 IL1RAPL2	-5.89409126359233	20.3669671810763	16.246472815673	-3.25670149092486	20.8133674312657	15.0120059671405	-4.29004669340181	21.1138330836515	16.0190937766166	-3.78118166975774	20.851702629828	15.8183975014897
IGFBP1 IL1RL1	-3.57617711211721	21.7405140943548	16.3339631195022	-7.60357321224977	21.8423862755085	15.8874083770589	-6.69283485391467	21.5203520835533	16.4133297021212	-4.86438295205094	22.0205515171097	16.3611986296222
IGFBP1 IL1RL2	-3.78117469105078	20.4636423301926	15.6819051760143	-4.79103515607153	20.7519998671526	14.9533588777065	-3.46143257608241	22.0050449063448	15.9224100932947	-4.37262789665544	21.2648111630551	15.7994227262564
IGFBP1 IL1RN	-1.97593518854441	18.2556308645742	14.1989061572837	-2.59844854950568	19.9871717413682	14.0891060784958	-2.60728188984552	19.9704334776938	15.1002798253167	-2.51333925070579	19.65300582167	14.6629719931104
IGFBP1 IL2	-1.72746980566325	20.7099246200616	15.6758445822496	-4.94745514695021	20.9479879794627	15.5220262604487	-3.18180536475801	21.057725640129	15.7206294591204	-2.48992617962543	21.1333227490168	15.8608067243692
IGFBP1 IL20	-2.33972612503867	20.778536797627	15.9560925345481	-7.39784274192225	21.0332772713643	15.752120362104	-5.77229062953847	21.2043680827257	16.2974223965564	-4.21778367613383	21.330640321788	16.2742754954793
IGFBP1 IL20RA	-4.45305332998134	20.4274875472489	16.4164751496967	-6.29081654618407	21.3101129273757	15.7466710486268	-5.90246846451832	21.3260216788147	16.40506884282	-5.46352624065635	21.0975709697493	16.3178905017304
