protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL12A.IL12B IL12B.IL23A	-2.7927139605472	19.5943522048758	15.2021804630202	-6.13371739194476	20.1583350837265	15.311434448001	-3.93314556861348	20.3710095582322	15.8439172994092	-4.35417372195547	20.0609360345927	15.6095269327885
IL12A.IL12B IL12RB1	-4.23983648169044	19.2753486883893	15.3533906978702	-7.16439873913838	20.3093918970492	15.6499210858307	-8.28532413004174	20.4044806701283	16.370746491847	-7.11590219758808	20.0419198657617	15.9376052436072
IL12A.IL12B IL12RB2	-6.10412810260527	20.2811176753941	16.5276562783633	-16.5873586117456	21.0223369892575	16.4816635510391	-9.63347438162194	20.5625734556923	16.6061740974895	-12.8869295551346	20.8506256718239	16.847449374996
IL12A.IL12B IL13	-4.11569165850406	20.0864822772938	16.7864862000327	-6.68075942891907	19.6635327937947	15.6048953555656	-5.9706572194859	20.3911362426592	16.769610302299	-5.06262186792305	20.2067482039645	16.6386604083888
IL12A.IL12B IL13RA1	-3.42065596152653	19.4243191896958	15.3327471039347	-8.17052461134131	20.1763678797955	15.8520129682325	-11.7665474949077	20.6540170490778	16.6985164689137	-6.98111114921734	20.06830669885	15.9618676365946
IL12A.IL12B IL15RA	-0.118546135670356	15.7741479477084	12.0710094228999	-0.933589870481376	17.4013100291572	12.897009494152	-0.189864018242442	16.4449575400529	12.5826755045176	-0.498193886788172	16.8353979895614	12.6966696911827
IL12A.IL12B IL16	-3.23165629518693	19.6509398561414	15.3701077377994	-7.58648076339191	20.3313360671005	16.1225067367028	-4.53566684651462	20.5120930839834	16.2642571298501	-5.31557731688442	20.1247243538877	15.9691406328457
IL12A.IL12B IL17A	-2.18088791900291	19.3992804070213	15.8310542249603	-18.7085788209558	20.8155848074972	16.571576474599	-9.39383331891955	20.4506531820901	16.837204423179	-5.44003277972565	20.4484226864157	16.545778931896
IL12A.IL12B IL17B	-4.71779715605173	20.0779379514575	15.4484935704221	-3.89122343191251	19.8991913288682	15.3510179320669	-4.34269706919811	20.5582072868944	15.932705902136	-5.0294675644246	20.4043876751617	15.8171784426795
IL12A.IL12B IL17D	-4.46501920851544	20.5857521017448	15.9845398239192	-3.84061838301557	19.2961263770316	15.2033118452444	-6.93043075519188	20.2675615266702	16.3630475781819	-5.60303008639582	20.2953652248206	16.0734421664129
IL12A.IL12B IL17F	-0.958911193982662	18.2079721117178	13.3622616268516	-1.2836348131077	17.6128540540153	13.8613670823319	-1.04708896146342	18.5331885238697	14.1021717127677	-1.19115423233137	18.525071461604	14.2416213964942
IL12A.IL12B IL17RA	-3.77460025332703	20.056700278619	15.8614782097721	-10.7500792998457	20.4495720429587	15.9322665660455	-6.85063607168889	20.9121158330212	16.4228348568625	-6.71105985180722	20.5874195511474	16.2597952611265
IL12A.IL12B IL17RB	-5.51151515573546	20.3187449516245	16.3572187323058	-15.3595105689897	20.5897473579007	16.3018088511381	-12.2269403101422	20.942151310842	16.8147355412968	-11.2542641608661	20.8333866937904	16.7999279421915
IL12A.IL12B IL17RC	-5.0695041634285	19.9676992846609	15.9379746546751	-8.53922879140129	20.3838414899002	16.1507998567003	-8.66401277211122	20.3649810169004	16.5490935959638	-10.3388387315807	20.5520920855248	16.4938439902659
IL12A.IL12B IL17RD	-1.72973421699683	19.0707243415698	14.667120194985	-7.00450697210729	20.4081672814414	15.8623233754043	-3.24532224650701	20.0933714827742	15.7901289333913	-3.69450316914615	20.1618366162246	15.837236928112
IL12A.IL12B IL18BP	0.341277199600153	13.719490897206	10.3943122111776	-0.990061162800182	17.7280129211493	13.2989759815096	-0.163317568850809	16.1490235775725	12.3402262833661	-0.090974851130887	15.993713656371	12.0531607602484
IL12A.IL12B IL18R1	-3.73865270637212	19.4102310904534	15.1386396585285	-8.71333090947966	20.4685871614138	15.6027465121137	-11.7950845324662	20.9521128714813	16.5898384229279	-7.05606244169152	20.2499862363814	15.6493535590719
IL12A.IL12B IL18RAP	-20.8089853287967	21.1398783452616	17.3262493245628	-3.70584525578097	19.9616799214734	15.2683551184514	-6.61355104480347	20.6377578288111	16.5461631648212	-6.6246881286252	20.7201153441883	16.5181198754192
IL12A.IL12B IL19	-1.17409089082636	17.8444740153355	13.2850041619611	-0.928256914716914	17.5775404386648	12.7729273088719	-0.864569049302724	17.8700148476135	13.1561133502573	-1.05178773495445	18.1265270563295	13.4365139558398
IL12A.IL12B IL1A	-4.57240456428401	20.0801972323294	16.1179436857119	-12.9113438044351	20.904186427927	16.2017136438065	-14.2333756148245	20.9416627646493	16.8859830661724	-8.76587542133859	20.7094912640327	16.4953020592643
IL12A.IL12B IL1B	-2.99963429631896	18.7044085889955	15.1809904494437	-3.05619287936	19.5738161442523	15.643095724801	-2.88284926401796	19.4579570369591	15.7466948053998	-4.05465559711022	19.5070863295971	15.8160424587718
IL12A.IL12B IL1R1	-7.27639915425955	20.8324066945789	16.5928208432637	-7.44789940326284	20.5472045754087	15.6306201241607	-13.8634719005456	21.0820610304116	16.7495288075558	-10.2067347223236	20.9592527458306	16.6064885680228
