protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL12RB1 IL12RB2	-4.5644840486544	19.4686182390783	15.0905607711112	-29.7372382647128	21.6171259273719	16.4527222879224	-7.88029764719244	21.0362958815062	16.1264339543441	-12.2141025067689	20.9887878903369	16.2803102521567
IL12RB1 IL13	-2.10824844769573	19.0579243662309	15.3911633427976	-10.5598330260184	20.6572454104428	16.1369631546964	-6.30500956539298	20.2678303281164	16.38229778914	-5.29173466255179	20.2508140859454	16.2226430713308
IL12RB1 IL13RA1	-7.18665168030707	20.7120676776307	15.8779157040766	-6.61693697041784	20.7662456639429	15.3666456192745	-8.34329718223443	21.5986853192824	16.1844604535358	-8.9619527580209	21.0230551643236	16.0307384550322
IL12RB1 IL15RA	-0.612535192101967	16.9849905162573	12.4729490892093	-0.474549491551265	16.7659594688922	11.9625713514258	-0.574208447609292	17.033934586275	12.4365555828988	-0.587782972272358	17.0868042910525	12.6852501550203
IL12RB1 IL16	-7.65116303940585	20.4189566448513	16.1955849478996	-4.14311533123338	19.5382722671424	15.0229018279824	-7.88459411911769	20.7738569381368	16.435042651092	-7.13368851992728	20.318117190596	16.0793121730916
IL12RB1 IL17A	-1.70138035447598	18.3132245730478	14.5153959390055	-7.86313839295797	20.5255761221945	15.41009262847	-4.35403534964131	20.3279797747325	15.8150563222966	-5.89090661815553	20.1475708284993	15.7681998702552
IL12RB1 IL17B	-3.72879943980434	19.9968929113318	15.0918616355861	-7.01051544633805	20.0343470894301	15.1228511443289	-5.24001338686906	20.4922020677032	15.6390126036463	-5.90049073266324	20.3266271038745	15.5391127316978
IL12RB1 IL17D	-2.72228454056789	19.7561041125765	14.9200370491615	-6.72901033678706	19.8296065695758	15.2487304299916	-6.04376466795337	20.4725392773048	15.9689869418093	-4.80705361713568	20.1446781814688	15.5811402962707
IL12RB1 IL17F	-0.515557512506783	17.7816183763196	12.4711731577227	-0.902030361799072	17.3749539617227	13.3342952302829	-0.692307371730415	17.7753073720016	13.1959694806202	-0.628257688578277	17.9110074273393	13.2091376420165
IL12RB1 IL17RA	-7.36482786007882	21.1124808638309	16.2563494783898	-16.3650825855718	21.2853417952108	15.9650579918925	-12.9970126983798	21.5867313219827	16.5947228339963	-11.9357353428689	21.4226427659364	16.4916318716829
IL12RB1 IL17RB	-4.10770036600557	20.2137014792915	15.4589946835604	-14.6981466404554	21.0742082429136	15.8821986501893	-8.73495115791805	21.1687007353917	16.3081129581541	-8.94229583469525	21.0303381358167	16.1187133880187
IL12RB1 IL17RC	-5.04612915163865	20.7549453380627	15.8917168312627	-15.3729858205065	21.5058022628076	16.4129084782664	-11.0193404699436	21.3734421357977	16.5272679540522	-10.7507876486332	21.3729109202228	16.5673352802332
IL12RB1 IL17RD	-7.34569242811798	20.6219797989503	16.2952605944261	-18.7427383468835	21.9182431458971	16.2765412434884	-10.9735189844495	21.3186309025088	16.4213357943114	-13.0126913901338	21.4246577757218	16.5819985019374
IL12RB1 IL18BP	0.403446415609094	13.1138187237292	9.86801073084522	-0.859207233199351	18.0279459941343	12.966950265129	-0.182413406311097	16.283626326069	11.9671430340435	-0.0698052664684106	15.7899617656874	11.6003496085188
IL12RB1 IL18R1	-5.75574398391002	20.4170978666004	15.6391133871432	-6.17543209855244	20.5207804104882	15.1484809042028	-6.2929026128717	20.8910997684026	15.5973715951614	-7.31623284594958	20.8407887069554	15.6408694671692
IL12RB1 IL18RAP	-6.33470026494453	20.2785194346065	15.9565596796791	-2.59635791518006	19.32315091259	14.3588085841491	-5.00580174124442	20.278622252961	15.8909623728189	-3.56347869034275	20.2225635659624	15.5628980777876
IL12RB1 IL19	-1.11430702792102	18.2523660954548	13.1621169246349	-0.737199627518349	17.4297120994883	12.0414011964113	-1.09219908049832	18.1663013166912	12.9362999080415	-1.01337347471587	18.1501019269198	13.0583583121248
IL12RB1 IL1A	-11.2215924071528	20.6295151193541	16.2238817018007	-9.30498770772096	20.964047353061	15.3709009633463	-11.8280934825778	21.2373143122293	16.336536785258	-14.89040323257	21.1284812254453	16.3376641786141
IL12RB1 IL1B	-1.82975095637199	18.4841784965437	14.5914545253093	-2.39757598889	19.024883536385	14.18346092952	-2.47584823679242	19.1858574278379	15.0732206046857	-2.9278972485174	19.2597589292078	15.208860597807
IL12RB1 IL1R1	-7.6358367443569	20.707197034023	16.2332649843049	-9.81444623288886	20.6251240389975	15.4790346863021	-11.1308965812722	21.3278084265776	16.5007020160067	-14.2197155735457	21.4190791405281	16.6197981604288
IL12RB1 IL1R2	-2.63814857529792	19.5523369608194	14.8367794318999	-2.33259392956745	18.8575195990563	13.383669799111	-2.89861730210395	19.6645375909145	14.4553969441557	-2.76754984634441	19.5170134383794	14.4056106044521
IL12RB1 IL1RAP	-2.94071698776405	19.2512619800771	15.2007873512156	-3.34344410295584	19.4614142071726	14.2436317530223	-3.25383480332478	20.2038835336869	15.5680530186265	-3.90492301278524	19.7690001263713	15.3047914068035
IL12RB1 IL1RAPL2	-8.40053413723153	21.1844761012692	16.3874186077191	-10.4488266929487	20.5480289801544	15.8599213772124	-10.5255096480984	21.1644624442555	16.4697608837762	-9.49947644304577	21.132607406393	16.327835684123
IL12RB1 IL1RL1	-5.9962524962134	20.8485697636432	15.9833753894652	-20.5160232459354	21.2195589595553	16.3500503480243	-7.94919680356707	21.0785441554599	16.0925038998937	-10.5086478909658	21.3267998586236	16.4296743814167
IL12RB1 IL1RL2	-7.42848864631022	20.8278542505848	16.1211280277227	-10.2052270732652	21.7463731906589	15.7776210712738	-10.3599346751675	21.5227542661295	16.404916347851	-10.6823181174527	21.6179250082887	16.3648779278748
IL12RB1 IL1RN	-1.15206811546176	17.1791447987681	13.2523373296918	-3.75273330805993	20.1010818535425	14.6686869992085	-3.30953474541463	19.7958751443172	15.0963166782334	-4.01016555430178	19.5604805210491	14.8855764205859
IL12RB1 IL2	-5.33093876271427	20.3542000208649	15.7802568321448	-8.82829242005744	20.6713110320768	15.6869621660933	-10.0514715707529	21.167626025048	16.1874459389129	-9.94029235459848	21.1260018373576	16.3618942767919
IL12RB1 IL20	-16.554565640458	21.2794565297494	16.9034183137536	-9.19960212308655	21.1390367167406	15.7380326498104	-22.4411434499458	21.6576960417511	16.9385090936338	-26.1924304704569	21.676852028041	16.9901667716417
IL12RB1 IL20RA	-7.60697166592326	20.3873641172017	16.0666807744665	-4.29079082123242	20.169787830964	14.7417775891183	-7.60209491955703	21.0443723090297	16.2629374482955	-11.5609944920317	20.9988590532402	16.3406192519206
IL12RB1 IL22	-1.75530047691906	18.6475725283126	14.6141188244125	-2.08232927489649	19.3174602796317	13.6219169126397	-1.81255563700901	19.6647463983046	14.7249924298884	-1.61067054728817	19.6269398408342	14.4664928624699
IL12RB1 IL22RA1	-4.40572757756149	19.6634160817163	15.3985197250368	-3.28347552401959	19.4555506040331	14.1434730015322	-3.83551738952462	20.3531768995143	15.5766707531056	-4.74903606290689	20.2369918287259	15.5048064813491
IL12RB1 IL22RA2	-1.00915253174939	18.128677643767	14.3550469358389	-2.15397194187151	19.4675771592511	14.1238381115674	-1.46226222396791	19.0483264731884	14.620127628981	-1.51963138527895	19.0859789762018	14.6612449834892
IL12RB1 IL23R	-8.82550398442143	20.5351731409067	15.9951137152143	-17.0264279824458	21.6441083733943	16.2388530006934	-14.4122494393153	21.5981502572108	16.654988237913	-16.1267394942565	21.358356764307	16.5345904437546
IL12RB1 IL24	-7.62674687188118	20.4133593376868	15.9047124566082	-15.2082698106807	21.0795271706048	16.0773485103093	-10.1922169388559	21.1312914036247	16.3355383893412	-10.4514729536418	21.0603619909662	16.3260337323125
IL12RB1 IL25	-14.5841176972054	21.1299066563032	16.7538396846758	-9.18267520802601	20.9511302282864	15.6099433783725	-21.2163998506321	21.4908213909504	16.9165178539839	-20.9109727827174	21.3732281162999	16.8354867950347
IL12RB1 IL27.EBI3	-2.18094999967984	19.0956664059275	14.5476795834813	-2.64417290584421	19.2795272084152	14.3092814657982	-2.47421060179731	20.0726730047893	15.4054343389936	-3.10570070340357	19.7467501938052	15.0341961127614
IL12RB1 IL27RA	-5.26110257823915	19.9081473448866	15.8358902721462	-13.7105903125267	21.1758029462838	15.8034009651451	-10.3676584481215	21.0202805999405	16.3544651948743	-10.4340690598208	20.8734380985347	16.168660954562
IL12RB1 IL2RA	-3.97755916444658	20.3527296229248	15.8246486211191	-2.63042968317721	18.5997085358131	14.1465413767107	-4.47642229273408	19.9301860161334	15.6023914950349	-4.91265353593533	19.9184631041756	15.516535135226
IL12RB1 IL2RG	-12.3584804983301	20.8590381108909	16.6047637244128	-2.75003258137211	20.2436705518947	14.4053480023036	-7.59659992191431	21.2777206064177	16.4026551430341	-6.12069308441113	20.8402663334277	16.0260306123292
IL12RB1 IL3	-7.33947724642008	20.481950395265	16.4227894928479	-2.42383723478819	19.1128989236383	13.7502459835012	-4.83469294100624	20.3654960624877	15.8233810377927	-5.5025832783182	20.2293319253831	15.8914301445712
IL12RB1 IL34	-8.23498926501256	20.5881014653324	16.3761005816079	-12.9232975248838	20.8658945050073	15.6430668251042	-12.7825014297384	21.0290096621167	16.4089991485276	-15.0549425591046	21.0750207266765	16.4784029516806
IL12RB1 IL36A	-7.63230016020881	20.8397621608424	16.1420754114917	-4.43256939604279	20.3385821903436	14.8721037154577	-8.089557738055	21.5732184133657	16.3784241304784	-6.91516817175823	21.0744733608062	15.9998992904317
IL12RB1 IL36B	-3.05804300277477	19.2993395595345	15.1923694468878	-17.9483245236442	21.7701607665316	16.4041592745028	-9.21262822345398	20.9475538839947	16.4555680582608	-7.54372930487479	20.7255216621339	16.1610548942645
IL12RB1 IL37	-5.66730695361273	20.1900481939801	15.7093156186754	-9.68186270026044	20.1167369645387	15.6944132203214	-7.18605213789135	20.4459516741635	16.1068746975258	-8.56883562007697	20.6101225898225	16.1439144675171
IL12RB1 IL3RA	-4.1819647676702	20.1388068976854	15.5604769957879	-3.01578018460524	20.2354916210989	14.7722827426573	-5.87495158051533	20.9802220315062	15.9433212148489	-5.25757940644966	20.4937816531806	15.7650330561648
IL12RB1 IL4	-6.95478482882068	20.558256739898	16.1262884303905	-3.62801205678444	19.8276643356109	14.5659874325157	-6.23213338079067	21.0512692663251	16.1153172556368	-6.23291221265827	20.6778481905506	16.0459028873794
IL12RB1 IL4R	-4.94256958356739	19.7204593743983	15.3281445731179	-12.4135661652953	20.8799850806965	16.2394862134197	-9.07467924537093	20.9128801820752	16.3438425940023	-12.542839753643	20.8342962305634	16.3108717976952
IL12RB1 IL5	-8.26772290235899	20.8433936657873	16.373697343959	-14.0095199296168	21.0819665220139	15.748125504476	-9.33755663151265	21.425674184556	16.439303905868	-11.074171252591	21.1604180407668	16.2939225488033
IL12RB1 IL5RA	-13.5920144998297	21.0320479249696	16.6442579872066	-4.26490723561023	20.3417441405419	14.8587615050247	-6.86763302776373	21.0440461895206	16.0863793479256	-9.84341621104223	20.9330630490464	16.183045698969
IL12RB1 IL6	-2.35955742885302	18.9040558961262	14.7552414671609	-3.26050012833774	20.5359129630598	14.6068999119825	-3.73380061670391	20.0702071895714	15.315915251901	-3.44746714073405	20.0607740235563	15.318230608724
IL12RB1 IL6R	-6.43576386643075	20.7153969472241	16.0955066474036	-9.63273807408418	20.8992711251277	15.7778491980136	-9.29425552297739	21.2584859581588	16.3154296264388	-11.3876078091022	21.1682660217447	16.3621205104144
IL12RB1 IL6ST	-9.11503269711205	20.311822201991	16.2574634084804	-6.23556287116855	20.6992844979963	15.3119220989311	-7.52207631500449	20.9548118282291	16.1598503962123	-10.8146467060825	20.8568460213782	16.3061474439629
IL12RB1 IL7	-3.90906763584906	19.727206455685	15.3512032030345	-8.31329829096182	20.5663193271713	15.6069409756751	-5.83349600849033	20.528434346866	15.8927720780115	-6.03015140732125	20.4314904000764	15.7761290084369
IL12RB1 IL7R	-8.41253730695477	20.3376080455773	16.165253736276	-11.0680653986222	20.9342234922548	15.6569471797416	-10.1225771914085	21.2708027753581	16.3338346976735	-11.9224953104819	21.0426966269632	16.2970369717781
IL12RB1 IL9	-3.46331530972996	19.5283590101783	15.0147451013726	-4.1243050886903	19.3151830365887	14.6911204906875	-3.47442069768211	19.8472384857644	15.3614045994976	-3.56357250766965	19.9268890395895	15.3643638609569
IL12RB1 IMPDH1	-5.67273436161859	20.335722496921	15.9707891551346	-12.7449780311801	21.5178092651624	15.9375098951911	-9.07729872278118	21.5259022248365	16.4714131630175	-10.1723524356489	21.2857648096492	16.3577819786706
IL12RB1 IMPDH2	-7.96205180263995	20.832629165095	16.0322661888559	-6.84523579927129	21.0159899118329	15.3746961597919	-9.76251202881823	21.4092515486717	16.364647275442	-9.36641257300447	21.3275503157272	16.0995533548552
