protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL17A IL17B	-2.63853245126097	19.5089142172929	15.0300638559591	-6.14546631363133	20.2102368684131	15.6568188854425	-3.43349021449826	20.7252778142988	15.8612281974178	-4.93873523554026	20.1330977542559	15.7403769658639
IL17A IL17D	-3.12042122902795	19.6728841172002	15.3480683701302	-5.66124562510291	19.4722438777669	15.5570153040994	-7.74582141232977	20.4513435545819	16.5007429119723	-6.1236127755077	19.9917974808404	16.1067002095242
IL17A IL17F	-0.622803968098549	18.0959950295672	13.196872018861	-0.948906002752076	17.8621959986448	13.8395460248509	-0.783430114498574	18.3309938231574	14.1282489857776	-0.903857428353247	18.336367782962	13.9939483997054
IL17A IL17RA	-3.51576417796569	19.053081514738	15.2478399390918	-10.6644366282028	20.3609479021483	15.8317469864702	-5.28450651449804	20.1562810483542	15.8651324190006	-6.77193562467219	20.1349360755405	16.0591011443418
IL17A IL17RB	-1.44086246986631	19.1335526553702	15.1140312421593	-27.9580683443695	21.4111547605097	16.8481441592223	-4.68376885489488	20.5070807932789	16.5015610481719	-5.2152849679076	20.5332837229	16.3525338927952
IL17A IL17RC	-1.73803156927042	18.6722528946934	14.8707316619623	-27.4900096617945	21.4592144632865	16.5547590855557	-7.46280809379983	20.3204244307282	16.5689328927126	-5.57796065995903	20.4218490848468	16.2360449066592
IL17A IL17RD	-1.91012495482394	18.925285381551	14.9850380743602	-19.958808906923	21.5493522218047	16.8039481422773	-4.53728019223347	20.6704650331486	16.2232340700984	-5.53111195341367	20.458128308495	16.1829573998347
IL17A IL18BP	0.311578258652051	13.7664790945922	10.4835929819779	-1.13127960347963	18.2000095503928	13.4609354373588	-0.201070291612845	16.2725805180825	12.3319288875471	-0.175654457707449	16.1848614747349	12.0492637580981
IL17A IL18R1	-1.59780712198308	18.6978399496514	14.4972689706551	-16.7931321643335	21.2505199094845	16.3925028853412	-4.66777378093529	20.3541463250385	16.1317633898189	-4.70447496046749	20.1466123569148	15.7650886980857
IL17A IL18RAP	-2.17360982821829	19.5310611341593	15.4181363985004	-3.16401783822429	20.3244268155391	15.6666633456449	-5.29069580583668	20.4061720883435	16.3966468950677	-2.87029859331081	20.0572264583048	15.7069535690782
