protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL1RL2 IL1RN	-1.52973874720565	18.2287814724233	13.5157449586675	-3.55678092667707	19.8832535046732	14.119569737186	-4.91110818915045	20.3116373520102	15.3867203165192	-3.58762222021285	19.6674220623455	14.6423354478551
IL1RL2 IL2	-5.11913461065297	20.1947168130762	15.9232863784952	-9.16725371931431	21.7343338231922	15.9816738006485	-8.10012223124608	21.5418320474164	16.7010037675701	-9.24347231917866	21.4155661284342	16.5259658439275
IL1RL2 IL20	-9.00366878277204	21.3117328568606	16.5906781405533	-10.5505826576171	21.6821266720889	15.860318309575	-12.7646998551336	22.0773435038582	16.9211925014864	-14.2036371140029	21.7297400921936	16.738800383756
IL1RL2 IL20RA	-17.6189401834929	21.2865574648838	16.9570930012121	-3.55039782712638	21.0400861734951	14.7358352545124	-9.05113764908461	21.5637309593612	16.7253872370324	-11.1062564750463	21.5301691693746	16.732762369794
IL1RL2 IL22	-2.02874840609118	19.561282864891	14.6355563415516	-1.60667043674026	19.8717084116041	13.6268709363034	-1.9995030965964	19.8277865448335	14.4485524159972	-1.88214492348243	19.8895218741499	14.5137264945362
IL1RL2 IL22RA1	-2.46920760880818	19.1187291265064	14.8609463944336	-3.41661643518213	19.6436584832159	14.9335421176272	-3.21550019154708	20.9834135458144	15.9353734486575	-4.2040160745758	20.2727908152939	15.7551378047615
IL1RL2 IL22RA2	-0.624460294890958	17.3371864999675	13.356236717282	-2.30133942443335	18.6746880473169	14.3871066757167	-1.5144064208937	18.5693816577725	14.4239408691717	-1.35712452374257	18.4973442528151	14.4286629780425
IL1RL2 IL23R	-11.0652260490092	21.1913018383468	16.2954379405032	-9.39675945390303	21.3552159735376	15.9000503089713	-8.75644766344132	22.2174101493651	16.9051657803252	-11.4917511109182	21.5548018103594	16.3914486820435
IL1RL2 IL24	-6.17610428299897	20.4370149799189	15.7798501222207	-10.936954970082	20.9085867784855	16.0953676190632	-8.52725781682508	21.6113525187361	16.8120996656038	-9.71469347697111	21.262009887161	16.5522084093093
IL1RL2 IL25	-13.591192640788	21.0430061066106	16.6467791199593	-12.0862187994886	21.3992449130398	15.9134623861105	-12.3925793792882	21.8479538116001	16.8121524750253	-12.825230862045	21.6606263044352	16.6888202152904
IL1RL2 IL27.EBI3	-3.72501869586872	19.6670565617496	15.35724468853	-2.62552765716306	19.0437716913251	14.4276658229905	-4.04539499977165	20.1055149015496	15.4485508327339	-3.8567540405409	19.96869797168	15.2603523326916
IL1RL2 IL27RA	-1.8307546305603	19.0082724335462	14.0638010743801	-8.017899214074	21.1825208205189	15.5754869876638	-6.06722290192265	21.1715478363314	15.92175654561	-6.25199894340476	20.7945242483716	15.6843016099284
IL1RL2 IL2RA	-6.54639763692459	20.76249623045	16.3364333587999	-2.88384413811603	19.2572430848588	14.3852206859168	-5.82598782287989	20.5658624362954	15.9862785605834	-6.33619735855701	20.4217687444254	15.9065249793302
IL1RL2 IL2RG	-7.97202917651089	21.0973589085111	16.24754602043	-4.60876981053833	20.9055264741965	15.7485388440756	-12.5258377245324	21.7197475809125	16.6374846044191	-7.20791872685338	21.3221044856737	16.3059921632154
IL1RL2 IL3	-5.56400199877669	20.1056548998179	16.3212864887934	-4.35850055075483	19.8951861484688	15.384751441092	-6.34097916585804	20.7487923956288	16.5726951822174	-6.8970652442293	20.6299505434331	16.4218407211718
IL1RL2 IL34	-5.75048118445281	19.9732590954937	15.5337106383675	-7.54840775650111	21.1115478265608	15.4996134980659	-8.65024329137718	21.3327460096956	16.3168994869903	-10.0267978588306	21.0621770738227	16.2125874557261
IL1RL2 IL36A	-11.9326164327384	21.7131811872138	16.2622438339658	-4.89554677515753	20.5500287319092	15.5191689347974	-11.3860029040816	22.0944836903927	16.860219647377	-9.05678718296419	21.6135957728015	16.4524678564653
IL1RL2 IL36B	-3.42331212907863	19.5683247390749	15.1021853929148	-9.69447006153873	21.2002915116809	15.4729134430959	-5.38996731972629	21.0484776285208	16.0292442910851	-5.76848325885451	20.8112916022437	15.9221891276896
IL1RL2 IL37	-8.65291338485581	20.8174798266929	15.9789809364326	-6.59845510861488	21.8747991855017	15.8604518286274	-11.6550694962583	21.4552028839587	16.497135151514	-7.4787462402983	21.7802320728101	16.314469720118
IL1RL2 IL3RA	-4.10932930476345	20.3267383341176	14.780558226253	-3.61796743066918	20.3958019221688	15.7302081080213	-11.9405149415613	21.4867699143016	16.3211065453898	-5.58095787654298	20.687284071137	15.9263677235776
IL1RL2 IL4	-7.01527817155902	20.5712791678859	15.5085906427948	-4.21789359958079	20.2398986625631	14.9404687139873	-8.76894020738117	21.5928706001343	16.389882294993	-6.85306283152486	20.6013932734485	15.6780020106327
IL1RL2 IL4R	-5.83375265812658	20.1507336378668	15.6257781051497	-6.92789457288329	20.6101066424033	15.7104733493972	-12.7973079064595	21.8579099115676	16.972726589014	-11.2499375165649	21.0612074829142	16.4365848797244
IL1RL2 IL5	-12.4822452654359	20.8466293588352	16.3044182537875	-5.45661557435963	21.097993242721	15.2781359434265	-7.80453768135069	21.8133920517271	16.6838419651105	-9.04919865693141	21.7805142278739	16.5733683319305
IL1RL2 IL5RA	-13.3972784840198	20.8503783384827	16.7987914246556	-3.99683555131689	20.2577694597172	14.8772284203858	-6.10546943562347	21.34163563937	16.2610730121864	-7.60922226406404	21.080320386518	16.1534621389146
IL1RL2 IL6	-4.34724294083897	20.0413663308841	15.80788920884	-3.54994487960157	20.2865345294587	15.0907396072002	-2.6355806066905	20.5424978603166	15.9250375267782	-3.73656441179749	20.3157021070071	15.8222614198046
IL1RL2 IL6R	-4.64943695507181	21.0343414691482	16.240033366015	-10.2499303818771	21.0626255774319	15.9920145410261	-6.9469099941884	21.703285741013	16.6309510526029	-10.3846461003472	21.5940000993358	16.6519167122463
IL1RL2 IL6ST	-11.359620338679	20.9354670959428	16.0450658057333	-7.41920943142073	20.2301237209593	15.1796469294033	-6.60819858910289	21.7088481453189	16.406253366009	-11.3347981661993	21.1335996379676	16.3537323526298
IL1RL2 IL7	-3.99695193088564	20.0339587285886	15.5066992663256	-5.51935444556189	21.5290107104098	15.2272996994858	-7.02573655725786	21.3146283425711	16.133034778752	-4.74159990208556	21.0876216262406	15.6382872988224
IL1RL2 IL7R	-2.91618913748118	19.7239757808684	14.9207191823486	-7.88208228539541	20.8267656871716	15.4533217029756	-11.0026447795761	21.5711858297579	16.3384709688629	-10.5592275677325	20.8026704607103	16.0860822484342
