protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL20RA IL22	-2.30174996732184	19.8918600974484	15.657603756091	-1.38854547755833	18.1862636221183	12.9720050347213	-1.85189484441606	20.1286738320424	15.0740296231254	-1.61306705552452	20.0576410618575	14.8631765989624
IL20RA IL22RA1	-3.57497936629788	19.0712705665497	15.7397180832376	-3.68189151554953	20.0228119061596	14.7686188855048	-5.25968933986363	20.2137495542182	16.1775901010621	-5.27169469518384	20.1966256013745	16.2973299500648
IL20RA IL22RA2	-0.736075352339296	18.4943956534342	14.9578749263932	-1.49469264423145	18.9643616751983	13.5573445122791	-1.34969903202663	18.9151500525704	14.7768520368034	-1.30549399093055	18.9848599903573	14.6950745509412
IL20RA IL23R	-9.15035805035105	20.4949440604447	16.2932529153868	-5.96789448048261	21.1333694843151	15.4079874593892	-6.45449373396705	20.7438049304816	16.143236085254	-13.2186782565387	20.968717730653	16.4347137098749
IL20RA IL24	-13.1670445256986	21.3064932995404	16.8977947409581	-5.18191298999193	20.3690420788175	15.3057109986356	-10.1911313644933	21.2881831850753	16.9597291984604	-15.4735577925737	21.3016088836195	16.8610926943108
IL20RA IL25	-11.9033053593923	21.0303671297953	16.9656741562436	-5.663694014412	20.9145110235516	15.8423410558582	-15.0666992872035	21.3053572797495	17.0751327567033	-16.264955779104	21.2939354827915	16.9578550125551
IL20RA IL27.EBI3	-4.39525868906628	20.3076410773168	15.9985049459999	-2.69077515872098	19.0735685441781	14.603437778282	-3.5870893444586	20.5866238371805	16.4904524781753	-4.86052191376719	20.2133035544099	16.0057592839159
IL20RA IL27RA	-3.38269186852282	19.6657004699678	15.6371368789527	-4.73848751549264	20.2687177282069	14.9476230203101	-8.63709255467358	20.7177083350895	16.389169499186	-6.99721514057989	20.6306575080708	16.1634810053905
IL20RA IL2RA	-6.54761588425775	20.9698691283542	16.9488908366508	-2.15217556012067	18.5688313893582	14.4912076813269	-5.98963300788923	20.2379301770168	16.4702084637146	-7.2822789919142	20.0982329740112	16.2902048483379
IL20RA IL2RG	-18.4538209662742	20.9924087886408	16.9306805974022	-2.24401351195396	19.9038171366275	14.2538018800013	-8.71409015708207	20.994198540739	16.4175111520892	-6.68299068777081	20.8321229594393	16.1352167340361
