protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL22RA1 IL22RA2	-0.387763018646703	16.6170189886746	13.3235153812807	-1.36655848836166	18.3213519786716	13.6070359645917	-0.887973824753693	18.7091574615239	14.3807997136978	-1.08636566972822	18.2337408774543	14.1556131206105
IL22RA1 IL23R	-3.05048322594259	19.3739097072295	14.9266459363625	-4.28769764191617	19.3685959780067	14.8140211000628	-4.71119530878128	20.3049424530938	15.6938524062133	-4.69342845104502	20.0542646126343	15.5158287512065
IL22RA1 IL24	-1.89940298317664	19.2831026194549	15.1260731990299	-5.99213443756136	20.1409084464778	15.5320260597713	-6.028458405907	20.6153756654142	16.306605237627	-6.6593138190661	20.3563558964678	16.1859224552148
IL22RA1 IL25	-3.19853721270309	19.7825872432422	15.5058126466271	-3.82983096933905	20.2710856803163	15.477564179445	-7.45987894230819	20.4779792919794	16.3745598960884	-5.52389690467992	20.4955260034694	16.1102669559746
IL22RA1 IL27.EBI3	-1.40002981425212	18.474283552094	14.4170024624758	-2.1679945636704	18.6640318571977	14.8161445820272	-2.7764643084241	19.7936316549575	15.6822191626009	-2.27870028328891	19.3145509726309	15.2802227973326
IL22RA1 IL27RA	-1.39996445033131	18.7399486101534	14.5883234449878	-4.12718755783449	19.5033372077556	14.9056052075888	-4.09642709022901	20.0303764963598	15.890117595688	-2.28589168174436	19.8348894843145	15.2579373832717
IL22RA1 IL2RA	-2.44563979595222	18.9262022935462	15.4583518987834	-1.18605061666759	17.3622806157736	13.7967205314723	-2.49861001013403	19.8182955681351	15.8609007270663	-2.26163771729287	19.0043880898028	15.2759380795434
IL22RA1 IL2RG	-1.93854207781043	18.965106051894	14.5883554426393	-1.74325628544418	18.7240373154804	13.9663059519223	-2.91615788667644	20.3059600664302	15.4688515757294	-2.27392785605378	19.4622075243417	14.8390237511564
IL22RA1 IL3	-2.8851298206568	19.5085304991944	15.0806541142689	-3.75114091588838	18.6219956090319	14.8159417732225	-3.53320694519639	20.0919560238748	15.9494291473948	-4.51906508270401	19.6934772436798	15.6515020501613
IL22RA1 IL34	-1.7165907928005	18.1371813370081	14.3875415992817	-3.51746203497675	19.2193633149855	14.2182596224388	-4.50905124793036	20.2896112115399	16.0015393975152	-3.54782077025716	19.6269099349334	15.1971516334907
IL22RA1 IL36A	-2.80007371307589	18.8307865991082	15.141241577107	-3.36392749441412	19.6806734717424	14.7850529698844	-3.25736338391852	20.4149910942879	15.9411077569116	-3.77053092313133	20.0260235246379	15.7280229945085
IL22RA1 IL36B	-2.17393401164487	18.1768076629981	14.6984185945644	-3.49270971867878	19.2156280766624	15.000398797104	-2.78851102975936	19.1713212628856	15.2676701870213	-3.66278507959665	19.3513338346801	15.5050120032879
IL22RA1 IL37	-2.80568752829098	18.5831984037484	14.6080580675573	-1.9315268757213	19.3336453570388	13.7331536557	-2.55746811912673	19.8680353021712	14.9424388574872	-2.77649799280651	19.7523982889194	14.7104058871613
IL22RA1 IL3RA	-1.5681680148429	18.6432089801486	14.2672990782286	-1.34707643506041	18.5427953623456	14.1048300823039	-2.71729164654094	20.2559113796297	15.4286497904946	-2.34832082678012	19.313426663601	15.0498968973265
IL22RA1 IL4	-2.36495169322877	18.6133772659972	14.7460910402852	-2.20801842437398	19.4974618408406	14.6499488761373	-2.83506987485988	20.1243595246422	15.6448569468729	-2.78425692288826	19.9037999215167	15.5483745774124
IL22RA1 IL4R	-2.69067989642084	18.0660134095622	14.8585197485889	-1.84008954584618	19.0587421304079	14.1614302079095	-3.56498464050787	19.7831770799924	15.6337845013998	-3.38536905543141	19.508600221295	15.441019871451
IL22RA1 IL5	-1.2170745636595	18.2983641771134	14.697814969619	-2.98856766894315	19.3542304848942	14.4172978758684	-2.73816820233952	20.5104004825914	15.5899834731855	-3.09047569405278	19.9839682699707	15.419715222291
IL22RA1 IL5RA	-2.05135945092931	19.0412163307055	15.355022514916	-2.5414588507354	18.4761180700206	14.2140512430394	-2.65255379095447	19.6090911926231	15.288060184349	-2.68484605383787	19.5054661787061	15.5005049257119
IL22RA1 IL6	-1.40322088941532	18.0925562521786	14.6599787689425	-1.487853254786	18.8870998871586	14.1948259816006	-1.80246294637143	19.8478101161092	15.290317615834	-1.96828733598072	19.5044399901716	15.1909446493718
IL22RA1 IL6R	-1.69106477152627	18.7473726836934	14.1708190504378	-5.16349026769497	19.7649399210274	15.2682049542396	-3.93209314495218	20.0118867301048	15.5206864964514	-3.18292325214545	19.9745539955936	15.3489419825557
