protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL24 IL25	-9.55965316774892	21.0171936926252	16.5104441758346	-11.4953570624749	21.0413353710726	16.0449747439963	-18.657157122032	21.4554199743038	17.0167998875401	-16.5187739534786	21.5065021451703	16.8759238345163
IL24 IL27.EBI3	-2.01465330479785	18.7345815292939	14.6983171581203	-2.64419809362472	18.6124542309689	14.3878514440425	-2.8050619082397	20.1143860625326	16.0524389854325	-3.66182403976034	19.4754545675212	15.4505277052755
IL24 IL27RA	-2.13497263844823	18.5727906273364	14.635876578642	-4.84691737240335	20.0512781271474	15.0233156620645	-5.93765137387072	20.43674908063	16.0886458153989	-7.06808078381883	20.4032825399771	16.1115382315833
IL24 IL2RA	-1.91552433203566	18.2421903767865	14.3047445497204	-2.30320428179838	18.1822251331919	14.2726989528929	-3.67240188992155	19.6839300911053	16.0172059469985	-4.66010056567445	19.2244606553539	15.3890536249477
IL24 IL2RG	-12.6772666285581	21.191095190545	16.3115741672877	-2.17885140478152	19.8054766629631	14.6121782176576	-7.23912680578798	20.8791498140166	16.23997221051	-5.66125854760471	20.7302099288457	16.0736791851456
IL24 IL3	-1.66736746640053	18.9208750126925	14.3639429751942	-4.6312728351056	19.890483121331	15.4690501851722	-5.21703903809638	20.2825762572274	16.2622219865144	-3.95008556608958	19.9613613370422	15.7043187949653
IL24 IL34	-2.29509715765375	18.9987374828201	15.1478651329663	-6.28893888484982	19.7095272087981	15.2729348795268	-2.94520107504551	19.5311613943614	15.4563213071091	-5.95033696815965	20.0061995147378	15.8466096162627
IL24 IL36A	-14.5133329595308	21.459210361959	16.7900327756405	-4.96148378500589	21.0320636358328	15.1873815580102	-13.1894337519608	21.7524487758863	16.8636467787559	-10.6813769962174	21.6508916372171	16.4578303658782
IL24 IL36B	-2.78528693065555	19.3674381472061	14.8039814704673	-16.8888740381579	21.1563215222322	16.1524468291081	-9.69001178297195	20.8142701150363	16.4782277574877	-9.5182859523686	20.7615898569565	16.3726720028735
IL24 IL37	-8.8114079251064	20.9111847976207	16.1833753354572	-7.36580991996341	20.1197494242592	15.1494439537649	-8.95311007237539	21.0187305334415	16.3537413994235	-9.03506006240524	20.8975696069403	16.0671440127683
IL24 IL3RA	-5.63600220431792	20.1914227596966	15.2269993147618	-1.74373048631989	18.9725645630829	14.0147109057578	-4.83216199395723	20.0976422487479	15.6764778802746	-4.36829428465143	20.1394352236429	15.6000941432848
IL24 IL4	-3.2276899567574	19.9725435148365	15.000925858848	-4.09218180210511	20.1123141872919	14.9883894086116	-5.54776975705063	20.6247362109061	16.1451073900228	-5.55397668990746	20.3588271680386	15.7614035362687
IL24 IL4R	-5.47724482092431	19.8929770576581	15.764029743025	-9.34650124481798	20.1666528526904	15.631722980887	-11.9711098537924	20.9041969941468	16.4489878020108	-14.6382491210508	20.7724335023926	16.4824758331531
IL24 IL5	-7.39484518420805	20.1369565192531	15.9412174356173	-6.50099552631019	19.8992976059503	14.8924277726958	-12.9122498990319	20.9418576041085	16.381331243469	-17.3486276890125	21.0814385384925	16.5336080782501
IL24 IL5RA	-11.8901960134295	21.4170038525538	16.7178470457225	-1.92736714289222	18.9220782729971	14.0895661808519	-4.34978675646911	20.5543897834279	15.9992649138405	-5.53988705844578	20.5463249930616	15.9057181923606
