protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL2RG IL3	-5.31836273081694	19.6667040821685	15.8024585999151	-1.99541761635968	19.4197131820221	14.4962565380406	-5.80636924242589	20.3105914779093	16.2466139528852	-3.35244385552092	19.9435378978564	15.6575697959699
IL2RG IL34	-7.86459406154565	20.56471579253	16.0054448659344	-2.45627702075751	19.1539558646076	13.9267349573731	-6.95468955934573	20.8732956902915	16.306774018814	-4.90002849836824	20.0762439540223	15.3723207413142
IL2RG IL36A	-22.5027925955269	22.0171529209963	16.9399761942773	-3.22231284913281	19.7930888412474	14.3964300399578	-6.5854679583348	21.4986363101196	16.4682815712619	-6.98138871076985	21.2761836695158	16.0304817072141
IL2RG IL36B	-1.76824551678363	18.9482056921392	14.7951374732673	-4.5086276707843	20.5689880001419	15.2869553847529	-9.81638806986424	21.0745538997953	16.603562782611	-4.38840455571439	20.2299370721954	15.7659119177379
IL2RG IL37	-8.30760492591013	20.7077636803886	15.7983320031007	-3.15875612200671	19.625067582358	14.5125218167222	-6.52395745019969	20.799061029692	16.0032469531063	-5.72356874423884	20.4981968835484	15.5524096057894
IL2RG IL3RA	-7.58063605083572	20.8536027228804	16.3392081273647	-3.52458942256228	20.0664122039913	15.5025591029756	-8.51377217916807	20.9484369794314	16.4596960282501	-5.36829405461025	20.6125907213673	16.073395019985
IL2RG IL4	-7.68276578455895	21.1214624621192	16.6688188693673	-3.88866526035087	20.4217731184169	15.4797300582464	-7.51476805285379	21.2006613213396	16.5419474342523	-5.57474491215637	21.0265566324659	16.3593954657471
IL2RG IL4R	-7.0604622111528	20.5922545473086	16.3686937766801	-2.91754875985657	19.1891473207288	14.8427152685918	-6.15288482037998	20.7422895961937	16.4385227203627	-4.7816568157857	20.388983013543	16.0392414372712
IL2RG IL5	-5.63873497829312	20.3161602702267	15.5106416454318	-3.21120678809488	19.6800221771141	13.860407699388	-6.03619238620635	20.6525633187735	15.5759295592709	-4.81207888842816	20.297020560707	15.1977476907639
IL2RG IL5RA	-11.1270584151422	20.6943164901497	16.1602508207845	-2.15428515724982	19.0273389734545	13.6120381602398	-5.34393679166285	20.4785137934978	15.6041580587155	-5.4418992667497	20.2734599773491	15.449710094829
IL2RG IL6	-1.67259701762683	19.2574813684358	14.454922245228	-1.77881609825814	19.616041705498	14.1902574122596	-2.44785373442908	20.1375214036456	15.0790507778998	-2.28038799941045	19.8367758810269	14.8845004561393
IL2RG IL6R	-6.5263124449651	20.9550297010125	16.3366146895413	-3.94961681160189	20.1063472436465	15.2588496425888	-6.54643216365824	21.1122198958217	16.3489796555801	-5.67308663431584	20.7742227558802	16.115273132318
IL2RG IL6ST	-8.82686571148647	20.4570684401902	15.9641183505698	-3.01879760719232	19.6616985677244	14.7357106615063	-6.69268841758729	20.84665221749	16.0788571786798	-5.87655044079785	20.5159322622981	15.8563627964991
IL2RG IL7	-3.19314501243523	19.9134834877495	15.1487533880943	-3.3329248619332	20.0595037209496	14.5937636454114	-4.05087511193216	20.5513380396194	15.6059112222722	-3.69149627583806	20.2262276326947	15.1822992365807
IL2RG IL7R	-7.63943198734912	20.0775062480792	16.346824831954	-3.58816421969635	20.9265761854152	14.9070527285435	-5.52392569809828	21.0220253416829	15.9030643586191	-6.9730575640201	21.2041630764386	16.2098090873421
